gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.0530786240450076,-0.04862173261877665,-0.034712512125658436,-0.02305919927283611,NaN,NaN,NaN,1120.7458893490398,-0.9600000000000001,0.29067628881378726,0.000006535093451831564,0.002501810888407463,6119.3,6109.99,6120.8,6078.28,((x)*(0)),((x)+((7)*(9))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|DeleteTerminalR,SkipD|MutateNonTerminalR|AddTreeWithSub|DeleteTerminalR|ReplaceBranchR,ReplaceBranchXR,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.05058248798631986,-0.0056649270384045635,-0.03512064479588725,0.011890369139421552,NaN,NaN,746.6389333333334,240.8748,-0.6803659652333028,0.29332300166178094,0.13993911213482765,0.0030319129177774256,16790.2,6084.925,48910.4,6055.6,((((x)*(x))*((x)*(0)))-((7)+((x)*(x)))),(((3)*((6)*(6)))+((0)+(x))),AddXD|SkipD|AddTreeWithSub|MultXD|DeleteTerminalR,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,MultXD,MutateNonTerminalR,1,1,2,2,1
2,x*x*x*x,25,-10,-0.05659942373857137,-0.025132533649655033,-0.04879651212726628,0.01149406240080662,NaN,NaN,NaN,244.27079999999998,-0.9600067218104076,0.2937617865078328,0.000006690370304138806,0.0036916497087986664,6118.905952380952,6089.122,6119.771428571428,6051.84,((8)/((7)*(1))),(((0)-((9)*(6)))+((x)-((8)*(3)))),AddXD|MutateNonTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.0436011306979791,-0.0000347809552804057,-0.03839934779767351,0.011463009037100659,214.05498059523813,378.3610421795124,244.93180000000004,244.53690000000003,-0.9599771271729186,0.2861519035793641,0.000031103467885577955,0.00020616959626304507,6118.69625,6119.641092951244,6124.3,6117.05,((4)/((8)-(4))),(((x)*((4)-(6)))-((x)-((2)/(8)))),AddXD|SkipD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,SkipD,AddTreeWithSub,3,3,4,4,1
4,x*x*x*x,25,-10,-0.04100030040035227,-0.005723913307317436,-0.03839994684790659,0.011470396026663183,229.48403273809527,444.7610000000001,244.84013333333337,244.4736,-0.9599738596261927,0.2880995948242061,0.00001566273224682865,0.0012158567869517973,6121.8325,6110.65,6124.8,6100.36,((0)/((5)-(4))),(((x)+(9))+((x)*(6))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.041000301689477256,0.005758419013696742,-0.03839897072278134,0.011840935825382305,229.48383547619048,311.069316461351,244.98950000000002,241.29840000000002,-0.9599526205724742,0.3052822226786415,0.000043304831604488394,0.009775114406209031,6122.11875,6076.889999999999,6128.05,5953.12,((3)/((4)-(8))),(((7)-(4))*((x)*(x))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,5,5,6,6,1
6,x*x*x*x,25,-10,-0.046200313225991836,-0.0060918556756927545,-0.038399798501285234,0.011502277946860357,NaN,NaN,244.86283333333333,244.2004,-0.9599767641121713,0.2879338835259631,0.000023288331274623836,0.01341819024127055,6119.705238095238,6180.479230769231,6124.355555555555,6101.78,((4)/((9)-(4))),(((5)*((6)-(x)))+((1)/((2)*(1)))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|DeleteTerminalR,SkipD,DeleteTerminalR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.054000193211853204,-0.017145500113317877,-0.03839962967803773,0.01157094310734358,NaN,NaN,244.8886666666667,243.612,-0.9600007515357469,0.29233806972011134,0.00001707832285182405,0.0005032022018055315,6118.5929166666665,6118.381666666666,6120.685,6064.04,((1)/((8)*(1))),(((1)+((1)*(6)))*((9)*((8)*(8)))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchXR,AddToLeafR,7,7,8,8,1
8,x*x*x*x,25,-10,-0.04880057981060677,-0.022221289512688744,-0.03839987577098543,0.016508019493250186,NaN,NaN,244.85100952380952,201.30559999999997,-0.9600162070317605,0.5216311593255785,0.000016040726009253545,0.0005576332086693074,6116.4974999999995,6116.989043659044,6118.32,4099.2,((x)*((5)/(4))),(((x)*((3)+(2)))*((x)*((8)-(0)))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,8,8,9,9,1
9,x*x*x*x,25,-10,-0.0436006084825513,0.012095968813503817,-0.038398931512220624,0.016841589334727486,214.13489,239.1129917208282,244.9955,198.4472,-0.9599493530257484,0.5551935321246523,0.00003836206861784123,0.13270396505094154,6120.4915,5516.05,6128.55,3811.6,((2)/((8)-(8))),(((x)*((5)*(9)))+((0)*((1)+(x)))),AddXD|SkipD|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,9,9,10,10,1
10,x*x*x*x,25,-10,-0.043600698146367425,0.00010084289880300967,-0.03839963370801202,0.012075580689732437,NaN,NaN,244.88805000000005,239.2877,-0.9600020040953251,0.31438467427227074,0.000012479094516057326,0.012910000468467565,6118.75,6040.14,6120.493333333334,5875.12,((1)/((6)*(2))),(((2)+((x)+(6)))*((9)*((6)+(4)))),AddXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,FellTreeD,MutateNonTerminalR,10,10,11,11,1
11,x*x*x*x,25,-10,-0.04360066370409097,-0.000036816304746964955,-0.03839991395460288,0.011595683103982674,214.12644,378.3784833333333,244.84516666666667,243.4,-0.9599885635864593,0.2944339675485932,0.000026893232950882432,0.003870995609818964,6119.3675,6094.578333333333,6122.55,6046.08,((x)/((8)-(x))),(((x)*((2)*(6)))-((1)-((9)-(8)))),AddXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.04880085266113156,0.005652350908177939,-0.03840012402155128,0.011571643295927707,183.49352579365078,311.9782267857143,244.81302222222223,243.606,-0.9599760379906765,0.2928842168157291,0.00001827554843780482,0.004070138772266925,6121.707083333334,6094.36,6124.466666666667,6059.36,((7)/((3)-(6))),(((7)+((7)+(3)))-((4)*(8))),AddXD|DeleteTerminalR|FellTreeD|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.04880082255042914,-0.04564085927143044,-0.03840004520106304,-0.011184859122056872,NaN,NaN,244.8250833333333,509.2056,-0.9600000000000001,0.30719140355135655,0.000042589493659866676,1.14693812231571,6114.51,12730.41,6120.8,5936.76,((x)-((6)/(3))),(((5)+((2)*(8)))*((3)*((9)+(9)))),AddXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithDiv,AddToLeafR|AddTreeWithMult|AddTreeWithSub|MutateNonTerminalR|MutateNonTerminalR,AddXD,MutateNonTerminalR,13,13,14,14,1
