gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04619876334248246,-0.011370840879810294,-0.03839347187731452,0.011663134604253415,NaN,NaN,245.83093333333335,242.82199999999997,-0.9599542543458373,0.3082977015142746,0.00004646765473527778,0.011359020660824299,6120.88,6072.93,6127.8,5927.28,(((x)-(x))-((x)+(5))),(((8)*((6)*(3)))*((x)+(0))),SubXD|SkipD|AddTreeWithSub|ReplaceBranchXR|ReplaceBranchXR,AddXD|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR|SkipD,ReplaceBranchXR,DeleteMaliciousR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.0384372317344138,0.011380316765315462,-0.03839927591164554,0.011458119386821519,239.13480000000004,245.2455,244.94280000000003,244.5788,-0.9599869298130964,0.2863864667550461,0,0.00043889035824116654,6122.8,6120.65,6122.8,6115.04,((0)*((x)-(x))),((3)+((7)-(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddTreeWithMult|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|ReplaceBranchR,FellTreeD,AddTreeWithMult,1,1,2,2,3
2,x*x*x*x,25,-10,-0.03839947719252386,0.0110347036801912,-0.03839947719252386,0.011428197994659897,244.912,248.2071,244.912,244.83520000000001,-0.9599869298130964,0.28571428571428575,0,0,6122.8,6120.8,6122.8,6120.8,((0)*((x)-(x))),(((6)*(9))*((x)*(0))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddTreeWithMult|MutateNonTerminalR|DeleteMaliciousR|DeleteMaliciousR|SkipD,FellTreeD,DeleteMaliciousR,2,2,3,3,3
3,x*x*x*x,25,-10,-0.03839947719252386,0.01142215303321695,-0.03839947719252386,0.011433239352465601,244.912,244.887,244.912,244.792,-0.9599869298130964,0.2859476819089942,0,0.00011669809735423421,6122.8,6120.3,6122.8,6118.8,((0)*((x)-(x))),((0)-((0)+(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|SkipD,MultXD,DeleteNonTerminalR,3,3,4,4,3
4,x*x*x*x,25,-10,-0.03839947719252386,0.011444687435816048,-0.03839947719252386,0.011563941221502328,244.912,244.69389999999999,244.912,243.672,-0.9599869298130964,0.29224937916612215,0,0.0033424538039371838,6122.8,6106.99,6122.8,6064.8,((0)*((x)-(x))),((0)+((x)*(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,FellTreeD,SkipD,4,4,5,5,3
5,x*x*x*x,25,-10,-0.03839947719252386,0.011434476352297553,-0.03839947719252386,0.011452471198909575,244.912,244.7814,244.912,244.62720000000002,-0.9599869298130964,0.28667587803648453,0,0.00041774659002240776,6122.8,6117.74,6122.8,6112.56,((0)*((x)-(x))),((x)+((8)+(0))),FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,AddTreeWithDiv,MutateNonTerminalR,5,5,6,6,3
6,x*x*x*x,25,-10,-0.03839947719252386,0.011447161435479958,-0.03839947719252386,0.011503164852400249,244.912,244.6727,244.912,244.19279999999998,-0.9599869298130964,0.29224937916612215,0,0.0036840567241870083,6122.8,6108.58,6122.8,6064.8,((0)*((x)-(x))),((x)*((x)+(0))),FellTreeD|MultXD|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,MultXD,MutateNonTerminalR,6,6,7,7,3
7,x*x*x*x,25,-10,-0.03839947719252386,0.01143173394700973,-0.03839947719252386,0.01144462908676737,244.912,244.80489999999998,244.912,244.69440000000003,-0.9599869298130964,0.2859476819089942,0,0.00013475135584276854,6122.8,6119.8,6122.8,6118.8,((0)*((x)-(x))),((x)-(0)),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,MultXD,AddXD,7,7,8,8,3
8,x*x*x*x,25,-10,-0.038432104300091495,0.011455190264577928,-0.03839947719252386,0.011574117295591617,239.91940000000002,244.60389999999998,244.912,243.5848,-0.9599869298130964,0.2924734395130422,0,0.0031937433033538626,6122.8,6103.7699999999995,6122.8,6062.88,((0)*((x)-(x))),(((0)+(x))*((x)+(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,MultXD,DeleteMaliciousR,8,8,9,9,3
9,x*x*x*x,25,-10,-0.03839947719252386,0.011432200739399148,-0.03839947719252386,0.011475110629796295,244.912,244.8009,244.912,244.4332,-0.9599869298130964,0.28751610433743496,0,0.0004606742692492207,6122.8,6117.55,6122.8,6105.36,((0)*((x)-(x))),((0)+((8)*(x))),FellTreeD|DeleteMaliciousR|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,FellTreeD,SkipD,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03839947719252386,0.011441326530612245,-0.03839947719252386,0.011471376290680959,244.912,244.72269999999997,244.912,244.4652,-0.9599869298130964,0.28772149298877836,0,0.0008313754610010248,6122.8,6114.22,6122.8,6103.6,((0)*((x)-(x))),((x)*((9)+(0))),FellTreeD|MultXD|DeleteNonTerminalR|MultXD|SubXD,AddXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|SkipD,MultXD,AddXD,10,10,11,11,3
