gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04881931904326232,0.0034174788129981227,-0.04880000000000001,0.014181712941352207,180.6678,550.8826714285714,183.62400000000002,221.24000000000004,-0.9600000000000001,0.5558657131654126,0.000006535093451831564,0.1339806776925464,6119.3,5527.39,6120.8,3805.84,(0),((((x)+(x))*((x)*(7)))+((5)+((0)/((9)*(x))))),AddTreeWithAdd|MultXD|AddTreeWithDiv|AddXD|DeleteNonTerminalR,MutateNonTerminalR|MultXD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.04369461788375003,-0.01894148240904811,-0.03840013070186904,0.011561747297272067,NaN,NaN,244.812,243.69079999999997,-0.9600000000000001,0.29224937916612215,0.000006535093451831564,0.0030895318223395597,6119.3,6103.1900000000005,6120.8,6064.8,(0),((x)*(x)),AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,1,1,2,2,1
2,x*x*x*x,25,-10,-0.038403067572866295,0.011608321507926136,-0.038400261403738076,0.012192477173852159,244.36260000000001,243.29170000000005,244.792,238.28599999999997,-0.9600000000000001,0.32468211438280714,0,0.01898458989872716,6120.8,6030.87,6120.8,5786.88,((((x)*(3))-((5)+(9)))*((0)*((6)*(x)))),((((4)*(0))*((x)+(2)))+((x)*((x)*(6)))),AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR|DeleteMaliciousR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddRandomSubTreeR,ReplaceBranchXR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.038447422559142595,0.01077862935456045,-0.03840013070186904,0.012341150549881436,237.5754,250.45223333333334,244.812,237.01199999999997,-0.9600000000000001,0.3375655843307132,0.000007546075927188628,0.024748486510264768,6119.8,5987.549999999999,6120.8,5676.48,(0),(((0)*((x)+(8)))+((8)*((x)*(x)))),AddTreeWithAdd|AddTreeWithSub|AddRandomSubTreeR|AddXD|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,3,3,4,4,1
4,x*x*x*x,25,-10,-0.03840039210560711,0.0119826306551898,-0.03840013070186904,0.013941594936236163,244.77200000000002,240.0842,244.812,223.2976,-0.9600000000000001,0.503622308941875,0.000007546075927188628,0.1085699937946221,6119.8,5649.01,6120.8,4253.52,(0),(((x)+((9)*(x)))+((8)*((9)+(x)))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|AddXD|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.03840026140373808,0.012440133876057287,-0.03840013070186904,0.015387437683216014,244.792,236.16380000000004,244.812,210.908,-0.9600000000000001,0.513770375487798,0,0.11361113316907336,6120.8,5626.81,6120.8,4166.56,((x)*((0)*(0))),((((2)*(x))*((9)+(9)))*((x)+((0)+(2)))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|AddToLeafR,AddTreeWithAdd,AddToLeafR,5,5,6,6,1
6,x*x*x*x,25,-10,-0.038400359430139856,0.009144489810659183,-0.038400261403738076,0.014662555781690538,244.77700000000002,1384.9056,244.792,217.1196,-0.9600000000000001,0.5063110331049163,0,0.1062717686922584,6120.8,5589.82,6120.8,4230.48,((6)-((7)*(0))),(((x)*(x))*((x)*(6))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MultXD|ReplaceBranchXR|ReplaceBranchXR,DeleteTerminalR,ReplaceBranchXR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.038400265324794146,0.01128187025038744,-0.038400000000000004,0.01159110853856639,244.79139999999998,246.08910000000003,244.832,243.43919999999997,-0.9600000000000001,0.29140915286517177,0,0.002693746674797339,6120.8,6105.8,6120.8,6072,(0),(((x)-(1))*((x)-(4))),AddXD|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|FellTreeD|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddXD,ReplaceBranchXR,7,7,8,8,1
8,x*x*x*x,25,-10,-0.0384002646712848,0.012071274529940066,-0.038400000000000004,0.016487854062027373,244.7915,239.3246,244.832,201.4784,-0.9600000000000001,0.5341692029053159,0,0.12378584592586854,6120.8,5582.86,6120.8,3991.76,(0),(((6)-((0)*(x)))*((8)*((x)+(9)))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|AddToLeafR,AddRandomSubTreeR,AddTreeWithAdd,8,8,9,9,1
9,x*x*x*x,25,-10,-0.03840029734675206,0.011426273506629739,-0.038400261403738076,0.018310678342700303,244.78650000000002,252.39849999999998,244.792,185.8584,-0.9600000000000001,0.8688313385738559,0,0.29125747099908067,6120.8,4867.73,6120.8,1124,(((x)*((0)*(x)))*((x)+(0))),(((x)*((x)*(x)))*((x)-(2))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,DeleteNonTerminalR,ReplaceBranchXR,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03841045484250425,-0.005674561681946336,-0.038400000000000004,0.011530798961853727,243.2322,444.3381,244.832,243.956,-0.9600000000000001,0.29224937916612215,0,0.0028389613157371253,6120.8,6100.0599999999995,6120.8,6064.8,((6)*((0)*(0))),((x)*(x)),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,10,10,11,11,1
11,x*x*x*x,25,-10,-0.038400000000000004,0.011617423959519766,-0.038400000000000004,0.012399499598558546,244.832,243.2137,244.832,236.512,-0.9600000000000001,0.32305767686763637,0,0.017833429767268302,6120.8,5994.93,6120.8,5800.8,((5)+((9)*(0))),(((x)*(1))*((x)*(x))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,11,11,12,12,1
12,x*x*x*x,25,-10,-0.03840013070186904,0.011503806691935696,-0.03840013070186904,0.012213902944526395,244.812,244.1873,244.812,238.1024,-0.9600000000000001,0.31179864443490124,0,0.013121823283081084,6120.8,6065.92,6120.8,5897.28,((0)*((3)-(4))),(((x)+(0))*((x)*(4))),AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,12,12,13,13,1
13,x*x*x*x,25,-10,-0.03839995882891126,0.011454128311892004,-0.03839986929813097,0.01148906772223986,244.8383,244.61300000000003,244.852,244.3136,-0.9599869298130964,0.2872873760666207,0,0.0005291800866400146,6122.8,6112.98,6122.8,6107.32,((0)-(x)),((7)+((x)+(8))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithMult,ReplaceBranchXR,13,13,14,14,1
14,x*x*x*x,25,-10,-0.038411646190040526,0.011302152379707603,-0.03839888903411319,0.011790242171891632,243.0499,245.9153,245.002,241.73280000000003,-0.9599477192523854,0.29224937916612215,0.000018770626867513435,0.0034254088859324468,6125.05,6108.55,6128.8,6064.8,((0)-(8)),((x)*(x)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|MutateNonTerminalR,AddRandomSubTreeR,AddTreeWithAdd,14,14,15,15,1
15,x*x*x*x,25,-10,-0.0383993216572997,0.011713349795544937,-0.03839764736635734,0.013540993707638593,244.93580000000003,242.3917,245.192,226.7304,-0.959803947196445,0.38792314730100647,0.00009263173202202432,0.050959246043608325,6129.55,5899.92,6150.8,5244.96,(((x)*((0)*(x)))*((x)-((5)*(6)))),(((x)+(x))*((x)*(8))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|ReplaceBranchXR|ReplaceBranchXR,AddTreeWithAdd,ReplaceBranchXR,15,15,16,16,1
16,x*x*x*x,25,-10,-0.03839933015292119,0.011646656832906999,-0.038398366226637046,0.012845566405885323,244.9345,242.9632,245.082,232.68959999999998,-0.9599411841589336,0.34447411169408304,0.00003218160306426897,0.02910547121028357,6125.05,5991.389999999999,6129.8,5617.28,((0)-(9)),(((x)*((7)+(5)))*((x)-((5)-(0)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,MutateTerminalR,MutateTerminalR,16,16,17,17,1
17,x*x*x*x,25,-10,-0.03841698797542805,0.011533634725619435,-0.03839915043785127,0.011796590548387699,242.2325,243.93169999999998,244.96200000000002,241.67840000000004,-0.9599477192523854,0.3078869242115877,0.000022321593617287665,0.010153759215186712,6124.3,6055.96,6128.8,5930.8,(((6)-((7)*(x)))*((0)-(8))),((((4)-(8))+((1)*(x)))+((5)*((2)+((2)-(x))))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,AddTreeWithAdd,AddTreeWithAdd,17,17,18,18,1
18,x*x*x*x,25,-10,-0.03841004639916351,0.010330992907455342,-0.038399346490654816,0.011466148215919491,243.2947,254.36499999999995,244.93200000000002,244.51,-0.9599607894392891,0.28706798364359476,0.000013472440287591929,0.0006768489646545028,6124.55,6117.9,6126.8,6109.2,((0)-(6)),((x)*(6)),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,DeleteNonTerminalR,AddTreeWithAdd,18,18,19,19,1
19,x*x*x*x,25,-10,-0.038399460854790235,0.01082651427451127,-0.038399281139720305,0.011751591762047915,244.9145,249.99110000000002,244.942,242.06400000000002,-0.9599673245327409,0.29465802789551326,0.000009802640177747344,0.00014684188565592012,6123.55,6120.55,6125.8,6044.16,(((0)*((x)*(x)))*((x)-(5))),((((x)+(5))*((x)+(x)))+((8)-((6)-(x)))),AddTreeWithAdd|SubXD|AddRandomSubTreeR|MutateTerminalR|DeleteNonTerminalR,AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchXR,MutateTerminalR,DeleteTerminalR,19,19,20,20,1
