gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.061809832701607635,-0.011435865059656068,-0.0592003398248595,-0.011430905390518512,NaN,NaN,NaN,NaN,-0.9600209122990458,0.28571428571428575,0.000018583581322355868,0,6113.8,6120.8,6117.6,6120.8,((0)+(4)),(0),AddTreeWithSub|SkipD|FellTreeD|DeleteNonTerminalR|AddTreeWithAdd,DivXD|MutateTerminalR|FellTreeD|AddToLeafR|FellTreeD,AddTreeWithSub,FellTreeD,0,0,1,1,2
1,x*x*x*x,25,-10,-0.05132262841458633,0.01142857142857143,-0.048602768265586196,0.01142857142857143,180.1614,244.832,213.8044,244.832,-0.9460933211344923,0.28571428571428575,0.00846392949236152,0,7100.139999999999,6120.8,8248.8,6120.8,((((0)+(8))+((4)*(x)))*((x)*((5)/((6)-(4))))),(0),AddTreeWithSub|SkipD|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|FellTreeD,SkipD,FellTreeD,1,1,2,2,2
2,x*x*x*x,25,-10,-0.04354815699161641,0.01142857142857143,-0.03804015684224285,0.01142857142857143,222.16101714285716,244.832,299.89520000000005,244.832,-0.9599869298130964,0.28571428571428575,0.000026009671938276302,0,6120.8099999999995,6120.8,6122.8,6120.8,(((1)+((9)*(x)))*((0)-(x))),(0),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|FellTreeD,DeleteMaliciousR,FellTreeD,2,2,3,3,2
3,x*x*x*x,25,-10,-0.04101803620441773,0.01142857142857143,-0.03839823552476801,0.01142857142857143,226.7701,244.832,245.102,244.832,-0.9599477192523854,0.28571428571428575,0.000026193906758487538,0,6123.38,6120.8,6128.8,6120.8,((((0)*(6))-((4)*(x)))*((x)-((3)+(5)))),(0),DeleteMaliciousR|SkipD|SubXD|AddTreeWithSub|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|FellTreeD,DeleteMaliciousR,FellTreeD,3,3,4,4,2
4,x*x*x*x,25,-10,-0.038429200104561495,0.01142857142857143,-0.03839797412102994,0.01142857142857143,240.36379999999997,244.832,245.142,244.832,-0.9599346490654818,0.28571428571428575,0.00004949351490522002,0,6122.5599999999995,6120.8,6130.8,6120.8,(((0)*((0)*(x)))-((1)+(9))),(0),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|FellTreeD,DeleteMaliciousR,FellTreeD,4,4,5,5,2
5,x*x*x*x,25,-10,-0.03841631616782121,0.01143989114401479,-0.03839934649065482,0.011458586179210938,242.3353,244.735,244.93200000000002,244.57479999999998,-0.9599607894392891,0.28871576077823635,0.00003277143576944614,0.0012537786372059923,6121.8099999999995,6111.1,6126.8,6095.08,(((0)*((0)*(x)))-((5)+(1))),((7)*((5)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,DeleteMaliciousR,5,5,6,6,2
6,x*x*x*x,25,-10,-0.038399739249771275,0.011433892861810784,-0.03839862763037512,0.011446682973280806,244.87189999999995,244.7864,245.042,244.67680000000001,-0.9599346490654818,0.2875254401852233,0.00004558979117422774,0.0009286470613644559,6124.8,6116.24,6130.8,6105.28,((0)-((8)+(2))),((2)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,MutateTerminalR,6,6,7,7,2
7,x*x*x*x,25,-10,-0.03840802444124951,0.011446752992139219,-0.03839935956084172,0.01146894897025599,243.60410000000005,244.6762,244.93,244.486,-0.9599869298130964,0.2867645685904737,0.000023099745112732606,0.00024966484514269045,6120.43,6114.2,6122.8,6111.8,(((8)+((7)*(x)))*((0)-(x))),((7)+((2)+(x))),DeleteMaliciousR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,DeleteMaliciousR,7,7,8,8,2
8,x*x*x*x,25,-10,-0.03841359626192655,0.011486605392385685,-0.038398692981309636,0.011618649289541984,242.75150000000002,244.3347,245.032,243.2032,-0.9599542543458373,0.29018615680489956,0.00003060201285635229,0.0016361339604890914,6121.6900000000005,6102.049999999999,6127.8,6082.48,((0)-((x)+(5))),((7)*((8)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,MutateTerminalR,8,8,9,9,2
9,x*x*x*x,25,-10,-0.03839957129786956,0.011380305095505725,-0.038397451313553786,0.011496349683514763,244.8976,245.24560000000002,245.222,244.25119999999998,-0.9599411841589336,0.2875254401852233,0.00002325856805651434,0.0006384541423425103,6125.8,6110.879999999999,6129.8,6105.28,(((0)*((x)*(0)))-((3)+(6))),((2)*((9)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,AddTreeWithAdd,DeleteMaliciousR,9,9,10,10,2
10,x*x*x*x,25,-10,-0.03840197751927852,0.0114654596971451,-0.038397516664488304,0.011509419870418433,244.5294,244.5159,245.21200000000002,244.1392,-0.9598954385047707,0.28794555333569843,0.000050479807546997164,0.0006502615131281764,6128.3,6110.1,6136.8,6101.68,((0)-((7)+(9))),((4)*((6)+(x))),DeleteMaliciousR|SkipD|SubXD|DeleteNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|MutateTerminalR|FellTreeD|AddToLeafR|AddXD,DeleteMaliciousR,DeleteMaliciousR,10,10,11,11,2
