gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03680481356243546,-0.016539773045540263,-0.021273296422878243,-0.008470368019119814,NaN,NaN,6370.048400000001,485.9448,0.7526507524318203,0.335184943144687,1.1411114218103957,0.02415634345095017,NaN,6007.1900000000005,618639.44,5696.88,((((x)*(x))+((8)*(x)))*((6)*((x)*(x)))),(((x)*(7))*((3)+(x))),MultXD|AddRandomSubTreeR|AddToLeafR|AddTreeWithDiv|ReplaceBranchXR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,ReplaceBranchXR,AddRandomSubTreeR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.04620369363481898,0.011440249573885236,-0.03839832963011371,0.011622196911701554,198.3608,244.73192857142857,245.08759999999998,243.17280000000002,-0.959803947196445,0.29373377896446784,0.00013236589400422876,0.004807732552475922,6122.05,6101.110000000001,6150.8,6052.08,(((8)*(x))-((6)+(x))),((((2)*(0))+((4)-(8)))+((6)*((1)-((9)+(x))))),FellTreeD|SkipD|AddToLeafR|AddXD|AddToLeafR,AddXD|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd,AddToLeafR,AddToLeafR,1,1,2,2,4
2,x*x*x*x,25,-10,-0.038412976735067314,0.011507330974475795,-0.038399281139720305,0.01173221987788711,242.84629999999999,244.1571,244.942,242.23000000000005,-0.9600000000000001,0.3084937543178296,0.00003981318526811995,0.011012657999791103,6114.59,6061.93,6120.8,5925.6,(((7)-(2))-((7)+(x))),((((5)+(2))*((8)*(9)))-((9)+((x)+((9)-(2))))),FellTreeD|SkipD|AddToLeafR|AddXD|AddToLeafR,AddXD|AddToLeafR|ReplaceBranchR|AddToLeafR|AddTreeWithAdd,AddToLeafR,AddToLeafR,2,2,3,3,4
3,x*x*x*x,25,-10,-0.038401486733760294,0.011426996004257148,-0.03839562148738727,0.011484959949212992,244.60449999999997,244.8455,245.502,244.34879999999998,-0.959601359299438,0.2867318931232146,0.00023577413246931228,0.0005050911514001719,6128.25,6115.87,6181.8,6112.08,(((2)-(9))*((9)+(x))),(((2)+((x)+(4)))-((0)-(x))),FellTreeD|SkipD|AddToLeafR|AddXD|AddToLeafR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,AddRandomSubTreeR,3,3,4,4,4
4,x*x*x*x,25,-10,-0.038399314468696905,0.011479136714155016,-0.03839542543458371,0.011714481767089273,244.93689999999998,244.39870000000002,245.532,242.38200000000003,-0.9596601751405046,0.2987658009223818,0.00022914791187848886,0.00639446284712088,6141.490000000001,6090.8,6172.8,6008.96,(((x)-(x))*((x)+(x))),(((x)-((0)*(x)))*((1)+(x))),FellTreeD|SkipD|AddToLeafR|AddXD|AddToLeafR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,AddRandomSubTreeR,4,4,5,5,4
5,x*x*x*x,25,-10,-0.038402006927199056,0.011486231958474154,-0.03839934126258006,0.011639188154676329,244.52489999999997,244.33790000000002,244.93280000000001,243.02720000000002,-0.9599673245327409,0.2928001941856341,0.00003320985063853733,0.003566475873055919,6119.65,6105.070000000001,6125.8,6060.08,((2)-((9)+(x))),(((x)+(9))*((8)+(0))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|ReplaceBranchR|DeleteTerminalR|ReplaceBranchXR,MutateTerminalR,AddRandomSubTreeR,5,5,6,6,4
6,x*x*x*x,25,-10,-0.03840838517840805,0.01267661090053588,-0.03829791399817018,0.018305356909460953,243.54890000000003,234.13739999999999,260.4532,185.90400000000002,-0.9599803947196446,0.6277330694400359,0.000024262599761446605,0.162037087754416,6118.43,5068.860000000001,6123.8,3190,((1)-((5)+(1))),((((x)+(x))+((x)*(x)))*((4)*((7)+((0)+(x))))),FellTreeD|MutateNonTerminalR|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,6,6,7,7,4
7,x*x*x*x,25,-10,-0.038404079858841984,0.01148547342084135,-0.03840048098287806,0.011626304684728424,244.20770000000002,244.34440000000004,244.7584,243.13760000000002,-0.9600240491439028,0.29379912989898616,0.000032691496090335704,0.0034288443004498134,6111.5,6094.63,6117.12,6051.52,((4)-((2)+(x))),(((x)+(7))*((x)+(0))),FellTreeD|SkipD|AddToLeafR|AddXD|ReplaceBranchR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,SkipD,AddRandomSubTreeR,7,7,8,8,4
8,x*x*x*x,25,-10,-0.03840239903280617,0.011435783370987922,-0.03840087570252254,0.011487433948876899,244.46489999999997,244.77020000000002,244.69800000000004,244.3276,-0.9599803947196446,0.28763747035868337,0.000045209497512079996,0.0010762466870488953,6116.68,6117.43,6123.8,6104.32,((0)-((5)+(x))),((6)*((x)+(1))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|AddTreeWithMult|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,AddRandomSubTreeR,8,8,9,9,4
9,x*x*x*x,25,-10,-0.03840390406482813,0.011425572287469427,-0.03840080250947588,0.011457559235954217,244.2346,244.85770000000005,244.70919999999998,244.58360000000002,-0.9600000000000001,0.2873667307728215,0.00007092315861896937,0.0004480072229903846,6108.48,6111.28,6120.8,6106.64,((x)-((5)+(3))),(((7)+(x))+((6)+(3))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,SkipD,9,9,10,10,4
10,x*x*x*x,25,-10,-0.03840288001568423,0.011481202270478186,-0.03840044700039211,0.011690722034467953,244.3913,244.38099999999997,244.7636,242.58559999999997,-0.9600130701869037,0.2915211830386318,0.000019521451942180987,0.0026490211053893523,6114.380000000001,6105.08,6118.8,6071.04,((0)*((0)+(x))),(((x)-(3))*((0)+(x))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,AddToLeafR,MutateNonTerminalR,10,10,11,11,4
11,x*x*x*x,25,-10,-0.038402234348451185,0.011479947765931626,-0.03840017514050451,0.011556379184793774,244.4901,244.39175000000003,244.8052,243.73680000000002,-0.9599803947196446,0.28929925126500744,0.00004603149612537854,0.0018925092753804334,6115.93,6104.63,6123.8,6090.08,((2)-((7)+(x))),((5)*((x)+(6))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,MutateNonTerminalR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.03840129721605019,0.011433741154284223,-0.03839973859626193,0.011481692402487071,244.6335,244.78769999999997,244.872,244.3768,-0.9599803947196446,0.28734339115335067,0.00003463837908322865,0.0009331256534214095,6118.32,6118.5599999999995,6123.8,6106.84,((0)-((5)+(x))),(((8)+(x))+((5)+(x))),FellTreeD|SkipD|AddToLeafR|AddXD|MutateTerminalR,AddRandomSubTreeR|SkipD|MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR,FellTreeD,ReplaceBranchXR,12,12,13,13,4
