gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.048808474055678994,-0.02255483643594675,-0.04879308848516534,-0.01037217357208208,NaN,NaN,184.6816,502.24160000000006,-0.9600000000000001,0.29211400937319126,0,0.0029165299062378024,6120.8,6102.5599999999995,6120.8,6065.96,(0),(((3)+((9)+(9)))-((x)*(7))),AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,0,0,1,1,4
1,x*x*x*x,25,-10,-0.03840124362828389,0.011102703661519504,-0.038400000000000004,0.011534019829340705,244.6417,247.62440000000004,244.832,243.92840000000004,-0.9600000000000001,0.28936460219952576,0,0.0015806075563773757,6120.8,6105.38,6120.8,6089.52,(0),((8)+((9)*(x))),AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|DeleteMaliciousR|DeleteNonTerminalR|MultXD|AddTreeWithAdd,AddTreeWithDiv,AddTreeWithAdd,0,1,2,2,4
2,x*x*x*x,25,-10,-0.038400000000000004,0.011480175327221469,-0.038400000000000004,0.011575144238848334,244.832,244.38980000000004,244.832,243.57600000000002,-0.9600000000000001,0.2929215602068825,0,0.0033433079576639644,6120.8,6100.5,6120.8,6059.04,(0),((3)+((x)*(x))),AddTreeWithDiv|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|DivXD,AddTreeWithDiv,AddToLeafR,0,0,3,3,4
3,x*x*x*x,25,-10,-0.038400000000000004,0.011482929402319026,-0.038400000000000004,0.011692822600220327,244.832,244.36620000000002,244.832,242.56759999999997,-0.9600000000000001,0.29656254084433414,0,0.005142066539144607,6120.8,6093.68,6120.8,6027.84,(0),((7)*((8)*(x))),MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|DivXD,MutateTerminalR,DeleteNonTerminalR,2,0,4,4,4
4,x*x*x*x,25,-10,-0.038400000000000004,0.011471679705734079,-0.038400000000000004,0.011636247362623002,244.832,244.46259999999995,244.832,243.0524,-0.9600000000000001,0.29379912989898616,0,0.0034187776024531087,6120.8,6093.96,6120.8,6051.52,(0),((x)+((7)*(x))),MutateTerminalR|AddRandomSubTreeR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|DivXD,MutateTerminalR,AddTreeWithSub,3,0,5,5,4
5,x*x*x*x,25,-10,-0.038400000000000004,-0.011365344399424911,-0.038400000000000004,-0.011146628825363629,244.832,510.7522,244.832,508.87800000000004,-0.9600000000000001,0.29620777862837727,0,0.004735955402165131,6120.8,6085.870000000001,6120.8,6030.88,(0),((6)*((9)*(x))),MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateNonTerminalR,DeleteNonTerminalR,2,4,6,6,4
6,x*x*x*x,25,-10,-0.038400000000000004,0.0115088480497414,-0.038400000000000004,0.011647590417685837,244.832,244.1441,244.832,242.95519999999996,-0.9600000000000001,0.3003622308941876,0,0.006396323104091243,6120.8,6075.32,6120.8,5995.28,(0),((9)*((9)*(x))),MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,2,6,7,7,4
7,x*x*x*x,25,-10,-0.038400000000000004,0.01147611423343354,-0.038400000000000004,0.011555725675448589,244.832,244.4246,244.832,243.74239999999998,-0.9600000000000001,0.29141848871296006,0,0.002968858312134564,6120.8,6096.24,6120.8,6071.92,(0),((3)*((9)*(x))),MutateTerminalR|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,4,7,8,8,4
8,x*x*x*x,25,-10,-0.038400000000000004,0.011457804301958663,-0.038400000000000004,0.011513387605728478,244.832,244.5815,244.832,244.1052,-0.9600000000000001,0.2875021005657525,0,0.0007348978712438567,6120.8,6113.16,6120.8,6105.48,(0),((3)*(7)),MutateTerminalR|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,7,8,9,9,4
9,x*x*x*x,25,-10,-0.038400000000000004,0.01149139001437721,-0.038400000000000004,0.011611414007506028,244.832,244.29370000000003,244.832,243.26519999999996,-0.9600000000000001,0.29044289261907885,0,0.0020491725123245952,6120.8,6101.18,6120.8,6080.28,(0),((9)*(7)),MutateTerminalR|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,8,9,10,10,4
10,x*x*x*x,25,-10,-0.038400000000000004,0.011532981216274251,-0.038400000000000004,0.011828519147823817,244.832,243.9373,244.832,241.4048,-0.9600000000000001,0.31179864443490124,0,0.012753285777343703,6120.8,6061.120000000001,6120.8,5897.28,(0),((4)*((x)*(x))),MutateTerminalR|ReplaceBranchXR|MutateTerminalR|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,DeleteNonTerminalR,8,10,11,11,4
11,x*x*x*x,25,-10,-0.038400000000000004,0.011447744925966728,-0.038400000000000004,0.011509279832701612,244.832,244.6677,244.832,244.14039999999997,-0.9600000000000001,0.28981272289336596,0,0.0021258567106539157,6120.8,6112.81,6120.8,6085.68,((0)*(x)),((9)*(6)),MutateTerminalR|ReplaceBranchXR|DivXD|SubXD|AddXD,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,9,11,12,12,4
12,x*x*x*x,25,-10,-0.038400000000000004,0.012465515712231832,-0.038400000000000004,0.015484437141736841,244.832,235.9463,244.832,210.0768,-0.9600000000000001,0.5926022742125213,0,0.1470980399815027,6120.8,5362.4,6120.8,3491.04,(0),(((8)*(7))*((x)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|SubXD|AddXD,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|AddToLeafR|ReplaceBranchR,MutateTerminalR,AddToLeafR,9,12,13,13,4
13,x*x*x*x,25,-10,-0.038400000000000004,0.011489942957970017,-0.038400000000000004,0.011576591295255522,244.832,244.30610000000001,244.832,243.5636,-0.9600000000000001,0.2978042086001831,0,0.005524068680554572,6120.8,6074.139999999999,6120.8,6017.2,(0),((7)*((9)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|SubXD|AddXD,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,AddXD,AddTreeWithSub,9,13,14,14,4
14,x*x*x*x,25,-10,-0.038400000000000004,0.011451117500980266,-0.038400000000000004,0.011560673674776409,244.832,244.63879999999997,244.832,243.7,-0.9600000000000001,0.2935937412476428,0,0.0038387241498283936,6120.8,6102.3099999999995,6120.8,6053.28,(0),((x)+((6)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|SubXD|AddXD,AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,9,14,15,15,4
15,x*x*x*x,25,-10,-0.038400261403738076,0.011487655675261874,-0.038400261403738076,0.011605579102638312,244.792,244.32569999999998,244.792,243.3152,-0.9600000000000001,0.29159586982093855,0,0.003162490017232857,6120.8,6102.84,6120.8,6070.4,(0),((7)*((4)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,SubXD|AddToLeafR|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,MultXD,15,15,16,16,4
16,x*x*x*x,25,-10,-0.04880013070186903,0.00573665673954852,-0.04880013070186903,0.011513480964206362,NaN,NaN,183.604,244.1044,-0.9600000000000001,0.28918255316765323,0,0.0018387769295042263,6120.8,6105.46,6120.8,6091.08,(0),((5)*(9)),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|DivXD|DeleteNonTerminalR|MultXD|ReplaceBranchR,DivXD,AddTreeWithSub,15,16,17,17,4
17,x*x*x*x,25,-10,-0.038400261403738076,0.0057508705678062655,-0.038400261403738076,0.011565014843997985,244.792,311.134,244.792,243.66280000000003,-0.9600000000000001,0.2908023227589298,0,0.00209912857748652,6120.8,6110.5,6120.8,6077.2,(0),((3)*((8)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|DivXD|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,15,16,18,18,4
18,x*x*x*x,25,-10,-0.038400000000000004,0.011504506880519823,-0.038400000000000004,0.011812601527344702,244.832,244.18130000000002,244.832,241.5412,-0.9600000000000001,0.3003622308941876,0,0.00690274510232901,6120.8,6082.17,6120.8,5995.28,(0),((9)*((9)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|DivXD|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,ReplaceBranchR,15,16,19,19,4
19,x*x*x*x,25,-10,-0.038400000000000004,0.011446507926134775,-0.038400000000000004,0.011482485949549084,244.832,244.6783,244.832,244.37,-0.9600000000000001,0.28706798364359476,0,0.0002632139318273905,6120.8,6112.27,6120.8,6109.2,(0),((6)*(x)),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|ReplaceBranchR,FellTreeD,AddTreeWithSub,18,19,20,20,4
20,x*x*x*x,25,-10,-0.038400000000000004,0.011441256511753838,-0.038400000000000004,0.011485800175513943,244.832,244.7233,244.832,244.3416,-0.9600000000000001,0.2872220251321023,0,0.0006720446089998954,6120.8,6114.889999999999,6120.8,6107.88,(0),((9)+(8)),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,18,20,21,21,4
21,x*x*x*x,25,-10,-0.038400000000000004,0.011453136378064494,-0.038400000000000004,0.011511567115409753,244.832,244.62150000000003,244.832,244.12080000000003,-0.9600000000000001,0.2884823645835279,0,0.001118052227376624,6120.8,6110.95,6120.8,6097.08,(0),((7)*(5)),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|ReplaceBranchR,MutateTerminalR,AddTreeWithSub,19,20,22,22,4
22,x*x*x*x,25,-10,-0.038400000000000004,0.011460990160016433,-0.038400000000000004,0.011522863491233638,244.832,244.55419999999998,244.832,244.024,-0.9600000000000001,0.29224937916612215,0,0.0032675467259181967,6120.8,6106.8,6120.8,6064.8,(0),((1)*((x)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddXD,MutateTerminalR,AddTreeWithSub,20,22,23,23,4
23,x*x*x*x,25,-10,-0.038400000000000004,0.011470804470003924,-0.038400000000000004,0.011693896222715987,244.832,244.47009999999997,244.832,242.5584,-0.9600000000000001,0.2979815897081614,0,0.006133651996937827,6120.8,6094.52,6120.8,6015.68,(0),((8)*((8)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddXD,MutateTerminalR,DeleteNonTerminalR,22,22,24,24,4
24,x*x*x*x,25,-10,-0.038400000000000004,0.011459963216759716,-0.038400000000000004,0.011498030136116664,244.832,244.563,244.832,244.23680000000002,-0.9600000000000001,0.2895699908508692,0,0.0019368303213506265,6120.8,6106.92,6120.8,6087.76,(0),((6)*((3)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,ReplaceBranchXR|FellTreeD|DeleteNonTerminalR|MultXD|AddTreeWithMult,ReplaceBranchXR,ReplaceBranchXR,23,24,25,25,4
25,x*x*x*x,25,-10,-0.038400000000000004,0.011459403065892415,-0.038400000000000004,0.011493175495266728,244.832,244.56779999999998,244.832,244.2784,-0.9600000000000001,0.2908023227589298,0,0.002771148446047558,6120.8,6100.32,6120.8,6077.2,(0),((6)*((4)*(x))),MutateTerminalR|ReplaceBranchXR|DivXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddTreeWithMult,MutateTerminalR,MultXD,23,25,26,26,4
26,x*x*x*x,25,-10,-0.038400000000000004,0.011471224583154398,-0.038400000000000004,0.01157094310734358,244.832,244.46650000000002,244.832,243.61199999999997,-0.9600000000000001,0.2923053942528522,0,0.003226526038543933,6120.8,6105.7,6120.8,6064.32,(0),((8)*((4)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddTreeWithMult,DeleteTerminalR,AddTreeWithSub,25,26,27,27,4
27,x*x*x*x,25,-10,-0.038400000000000004,0.011586580652389045,-0.038400000000000004,0.011798644434901135,244.832,243.47799999999998,244.832,241.6608,-0.9600000000000001,0.29532087308848526,0,0.0046207133929471395,6120.8,6081.68,6120.8,6038.48,(0),((7)*((7)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddTreeWithMult,DeleteTerminalR,AddTreeWithSub,25,26,28,28,4
28,x*x*x*x,25,-10,-0.038400000000000004,0.011730329368709975,-0.038400000000000004,0.012668838807252088,244.832,242.2462,244.832,234.204,-0.9600000000000001,0.3311238493567601,0,0.022085469989909835,6120.8,6014.38,6120.8,5731.68,(0),((x)*((7)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|FellTreeD|DeleteNonTerminalR|MultXD|AddTreeWithMult,FellTreeD,AddTreeWithSub,27,28,29,29,4
29,x*x*x*x,25,-10,-0.038400000000000004,0.011630015684224287,-0.038400000000000004,0.012484175737998768,244.832,243.10580000000002,244.832,235.78640000000004,-0.9600000000000001,0.3311238493567601,0,0.02183402594165645,6120.8,6009.52,6120.8,5731.68,(0),((x)*((7)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,AddXD,ReplaceBranchR,27,27,30,30,4
30,x*x*x*x,25,-10,-0.03840137433015292,0.011778525682917268,-0.038400389491569736,0.01347788337658943,244.62170000000003,241.8332,244.7724,227.2712,-0.9600000000000001,0.3816494575872435,0,0.054780688834244744,6120.8,5957.3,6120.8,5298.72,(0),(((x)*(3))*((5)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,AddTreeWithSub,27,27,31,31,4
31,x*x*x*x,25,-10,-0.038400000000000004,0.012098418507384658,-0.038400000000000004,0.014294676699591091,244.832,239.09200000000004,244.832,220.27199999999996,-0.9600000000000001,0.38792314730100647,0,0.04719594483952263,6120.8,5845.66,6120.8,5244.96,(0),(((x)*(x))*((4)*(4))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,AddTreeWithSub,27,27,32,32,4
32,x*x*x*x,25,-10,-0.038400000000000004,0.012187435816046456,-0.038400000000000004,0.014111133932072372,244.832,238.3292,244.832,221.8448,-0.9600000000000001,0.5022872827081428,0,0.10351227135779345,6120.8,5594.92,6120.8,4264.96,(0),(((x)*(x))*((6)*(6))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,ReplaceBranchR,31,32,33,33,4
33,x*x*x*x,25,-10,-0.038400000000000004,0.012101907780495549,-0.038400000000000004,0.01436889668950838,244.832,239.0621,244.832,219.636,-0.9600000000000001,0.4118229176391509,0,0.059743914037242773,6120.8,5706.08,6120.8,5040.16,(0),(((4)*(x))*((5)*(x))),MutateTerminalR|ReplaceBranchXR|AddXD|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,MultXD,32,32,34,34,4
34,x*x*x*x,25,-10,-0.038400000000000004,0.012666388147207653,-0.038400000000000004,0.015569299998132833,244.832,234.225,244.832,209.34959999999998,-0.9600000000000001,0.5948055342905689,0,0.1505249946627526,6120.8,5279.54,6120.8,3472.16,(0),(((x)*(9))*((x)*(x))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,AddTreeWithMult,33,34,35,35,4
35,x*x*x*x,25,-10,-0.038400000000000004,0.014239665216498311,-0.038400000000000004,0.028117986444349014,244.832,220.7434,244.832,101.8184,-0.9600000000000001,1,0,0.35680921312455616,6120.8,4585.28,6120.8,0,(0),(((x)*(x))*((x)*(x))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,ReplaceBranchXR,ReplaceBranchXR,31,34,36,36,4
36,x*x*x*x,25,-10,-0.038400000000000004,0.01132609882928469,-0.038400000000000004,0.012218384151464798,244.832,245.7101,244.832,238.06400000000002,-0.9600000000000001,0.3090445693373416,0,0.012885426817927755,6120.8,6043.73,6120.8,5920.88,(0),(((9)*((3)-(8)))*((8)*(x))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|AddToLeafR|MultXD|AddTreeWithMult,DeleteNonTerminalR,AddTreeWithSub,35,35,37,37,4
37,x*x*x*x,25,-10,-0.038400000000000004,0.012129425191851674,-0.038400000000000004,0.013806972011128332,244.832,238.82629999999997,244.832,224.45120000000003,-0.9600000000000001,0.4527139309520698,0,0.08073344410298006,6120.8,5725.18,6120.8,4689.76,(0),(((x)*(x))*((9)*(3))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|ReplaceBranchXR|MultXD|AddTreeWithMult,MutateTerminalR,AddTreeWithSub,31,36,38,38,4
38,x*x*x*x,25,-10,-0.038400000000000004,0.011513259237821389,-0.038400000000000004,0.011915015777582765,244.832,244.1063,244.832,240.6636,-0.9600000000000001,0.32171798271001,0,0.01699876400940293,6120.8,6028.97,6120.8,5812.28,(0),(((9)+((5)*(x)))-((4)*(x))),MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|FellTreeD|DeleteTerminalR,AddTreeWithSub|ReplaceBranchR|AddToLeafR|MultXD|AddTreeWithMult,ReplaceBranchXR,AddTreeWithSub,35,38,39,39,4
