gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04880058227682656,-0.02856047062008701,-0.04880020912299046,0.01147553074294677,NaN,NaN,183.592,244.4296,-0.9600000000000001,0.2871520062736898,0,0.000882648124908764,6120.8,6118.19,6120.8,6108.48,(0),((7)+(9)),ReplaceBranchR|ReplaceBranchXR|AddToLeafR|MutateNonTerminalR|FellTreeD,MutateNonTerminalR|DeleteNonTerminalR|MutateNonTerminalR|ReplaceBranchR|MutateNonTerminalR,AddToLeafR,MutateNonTerminalR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.038400512351326625,0.011457979349104695,-0.038399085086916744,0.011516935227888048,244.7536,244.58,244.972,244.07479999999998,-0.9599019735982225,0.28918255316765323,0.000056657061720040655,0.0017269488990010666,6125.09,6111.42,6135.8,6091.08,(((3)-(0))*((2)-(7))),((5)*(9)),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MultXD|AddTreeWithAdd|ReplaceBranchR,AddRandomSubTreeR,MultXD,1,0,2,2,1
2,x*x*x*x,25,-10,-0.03840222715984838,0.01149662975894841,-0.03839960789439289,0.011669202905315834,244.49120000000002,244.24880000000002,244.892,242.77,-0.9599607894392891,0.3026168381350711,0.000038709162988631636,0.008221107222882579,6120.3099999999995,6080.9400000000005,6126.8,5975.96,((1)-(7)),(((9)*((2)+(5)))*((8)-(3))),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,AddRandomSubTreeR,DeleteNonTerminalR,1,2,3,3,1
3,x*x*x*x,25,-10,-0.046240955430662666,0.01142992512650074,-0.03840030845641093,0.011584620124353495,192.65900000000002,244.8204,244.78480000000002,243.4948,-0.9600000000000001,0.2910730623447916,0.000029278774597463672,0.0024124166084385124,6116.92,6104.18,6120.8,6074.88,((8)*((4)*(0))),((9)*(8)),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddTreeWithDiv,ReplaceBranchXR,AddTreeWithSub,1,2,4,4,1
4,x*x*x*x,25,-10,-0.03840108090445694,0.011445119218776258,-0.038400028754411196,0.011464000970928171,244.66660000000005,244.6902,244.8276,244.5284,-0.9600000000000001,0.28771215714099,0,0.0007486308010389295,6120.8,6110.78,6120.8,6103.68,((0)*((x)*(6))),((4)*(6)),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|SkipD,AddXD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddRandomSubTreeR,ReplaceBranchXR,AddRandomSubTreeR,3,4,5,5,1
5,x*x*x*x,25,-10,-0.038408468827604236,0.004860332816740322,-0.03840012808783166,0.011470512724760538,243.5361,318.8506,244.81239999999997,244.47259999999997,-0.9600000000000001,0.2875021005657525,0.000012939485034613174,0.0009466337895145043,6119.8099999999995,6113.799999999999,6120.8,6105.48,((0)+((0)*(0))),((3)*(7)),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR,AddXD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|AddRandomSubTreeR,AddRandomSubTreeR,AddTreeWithSub,5,4,6,6,1
6,x*x*x*x,25,-10,-0.03840829368709973,0.011400563885206418,-0.03839986929813097,0.011577104766883884,243.5629,245.072,244.852,243.55920000000003,-0.9599869298130964,0.2910730623447916,0.000009121704571320439,0.0025889701935995556,6120.82,6108.1,6122.8,6074.88,((1)-(3)),((9)*(8)),AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithMult,5,6,7,7,1
7,x*x*x*x,25,-10,-0.038400686184812446,0.01147116623410572,-0.0383992811397203,0.011725731463674217,244.727,244.46700000000004,244.942,242.28560000000002,-0.9600000000000001,0.2987658009223818,0.000019474578486444738,0.006507219292304031,6119.3099999999995,6092.540000000001,6120.8,6008.96,(((0)*((6)-(x)))*((0)*((x)*(x)))),((2)*((x)*(x))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,ReplaceBranchR,MutateNonTerminalR,7,6,8,8,1
8,x*x*x*x,25,-10,-0.03845096719383087,0.011445200907444409,-0.03837688406744217,0.011541348469854551,237.033,244.6895,248.36919999999998,243.86559999999997,-0.9581701738334859,0.2893926097428908,0.0009538596254726944,0.0017843293003150518,6182.24,6108.49,6400.8,6089.28,(((x)*(x))*((2)-(7))),((6)*(8)),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,ReplaceBranchR,8,6,9,9,1
9,x*x*x*x,25,-10,-0.03845657953208731,0.011448620161696885,-0.038400000000000004,0.011501437720559409,236.17419999999998,244.66019999999997,244.832,244.20759999999999,-0.9600000000000001,0.2885523834419405,0.00008730884851654297,0.0015288638474158956,6114.120000000001,6112.91,6120.8,6096.48,((4)-((5)*(0))),(((9)-(0))*((5)-(1))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|ReplaceBranchR,AddTreeWithMult|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,AddRandomSubTreeR,AddTreeWithMult,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03845009998692981,0.011469205706070169,-0.038400000000000004,0.011588447821946714,237.1657,244.4838,244.832,243.46200000000002,-0.9600000000000001,0.2951434919805068,0.00005993974033917215,0.004697851073013882,6114.99,6100.19,6120.8,6040,(((3)-((3)*(8)))-((0)*(x))),(((0)+(8))*((6)*(x))),AddRandomSubTreeR|AddTreeWithSub|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,AddTreeWithSub,DeleteNonTerminalR,10,10,11,11,1
