gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03842505315209341,-0.011456167611143266,-0.03839878185858058,-0.011355238344194035,240.9983666666667,511.530475,245.0184,510.6656,-0.9598977911384132,0.2912831189200292,0.00005943287356293467,0.0026978097065329045,6123.046666666667,6107.557500000001,6136.44,6073.08,(((5)+((8)-(x)))*((3)+(9))),((((5)+(3))*((0)+((1)*(5))))/((8)*((1)*((3)*(5))))),MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchR|DeleteTerminalR|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd,ReplaceBranchR,AddTreeWithDiv,0,0,1,1,2
1,x*x*x*x,25,-10,-0.03840044177231735,-0.03427939435437945,-0.03839875833224416,-0.034248931045428234,244.76440000000002,777.70184375,245.02200000000002,777.4408,-0.9599607894392891,0.2893926097428908,0.00003853282329434112,0.001995689990720266,6120.75,6114.134375,6126.8,6089.28,((1)-(7)),(((8)*((6)+(6)))/((2)-(0))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd,FellTreeD,SubXD,0,0,2,2,2
2,x*x*x*x,25,-10,-0.03840437981963143,-0.04571545658519583,-0.03840009933342047,-0.011421281687423368,244.1618,910.9970333333334,244.8168,511.23153333333335,-0.9600000000000001,0.2868625949922513,0.00008986394308649884,1.1429286107593846,6109.23,12781.435,6120.8,6110.96,((0)*(7)),(((7)*((5)+(1)))/((6)*((x)-(4)))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithDiv,0,0,3,3,2
3,x*x*x*x,25,-10,-0.038401757940138545,-0.01713950960741588,-0.0384004339302052,0.011458660865993241,244.56300000000002,577.8808145670996,244.7656,244.57415999999998,-0.9599607894392891,0.28775883637993177,0.00004237805294103949,0.001134637649375617,6119.5599999999995,6117.179801587301,6126.8,6103.28,((1)-(7)),(((4)*((7)+(7)))*((1)/((2)-(x)))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithDiv,3,0,4,4,2
4,x*x*x*x,25,-10,-0.038401247549339955,-0.028575564240857762,-0.03839941184158934,0.011463875381547212,244.6411,711.1759390476191,244.922,244.52947619047617,-0.9599934649065482,0.2913531377784418,0.000013906703433475342,1.1439856272251263,6119.450000000001,12767.877833333332,6121.8,6072.48,((4)-(5)),(((9)*((x)+(5)))+((8)/(8))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|SubXD|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithAdd,0,0,5,5,2
5,x*x*x*x,25,-10,-0.038401431185465955,-0.04571042076306911,-0.0383992811397203,0.011445912765838269,244.613,910.9538807692308,244.942,244.6834,-0.9599477192523854,0.28632111582052766,0.00006452503870576202,1.3198329581609043,6119.91,19442.6,6128.8,6115.6,((0)-(8)),((((0)*(x))+((0)*(9)))/((3)+((4)+(x)))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithDiv|AddTreeWithMult|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd,FellTreeD,DeleteMaliciousR,5,5,6,6,2
6,x*x*x*x,25,-10,-0.03840147758462946,-0.01711510161181189,-0.03840003921056071,0.01158247621359353,244.6059,577.6716595238095,244.82600000000002,243.51317142857144,-0.9600109789569992,0.2999421177437124,0.000013140576371720546,0.007057767531741449,6117.22,6089.59,6119.12,5998.88,((1)*(2)),(((8)*((9)*(x)))+((7)+(5))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithMult,3,6,7,7,2
7,x*x*x*x,25,-10,-0.03840191739641877,0.00011027253340233079,-0.03839986929813097,0.011838941955033225,244.5386,377.1180614285715,244.852,241.31548571428573,-0.9599934649065482,0.31368448568814544,0.000021466298196542722,0.013391780588070128,6118.6900000000005,6052.63,6121.8,5881.12,((x)-(3)),(((7)*((7)*(5)))+((9)+(6))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithMult,7,6,8,8,2
8,x*x*x*x,25,-10,-0.03840190236570382,0.011655094105345709,-0.03840029015814927,0.012065322926975002,244.5409,242.8909,244.78760000000003,239.37560000000002,-0.9599803947196446,0.315028847769666,0.000030425100630986817,0.0132498740855261,6119.290000000001,6022.46,6123.8,5869.6,((6)-(9)),(((8)*((1)+(7)))*((8)*(x))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|ReplaceBranchR,AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithMult,8,8,9,9,2
9,x*x*x*x,25,-10,-0.03840139785648935,0.01162067983643595,-0.03839955561364528,0.012140849935582652,244.61810000000003,243.18579999999997,244.9,238.7284,-0.9600078421121422,0.3186138133203877,0.000013529800590779975,0.015797743231048197,6117.45,6040.44,6119.6,5838.88,((4)-(x)),(((8)*((x)*(7)))+((5)*(4))),MutateTerminalR|MultXD|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchR,AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd,MutateTerminalR,AddTreeWithMult,9,8,10,10,2
10,x*x*x*x,25,-10,-0.03840214220363351,0.011552341430625317,-0.03840023787740165,0.011903486005564168,244.50419999999997,243.7714,244.7956,240.7624,-0.9599869298130964,0.3142072931642923,0.00001921154461053322,0.013304327420335646,6119.16,6040.7699999999995,6122.8,5876.64,((7)-(9)),(((7)*((6)*(5)))+((5)*(6))),FellTreeD|MultXD|AddTreeWithAdd|FellTreeD|MultXD,AddTreeWithMult|AddTreeWithMult|DeleteMaliciousR|MutateTerminalR|AddTreeWithAdd,FellTreeD,AddTreeWithMult,10,9,11,11,2
