gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03131565448820878,-0.011423623429243608,-0.019458649844091166,-0.011410459883862053,4867.4541,511.25160000000005,17297.5396,511.13880000000006,0.9103972035401713,0.2865311723957653,0.8244400410461297,0.00035476221595681645,467086.02,6118.360000000001,1707759.2,6113.8,((((x)*(6))+((4)*((x)*(7))))*((x)*((4)+((x)*(x))))),(9),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,FellTreeD|MutateTerminalR|DeleteTerminalR|MutateNonTerminalR|SkipD,AddToLeafR,SkipD,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03188088224146402,0.0026981557114943953,-0.015894656922985858,0.023245187370465114,2821.6077,652.7998,10005.4808,143.57399999999998,0.8322250670792732,0.2971180237877402,0.8421257657865068,0.037216979678019776,246739.58,6243,912055.2,6023.08,((((x)*(x))*((4)+((6)*(5))))*((3)*((x)+((x)*(x))))),((((2)*((4)*(x)))*((8)-((1)+(0))))+(((7)+(0))*((1)+((0)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,DeleteMaliciousR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithAdd|SubXD,AddRandomSubTreeR,DeleteMaliciousR,0,1,2,2,3
2,x*x*x*x,25,-10,-0.026622105284924938,0.009873881798522974,-0.007712480739752032,0.019896652164983104,4056.9772000000003,433.1676,12980.2032,172.268,0.8594192897680982,0.6814795451574958,0.8640159901896901,0.21660342377135722,295266.10000000003,4451.67,1088485.04,2729.44,((((x)*(x))*((6)*((6)*(6))))*((9)+((8)+((0)*(x))))),((((0)+((8)*(x)))*(((x)*(9))+((x)-(3))))+(((2)+(x))*((8)-((5)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,DeleteMaliciousR|DeleteMaliciousR|AddTreeWithSub|AddTreeWithAdd|SubXD,MultXD,DeleteMaliciousR,2,1,3,3,3
3,x*x*x*x,25,-10,-0.03134537707489217,0.000982114146877005,-0.01532313161678212,0.013802070691039456,1324.3304,457.02459999999996,3776.0544,224.4932,-0.056992288589726776,0.28398715387344325,0.43706400330132855,0.21225948071708883,46766.72,7461.72,144299.04,6135.6,((((x)*(2))*((4)+((7)*(x))))*((5)+((7)+((x)*(x))))),((((8)*((4)-(7)))*((x)*((7)-(9))))-(((9)+(0))+((2)*((0)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,MultXD,AddXD,3,1,4,4,3
4,x*x*x*x,25,-10,-0.023107053746415192,-0.0061156817188874535,-0.004541294271300495,0.012083387792445435,3477.0568,971.5501,8424.18,239.22079999999997,0.7288709649755576,0.301174449651773,0.8191877438384713,0.3117381720076512,226550.58,7724.59,564380.72,5988.32,((((x)*(x))*((x)*((1)-(2))))+((6)*((x)+((x)*(x))))),((((x)-((7)+(x)))*(((8)*(2))*((1)-(6))))+(((9)*(x))+((x)*((0)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddTreeWithAdd,AddXD,4,4,5,5,3
5,x*x*x*x,25,-10,-0.028622051753424547,0.007955850506833815,-0.017311006647732937,0.014557667531788564,1836.6103999999998,359.09270000000004,3854.0968,218.0184,0.39026333993197343,0.5691833000354763,0.4897329991085878,0.18717583728883969,110220.93999999999,5871.75,250960.8,3691.72,((((4)+(2))*((x)*((7)*(x))))*((x)+((2)+((2)*(x))))),((((x)*((x)*(x)))*(((7)+(1))+((0)-(1))))+(((7)-(1))*((x)*((0)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddToLeafR,AddXD,5,4,6,6,3
6,x*x*x*x,25,-10,-0.020884070099497984,0.006586319887312572,0.003969447936231097,0.015935451948391438,9201.606000000002,457.149,30637.1856,206.21200000000002,0.9403354316919845,0.5010036036372464,1.0051350300461697,0.1029237195113655,734162.5200000001,5594.76,2564671.2,4275.96,((((x)*(x))*((x)*((7)*(4))))*((6)+((9)+((x)*(x))))),((((2)+((7)+(0)))*(((x)*(0))*((4)*(2))))+(((x)*(x))+((9)-((0)-((0)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddRandomSubTreeR,AddToLeafR,5,4,7,7,3
7,x*x*x*x,25,-10,-0.025875642450301842,0.012881381051963332,0.005533626774403663,0.016069001251003606,14744.528900000001,232.38269999999997,57300.434400000006,205.06760000000003,0.971007304097934,0.4728700263270908,0.9549493270202126,0.08939421573171354,1326966.28,5647.93,5277881.04,4517.04,((((x)*(5))*((x)*((x)*(9))))+((6)*((x)+((x)*(x))))),((((x)*((5)+(5)))-(((8)-(8))*((0)*(1))))*(((x)+(x))*((x)+((4)+((3)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddRandomSubTreeR,AddToLeafR,7,6,8,8,3
8,x*x*x*x,25,-10,-0.024690248056154038,0.0012183644685933494,-0.0035059249131536023,0.014884655600575092,3420.8701,748.7383,9897.0108,215.2164,0.7826578027638451,0.3493754317829603,0.7809624092688621,0.030295266010400296,207685.16000000003,5954.4400000000005,704051.04,5575.28,((((x)*(4))+((6)*((x)*(7))))*((9)+((9)+((x)*(x))))),((((x)*((3)*(9)))-(((7)-(0))*((0)+(9))))+(((9)*(x))+((x)*((x)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddRandomSubTreeR,AddXD,8,8,9,9,3
9,x*x*x*x,25,-10,-0.02128953057163203,0.008730452133284206,-0.0002025144819418423,0.01595188304049891,3163.5624,389.4162,7290.628799999999,206.07119999999998,0.468188630038341,0.5216218234777901,0.6289831359512935,0.11763600290880877,129763.72,5611.280000000001,287733.6,4099.28,((((x)*(8))+((8)*((x)*(3))))-((0)*((x)+((x)*(x))))),((((x)*(x))*((9)-((5)*(4))))+(((6)+(0))+((x)+((2)-(x))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteNonTerminalR|AddTreeWithSub|AddToLeafR|SubXD,AddToLeafR,AddXD,9,9,10,10,3
10,x*x*x*x,25,-10,-0.014802923611674434,0.00008401997912308945,0.025119477730591307,0.02382788431017421,5675.043500000001,2745.1456,17138.9352,138.5808,0.6258689219958952,0.6972384562242098,0.7141545089448239,0.5815973563859227,170550.03,12449.769999999999,409001.04,2594.4,((((3)+(2))*((x)*((x)*(7))))*((3)*((7)+((x)*(x))))),((((0)-((2)*(x)))*(((0)-(3))+((8)*(x))))+(((4)+(3))+((0)*((x)+((x)-(x)))))),AddRandomSubTreeR|AddToLeafR|AddXD|AddTreeWithAdd|MultXD,AddXD|DeleteMaliciousR|AddTreeWithSub|AddToLeafR|SubXD,AddRandomSubTreeR,AddXD,10,9,11,11,3
