gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.039297484193242714,-0.008925542404743986,-0.03889440105868514,0.0051573661176576215,343.9967,371.56953333333337,541.3720000000001,213.26480000000004,-0.926960528035551,0.5091491308325709,0.028645758114421015,0.26968234683888026,16589.45,5472.280000000001,35764.8,3004.4,(((x)*((x)*(3)))-((x)*((5)*(x)))),((((x)*((5)+(4)))*((x)-((9)+(4))))*(((5)-(5))-((x)-((x)*(x))))),AddTreeWithSub|AddTreeWithSub|MutateTerminalR|AddTreeWithMult|ReplaceBranchXR,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|MultXD,AddTreeWithSub,SkipD,0,0,1,1,1
1,x*x*x*x,25,-10,-0.05208635411220755,-0.021900004054196644,-0.04934502516010979,0.001473010064043916,NaN,NaN,NaN,235.81599999999997,-0.959502516010979,0.06193961573650501,0.013999422865818756,0.0331965222910342,9547.64,6025.83,19830.16,5741.68,(((0)-((4)*(x)))*((x)*((x)*(7)))),(((0)+((7)*(x)))-((6)-((1)*(x)))),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|ReplaceBranchXR|DeleteMaliciousR,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|MultXD,DeleteMaliciousR,MultXD,1,1,2,2,1
2,x*x*x*x,25,-10,-0.039501998513266245,-0.0013497169422744442,-0.039481701738334866,0.007279440596000524,243.85340000000005,322.8295,253.792,200.276,-0.9870425434583715,0.36211606325970463,0.00022872827081427127,0.17898385719470294,6176.8,5534.49,6344.8,3904.36,(((4)-((8)*(x)))*((x)-(0))),((((8)+(5))-((0)-((5)*(x))))*(((8)-(8))*((0)-((x)*(x))))),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|ReplaceBranchXR|DeleteMaliciousR,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|MultXD,AddTreeWithMult,MultXD,2,2,3,3,1
3,x*x*x*x,25,-10,-0.03950001021108352,-0.00033956831921722383,-0.0395,0.0004459543012681195,244.827,246.955,244.832,242.10559999999998,-0.9875,0.027395111750098074,0,0.02722138692976245,6120.8,6160.719999999999,6120.8,5953.12,(0),((((x)*(0))*((3)-((8)-(2))))+((4)*((x)-((x)*(x))))),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|DivXD|FellTreeD,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|MultXD,AddTreeWithMult,SkipD,3,3,4,4,1
4,x*x*x*x,25,-10,-0.0395,-0.0002041273424261942,-0.0395,0.000016047580077378497,244.832,246.09740000000002,244.832,244.7416,-0.9875,0.007123251862501693,0,0.005385231174045128,6120.8,6113.48,6120.8,6077.2,(0),(((0)+((9)*(2)))-((3)-((9)*(x)))),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|DivXD|FellTreeD,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|MultXD,AddTreeWithMult,AddTreeWithSub,4,4,5,5,1
5,x*x*x*x,25,-10,-0.0395,-0.00018879686462171635,-0.0395,0.00026728532218010776,244.832,246.013,244.832,243.196,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|FellTreeD,AddTreeWithSub,SkipD,5,5,6,6,1
6,x*x*x*x,25,-10,-0.0395,-0.00004052294191030422,-0.0395,0.000012678081296562897,244.832,245.08180000000002,244.832,244.75440000000003,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|AddTreeWithSub|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddRandomSubTreeR|SubXD|AddTreeWithSub|FellTreeD,AddTreeWithSub,FellTreeD,6,6,7,7,1
7,x*x*x*x,25,-10,-0.0395,0,-0.0395,0,244.832,244.832,244.832,244.832,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|AddRandomSubTreeR|FellTreeD|AddTreeWithSub|FellTreeD,FellTreeD,FellTreeD,7,7,8,8,1
8,x*x*x*x,25,-10,-0.0395,0,-0.0395,0,244.832,244.832,244.832,244.832,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithSub|FellTreeD,AddTreeWithMult,FellTreeD,8,8,9,9,1
9,x*x*x*x,25,-10,-0.0395,0,-0.0395,0,244.832,244.832,244.832,244.832,-0.9875,0,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),AddTreeWithMult|ReplaceBranchR|MutateTerminalR|AddTreeWithSub|FellTreeD,SkipD|DeleteTerminalR|SubXD|AddTreeWithSub|FellTreeD,AddTreeWithSub,SkipD,9,9,10,10,1
