gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03949124317899621,-0.014871143420916982,-0.039463934453012675,0.0002459819848645244,249.11990000000003,443.8898,262.492,243.3264,-0.9838934453012679,0.01720036596523326,0.0018097706350419125,0.004473664876792685,6557.620000000001,6052.84,7886.8,6015.52,(((0)-((7)*(4)))*((9)*((7)-(x)))),(((0)+((4)*(7)))+((x)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|AddTreeWithMult|MutateNonTerminalR,FellTreeD|DeleteTerminalR|AddRandomSubTreeR|AddXD|MultXD,AddTreeWithMult,AddRandomSubTreeR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03951138168213306,-0.00011175255395282747,-0.039499959155665926,0,239.2588,245.52219999999997,244.852,244.832,-0.9874959155665927,0,0.000002042216703690425,0.004057768097904993,6122.3,6133.32,6122.8,6120.8,((0)*((0)-(x))),(((2)-(0))-((x)*(0))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,1,1,2,2,3
2,x*x*x*x,25,-10,-0.039499969366749446,-0.0000807808336514102,-0.03949991831133185,0,244.847,245.33020000000005,244.872,244.832,-0.9874959155665927,0,0.000002358148727238434,0,6121.8,6120.8,6122.8,6120.8,((0)-(x)),((0)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|MutateNonTerminalR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,2,2,3,3,3
3,x*x*x*x,25,-10,-0.03949991831133185,-0.00041265521810206885,-0.03949983662266371,0.00006012285975689631,244.872,247.7229,244.912,244.46400000000003,-0.9874959155665927,0.0009541236439681325,0.000002042216703690425,0.0005533592455199012,6122.3,6119.84,6122.8,6114.96,((0)*((0)-(x))),((3)+((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,3,3,4,4,3
4,x*x*x*x,25,-10,-0.039499959155665926,-0.00003864372849291445,-0.03949991831133185,0,244.852,245.07,244.872,244.832,-0.9874959155665927,0,0.000002358148727238434,0,6121.8,6120.8,6122.8,6120.8,((0)-(x)),(((0)-(0))*((3)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,4,4,5,5,3
5,x*x*x*x,25,-10,-0.03949999877466998,0.00013755072695276573,-0.03949987746699778,0.001651156711540977,244.8326,243.99519999999995,244.892,234.72560000000001,-0.9874959155665927,0.08161024702653255,0.000002042216703690425,0.04403507479597253,6122.3,6023.92,6122.8,5621.28,(((0)*(x))-((4)-(x))),((((0)+(9))*((x)-(0)))-((x)-((x)*(x)))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,5,5,6,6,3
6,x*x*x*x,25,-10,-0.039499959155665926,-0.00004153729542875866,-0.03949991831133185,0.000039275911645537956,244.852,245.08880000000002,244.872,244.5916,-0.9874959155665927,0.0012678081296562897,0.000002358148727238434,0.0006339040648281448,6121.8,6118.860000000001,6122.8,6113.04,(((x)*(x))*((0)-(x))),((4)-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|MutateNonTerminalR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|MultXD,DeleteNonTerminalR,MultXD,6,6,7,7,3
7,x*x*x*x,25,-10,-0.03949994894458241,-0.00010341329940944263,-0.039499877466997776,0.000006535093451836362,244.857,245.47060000000002,244.892,244.792,-0.9874959155665927,0.0003267546725918181,0.000002358148727238434,0.00459013590275102,6121.8,6134.3,6122.8,6118.8,((0)-(x)),(((1)-(0))-((0)*(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,7,7,8,8,3
8,x*x*x*x,25,-10,-0.03949993873349889,-0.000008278580694397101,-0.03949983662266371,0.00026127303620441784,244.862,244.88479999999998,244.912,243.2328,-0.9874959155665927,0.011802378774016433,0.000002358148727238434,0.006235501103518179,6121.8,6104.860000000001,6122.8,6048.56,((0)-(x)),(((0)-((x)-(x)))*((9)-(x))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|AddRandomSubTreeR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,8,8,9,9,3
9,x*x*x*x,25,-10,-0.03949994894458241,0.00000986522783514947,-0.03949983662266371,0.00046425303881845786,244.857,244.77419999999998,244.912,241.99040000000002,-0.9874959155665927,0.020690105868513973,0.000002358148727238434,0.010345052934256986,6121.8,6089.139999999999,6122.8,5994.16,((0)-(x)),(((x)+((8)-(0)))-((x)-((0)*(x)))),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,AddTreeWithMult|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.039499959155665926,-0.000044953770895941024,-0.039499877466997776,0.000022872827081427262,244.852,245.1097,244.892,244.692,-0.9874959155665927,0.001143641354071363,0.000002358148727238434,0.0005718206770356815,6121.8,6119.05,6122.8,6113.8,((0)-(x)),((0)+(9)),AddTreeWithMult|DeleteNonTerminalR|SubXD|ReplaceBranchXR|DeleteNonTerminalR,SubXD|MultXD|ReplaceBranchXR|DeleteMaliciousR|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,10,10,11,11,3
