gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04963283190105869,0.00004242324287985684,-0.04962491831133185,0.000281009018428965,179.78900000000002,244.5744,183.66400000000002,243.112,-0.9875,0.022127826427918003,0.000005595673768121756,0.010560207404422175,6119.43,6079.200000000001,6120.8,5985.36,(((9)*((0)*(x)))*((x)*(0))),(((x)-((1)-(7)))+((x)+((7)*(x)))),DeleteMaliciousR|MultXD|AddTreeWithDiv|ReplaceBranchR|DeleteMaliciousR,ReplaceBranchR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|MultXD,DeleteMaliciousR,ReplaceBranchR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.04946281164226898,-0.004889262841458632,-0.04900724905241145,0.00036518102208861654,263.0418,310.7697,486.11440000000005,242.5968,-0.925724905241145,0.036518102208861654,0.030063101622226432,0.016984466491007367,14490.64,6053.02,36369.84,5897.28,(((x)*((6)+(2)))*((x)*((9)*(x)))),((4)*((x)*(x))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,ReplaceBranchR|AddTreeWithAdd|FellTreeD|ReplaceBranchR|MultXD,MutateTerminalR,ReplaceBranchR,1,1,2,2,1
2,x*x*x*x,25,-10,-0.03942177186805647,0.0002121944843811272,-0.03908221882760423,0.00102287282708143,283.1375,243.5332,449.4044,238.57120000000003,-0.9521225983531564,0.03240099333420478,0.01875544636915382,0.014888522065962459,9794.119999999999,6042.62,23443.84,5922.48,(((x)*((x)*(1)))+((6)*((7)*(x)))),((((9)-(4))*((2)*(6)))-((0)-((9)*(x)))),AddToLeafR|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,DeleteNonTerminalR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|MultXD,MultXD,DeleteNonTerminalR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.03925663720428702,0.0016315024700638112,-0.03867129786955953,0.012062148738726965,363.99799999999993,235.43329999999997,650.6175999999999,171.002,-0.9125000000000001,0.45854136714155014,0.03537863890983121,0.2363078016295457,18159.78,5455.22,42845.6,3314.16,(((x)*((x)*(3)))-((9)*((x)*(x)))),((((1)*(5))*((7)-(5)))*((x)*((x)*(x)))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,AddTreeWithSub,ReplaceBranchR,3,3,4,4,1
4,x*x*x*x,25,-10,-0.03938662552280747,-0.004129306537585706,-0.03891874264801987,0.0012036335119592213,300.3474,339.3186,529.4528,237.46480000000003,-0.944088517840805,0.05143118546595219,0.021816834462798165,0.025493350415326722,11355.06,5979.66,27377.84,5806,(((8)*((7)*(x)))*((x)*(x))),((((3)*(2))-((5)+(6)))*((1)*((x)*((1)*(x))))),AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|ReplaceBranchR|MultXD,ReplaceBranchR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|MultXD,MultXD,ReplaceBranchR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.03834216656727879,-0.004671011419799202,-0.03521672534635996,0.005861456018821072,811.7813500000001,2301.2352,2342.1973999999996,208.95519999999996,-0.5625,0.5524245196706313,0.20700618952098992,0.3128048832642989,62738.2,5581.18,214228,2739.52,(((x)*((9)*(4)))*((x)*((x)*(x)))),((((x)*(9))-((4)-((0)*(0))))*(((0)+(8))*((3)+((0)*(x))))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,AddToLeafR|MutateTerminalR|AddTreeWithSub|ReplaceBranchR|MultXD,MutateTerminalR,AddToLeafR,5,5,6,6,1
6,x*x*x*x,25,-10,-0.03755608703110704,-0.0009771610840148064,-0.03292517154620311,0.008308325709057643,1196.6961999999999,322.5965,3464.2888000000003,193.9784,-0.33749999999999997,0.3780420860018298,0.30664122144811284,0.18363088497842028,100729.06,5491.96,324402.4,3806.88,(((x)*((6)*(9)))*((x)*((x)*(x)))),((((x)*(0))+((5)-(3)))+((8)*((8)+((9)*(x))))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,AddTreeWithSub,ReplaceBranchXR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.03907491912821853,-0.008883376183971368,-0.03816851391974905,0.000986872283270865,452.9788,1126.5426,896.8128,238.796,-0.8844067768919096,0.012455888119200068,0.048634092911185145,0.03420221556291123,23326.48,6183.84,56601.84,6044.56,(((4)*((9)*(3)))*((x)*((x)*(x)))),((9)*((5)*(x))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,MutateTerminalR,MultXD,7,7,8,8,1
8,x*x*x*x,25,-10,-0.03619636607959744,-0.006360923018597246,-0.028999999999999998,0.003972552607502288,1862.5026,3232.7652000000003,5386.304,220.5168,0,0.20227421252123903,0.4663741490460771,0.09571900012594325,160630.32,5738.36,489664,4882.72,(((x)*((x)*(x)))*((9)*((9)*(x)))),((((4)+(0))*((x)*((x)*(x))))*((7)-((4)+((5)*(x))))),AddTreeWithSub|DeleteTerminalR|MutateTerminalR|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,AddTreeWithSub,MultXD,8,8,9,9,1
9,x*x*x*x,25,-10,-0.03455466492998884,-0.002682965461914104,-0.01969585551135518,0.0015115671154097515,14574.249200000002,512.0844000000001,57573.667199999996,235.58,0.9141002415713178,0.01373676643576002,0.9505955124636736,0.003944784641024486,1429844,6135.0599999999995,5700411.84,6036.72,((((x)*(x))*((x)*(9)))*((9)*((x)*(x)))),(((x)-(5))-((x)*(x))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|MultXD,AddTreeWithSub,MultXD,9,9,10,10,1
10,x*x*x*x,25,-10,-0.039374409390929295,-0.010386457058004325,-0.03911871814141942,0.0055103907985884215,306.32919999999996,5884.214099999999,431.53200000000004,211.10399999999998,-0.9685849888903412,0.199921578878578,0.008507518023531835,0.1216517619233967,11214.64,5878.45,15382.8,4897.12,((((x)-(6))*((6)*(8)))-((2)*((x)*(x)))),((((8)-(2))*((6)*(1)))*((x)-((1)+((4)*(x))))),AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchR|DeleteNonTerminalR,AddTreeWithSub,ReplaceBranchXR,10,10,11,11,1
