gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03949996364854268,-0.024984223717577105,-0.03949943634818978,-0.019889098396784936,244.84979999999996,577.8132,245.108,510.6152,-0.9874395503855705,0.00977649980394722,0.000032150173329557334,0.005341255004160876,6127.66,6108.98,6150.4,6060.96,(((8)+((6)*(x)))-((x)*(x))),(((4)+(x))-((2)*(x))),MutateNonTerminalR|AddTreeWithSub|AddTreeWithSub|DeleteNonTerminalR|AddRandomSubTreeR,FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithAdd|MultXD,AddTreeWithSub,FellTreeD,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03946716707783296,0.00012756643819402725,-0.03940455822768265,0.0004402038949156982,260.9091,244.0514,291.5664,242.1376,-0.979099464122337,0.011606325970461372,0.004005439050592124,0.0018723242326816126,7639.16,6062.76,10234.24,6049.76,((((2)-(x))*((6)-(0)))+((3)-((9)*((x)*(x))))),(((8)-(0))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR,FellTreeD|FellTreeD|FellTreeD|AddXD|DeleteNonTerminalR,AddTreeWithSub,FellTreeD,1,1,2,2,3
2,x*x*x*x,25,-10,-0.03947223851457326,0.0002747776287448135,-0.03941163573389099,0.0003585152267677451,258.4258,243.1502,288.1008,242.6376,-0.9789177885243758,0.011893870082342207,0.003976373059634326,0.0017288749984713597,7429.4400000000005,6060.280000000001,10323.2,6048,((((2)-(x))-((7)-(3)))-((0)*((x)*((x)*(x))))),(((9)-(0))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|DeleteMaliciousR,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,FellTreeD,2,2,3,3,3
3,x*x*x*x,25,-10,-0.04957426541465168,0.0003578617174225601,-0.04946139393543328,0.0004130179061560598,208.4669,242.6416,263.736,242.30399999999997,-0.9800829956868383,0.010717553261011691,0.004714497804692914,0.0014159905348288698,7601.17,6063.08,9752.64,6055.2,((((x)-(5))-((x)-((8)*(2))))-((9)*((x)*((x)-(x))))),(((5)-(0))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|AddTreeWithMult,AddTreeWithSub,FellTreeD,3,3,4,4,3
4,x*x*x*x,25,-10,-0.03944141329564763,0.00041275650241798543,-0.03930878234871259,0.000584368056463208,273.5198,242.30560000000003,338.46439999999996,241.2552,-0.9783467847340217,0.016193961573650485,0.004050913454816044,0.0032528292260651038,8102.959999999999,6049.34,10602.8,6021.68,((((0)-(4))*((x)*((9)-(1))))-((9)-((3)*((x)-(x))))),(((x)-(6))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,FellTreeD,4,4,5,5,3
5,x*x*x*x,25,-10,-0.039435758806038425,0.00033900797281401234,-0.03911940677689191,0.00042242844072670456,276.28860000000003,242.757,431.1948,242.2464,-0.9756494249117763,0.010717553261011691,0.006322315262948767,0.0009533176070479995,7509.88,6064.96,11923.6,6055.2,((((x)*(x))*((5)-((9)-(2))))-((x)-((7)*((x)-(x))))),(((9)-(4))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,FellTreeD,5,5,6,6,3
6,x*x*x*x,25,-10,-0.039458479283753754,0.00036357992419291696,-0.0393112207554568,0.0004974513135537861,265.1632,242.60660000000004,337.27039999999994,241.7872,-0.9789141942229773,0.015096065873742083,0.004316556211279045,0.003155602129902464,7670.78,6057.26,10324.96,6028.4,((((x)*(5))-((4)-((x)-(8))))-((3)*((x)*((x)-(x))))),(((x)-(9))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,FellTreeD,6,6,7,7,3
7,x*x*x*x,25,-10,-0.039517139099464124,0.00031691935694680553,-0.03940382711410274,0.00042242844072670456,236.43960000000004,242.89219999999997,291.9244,242.2464,-0.9811344922232388,0.011031237746699849,0.003625667308110786,0.001382621511915198,7272.9800000000005,6063.5599999999995,9237.76,6053.28,((((x)*(x))*((x)*((5)-(2))))-((1)-((9)-((4)-(x))))),(((9)-(3))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,FellTreeD|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,FellTreeD,7,7,8,8,3
8,x*x*x*x,25,-10,-0.03944511910207816,0.000328421121422037,-0.039282278460331985,0.00046137759769964803,271.7052,242.8218,351.44239999999996,242.00800000000004,-0.9789141942229773,0.011893870082342207,0.0038626435804639076,0.001589841976163637,7729.34,6061.2,10324.96,6048,((((x)*(3))-((8)-((7)-(x))))-((4)*((x)*((x)-(x))))),(((9)-(0))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddRandomSubTreeR|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,8,8,9,9,3
9,x*x*x*x,25,-10,-0.039511919193569466,0.0003640373807345455,-0.039390427721866426,0.0005032021957914013,238.99559999999997,242.6038,298.4856,241.752,-0.981091523983793,0.015096065873742083,0.004470063024526649,0.003378660168441207,6725.879999999999,6058.38,9258.8,6028.4,((((9)-(2))-((0)*((x)*(x))))*((1)-((6)-((3)-(x))))),(((x)-(9))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithSub,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03946583493987714,-0.0020752248641762185,-0.039396448176708926,0.0006020781597176846,261.56140000000005,308.2289,295.5376,241.1468,-0.9830357142857143,0.017605541759247192,0.001600889859490344,0.004725812513288039,7536.32,6053.66,8306.8,6013.04,((((x)*(x))*((6)-((9)*(9))))-((2)-((9)-((3)-(x))))),(((x)-(2))+((x)*(x))),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|SubXD,AddTreeWithAdd|FellTreeD|AddTreeWithSub|AddXD|MultXD,AddTreeWithSub,AddTreeWithAdd,10,10,11,11,3
