gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03952723336818717,-0.0050364724829912765,-0.039499632400993336,0.0000737028475105063,231.4968,311.67588666666666,245.012,244.38088,-0.9874857044830742,0,0.000015224859070840047,0,6117.21,6120.8,6127.8,6120.8,((x)-(9)),(0),DeleteMaliciousR|DeleteMaliciousR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteTerminalR|MultXD|AddTreeWithAdd|FellTreeD,DeleteMaliciousR,AddToLeafR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.03950905335086917,-0.004985674530562454,-0.03950004574565416,0.00003943928898183297,240.3989,311.3598166666667,244.8096,244.59060000000002,-0.9874877466997778,0.0022088615867207613,0.000012682960448568988,0.0010423695987002378,6118.63,6116.4400000000005,6126.8,6107.28,((x)-(8)),((9)-((2)*(x))),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchR,DeleteNonTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,DeleteNonTerminalR,1,1,2,2,4
2,x*x*x*x,25,-10,-0.03950014989870605,-0.0001473301150978406,-0.039499714089661485,0.00020193438766174414,244.7586,245.7938,244.972,243.59599999999998,-0.9874938733498889,0,0.000003537223090868334,0,6121.3,6120.8,6123.8,6120.8,((x)-(5)),(0),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD,FellTreeD,AddToLeafR,2,2,3,3,4
3,x*x*x*x,25,-10,-0.03950043621748791,0.000023828620696301695,-0.03949983662266371,0.00008717814664749802,244.6184,244.68619999999999,244.912,244.29840000000002,-0.9874857044830742,0.007450006535093511,0.000012143618813789605,0.0033233076021269496,6119.26,6104.5599999999995,6127.8,6075.2,((x)-(9)),((x)-((5)*(x))),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MultXD,AddToLeafR,3,3,4,4,4
4,x*x*x*x,25,-10,-0.039500359225918186,0.00004310031822993691,-0.03949999428179323,0.00019265455496013904,244.6561,244.5682,244.83480000000003,243.65279999999998,-0.9874918311331853,0.0071101816755980325,0.000007027599730063769,0.003460351204211299,6119.82,6107.54,6124.8,6077.28,((x)-(6)),((x)-((6)*(x))),MutateNonTerminalR|SubXD|FellTreeD|ReplaceBranchXR|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,ReplaceBranchXR,MultXD,4,4,5,5,4
5,x*x*x*x,25,-10,-0.039500939215462036,0.00005865875080893192,-0.03949996324009933,0.00028767481374983794,244.3721,244.4732,244.85,243.07119999999998,-0.9874938733498889,0.010717553261011691,0.000006690621087982481,0.0057639977144832155,6119.73,6093.24,6123.8,6055.2,((x)-(5)),(((x)+(6))-((1)*(x))),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,AddToLeafR,5,5,6,6,4
6,x*x*x*x,25,-10,-0.03950015153247941,-0.019995811673031157,-0.039499714089661485,0.00019265455496013904,244.75779999999997,511.26919999999996,244.972,243.65279999999998,-0.9874877466997778,0.0025225460724089188,0.000009248603992007998,0.0011457971088354882,6120.110000000001,6119.42,6126.8,6105.36,((x)-(8)),((9)-((1)*(x))),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,AddToLeafR,6,6,7,7,4
7,x*x*x*x,25,-10,-0.03950049033623056,-0.00000736338606560338,-0.03949987583322441,0.00015540452228466996,244.5919,244.87800000000004,244.89280000000002,243.8808,-0.9874918311331853,0.007450006535093511,0.00000928484939796241,0.002130997017483945,6118.950000000001,6118.98,6124.8,6075.2,((x)-(6)),(((x)-(5))-((0)*(x))),MutateNonTerminalR|SubXD|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,DeleteNonTerminalR,7,7,8,8,4
8,x*x*x*x,25,-10,-0.03950030776205724,0.00008800146865440553,-0.03949979496144295,0.0002861063913213972,244.68130000000005,244.29339999999996,244.93240000000003,243.0808,-0.9874857044830742,0.008809305973075427,0.000011257709159642787,0.004447936503720998,6119.77,6097.52,6127.8,6066.88,((x)-(9)),(((x)-(7))-((6)*(x))),MutateNonTerminalR|DeleteNonTerminalR|DivXD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,AddToLeafR,8,8,9,9,4
9,x*x*x*x,25,-10,-0.03950026119951641,0.00003984753618672886,-0.039499795778329634,0.00023382564370670632,244.7041,244.5896,244.93200000000002,243.40079999999998,-0.9874979577832963,0.012691151483466261,0.000006018917672680646,0.005994197281754213,6118.83,6088,6121.8,6043.12,((x)-(3)),(((x)-(8))-((x)*(x))),MutateNonTerminalR|AddRandomSubTreeR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddToLeafR,MutateNonTerminalR,AddToLeafR,9,9,10,10,4
10,x*x*x*x,25,-10,-0.03950038638740034,-0.00010887312447273437,-0.03949975493399555,0.0002333028362305584,244.6428,245.53019999999998,244.952,243.40400000000002,-0.9874857044830742,0.00812965625408447,0.00001010950213303607,0.004530708169066971,6121.9400000000005,6112.46,6127.8,6071.04,((x)-(9)),(((x)-(5))-((2)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,MutateNonTerminalR,DeleteNonTerminalR,10,10,11,11,4
11,x*x*x*x,25,-10,-0.039500644115148344,-0.000015562869871659883,-0.039499996732453274,0.0002135668540060142,244.51660000000004,244.93300000000002,244.83360000000002,243.5248,-0.9875,0.008469481113579948,0.0000052158816985199645,0.0044277447250120365,6118.59,6109.38,6120.8,6068.96,((x)*(0)),(((x)-(2))+((0)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|DeleteMaliciousR|ReplaceBranchXR,AddToLeafR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|MultXD,DeleteMaliciousR,AddToLeafR,11,11,12,12,4
12,x*x*x*x,25,-10,-0.03950025057998954,0.0000696922640262958,-0.03949983498889034,0.0003654424258266898,244.7093,244.4062,244.91280000000003,242.5952,-0.9874959155665927,0.008809305973075427,0.000002042216703690425,0.00398879891786911,6121.3,6102.96,6122.8,6066.88,((x)-(4)),(((6)+((0)+(x)))-((7)*(x))),MutateNonTerminalR|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchXR,AddToLeafR|ReplaceBranchR|ReplaceBranchR|AddTreeWithSub|MultXD,DeleteNonTerminalR,ReplaceBranchR,12,12,13,13,4
