gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03950426700758071,-0.019973200712361035,-0.03949416416154752,-0.019810809044569336,242.7426,511.135,247.68960000000004,510.13599999999997,-0.9874959155665927,0.006914128872042971,0.00000776042347400141,0.0035148803049266544,6120.9,6110.719999999999,6122.8,6078.48,((((x)*(4))*((6)*(6)))*((x)*((0)-(x)))),((9)*((7)+(3))),DeleteTerminalR|ReplaceBranchXR|SubXD|AddTreeWithMult|AddRandomSubTreeR,ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|DeleteMaliciousR|AddTreeWithMult,DeleteTerminalR,AddTreeWithMult,0,0,1,1,1
1,x*x*x*x,25,-10,-0.039446544160894,-0.0001606193140638501,-0.03924255816233172,0.0009750359430139854,271.00739999999996,246.7312,370.892,238.86399999999998,-0.9617680695333943,0.07124558881192,0.012814654320690764,0.033059241294573626,9308.74,5985.26,18720.8,5684.72,((((5)*(5))*((x)*(x)))*((2)-((3)*(9)))),(((x)*(8))-((4)*(x))),DeleteTerminalR|AddTreeWithSub|SkipD|AddTreeWithMult|AddRandomSubTreeR,ReplaceBranchXR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithSub,ReplaceBranchXR,1,1,2,2,1
2,x*x*x*x,25,-10,-0.03949703735622794,0.00009759831738418809,-0.03947232796366488,0.0004552999607894398,246.28270000000003,244.26629999999997,258.382,242.0452,-0.9847552607502288,0.01827212129133449,0.0013723696248856276,0.005200861514615205,6456.8,6052.32,7464.8,6008.96,((((4)*(8))*((7)*(1)))-((2)*((1)*(6)))),((x)+((x)*(x))),DeleteTerminalR|AddTreeWithSub|SkipD|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|ReplaceBranchXR|ReplaceBranchXR|MultXD,SkipD,ReplaceBranchXR,1,0,3,3,1
3,x*x*x*x,25,-10,-0.03899425544863416,0.0002874858559299151,-0.037427071624624234,0.0007285322180107176,492.4769,243.0724,1259.8704,240.37279999999998,-0.8850297346752058,0.054554960135929954,0.05047997525351602,0.024442791789858552,19257.36,6000.16,56296.8,5786.88,((((x)*(1))-((9)*(x)))*((8)*((6)+(8)))),((x)*((6)*(x))),DeleteTerminalR|AddTreeWithSub|SkipD|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|ReplaceBranchXR|ReplaceBranchXR|MultXD,DeleteTerminalR,ReplaceBranchXR,1,0,4,4,1
4,x*x*x*x,25,-10,-0.03950416857273559,0.00027251339694157694,-0.039493342373545945,0.00045667233041432565,242.79080000000002,243.164,248.092,242.0368,-0.9868383217880016,0.027395111750098074,0.0003308391059992366,0.007929065987063715,6201.8,6018.12,6444.8,5953.12,(((3)-((9)*(3)))*((3)*(6))),((x)*((3)*(x))),DeleteTerminalR|AddTreeWithSub|SkipD|AddTreeWithMult|AddRandomSubTreeR,DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,DeleteTerminalR,1,3,5,5,1
5,x*x*x*x,25,-10,-0.039338788026075024,0.0008211998431577583,-0.03883186674944452,0.002272382695072541,323.77170000000007,239.80559999999997,571.9928000000001,230.9232,-0.9229520650895309,0.054554960135929954,0.03227531554341372,0.022158558241156156,14021.51,5952.639999999999,37727.6,5786.88,((((x)*(x))*((4)*(x)))*((x)-((4)-(x)))),((x)*((6)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithSub,FellTreeD,4,5,6,6,1
6,x*x*x*x,25,-10,-0.03949465286400471,0.0007055286890602541,-0.03944824205986146,0.0015035943013985095,247.4503,240.5136,270.176,235.6288,-0.9824558881192001,0.0635733890994641,0.0024084666796234193,0.02705267588428244,7037.88,5899.64,8590.72,5731.68,(((5)-((1)*(x)))*((8)*((6)*(9)))),((x)*((7)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|AddXD|ReplaceBranchXR|MultXD,AddTreeWithMult,AddTreeWithMult,6,6,7,7,1
7,x*x*x*x,25,-10,-0.03950491010162071,0.0007286629198797553,-0.03948708502156581,0.0015665926022742154,242.42770000000004,240.37199999999996,251.15599999999998,235.24319999999997,-0.9874746765128741,0.0725918180629984,0.00001266174356295835,0.03703957450953021,6123.9,5898.4400000000005,6133.2,5676.48,(((6)*(8))-((9)*(x))),((x)*((8)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|SubXD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddRandomSubTreeR,MultXD,7,7,8,8,1
8,x*x*x*x,25,-10,-0.03950580806430532,0.0010561364527512758,-0.03939898787740165,0.0022966932427133727,241.988,238.3676,294.294,230.77439999999999,-0.9792347405567899,0.08161024702653255,0.004167430776601269,0.041201773579386605,7107.84,5839.68,10168,5621.28,((((4)+(1))*((7)*(6)))*((x)*((3)+(7)))),((x)*((9)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|SubXD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,ReplaceBranchXR,7,7,9,9,1
9,x*x*x*x,25,-10,-0.03923000281825905,0.00043072800941053584,-0.038349781074369364,0.000926153443994251,377.0399,242.19559999999998,808.0527999999999,239.1632,-0.8798158737419945,0.05228074761469089,0.054704898650506484,0.024031382489504295,18704.399999999998,6019.16,58849.84,5800.8,(((x)*((7)*(8)))*((2)*((x)*(x)))),((x)*((x)*(x))),DeleteTerminalR|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,DeleteTerminalR,AddTreeWithMult,9,8,10,10,1
10,x*x*x*x,25,-10,-0.04201598075414978,0.0005547711781100228,-0.03938735132662397,0.0014944451705659395,237.0068,241.4364,299.99199999999996,235.6848,-0.9817817932296432,0.0635733890994641,0.0028812572175276924,0.02751665593129027,6805,5983.84,8920.8,5731.68,((((5)*(7))*((2)-(4)))-((8)*((2)*(4)))),((x)*((7)*(x))),DeleteTerminalR|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddRandomSubTreeR,AddTreeWithMult|FellTreeD|ReplaceBranchR|ReplaceBranchXR|MultXD,AddTreeWithMult,ReplaceBranchR,10,8,11,11,1
