gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04959937196163537,-0.027928408855990752,-0.04950330961639002,-0.019736411673544074,196.17312777777778,650.9982071428572,243.21140000000003,509.68062857142854,-0.9754419356946804,0.0075022872827081545,0.006311001366331072,0.003009982862564134,7417.26,6102.210000000001,12025.2,6074.88,((((x)*(6))*((6)*(x)))*((9)+((0)+(x)))),((9)+((9)*(4))),SkipD|AddTreeWithAdd|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,AddToLeafR|AddToLeafR|FellTreeD|AddTreeWithMult|AddTreeWithAdd,SkipD,AddToLeafR,0,0,1,1,2
1,x*x*x*x,25,-10,-0.03951600199320351,-0.02805638256277303,-0.03941317638217226,0.007542116114027015,236.9964,632.6290555555555,287.3464,198.6682222222222,-0.9827927721866423,0.0003267546725918181,0.0034804548760457147,0.0029330243884351207,6231.700000000001,6130.469999999999,8425.76,6118.8,((((x)+(7))+((x)*(x)))*((x)*((x)+(0)))),((((9)+(0))*((0)*(x)))*((8)+((7)+((0)+(x))))),SkipD|AddTreeWithAdd|AddToLeafR|AddXD|DeleteMaliciousR,DeleteMaliciousR|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,AddTreeWithAdd,DeleteMaliciousR,1,1,2,2,2
2,x*x*x*x,25,-10,-0.03955847560776369,-0.023201632183518135,-0.03949330152921186,0.006062106238774689,216.1986,566.9034666666666,248.112,207.72706666666664,-0.9868178996209646,0.600477061821984,0.0005083109785029783,0.2851987900421777,6134.8,5026.370000000001,6454.8,2445.4,((((x)*(x))*((0)+(2)))*((1)-((4)+(x)))),((((x)*(8))+((6)*(9)))*((x)*((0)+((x)-(x))))),SkipD|AddTreeWithAdd|AddToLeafR|AddXD|DeleteMaliciousR,DeleteMaliciousR|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,AddToLeafR,DeleteMaliciousR,2,2,3,3,2
3,x*x*x*x,25,-10,-0.03954495735851522,0.00020728289076378986,-0.039467687230427394,0.0010154228205463344,222.81799999999998,243.56330000000003,260.6544,238.6168,-0.9864836295909032,0.04520977649980399,0.0005149622021873928,0.022552514858448846,6240.48,6051.120000000001,6618.48,5844.08,(((5)*((9)*(x)))*((1)-((5)+(0)))),((((0)+(1))-((0)*(x)))*((5)*((x)-(x)))),DivXD|AddTreeWithAdd|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,SubXD|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,DivXD,SubXD,3,3,4,4,2
4,x*x*x*x,25,-10,-0.03951032830675729,0.0002864047212026598,-0.03939325578355771,0.0013425042478107457,239.7746,243.08619999999996,297.1008,236.61480000000003,-0.9773256763821723,0.06623317213436161,0.0050892040256175775,0.034519973322956095,7364.799999999999,5905.83,11102.8,5715.4,((((x)*(7))+((x)*(0)))-((7)*((x)+(x)))),((((x)*(x))+((6)-((1)*(3))))+((4)+((0)-((0)-(x))))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,SubXD|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR,SubXD,4,3,5,5,2
5,x*x*x*x,25,-10,-0.03955878051071755,-0.0013131212399481495,-0.03950008168866815,0.0036538371671936327,216.04930000000002,331.5901,244.792,222.46759999999998,-0.9875,0.3462227159848386,0.000002042216703690425,0.17339445336158515,6119.3,5593.61,6120.8,4001.64,(((x)*((0)*(x)))*((3)+((9)+(0)))),((((8)*(3))*((x)*(x)))+((0)+((x)-((x)-(0))))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,SubXD|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR,SubXD,4,3,6,6,2
6,x*x*x*x,25,-10,-0.039524780053261016,-0.000020274325011156584,-0.039499611978826295,0.000020781597176840045,232.69809999999998,244.95669999999998,245.02200000000002,244.70480000000003,-0.9874673245327409,0.0006404391582799753,0.000019335381614397648,0.00045589426535899626,6126.9,6120.82,6136.8,6116.88,(((x)*((1)-(6)))*((x)*((x)+(0)))),(((3)+((0)*(0)))*((x)+((0)-(x)))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,DeleteMaliciousR|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,DeleteMaliciousR,SubXD,4,6,7,7,2
7,x*x*x*x,25,-10,-0.03950542596556006,-0.0000034626653920390683,-0.03949997957783296,0.00025029407920533383,242.1751,244.85510000000002,244.842,243.29999999999995,-0.9874938733498889,0.009149130832570905,0.00000603920922214435,0.00570397141058443,6120.07,6114.35,6123.8,6064.8,(((3)-(8))+((0)+(x))),(((9)*((0)+(0)))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,DeleteMaliciousR|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR,SkipD,4,6,8,8,2
8,x*x*x*x,25,-10,-0.039501102184354986,0.0001482955259226366,-0.03949436348189779,0.0006411580185596664,244.29230000000004,243.92440000000002,247.592,240.90760000000003,-0.9871569075937786,0.0633446608286499,0.0001692977939491072,0.032002090760704635,6164.55,6026.870000000001,6288.8,5733.08,(((x)*((x)-(0)))*((0)-(3))),((((x)*(x))*((7)+(1)))-((0)*((0)-(x)))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,DeleteMaliciousR|SkipD|AddXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR,DeleteTerminalR,4,8,9,9,2
9,x*x*x*x,25,-10,-0.03950290505326101,0.000023052997968051414,-0.03949985704483074,0.0001267154620311077,243.4095,244.69099999999997,244.90200000000002,244.0564,-0.9874857044830742,0.011325316952032516,0.000007147758462944243,0.005684878500489851,6122.55,6102.16,6127.8,6051.48,((0)-(7)),(((3)+((0)+(0)))+((x)*(x))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,DeleteMaliciousR|SkipD|SubXD|MutateNonTerminalR|DeleteTerminalR,ReplaceBranchR,SkipD,9,9,10,10,2
10,x*x*x*x,25,-10,-0.03950026691772317,-0.0000070873316397116695,-0.0395,0.000008887727094498284,244.70129999999997,244.8754,244.832,244.77759999999998,-0.9875,0.00044438635472491417,0.000005595673768121756,0.00036513293788237246,6119.43,6121.120000000001,6120.8,6118.08,(((x)*(x))*((9)*(0))),(((0)+(6))+((0)-(x))),ReplaceBranchR|DeleteMaliciousR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR,DeleteMaliciousR|SkipD|AddXD|MutateNonTerminalR|DeleteTerminalR,DeleteMaliciousR,DeleteMaliciousR,9,8,11,11,2
