gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05721884292086002,-0.0399876521038814,-0.04962479577832963,-0.019673452272034157,NaN,NaN,NaN,509.29526666666663,-0.9875,0.03183897529734677,0,1.0017044065000371,6120.8,NaN,6120.8,5925.92,(0),((((x)*(9))*((9)-(1)))*((6)-((6)+(8)))),ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|DeleteMaliciousR|FellTreeD,AddTreeWithSub|AddToLeafR|ReplaceBranchXR|ReplaceBranchR|DeleteNonTerminalR,ReplaceBranchR,AddTreeWithSub,0,0,1,1,0
1,x*x*x*x,25,-10,-0.039504890904783686,0.00005464712365081147,-0.03949610345052935,0.00019173964187688128,242.4371,244.4989,246.74,243.6584,-0.9870997255260751,0.011691282185335316,0.00030363644893442715,0.0046529999230037235,6141.75,6085.57,6316.8,6049.24,(((5)+((2)*(7)))*((1)*((x)-(6)))),((((7)+(3))+((7)*(7)))+((5)-((5)*(0)))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,0,1,2,2,0
2,x*x*x*x,25,-10,-0.03950147693112012,0.00003741894819978756,-0.03949896255391452,0.0004109920271859894,244.10879999999997,244.6121,245.34,242.3164,-0.9874897889164815,0.038857665664619026,0.00002068357238817256,0.01881559111658984,6116.1900000000005,6055.41,6125.8,5882.96,((x)-(7)),(((x)*(8))+((x)*(4))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,2,1,3,3,0
3,x*x*x*x,25,-10,-0.03951276140373808,-0.0004890668242181821,-0.03949725362697686,0.0002734936609593511,238.5832,248.77660000000003,246.17680000000001,243.15800000000002,-0.9875,0.011619396157365031,0.000013016019736954682,0.005560926030447496,6116.3099999999995,6100.53,6120.8,6049.68,(((9)-((3)+(1)))*((1)*((x)-(x)))),((2)*((9)*(7))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,3,1,4,4,0
4,x*x*x*x,25,-10,-0.039509909039668015,0.000043981779210108835,-0.039499595641092664,0.00010717553261011693,239.97990000000001,244.56279999999998,245.03,244.176,-0.9874721441641615,0.005541759247157246,0.000015650914253336548,0.002449351950514759,6124.889999999999,6108.63,6134.44,6086.88,((1)-((x)*(7))),((6)*((9)-(2))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,4,4,5,5,0
5,x*x*x*x,25,-10,-0.03944509765880277,0.00008554095635266213,-0.03926675679649719,0.00024219056332505518,271.71569999999997,244.30849999999998,359.0428,243.34960000000004,-0.9644453339432754,0.01808913867468309,0.01149200870074481,0.008381316605357075,8969.380000000001,6085.53,17409.84,6010.08,(((7)*((9)-(3)))*((x)*((7)*(8)))),((8)*((9)*(3))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,4,4,6,6,0
6,x*x*x*x,25,-10,-0.039472552607502286,0.000029082262333729203,-0.0393629983008757,0.00011103123774669984,258.272,244.6552,311.9168,244.15239999999997,-0.9742969873219186,0.004757548032936853,0.006615748704861993,0.0015970784358449463,7726.68,6105.88,12585.84,6091.68,(((x)*((4)*(4)))*((9)*((8)-(x)))),((7)*((5)+(9))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddToLeafR|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR,ReplaceBranchR,AddToLeafR,4,6,7,7,0
7,x*x*x*x,25,-10,-0.04962588652627107,0.000013576181732956026,-0.049624428179322964,0.00007201672983923806,183.18990000000002,244.74900000000002,183.90400000000002,244.3912,-0.9874489445824075,0.0038753104169390036,0.000029179010452011364,0.001456045610403864,6126.110000000001,6110.38,6145.8,6097.08,(((x)-(7))*((6)-(1))),((5)*((0)+(7))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddToLeafR|MutateTerminalR|FellTreeD|DeleteTerminalR|AddToLeafR,ReplaceBranchR,AddToLeafR,7,5,8,8,0
8,x*x*x*x,25,-10,-0.03952289855901189,0.00004063011392980274,-0.0394553195660698,0.00016272382695072598,233.61939999999998,244.5835,266.7104,243.83599999999998,-0.9875,0.0075022872827081545,0.000009828361055360095,0.0051284658799943044,6115.74,6103.889999999999,6120.8,6074.88,(((0)-((x)-(x)))*((1)-(4))),((9)*((6)+(2))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchR|MutateTerminalR|AddToLeafR|ReplaceBranchR|MutateNonTerminalR,ReplaceBranchR,ReplaceBranchR,7,7,9,9,0
9,x*x*x*x,25,-10,-0.03952587100542413,0.0000728105146024722,-0.03950012498366227,0.00032551300483597183,232.16389999999998,244.38730000000004,244.7708,242.8396,-0.9875,0.014638609332113509,0.000011865964454260533,0.007224761821531157,6116.6,6079.48,6120.8,6031.2,((x)-(x)),((7)*((4)*(6))),ReplaceBranchR|AddTreeWithDiv|DivXD|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchR|MutateTerminalR|AddToLeafR|ReplaceBranchR|MutateNonTerminalR,ReplaceBranchR,ReplaceBranchR,9,7,10,10,0
10,x*x*x*x,25,-10,-0.039511261599790876,0.00015532746887661185,-0.03949939958828911,0.0007844726179584397,239.31759999999997,243.88139999999999,245.12599999999998,240.0304,-0.9874775356162593,0.03161678211998439,0.00002554757863918452,0.01537265915930821,6120.5,6066.49,6131.8,5927.28,(((x)+(x))-((7)-(8))),(((x)*(8))*((3)*(6))),ReplaceBranchR|AddTreeWithDiv|DivXD|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchR|MutateTerminalR|AddToLeafR|ReplaceBranchR|MutateNonTerminalR,ReplaceBranchR,ReplaceBranchR,9,7,11,11,0
11,x*x*x*x,25,-10,-0.041935039696154454,-0.0020304937070725697,-0.039113114298784474,0.0006550777676120784,276.6407222222222,268.1764,434.27600000000007,240.82240000000002,-0.9528586132531696,0.02521239053718478,0.5122783213350944,0.006159405971493781,8826.96,6097.16,23083.44,5966.48,((((x)*(8))*((x)*(1)))*((6)*((x)+(1)))),((((3)*(6))+((1)*(x)))*((5)-((0)*(0)))),ReplaceBranchR|AddTreeWithDiv|DivXD|AddTreeWithMult|ReplaceBranchXR,ReplaceBranchR|MutateTerminalR|AddToLeafR|ReplaceBranchR|MutateNonTerminalR,AddTreeWithDiv,ReplaceBranchR,9,7,12,12,0
12,x*x*x*x,25,-10,-0.03949992913508039,0.00014301850801774128,-0.03949115720167298,0.0009451705659390949,244.86669999999998,243.96129999999997,249.162,239.0468,-0.9867648019866684,0.0420598614560189,0.0003820424075087859,0.019575550303520824,6201.049999999999,6032.39,6480.8,5863.36,(((x)-((7)*(8)))*((6)+(3))),(((5)*((6)*(5)))*((6)-(2))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR,AddRandomSubTreeR,AddToLeafR,12,12,13,13,0
13,x*x*x*x,25,-10,-0.03951281286759901,0.00037224493613785797,-0.03949125604496144,0.001456476277610769,238.558,242.55470000000003,249.11360000000002,235.9172,-0.9874019735982225,0.06699777806822636,0.000051529229781905194,0.03411728345310431,6131.43,5994.17,6168.8,5710.72,(((x)-((6)*(2)))+((4)+(6))),((((x)+(2))-((2)*(0)))*((7)*((9)*(8)))),ReplaceBranchR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,MutateTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR,MutateTerminalR,13,13,14,14,0
14,x*x*x*x,25,-10,-0.039508188063651806,0.00016947295985156544,-0.03949588452489871,0.0014175271206378287,240.82260000000002,243.7973,246.8472,236.15559999999996,-0.9872261795843681,0.06801725264671295,0.00014970612799969032,0.03398066293853905,6144.96,6016.4400000000005,6254.88,5704.48,(((x)*((7)*(8)))+((4)*((3)-(4)))),(((7)+((9)+(x)))*((5)*((4)*(8)))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,MutateTerminalR|MutateTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR,MutateTerminalR,12,14,15,15,0
15,x*x*x*x,25,-10,-0.039468992002679386,-0.00009303194153992063,-0.03934064664749706,0.0009962749967324552,260.0155,245.8078,322.86159999999995,238.734,-0.9715509410534571,0.03789047183374723,0.008493072155934613,0.017495164903009983,7733.15,6046.92,13930.48,5888.88,(((x)+((7)*(x)))*((8)-((x)*(x)))),((((x)+(8))+((x)-(8)))*((8)*((1)+((9)+(2))))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR|FellTreeD|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,12,15,16,16,0
16,x*x*x*x,25,-10,-0.03952061760717553,-0.001330986010655586,-0.03949277055286891,0.0013653117239576546,234.73629999999997,274.4304,248.372,236.4752,-0.9874979577832963,0.10233956345575751,0.0000062847207498587,0.050031575701460385,6119.0599999999995,5949.97,6121.8,5494.4,((x)-(3)),((((8)+(5))*((4)+((4)*(7))))*((5)*((6)-((0)-(x))))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR|MutateTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,12,16,17,17,0
17,x*x*x*x,25,-10,-0.03950847907953209,0.00024543313906260424,-0.03949961851391975,0.000809109920271861,240.68009999999998,243.3304,245.0188,239.87959999999998,-0.9874875016337734,0.01571689975166642,0.00010174601539150186,0.006449715675449443,6093.379999999999,6078.66,6126.92,6024.6,(((0)+(5))-((x)*(5))),(((3)*((5)+(7)))*((3)*(8))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR|MutateTerminalR|AddToLeafR|SubXD|AddToLeafR,ReplaceBranchR,AddToLeafR,12,17,18,18,0
18,x*x*x*x,25,-10,-0.039500571003790355,0.00000551302890517677,-0.03949985704483074,0.0004949026271075707,244.5524,244.8567,244.90200000000002,241.8028,-0.9874857044830742,0.013449222323879332,0.000012568556645556726,0.005811740089667148,6123.120000000001,6090.5199999999995,6127.8,6038.48,((0)+((x)-(9))),(((x)*((7)*(8)))-((9)-(8))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|DeleteMaliciousR,AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|ReplaceBranchR|AddToLeafR,ReplaceBranchR,AddToLeafR,18,18,19,19,0
19,x*x*x*x,25,-10,-0.03950480370213044,0.0008198583666072706,-0.03949992239576526,0.0071246895830610404,242.47980000000004,239.8228,244.87,201.2232,-0.9874938733498889,0.3539798719121684,0.000009127954796014048,0.17934099340667994,6119.68,5597.66,6123.8,3954.16,(((x)*(0))+((5)-(8))),(((9)+((x)*(6)))*((7)+((8)*(x)))),ReplaceBranchR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|ReplaceBranchXR,AddRandomSubTreeR|MultXD|AddToLeafR|ReplaceBranchR|AddToLeafR,DeleteNonTerminalR,AddToLeafR,12,19,20,20,0
