gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05217088779244543,-0.02901624787609463,-0.04959745294732715,-0.016197980656123382,NaN,NaN,NaN,NaN,-0.9868365246373023,0.3761011632466344,0.0003339156283852128,0.18599788285717392,6200.46,5525.99,6445.68,3818.76,(((3)-((9)*(3)))*((7)*(x))),((((0)-(9))-((x)*(5)))*((8)+((x)*(9)))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,AddToLeafR|DeleteNonTerminalR|SkipD|AddToLeafR|AddRandomSubTreeR,AddToLeafR,AddToLeafR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.03952251646026663,-0.002879382187755467,-0.03949346490654817,0.014280747614690892,233.80649999999997,1206.3854000000001,248.032,157.4224,-0.9875,0.5480721474317083,0.00005786073872331843,0.2598456813795969,6099.29,4847.780000000001,6120.8,2766.16,(((3)-((0)*(x)))+((4)*(0))),((((x)+(3))*((9)-(6)))+((6)*((x)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MultXD|AddXD,AddToLeafR,MultXD,0,1,2,2,1
2,x*x*x*x,25,-10,-0.039504784505293426,-0.0015310541686690635,-0.0395000441118808,0.0064533470831670044,242.48919999999998,289.25509999999997,244.81040000000002,205.3328,-0.9875,0.045863285844987625,0.0000036326973074650694,0.051853442130803944,6119.77,6124.099999999999,6120.8,5840.08,(((0)*(0))+((6)*(2))),((((0)*(x))+((0)+(7)))-((2)*((x)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MultXD|AddXD,AddToLeafR,MultXD,0,1,3,3,1
3,x*x*x*x,25,-10,-0.039455033655731275,-0.0041247715884191105,-0.039306907593778584,0.006322572212782643,266.85040000000004,397.72119999999995,339.38239999999996,206.13279999999997,-0.968190759377859,0.17282708142726444,0.009670038143079158,0.14398712741899422,8473.29,6198.84,15575.84,5062.96,(((7)*((5)*(x)))*((x)*(x))),((((x)*(0))+((4)-((1)*(9))))-((5)*((x)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MultXD|AddXD,AddToLeafR,MultXD,1,1,4,4,1
4,x*x*x*x,25,-10,-0.03950260770650896,-0.0007259913561249488,-0.039492052509475885,0.005630897921840282,243.55509999999998,432.4084,248.7236,210.36640000000003,-0.9867277153313292,0.3311005097372893,0.0003880680229085758,0.17779204854344066,6214.08,5546.57,6498.96,4094.2,(((3)-((8)*(x)))+((9)*(x))),((((3)-(2))-((0)*((x)+(9))))*((x)*((x)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MultXD|AddXD,AddToLeafR,MultXD,4,4,5,5,1
5,x*x*x*x,25,-10,-0.03949689766860541,-0.006515456899734875,-0.039465303555090835,0.003044569337341525,246.3511,629.8133,261.8216,226.1968,-0.9848805711671677,0.007410795974382528,0.001309714416416197,0.24035548307558377,6441.46,7522.84,7403.44,6075.44,(((x)*((0)-(8)))*((x)*((x)-(6)))),(((5)-((2)*(8)))*((x)+(x))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,MultXD,4,5,6,6,1
6,x*x*x*x,25,-10,-0.039505165174486996,-0.0049517051527221325,-0.03949991831133185,0.0020075807084041306,242.30280000000002,1134.0820999999999,244.872,232.54399999999998,-0.9875,0.1346359952947327,0.00000404358907329927,0.0657730976075183,6119.8099999999995,5899.3,6120.8,5296.72,(((7)*((6)+(6)))*((x)*(0))),(((5)*((8)-(5)))*((x)*((x)+(x)))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MultXD|AddXD,AddToLeafR,MultXD,4,4,7,7,1
7,x*x*x*x,25,-10,-0.03950477204777154,-0.0016131558812267019,-0.0395,0.0018987714024310555,242.4953,298.7795,244.832,233.21,-0.9875,0.18517187295778337,0,0.09992168958511206,6120.8,5900.07,6120.8,4987.4,(((1)+((7)-(0)))*((4)*((6)*(0)))),((((3)*(6))-((4)*((x)-(x))))*((3)-((x)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,MultXD,6,5,8,8,1
8,x*x*x*x,25,-10,-0.039516180074500064,-0.00003147058673138553,-0.03949983662266371,0.008198666840935825,236.90920000000003,309.47450000000003,244.912,194.6496,-0.9874959155665927,0.5506600444386355,0.000009059588801352053,0.2749581580981012,6118.82,5274.76,6122.8,2750.32,((7)-(9)),((((9)-(0))-((2)*(8)))*((x)*((x)+(x)))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,4,8,9,9,1
9,x*x*x*x,25,-10,-0.03950145446673638,-0.001994801033618288,-0.039500065350934525,0.0028962880669193593,244.11980000000003,499.98019999999997,244.8,227.1044,-0.9875,0.1420598614560189,0,0.0734444188512376,6120.8,5919.08,6120.8,5251.28,(((0)*(1))-((6)*(2))),((((3)*(1))*((5)-(0)))*((x)+((2)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,AddXD,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03951397182557836,-0.001107988508075486,-0.03949903525682917,0.004141027316690629,237.99050000000003,263.1626,245.30440000000002,219.4856,-0.9875,0.355313030976343,0,0.20320417620698686,6120.8,5736.21,6120.8,3946,(((1)*((3)*(4)))-((7)*((8)-(8)))),((((7)*(x))*((x)+(2)))*((5)-((5)*((x)+(x))))),AddToLeafR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|ReplaceBranchR|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,MultXD,9,10,11,11,1
11,x*x*x*x,25,-10,-0.03950038904228206,0.00008946122866982829,-0.03949997957783296,0.0007000392105607134,244.6415,244.2938,244.842,240.54719999999998,-0.9874979577832963,0.05259443210037905,0.000005802004386859066,0.025857138250245607,6118.88,6035.06,6121.8,5798.88,((3)-(4)),((((5)-(4))*((x)*(x)))+((0)*((8)*((x)+(x))))),AddToLeafR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|MutateTerminalR|AddXD,AddToLeafR,AddTreeWithSub,11,11,12,12,1
12,x*x*x*x,25,-10,-0.03950389001437721,-0.0004805271779230173,-0.03950010946281532,0.0009666710233956366,242.9272,249.8948,244.7784,238.9152,-0.9875,0.023304143249248517,0.00001897117094226345,0.009541740732652479,6114.93,6057.16,6120.8,5978.16,(((9)+((7)*(3)))+((3)+((6)*(0)))),(((8)-((5)*(4)))*((5)*((5)+(x)))),AddToLeafR|AddRandomSubTreeR|ReplaceBranchR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|AddRandomSubTreeR|AddXD,AddToLeafR,MultXD,12,12,13,13,1
13,x*x*x*x,25,-10,-0.039502036702718596,-0.0008815931834397292,-0.03949973451182852,0.00040203894915697287,243.8347,252.71809999999996,244.96200000000002,242.37120000000002,-0.9874857044830742,0.02678081296562542,0.000006950540866337479,0.01430044800313138,6123.55,6082.51,6127.8,5956.88,((1)-(8)),((((x)*(8))-((5)*(0)))*((9)+((5)+(x)))),AddToLeafR|AddTreeWithSub|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|AddRandomSubTreeR|AddXD,AddToLeafR,AddXD,11,13,14,14,1
14,x*x*x*x,25,-10,-0.039490201035812314,0.00017618489926502653,-0.03945956084172003,0.00423526336426611,249.6302,247.79949999999997,264.6336,218.90879999999999,-0.9840279048490393,0.2713762906809567,0.0017386084519500945,0.1345379072589632,6543.969999999999,5692.400000000001,7820.96,4459.76,(((x)*((5)*(7)))*((4)-(x))),((((8)+(0))*((x)*((7)-(3))))-((4)-((0)*((x)+(x))))),AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR,MultXD|SkipD|AddTreeWithSub|AddRandomSubTreeR|AddXD,AddToLeafR,MultXD,14,11,15,15,1
