gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03951239128599747,-0.0549866521850811,-0.03949868508473839,-0.039977650434220656,238.7644333333333,977.5208006944443,245.47586666666666,777.6192027777778,-0.9874857044830742,0.0022088615867207613,0.000008901816232218535,0.0010805308173334946,6121.3,6112.67,6127.8,6107.28,((x)-(9)),((9)*(2)),AddToLeafR|DivXD|DeleteMaliciousR|FellTreeD|ReplaceBranchXR,AddRandomSubTreeR|DivXD|FellTreeD|DeleteTerminalR|AddTreeWithMult,AddToLeafR,AddRandomSubTreeR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.044563617637128045,-0.049997316391103566,-0.03949977535616259,0.000013388772709449268,NaN,NaN,244.942,244.75005000000004,-0.9874938733498889,0.0000751535746961241,0.00001087950258730501,1.0000283006729613,6117.8099999999995,12782.090166666667,6123.8,6120.34,((x)-(5)),(((0)+((2)*(4)))+((7)/((5)*(6)))),AddToLeafR|DivXD|DeleteMaliciousR|FellTreeD|ReplaceBranchXR,MutateTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,0,1,2,2,4
2,x*x*x*x,25,-10,-0.039500258136191346,-0.06499969438713271,-0.03949985704483074,-0.03999904984409135,244.70559999999998,1110.831629404762,244.90200000000002,777.7501842857143,-0.9874938733498889,0.00006012285975695871,0.000010976390759205915,1.1547257549277243,6118.69,19443.766333333333,6123.8,6120.432,((x)-(5)),(((9)*((2)-(0)))/((9)*(5))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|ReplaceBranchXR,MutateNonTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,2,0,3,3,4
3,x*x*x*x,25,-10,-0.039499969366749446,-0.05500038538385259,-0.039499550712325186,-0.019999337187223167,244.847,977.6048596527778,245.05200000000002,511.28994305555557,-0.9874918311331853,0.000014091295255569703,0.000002042216703690425,0.9999656157502702,6123.3,12782.66582638889,6124.8,6120.71375,((x)-(6)),(((1)*((8)-(2)))/((8)*(8))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,2,3,4,4,4
4,x*x*x*x,25,-10,-0.03950029938896876,-0.04496230437865203,-0.03949989625539145,0.00015686091453965292,244.68540000000002,844.1407754464286,244.88280000000003,243.87188571428567,-0.9874938733498889,0.015231124471746727,0.000006699466917321481,1.1591140638878756,6121.32,19420.593333333334,6123.8,6027.573333333333,((x)-(5)),(((x)*((5)*(x)))/((1)*(3))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|ReplaceBranchXR,MutateTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,FellTreeD,AddTreeWithMult,2,4,5,5,4
5,x*x*x*x,25,-10,-0.03950044847078813,-0.044999387334988886,-0.03949989462161809,0.000002450660044438635,244.61239999999998,844.3677499999999,244.8836,244.817,-0.9874877466997778,0,0.000010662587928566346,1,6121.84,12782.35,6126.8,6120.8,((x)-(8)),(((0)/(9))*((5)*(8))),SubXD|DivXD|AddRandomSubTreeR|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,FellTreeD,AddTreeWithMult,5,5,6,6,4
6,x*x*x*x,25,-10,-0.039500369641223367,-0.049998886311157585,-0.03949985704483074,-0.03999554524463033,244.65099999999998,910.9801833333335,244.90200000000002,777.7287333333334,-0.9874938733498889,0.00033655731276963796,0.000009104133960386559,1.0000561054704027,6118.969999999999,12781.835000000001,6123.8,6118.74,((x)-(5)),(((8)*(5))/((4)*(4))),SubXD|DivXD|AddRandomSubTreeR|FellTreeD|ReplaceBranchXR,DeleteNonTerminalR|DivXD|SkipD|AddTreeWithMult|DivXD,ReplaceBranchXR,DivXD,5,5,7,7,4
7,x*x*x*x,25,-10,-0.03950024281956607,-0.059998830944393615,-0.03949985704483074,-0.03999532377757446,244.71309999999997,1044.2108444444445,244.90200000000002,777.7273777777777,-0.9875,0,0,1,6120.8,12782.35,6120.8,6120.8,(0),(((0)/(1))*((7)*(9))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,6,7,8,8,4
8,x*x*x*x,25,-10,-0.04709390847601621,-0.04999620419988673,-0.03949991831133185,0.000015183200453099376,NaN,NaN,244.872,244.73906666666664,-0.9875,0.00012525595782682396,0,1.1547366977919604,6120.8,19443.708333333332,6120.8,6120.033333333334,(0),(((5)*(2))/((3)*(4))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|DivXD|SkipD|AddTreeWithMult|AddTreeWithMult,AddToLeafR,AddTreeWithMult,6,7,9,9,4
9,x*x*x*x,25,-10,-0.0395,-0.029899427300648016,-0.0395,0.00021239053718468323,244.832,643.9111,244.832,243.53199999999998,-0.9875,0.02096457979349115,0,0.006676150259693248,6120.8,6037.75,6120.8,5992.48,(0),((8)*((4)*(8))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|MutateTerminalR|SkipD|AddTreeWithMult|AddTreeWithMult,DivXD,AddTreeWithMult,6,9,10,10,4
10,x*x*x*x,25,-10,-0.0395,-0.024985714173094715,-0.0395,-0.019924759290724525,244.832,577.8221916666666,244.832,510.83346666666665,-0.9875,0.0025356162593125793,0,0.0012424971254698129,6120.8,6115.5599999999995,6120.8,6105.28,(0),((6)*((3)+(x))),AddToLeafR|DivXD|AddTreeWithDiv|FellTreeD|MutateNonTerminalR,DeleteNonTerminalR|DivXD|SkipD|AddRandomSubTreeR|MutateNonTerminalR,AddToLeafR,DeleteNonTerminalR,9,10,11,11,4
