specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
(x),20,-10,ANTAGONIST-NgN,PROTAGONIST-1c2c2,-0.844,0.7731845238095238,-0.48,1,0.24278385448789627,0.4536309523809524,39,1.134077380952381,130,0,(((0)+(3))*((9)*(x))),(((7)-((7)*(x)))+((0)/(0))),DivXD|AddTreeWithAdd|SubXD|SkipD|AddXD|AddTreeWithDiv|ReplaceBranchR|AddTreeWithDiv|AddXD|FellTreeD|AddRandomSubTreeR|AddTreeWithAdd|DeleteNonTerminalR|AddXD|MutateNonTerminalR,AddXD|SkipD|ReplaceBranchR|FellTreeD|DeleteNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithDiv|DivXD|DeleteTerminalR|MutateNonTerminalR,AddXD,AddTreeWithDiv,0,0,8,4,9,5,0,0
(x),20,-10,ANTAGONIST-mNe,PROTAGONIST-0c1c1c1c1,0.1662990740117557,0.6457269950514928,0.6783014315586295,1,0.757514869308359,0.547129746691305,435.08125,1.8130316914092026,777.125,0,((((6)*(2))-((0)-((x)*(6))))/(((8)-(7))*((1)*((9)-(x))))),((((x)-(4))/((0)/((x)+(1))))-((6)-((x)-((x)+(x))))),AddXD|AddToLeafR|ReplaceBranchXR|MutateTerminalR|ReplaceBranchR|MutateTerminalR|SubXD|MultXD|AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithSub|DeleteTerminalR|AddTreeWithMult|AddTreeWithMult|SubXD,DivXD|DeleteMaliciousR|MutateNonTerminalR|MutateTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteTerminalR|DivXD|AddXD|AddRandomSubTreeR|AddTreeWithAdd|ReplaceBranchXR|SubXD|AddRandomSubTreeR|AddXD,MutateTerminalR,DeleteTerminalR,0,0,7,7,9,9,1,1
(x),20,-10,ANTAGONIST-QYs,PROTAGONIST-3,-0.263205569322265,0.4142644212156407,0.9566348655680833,1,0.9026528309266336,0.6995397774755364,1503.1589285714285,3.240873015873016,5765,0,((((8)*(4))*((9)/((2)*(8))))*(((0)-(x))-((0)*((x)/(x))))),((((7)-(0))/((1)*((x)+(6))))*(((x)/(0))+((x)+((x)/(x))))),AddTreeWithDiv|FellTreeD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithSub|MultXD|DivXD|AddTreeWithDiv,AddXD|AddTreeWithSub|DeleteMaliciousR|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR|DeleteNonTerminalR|DeleteTerminalR|AddXD|DivXD|ReplaceBranchXR,AddTreeWithMult,AddRandomSubTreeR,0,0,8,0,9,1,2,2
(x),20,-10,ANTAGONIST-pws,PROTAGONIST-3,-0.10242379692247379,0.7232142857142857,0.5614035087719298,1,0.643417633316192,0.5535714285714286,269.625,1.4,570,0,(((8)+(9))*((x)*(x))),((((0)-(0))/((0)+(0)))+((6)-((x)-(5)))),MultXD|MutateTerminalR|ReplaceBranchR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|AddXD|SkipD|AddToLeafR|DeleteMaliciousR|FellTreeD|SkipD|MultXD|MultXD|AddTreeWithAdd,MutateTerminalR|DeleteMaliciousR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithAdd|MutateTerminalR|AddTreeWithDiv|DeleteMaliciousR|SubXD|MutateTerminalR|AddTreeWithAdd|AddTreeWithSub|DeleteMaliciousR|AddTreeWithSub|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,1,0,2,1,3,3
(x),20,-10,ANTAGONIST-Qig,PROTAGONIST-0c1c1c1,-0.6744636904761905,0.383478941822131,-0.156,1,0.36768178922904093,0.7135402608732537,81.38407738095238,3.2792162698412697,211,0,(((5)*((7)*(6)))-((x)-(0))),((((9)*((3)+(x)))*(((7)+(9))*((0)*(1))))-(((x)*(0))*((6)/((0)-((x)/(x)))))),MutateNonTerminalR|ReplaceBranchXR|SkipD|DivXD|AddRandomSubTreeR|AddTreeWithMult|FellTreeD|AddTreeWithMult|SubXD|DivXD|SkipD|MutateNonTerminalR|DeleteTerminalR|MutateTerminalR|AddRandomSubTreeR,AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|SubXD|MutateTerminalR|MutateNonTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithMult|SkipD|DivXD,MutateNonTerminalR,AddTreeWithMult,0,0,6,6,7,7,4,4
(x),20,-10,ANTAGONIST-EyX,PROTAGONIST-2c2c1,-0.02689924667116439,0.6531862745098039,0.937834141489494,1,1.024108883564694,0.6936274509803922,1296.0114042207792,2.04,4021.5,0,((((0)+(3))*((1)*((8)*(x))))*((5)*((x)-((x)-(x))))),((((x)-(7))-((x)/(x)))*((4)/((0)*(4)))),ReplaceBranchR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|MultXD|AddTreeWithDiv|AddToLeafR|AddXD|SubXD|MutateNonTerminalR|AddTreeWithMult|MutateNonTerminalR|SubXD|AddToLeafR,ReplaceBranchR|ReplaceBranchXR|AddTreeWithDiv|DivXD|SubXD|SubXD|SkipD|DivXD|AddTreeWithAdd|MultXD|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult,AddToLeafR,ReplaceBranchXR,0,0,2,2,4,3,5,5
(x),20,-10,ANTAGONIST-BBz,PROTAGONIST-2c2c2c1c1,0.3455574517182028,0.9545436507936508,0.9534926983536415,1,0.8240696502913718,0.056097708935800655,2664.675,0.227281746031746,5375.5,0,((((3)+(5))*((8)*(x)))-((9)-((0)*((8)-(8))))),((((2)-((5)*(x)))-((0)/((0)+(7))))+(((2)*(7))+((x)/((x)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,0,0,3,5,5,6,6,6
(x),20,-10,ANTAGONIST-irf,PROTAGONIST-3c2c1,0.37173473441028126,0.9743273809523809,0.9987493465335638,1,0.9009243054590744,0.041466951639001534,50498,0.12836309523809528,199895.5,0,((((9)*(x))*((9)+((4)*(7))))*((7)+((2)*((x)-(x))))),((((5)+(3))*((6)*(0)))+((x)/((0)/((x)+(x))))),DivXD|AddTreeWithAdd|MutateNonTerminalR|MutateTerminalR|MutateTerminalR|MutateNonTerminalR|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|MutateTerminalR|MultXD|AddToLeafR|MutateNonTerminalR|SubXD|MutateNonTerminalR,ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddTreeWithSub|AddXD|AddRandomSubTreeR|MutateTerminalR|AddTreeWithMult|DeleteTerminalR|DivXD|DeleteTerminalR|DeleteTerminalR|DivXD|AddTreeWithMult|AddXD,MutateNonTerminalR,DeleteTerminalR,0,0,7,2,8,3,7,7
(x),20,-10,ANTAGONIST-qUf,PROTAGONIST-3c2c2c2c1c1,0.29331767433711975,0.5875,0.7474747474747475,1,0.32723381652271455,0.31191612120354834,470.3,2.0625,990,0,(((5)*((5)*(8)))+((0)*((x)-(x)))),((6)/((0)*(x))),DeleteMaliciousR|MultXD|MutateNonTerminalR|ReplaceBranchXR|SkipD|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|MutateNonTerminalR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|MultXD|SubXD,DeleteTerminalR|DeleteNonTerminalR|SubXD|AddTreeWithAdd|SubXD|AddTreeWithMult|AddToLeafR|SkipD|FellTreeD|SubXD|MutateNonTerminalR|DeleteNonTerminalR|MultXD|SkipD|AddTreeWithDiv,MutateNonTerminalR,SubXD,0,0,0,6,1,7,8,8
(x),20,-10,ANTAGONIST-ffg,PROTAGONIST-1,-0.7773,0.75,-0.536,1,0.19020644924222027,0.5,55.675,1.25,116,0,((((2)*(7))-((9)*(9)))-((9)+((8)*((5)+(x))))),(((0)/((x)*(0)))+((0)-(0))),DeleteTerminalR|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddToLeafR|MutateTerminalR|SubXD|ReplaceBranchR|AddToLeafR|DeleteTerminalR|MutateTerminalR|AddXD|AddTreeWithMult|AddToLeafR,AddRandomSubTreeR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|AddXD|AddRandomSubTreeR|DivXD|DeleteNonTerminalR|AddToLeafR|ReplaceBranchR|DeleteMaliciousR|DeleteMaliciousR|AddToLeafR|AddToLeafR|SkipD,AddToLeafR,AddToLeafR,0,0,0,0,1,2,9,9
