gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.01963617312169312,-0.018039838584376414,-0.019530904761904763,-0.01,0.0909567195767196,60.209666666666664,0.11727380952380952,0.2,0.930292215034575,0,0.735647525215193,0,668.7062500000001,5,3586.4,5,((((3)*(2))-((9)*(x)))*((7)*((9)+(3)))),((0)/(x)),ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|MultXD|AddTreeWithDiv|AddTreeWithMult|FellTreeD|AddTreeWithMult|MutateNonTerminalR|SkipD|ReplaceBranchR|AddTreeWithAdd,MultXD|AddRandomSubTreeR|MultXD|DeleteTerminalR|AddTreeWithDiv|MutateTerminalR|DeleteMaliciousR|MultXD|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|FellTreeD|DivXD,MutateNonTerminalR,MultXD,0,0,1,1,0
1,(x),20,-10,-0.013325348812301303,-0.005200812068717127,0.0014315261738112306,0,1.6732612433862435,0.20371428571428574,5.385472222222222,0.1,0.9036794451936043,1,0.8009506428761497,0.5786123716679586,676.4833333333333,2.65,2595.5,0,(((8)+((6)-(x)))*((x)*((x)*(5)))),(((8)+((9)/(0)))*((6)+(0))),ReplaceBranchXR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|MutateNonTerminalR|MultXD|AddTreeWithDiv|AddToLeafR|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|SkipD|ReplaceBranchR|AddTreeWithAdd,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|DivXD|AddRandomSubTreeR|AddXD|MutateTerminalR|MutateTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|ReplaceBranchR|MutateTerminalR|DeleteMaliciousR,MutateNonTerminalR,MutateTerminalR,1,1,2,2,0
2,(x),20,-10,-0.01896933333333333,0.002259826355396495,-0.01876,0.02,0.2576666666666667,0.288,0.31,0,0.9802566633761106,1,1.0021338207796093,0.6536408258129276,3818.678921568627,3.1333333333333333,12662.5,0,((((0)/((9)/(7)))-((6)*((2)/(3))))*(((5)-(x))*((9)*((6)*((7)*(x)))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|MutateNonTerminalR|MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|AddTreeWithMult|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,MutateTerminalR,2,2,3,3,0
3,(x),20,-10,-0.019268,-0.007493728635269671,-0.01884,0,0.183,6.8183333333333325,0.29,0.1,0.9934681933676035,1,0.763090158564236,0.4755539480228471,9830.673214285714,4.8500000000000005,38274.25,0,((((4)*((4)*(8)))-((5)/((6)*(3))))*(((3)*(x))-((x)-((x)*(x))))),((x)-(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithMult|AddXD|SubXD|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MutateNonTerminalR,AddRandomSubTreeR,0,2,4,4,0
4,(x),20,-10,-0.01609666666666667,-0.004804063860667634,-0.0052,0.02,0.9758333333333333,0.1396666666666667,3.7,0,0.981798325445941,1,0.9567047089975941,0.43416336938391886,3741.416588823507,4.3,13735,0,((((4)*((7)-(0)))/(((8)/(8))-((2)*(1))))-(((8)*(7))*((2)-((8)/((4)*(x)))))),((x)-(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,MutateTerminalR,3,4,5,5,0
5,(x),20,-10,-0.017282871004188714,-0.0026884244535312226,-0.004103703703703702,0.02,0.6792822489528219,0.162,3.9740740740740743,0,0.9980567506539034,1,0.85035804380089,0.6296436209446605,21710.09320436508,4.283333333333333,128650.5,0,((((4)-((5)-(8)))/(((7)/(8))/((8)*(6))))+(((6)*(9))*((x)-((5)*((4)*(x)))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,AddRandomSubTreeR,3,2,6,6,0
6,(x),20,-10,-0.016211851851851852,-0.00672229269066117,-0.002471111111111113,0,0.9470370370370369,0.233,4.382222222222222,0.1,0.8333333333333334,1,0.7484551991837489,0.6661796946746655,250,3.1999999999999997,1500,0,((((6)*((5)/(1)))/((1)/((5)*(7))))-(((5)*(1))+((3)/((4)-((x)*(x)))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,5,4,7,7,0
7,(x),20,-10,-0.01600594441496873,-0.002099525729375,0.003964333510187601,0.02,1.0393497942386833,0.13866666666666666,6.2360987654321,0,0.9978456540378906,1,0.8396703105365502,0.545537552042152,20263.139760236463,4.6000000000000005,116044.5,0,((((x)/((x)/(2)))*(((3)/(8))*((7)-(1))))*(((7)/(2))*((3)*((x)-((x)*(x)))))),((x)-(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|AddTreeWithSub|MultXD|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|AddTreeWithDiv,MutateTerminalR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,AddTreeWithDiv,MutateTerminalR,7,4,8,8,0
8,(x),20,-10,-0.016900666666666665,-0.005287842601488629,-0.012,0,0.7748333333333334,0.234,2,0.1,0.9645284783768232,0.8,1.0235479945068606,0.4428653817414048,2337.1658179012343,3.8666666666666667,7047.907407407404,1,((((6)-(3))-((7)/((9)/(3))))*((5)*((8)*((x)*(x))))),((0)+((x)-(1))),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,AddRandomSubTreeR,5,2,9,9,0
9,(x),20,-10,-0.016437763532763536,-0.008876728383770637,-0.0034100000000000003,0.02,0.8905591168091168,0.30366666666666664,4.1475,0,0.9732720372053242,1,0.8266078277012424,0.5196858648600042,1691.407142857143,3.85,9353.5,0,((((x)+(9))*((1)*((x)*(x))))/(((x)/(5))*((x)-((x)*(x))))),((0)+((x)-(0))),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,AddRandomSubTreeR,5,2,10,10,0
10,(x),20,-10,-0.011260535990630548,-0.005136639676113361,0.008369388229820888,0.02,2.4358081594331593,0.14,8.597999999999999,0,0.9578681272382558,1,0.8728844536235396,0.5957947408659781,2123.311403508772,4.6000000000000005,5933.75,0,((((1)/((8)+(0)))/((9)-((8)-(2))))*(((x)*(x))*((4)-((x)*(x))))),((x)+(0)),DeleteNonTerminalR|DivXD|AddTreeWithDiv|DeleteTerminalR|MultXD|ReplaceBranchR|MultXD|AddTreeWithDiv|MutateTerminalR|AddTreeWithSub|SubXD|MutateNonTerminalR|AddTreeWithMult|MultXD|ReplaceBranchXR,AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|ReplaceBranchR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MutateTerminalR|AddRandomSubTreeR|ReplaceBranchXR|MutateTerminalR|DeleteMaliciousR,MultXD,MutateTerminalR,5,10,11,11,0
