gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0196,-0.019356496032659817,-0.0196,-0.016926229508196722,0.1,37.30862433862434,0.1,0.6506666666666666,-0.025028571428571355,1,0.39172443036976606,0.692533002579889,43.963068783068785,3.5642857142857136,243.74285714285716,0,((((8)*(6))/((x)*(3)))*((6)/((x)*(x)))),((((1)+(6))+((3)+(1)))/((0)-((x)/(8)))),SkipD|DeleteMaliciousR|DeleteNonTerminalR|DivXD|ReplaceBranchXR|MultXD|MutateTerminalR|MutateTerminalR|AddToLeafR|DeleteTerminalR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithDiv|MultXD,DeleteTerminalR|FellTreeD|FellTreeD|AddRandomSubTreeR|SkipD|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithDiv,MutateTerminalR,AddTreeWithAdd,0,0,1,1,3
1,(x),20,-10,-0.019477932275132274,-0.00476607622969321,-0.0190304,0.02,0.13051693121693123,2.1068181216931214,0.24240000000000003,0,0.7806055287406757,1,0.692706190459713,0.8188697256628783,211.26904761904765,4.3610677083333345,1139.5,0,(((5)*((4)*(6)))*((x)-(9))),((((4)*((2)*(4)))/(((5)/(0))+((8)+(6))))+(((5)-((6)*(x)))*((x)+((x)*((x)/(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|AddXD|MultXD|AddToLeafR|DivXD|AddTreeWithDiv|DeleteTerminalR|AddTreeWithMult|MutateNonTerminalR,MultXD,MultXD,0,1,2,2,3
2,(x),20,-10,-0.01923333333333333,-0.0009411551325505951,-0.0166,0.02,0.19166666666666668,472.4602989160787,0.85,0,0.09090909090909091,1,0.4326115163071869,0,52.80714285714286,0,275,0,(((x)*((7)/(1)))*((8)/((x)*(x)))),((((5)*((7)/(0)))-(((8)/(3))-((8)*(0))))-(((x)/(6))*((x)-((x)-((x)+(x)))))),SkipD|DeleteMaliciousR|DeleteNonTerminalR|DivXD|ReplaceBranchXR|MultXD|MutateTerminalR|MutateTerminalR|AddToLeafR|DeleteTerminalR|ReplaceBranchR|DivXD|MutateTerminalR|AddTreeWithDiv|MultXD,MultXD|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MutateTerminalR,MutateNonTerminalR,0,0,3,3,3
3,(x),20,-10,-0.019736,0.001272340381598893,-0.019456,0.02,0.066,2.5597380952380955,0.136,0,0.6603260869565217,1,0.6562666511657149,0,146.28333333333333,0,736,0,(((x)+((8)+(8)))*((x)-((6)*(9)))),(((((6)+(3))+((8)/(5)))/(((0)+(2))-((0)*(0))))*(((7)*((x)/(1)))*((x)-((0)-((5)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,ReplaceBranchXR,MutateNonTerminalR,0,0,4,4,3
4,(x),20,-10,-0.01962814761904762,0.006109213305846123,-0.019276,0.02,0.09296309523809525,2.858,0.18100000000000002,0,0.7297297297297297,1,0.8046917502746289,0.7523570223316753,296.3333333333333,5.304166666666666,925,0,(((3)+((4)*(7)))*((x)+((0)*(6)))),((((4)-((4)-(0)))-(((0)/(x))/((0)-(x))))*(((2)+(x))*((8)-((x)/((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithSub|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,4,0,5,5,3
5,(x),20,-10,-0.016944,0.0004480033346959733,-0.012,0.02,0.764,3.193,2,0,0.8168363982709356,1,0.8463957530629121,0.8475337231951402,364.6166666666666,11.9,1364.9,0,(((7)*((6)*(x)))+((4)*(x))),((((3)/((0)*(7)))+(((3)-(6))-((x)+(x))))-(((x)*((9)*(x)))*((x)-((0)/((x)+(x)))))),DeleteTerminalR|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,4,5,6,6,3
6,(x),20,-10,-0.019060633333333334,-0.00003247031654623811,-0.01744,0.02,0.23484166666666667,47.453611111111115,0.64,0,0.8881081323009444,1,0.774425061028143,0.077567175188134,474.1000000000001,0.15833333333333333,2234.3,0,(((9)*((x)+(7)))*((5)*(7))),((((8)-((x)-(8)))*((4)/((6)-(0))))*(((7)*(x))+((x)/((0)*(x))))),DeleteTerminalR|FellTreeD|MultXD|DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,DeleteTerminalR,MutateNonTerminalR,4,5,7,7,3
7,(x),20,-10,-0.018819391674991675,-0.000049711469577408505,-0.01693235004995005,0.02,0.2951520812520813,48.94618333333333,0.7669124875124875,0,0.8721227621483376,1,0.712823034362235,0.7198057321154834,354.3833333333334,5.4065806878306875,1955,0,(((0)+((7)*(8)))*((x)*(7))),((((x)*((6)+(0)))/(((0)/(9))+((9)*(4))))-(((7)*((2)-(4)))*((x)-((x)/((x)+(x)))))),MultXD|FellTreeD|MultXD|AddXD|AddTreeWithDiv|ReplaceBranchXR|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,6,6,8,8,3
8,(x),20,-10,-0.019352,0.0033599863246872876,-0.017632000000000002,0.02,0.162,38.82219444444444,0.5920000000000001,0,0.6644295302013423,1,0.6514208914471085,0.6406351017545011,139.73888888888888,2.7083666666666666,745,0,(((5)*((2)*(6)))/((2)*((x)*(5)))),((((x)*((0)*(0)))*((x)-((0)*(5))))*(((7)-(x))*((x)*((x)/((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,7,6,9,9,3
9,(x),20,-10,-0.019555,-0.004849200459362289,-0.01917,0.02,0.11125,4.445061673280423,0.2075,0,-0.02,1,0.4398706934577058,0.5922912615405306,93.34444444444443,1.9991769547325102,245,0,(((5)*((x)+(6)))+((x)*(9))),((((8)-((0)-(3)))*(((8)/(8))*((5)/(6))))*(((2)*(0))*((x)-((x)*((0)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithMult|AddTreeWithSub|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|DeleteTerminalR|AddXD|MutateNonTerminalR,MultXD,MutateNonTerminalR,7,9,10,10,3
10,(x),20,-10,-0.018901333333333332,0.007782017684031107,-0.0172,0.02,0.27466666666666667,52.17966666666666,0.7,0,0.9254843517138599,1,0.9162005061652683,0.592028630373245,692.0179232804234,2.003853615520282,3355,0,(((0)+((x)*(8)))*((9)+((3)*(7)))),((((6)/((2)*(9)))/(((0)-(x))-((2)*(0))))/(((3)*((8)*(8)))-((0)*((x)/((x)+(x)))))),MultXD|FellTreeD|MultXD|DeleteMaliciousR|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddToLeafR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|AddTreeWithDiv|AddRandomSubTreeR|ReplaceBranchXR,MultXD|AddTreeWithMult|AddTreeWithDiv|AddTreeWithMult|AddToLeafR|DeleteTerminalR|MultXD|SubXD|DivXD|MutateNonTerminalR|MutateTerminalR|MutateNonTerminalR|DeleteTerminalR|AddXD|DeleteMaliciousR,ReplaceBranchXR,AddTreeWithMult,7,10,11,11,3
