gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.0953,-0.08097622092784588,-0.09,-0.050980392156862744,1.175,53.879999999999995,2.5,1.02,-0.24879999999999997,1,0.3814753115646323,0.812224165003224,97.30000000000001,7.341369047619048,187.8,0,(((x)+((8)*(5)))*((8)-(x))),(((x)*((x)*(0)))/((x)+(x))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,FellTreeD,0,0,1,1,6
1,(x),20,-10,-0.09636355158730159,-0.07643030513176144,-0.09245238095238095,-0.07142857142857142,0.9091121031746031,2.4050000000000002,1.8869047619047616,1.75,0.8002397123451858,1,0.7882973662767493,0.7355148171546695,355.725,2.723611111111111,1251.5,0,((((3)-(x))+((9)*(4)))*((6)*((4)+(4)))),(((x)+((8)+(5)))-((2)/((0)+(x)))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddToLeafR,0,0,2,2,6
2,(x),20,-10,-0.0961505753968254,-0.016677503350457597,-0.0928484126984127,0.05431428571428572,0.9623561507936509,0.9508373015873015,1.787896825396826,0.22842857142857143,0.20634920634920634,1,0.563451672373084,0.4606349206349206,95.375,1.1515873015873015,315,0,(((8)*(x))*((8)+(3))),(((2)-((6)*(3)))+((2)/((0)+(x)))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|FellTreeD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR|ReplaceBranchR|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,0,0,3,3,6
3,(x),20,-10,-0.09786841666666665,-0.048862059505718834,-0.09708058730158729,0.018388888888888885,0.5328958333333332,2.1735317460317463,0.7298531746031744,0.40805555555555556,-0.092,1,0.3883379112748758,0.21129026293655298,82.875,0.7950843253968254,227,0,(((3)+((x)*(x)))*((7)+((9)-(9)))),((((0)*((3)+(8)))-((6)/((0)-(2))))-(((5)+(x))+((x)/((x)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,3,3,4,4,6
4,(x),20,-10,-0.09334,0.04817142857142857,-0.088,0.1,1.6649999999999998,0.26075,3,0,0.9534926983536415,1,0.8240696502913718,0.09835990935695035,2664.675,0.4173214285714285,5375.5,0,((((3)+(5))*((8)*(x)))-((9)-((0)*((8)-(8))))),((((2)*(7))*((2)+(0)))+((x)/((0)+(x)))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,3,4,5,5,6
5,(x),20,-10,-0.09730357142857142,0.05328609802265383,-0.09524,0.1,0.6741071428571429,0.5644935065547199,1.19,0,-0.22,1,0.37745595769572904,0.056097708935800655,53.625,0.227281746031746,195,0,((((8)+(5))+((0)+(7)))*((x)+((x)/((5)-(4))))),((((2)-((5)*(x)))-((0)/((0)+(7))))+(((2)*(7))+((x)/((x)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,3,5,6,6,6
6,(x),20,-10,-0.0974,0.028423487358639622,-0.09559999999999999,0.08333333333333334,0.65,3.191909722222223,1.1,0.08333333333333334,0.9870442826419299,1,0.9712480654074812,0.2143605056413517,5212.1,1.0397402597402596,19296.5,0,(((6)*((x)*(4)))*((6)*((x)*(4)))),((((0)+(9))+((7)/((0)-(9))))+(((7)+(x))+((x)/((x)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddXD|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,6,5,7,7,6
7,(x),20,-10,-0.098,0.0075060922209270005,-0.096,0.1,0.5,0.5133655753968254,1,0,0.9399255076294605,1,0.9275778100209576,0.2987616644412528,1058.95,1.02921626984127,4161.5,0,((((5)*(7))-((4)-(7)))*((9)+((3)*((x)*(x))))),((((9)-(2))-((0)*((8)/(1))))+(((0)+(x))/((5)*((0)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,7,6,8,8,6
8,(x),20,-10,-0.09268000000000001,-0.007404161177742258,-0.0874,0.076475,1.83,2.5105906930601694,3.15,0.11762500000000001,0.7941539728283245,1,0.8362657628146121,0.4651959868036224,334.475,1.2569742063492064,1214.5,0,((((4)*(9))+((x)+(5)))*((6)*((0)-(5)))),((((8)*(1))*((8)*((x)+(8))))-((5)+((x)/((0)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,7,6,9,9,6
9,(x),20,-10,-0.04280615067929189,0.07486051587301587,0.07941539728283245,0.1,33.447500000000005,0.12569742063492065,121.45,0,0.7941539728283245,1,0.8362657628146121,0.4651959868036224,334.475,1.2569742063492064,1214.5,0,((((4)*(9))+((x)+(5)))*((6)*((0)-(5)))),((((8)*(1))*((8)*((x)+(8))))-((5)+((x)/((0)+(x))))),DivXD|ReplaceBranchXR|ReplaceBranchR|MultXD|ReplaceBranchXR|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddTreeWithAdd|AddTreeWithAdd|ReplaceBranchR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchXR,FellTreeD|AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|AddTreeWithDiv|SkipD|AddXD|DeleteMaliciousR|AddTreeWithSub|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddToLeafR|AddXD,ReplaceBranchXR,AddXD,7,6,9,9,6
