specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
,30,-10,ANTAGONIST-Xfa,PROTAGONIST-3c2c2c1c1c1c1c2c2c1c2c1c2c2c2c2c2c1c1c2c2c1c1c2c1c2c1c2c2c1c1c2c2c2c2c2c2c2c2c2,0.9999285454235245,1,0.999999720176142,1,0.00011731709171008518,0,149765233.67000002,0,1459251316.8333333,0,((((x)*((6)*(0)))+(((7)+(6))*((7)+(3))))*(((x)*(x))+((x)*((6)*((x)*(x)))))),((0)/(0)),SubXD|ReplaceBranchXR|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|AddXD|MultXD|AddTreeWithAdd|MultXD|MultXD|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd,AddTreeWithSub|SubXD|DeleteNonTerminalR|SkipD|DeleteTerminalR|SubXD|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|AddToLeafR|DeleteTerminalR,MultXD,SubXD,0,0,46,47,47,49,0,0
,30,-10,ANTAGONIST-iBx,PROTAGONIST-12c1c1c2c1c2c2c1c1c1c1c2c2c1c2c1c1c2c1c2c1c2c2c2c1c1c1c2c2c1c2c2c1c2c2c1c2c1c2,0.9909646095674709,1,0.9999524288779978,1,0.022129633840062213,0,1199244.6316666668,0,8583638.9,0,((((6)+((9)*(2)))*((4)*((6)*(x))))*(((x)-(6))+((6)*((x)*(x))))),((0)/((0)/(0))),MutateTerminalR|AddRandomSubTreeR|MutateTerminalR|MultXD|MultXD|SubXD|SkipD|SkipD|MultXD|AddToLeafR|SkipD|AddTreeWithAdd|MultXD|AddToLeafR|SkipD,AddXD|MutateTerminalR|AddTreeWithSub|DeleteNonTerminalR|SkipD|DeleteNonTerminalR|SubXD|SubXD|DeleteNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR,MultXD,DeleteNonTerminalR,0,0,47,49,48,49,1,1
,30,-10,ANTAGONIST-iBkc1,PROTAGONIST-6c2c2c2c1c2c1c1c2c2c2c1c1c1c2c1c1c2c1c2c2c1c2c1c2c1c2c1c2c1c1c1,0.9960943872192803,0.9909636980312566,0.9999966597527757,1,0.005304670631132836,0.019688916038757588,7564096.528333333,0.07379646607807067,122246440.43333334,0,((((7)*((x)*(2)))+((6)*((9)*(x))))+(((x)*(x))+((x)*((x)*(x))))),(((((3)/(8))*((5)+(0)))*(((0)+(x))+((7)-(9))))/(((x)*((x)*(x)))/((x)/((0)/((x)+(x)))))),AddTreeWithDiv|FellTreeD|MutateNonTerminalR|DeleteNonTerminalR|DivXD|AddTreeWithSub|ReplaceBranchR|AddTreeWithMult|AddXD|MultXD|AddTreeWithAdd|AddXD|AddTreeWithMult|MultXD|MultXD,AddTreeWithDiv|MutateTerminalR|DivXD|AddTreeWithSub|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|SkipD|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,MultXD,DivXD,0,0,49,39,49,41,2,2
,30,-10,ANTAGONIST-aFE,PROTAGONIST-11c1c1c1c1c2c1c2c2c1c1c1c2c1c2c2c1c1c1c1c2c2c1c2c2c1c1c1c1c1c1c2c2c2c2c2c2c1c2c1c1c1c1c2c1,0.9998089416807282,1,0.9999997552668118,1,0.0003749816672111375,0,177309714.68,0,1668483691.5,0,((((x)+((x)*(0)))-(((6)*(9))*((3)-(4))))-(((2)*(x))*((x)*((x)*((x)*(x)))))),(((0)/((7)-(2)))/((x)*((x)+(x)))),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|DeleteTerminalR|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|MultXD|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|MultXD|DeleteTerminalR|AddTreeWithAdd|DivXD|DeleteMaliciousR|DeleteTerminalR|DivXD|AddTreeWithSub|MultXD|AddXD|SkipD|SkipD,MultXD,DeleteTerminalR,0,0,24,48,25,49,3,3
,30,-10,ANTAGONIST-THb,PROTAGONIST-8c2c2c1c2c1c1c2c2c1c2c1c2c2c2c1c2c1c1c2c2c1c1c1c2c2c2c1c2c2c1c1c2c1c2c2c2c1,0.9999609656970065,1,0.9999999978251287,1,0.00008974596709581335,0,10402759147.03,0,187750578520.66666,0,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),(((0)/((x)/(0)))/((7)/(2))),MultXD|AddTreeWithMult|AddXD|AddTreeWithAdd|AddToLeafR|MultXD|MutateNonTerminalR|MutateTerminalR|SubXD|MultXD|AddTreeWithAdd|AddTreeWithSub|MultXD|ReplaceBranchXR|MultXD,AddTreeWithDiv|MutateTerminalR|FellTreeD|ReplaceBranchXR|DivXD|AddRandomSubTreeR|DivXD|DivXD|MutateTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DeleteMaliciousR,MultXD,AddTreeWithDiv,0,0,45,48,46,49,4,4
,30,-10,ANTAGONIST-WRl,PROTAGONIST-10c2c1c2c2c1c1c1c1c1c2c1c2c2c1c2c2c1c1c2c2c2c1c2c1c2c2c1c2c1c2c1c2c2c2c2,0.8952476253221533,1,0.999969102105158,1,0.44143248988524,0,1479542.3666666667,0,13215571.333333334,0,((((7)-((x)*(8)))+((x)*((3)*(x))))*(((x)*(4))*((5)+((5)*(x))))),(((((6)*(6))+((5)*(0)))+(((0)*(0))+((0)*(2))))*(((x)*((0)/(9)))-(((7)/(0))/((x)/((x)+(x)))))),SubXD|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|ReplaceBranchR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|MultXD|SkipD,DivXD|DeleteMaliciousR|DeleteTerminalR|SkipD|DivXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|DivXD|DeleteMaliciousR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,0,0,38,47,39,48,5,5
,30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9984293740604038,0.8,0.9999996368473472,1,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,AddRandomSubTreeR,0,0,8,40,9,41,6,6
,30,-10,ANTAGONIST-WCP,PROTAGONIST-16c1c2c1c2c1c1c2c2c1c2c2c1c2c2c2c2c2c2c2c2c2c2c2c2c2c1c2c1c1c2c1c2c2c2c2c1c2c2c2,0.9993376440575409,1,0.9999945584664738,1,0.0008359968365356565,0,6364754.011666667,0,75040120.83333333,0,((((x)*((2)*(x)))*((7)+((4)+(5))))+(((x)-(0))*((x)*((x)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithSub|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|MultXD|MultXD|MultXD|SkipD|AddTreeWithMult|MultXD|SkipD,ReplaceBranchXR|DivXD|ReplaceBranchXR|ReplaceBranchXR|AddXD|FellTreeD|AddXD|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,ReplaceBranchXR,0,0,40,48,41,49,7,7
,30,-10,ANTAGONIST-QUG,PROTAGONIST-1c1c2c1c2c1c2c2c2c2c2c1c1c1c2c1c2c2c1c2c1c1c2c2c2c1c1c1c2c2c2c2c2c1c1c2c1c2c2c2,0.9994364935790566,1,0.999999548798998,1,0.0012634009669015513,0,56134811.90333333,0,904992080.1333333,0,((((3)+((9)*(x)))+(((4)+(9))+((8)*(x))))*(((x)*((x)*(x)))+((x)-((x)*((x)*(x)))))),((0)+(x)),AddXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|MultXD|AddTreeWithAdd|AddXD|MultXD|AddXD|AddToLeafR|SubXD|MultXD|MultXD|MutateNonTerminalR|MutateTerminalR,SubXD|ReplaceBranchR|AddXD|AddToLeafR|SkipD|AddTreeWithDiv|ReplaceBranchR|DivXD|AddToLeafR|SkipD|ReplaceBranchXR|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR|AddXD,MultXD,ReplaceBranchXR,0,0,44,48,45,49,8,8
,30,-10,ANTAGONIST-PqU,PROTAGONIST-8c1c1c1c1c2c2c2c1c1c2c2c2c1c2c2c2c2c1c2c2c1c1c2c1c2c1c2c1c1c2c2c1c1c1c2c1c1c2c2c2c1,0.9992147760851676,1,0.9999985847541526,1,0.000737997752191916,0,18540456.873333335,0,288524664.5,0,((((0)+(4))*((x)-((3)*(x))))*(((x)*(x))*((x)*((x)*(x))))),((((2)*(9))*((8)/(0)))*((8)/((x)+(x)))),DeleteMaliciousR|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|MultXD|SkipD|AddRandomSubTreeR|AddXD|MultXD|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithMult|AddXD|ReplaceBranchR|SubXD|FellTreeD|MultXD|MutateTerminalR|AddTreeWithDiv|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteMaliciousR|AddXD,MultXD,DeleteTerminalR,0,0,33,49,37,49,9,9
