specEquation,range,seed,AID,PID,A,P,ADelta,PDelta,AStdDev,PStdDev,AAvgDelta,PAvgDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,finA,finP,finAStdDev,finPStdDev,finADelta,finPDelta,finABestDelta,finPBestDelta,finAEquation,finPEquation,finAStrat,finPStrat,finADomStrat,finPDomStrat,epoch,run
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9999605218679057,1,10343278.966666667,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.9997386499123838,0,0.008824137933160475,0.5026246899500346,1562399.8333333333,8.166666666666666,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9997000033183308,1,1361126.1666666667,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.9985437678016957,1,0.008824137933160475,0.5026246899500346,280404,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,1,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.999996438389087,1,114648495.66666667,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.9987052642370731,1,0.008824137933160475,0.5026246899500346,315379.6666666667,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,2,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9999703300659065,1,13762529.166666666,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.999969628178818,1,0.008824137933160475,0.5026246899500346,13444479.7,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,3,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9929018590755381,1,57526.8,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.9946527028731792,1,0.008824137933160475,0.5026246899500346,76362.56666666667,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,4,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9947822272009951,1,78258.16666666667,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,0.9994266666647945,1,0.008824137933160475,0.5026246899500346,712209.3,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,5,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9999996368473472,1,1124412365.0666666,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,0,0,0.991151682552707,1,0.008824137933160475,0.5026246899500346,46148.13333333333,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,6,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9999374677917653,1,6529968.233333333,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,0,0,0.9983933878401099,0,0.008824137933160475,0.5026246899500346,254158,8.166666666666666,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,7,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9948922898594234,1,79944.5,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,0,0,0.999742265140161,1,0.008824137933160475,0.5026246899500346,1584315.5,0,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,8,6
(x),30,-10,ANTAGONIST-HeN,PROTAGONIST-5c2c2c1c2c1c2c2c1c2c1c2c2c1c1c1c2c2c2c2c2c2c2c2c1c1c2c1c2c1c1c1c2c2,0.9999788294785144,1,19287825.933333334,0,0.0023869752338294423,0.41039134083406165,76350977.22833332,1.6333333333333333,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|AddRandomSubTreeR|FellTreeD|MultXD|DeleteMaliciousR,MultXD,AddRandomSubTreeR,0,0,0.9686828919112384,0,0.008824137933160475,0.5026246899500346,13038.666666666666,8.166666666666666,13444479.7,0,((((1)*((x)*(4)))+((0)*((x)*(x))))-(((6)-(x))*((x)+((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithMult|AddTreeWithAdd|AddXD|MultXD|SkipD|MultXD|SkipD,DeleteMaliciousR|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddTreeWithAdd|DivXD|ReplaceBranchR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,MutateNonTerminalR,9,6
