gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3676325848296153,-0.015362212599413266,-0.25565836520386837,0.3236734693877551,50.515026215657365,74.09569266973018,763.2848628642162,0.6233333333333333,0.9884576064373577,1,0.6574701999773668,0,2012.611666666667,0,35376.833333333336,0,((((0)+(9))+((x)*(9)))+((9)*((x)*(x)))),((0)/(0)),SubXD|AddTreeWithDiv|ReplaceBranchXR|SubXD|AddTreeWithAdd|SubXD|FellTreeD|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|SkipD|AddTreeWithAdd,AddTreeWithAdd|SubXD|MultXD|MultXD|SkipD|AddTreeWithMult|AddTreeWithAdd|SubXD|DeleteMaliciousR|MutateNonTerminalR|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,AddTreeWithAdd,0,0,1,1,0
1,(x),30,-10,-0.31840160698261744,0.0917079524123715,-0.05742432581742478,0.36,84.80404702217169,11968.030087515646,922.1941886211051,0.32666666666666666,-0.41999999999999993,1,0.13189986316021302,0,38.97252432695873,0,236.83333333333334,0,((x)*((6)*(5))),(((((8)/(0))*((9)-((6)+(x))))*(((3)*((9)-(x)))+((5)-((0)-(x)))))*((((9)+(4))+((x)-((0)*(4))))-(((9)*(x))-((1)-((5)-((x)-(x))))))),AddToLeafR|AddTreeWithAdd|DivXD|AddTreeWithAdd|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithMult|FellTreeD|AddTreeWithDiv|AddTreeWithAdd|SubXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|FellTreeD,AddTreeWithAdd|SubXD|MultXD|MultXD|SkipD|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,1,1,2,2,0
2,(x),30,-10,-0.2791790927068975,0.1742637735626525,0.04894098361550112,0.38,96.09528209369176,3.396932005355156,845.756263077113,0.16333333333333333,0.9447177219188592,1,0.6686953637850526,0,751.7519270833334,0,7386.333333333333,0,((((7)+(x))+((8)+((x)*(4))))+((9)*((8)*((x)-(x))))),((0)/(0)),AddTreeWithAdd|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithDiv|AddXD|SkipD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithMult|AddTreeWithAdd|MultXD|MutateNonTerminalR|ReplaceBranchR|SubXD|AddTreeWithMult,AddTreeWithAdd|AddToLeafR|SkipD|SkipD|DeleteTerminalR|AddXD|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithDiv,DeleteTerminalR,2,2,3,3,0
3,(x),30,-10,-0.2213438273962108,0.24519131815893147,0.1706341898537068,0.4,572.6167979187175,306.6182804939124,6284.217396911586,0,0.9965231419670673,1,0.8477729718548082,0,10235.874999999998,0,117443.2,0,((((9)+((1)*(3)))*((4)+((x)+(9))))*(((5)*(0))+((6)+((x)*(x))))),((0)/(0)),SubXD|FellTreeD|MultXD|SkipD|AddToLeafR|AddToLeafR|AddXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|AddXD|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|DivXD|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddXD,DivXD,3,3,4,4,0
4,(x),30,-10,-0.15669032512693112,0.33487535570967963,0.33084708690099524,0.4,1508.4263152784793,5.045328276452116,19269.70261904762,0,0.9370619798209331,1,0.7876369061955093,0,1257.1729357368315,0,6487.864285714285,0,((((x)/((3)*(4)))+((0)+((2)+(5))))/(((1)*(x))-((x)*((x)*(x))))),((0)/(0)),AddTreeWithAdd|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithDiv|AddXD|SubXD|MultXD|AddTreeWithSub|MutateTerminalR|AddTreeWithAdd|MultXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithMult,AddTreeWithAdd|SubXD|MultXD|MultXD|SkipD|AddXD|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|DeleteNonTerminalR|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithDiv,MultXD,4,4,5,5,0
5,(x),30,-10,-0.12404299914942035,0.3503875170166053,0.3510565386754583,0.38,2364.4899090425315,4.5391515764956605,35137.121407407416,0.16333333333333333,0.999130394041531,1,0.8591407500978225,0,33836.42833333334,0,469561.3333333333,0,((((x)*((9)*(2)))+((0)+((5)+(8))))-(((x)*(x))*((9)+((3)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|ReplaceBranchXR|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,DeleteTerminalR,5,5,6,6,0
6,(x),30,-10,-0.02370220858117091,0.395,0.35072093566790635,0.4,9627.831166666665,0.04083333333333333,121881.75733333333,0,0.9995420323974132,1,0.545428050663187,0,61092.39666666667,0,891620.5666666667,0,((((6)*((9)+(6)))*((x)-((x)*(x))))*(((6)+(5))+((9)+((5)*((1)+(x)))))),((0)/(0)),FellTreeD|FellTreeD|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithAdd,DeleteTerminalR,6,5,7,7,0
7,(x),30,-10,0.09525441332765698,0.4,0.39825872329888345,0.4,12947.0115,0,199492.906,0,0.999429261772233,1,0.7130603421631299,0,38577.32,0,715447.6666666666,0,((((4)*((3)+(x)))*((9)*((4)+(4))))+(((7)-(x))*((x)+((0)*(x))))),((0)/((0)/(x))),DeleteNonTerminalR|DeleteMaliciousR|AddXD|SkipD|AddToLeafR|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DivXD,AddXD,DivXD,7,5,8,8,0
8,(x),30,-10,0.08148241533662656,0.3853258144058051,0.39128254611917285,0.4,11320.02413803117,0.11983918235259178,160911.124,0,0.9978758140184136,1,0.6824992368171718,0,26495.878333333334,0,192230.5,0,((((x)-((4)-(0)))*(((x)-(2))+((8)+(6))))*(((2)+(6))*((x)*((x)+((x)*(x)))))),((0)/(0)),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithDiv|ReplaceBranchXR|DeleteNonTerminalR|DeleteTerminalR|AddXD|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DeleteTerminalR,SubXD,DeleteTerminalR,8,7,9,9,0
9,(x),30,-10,0.1417931706271461,0.3824153149037345,0.39578844213836084,0.4,15626.386779861112,1.8109236996243114,188656.87666666668,0,0.9991924588178718,1,0.7837699233835912,0,64867.883333333324,0,505650.1666666667,0,((((0)+((9)-(8)))+(((6)-(2))*((x)-(x))))*(((x)*(5))*((5)+((x)+((x)*(x)))))),((0)/((0)/(x))),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DivXD,SubXD,DivXD,8,8,10,10,0
10,(x),30,-10,0.17378428695272038,0.4,0.3992941558571681,0.4,57826.8317,0,953196.1846666666,0,0.9989596413013062,1,0.5719666962323412,0,38945.34333333334,0,392492.8333333333,0,((((0)-((7)+(3)))+(((0)*(0))*((x)+(5))))*(((6)*(x))-((x)*((x)+((x)*(x)))))),((0)/((0)/(x))),SubXD|DeleteMaliciousR|MultXD|SubXD|AddTreeWithAdd|SubXD|MultXD|AddXD|AddTreeWithMult|AddTreeWithAdd|MultXD|AddToLeafR|MutateNonTerminalR|DeleteMaliciousR|AddTreeWithAdd,AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR|SkipD|AddTreeWithAdd|DeleteNonTerminalR|AddTreeWithDiv|SubXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|DivXD|DeleteTerminalR|DivXD,SubXD,DivXD,9,9,11,11,0
