gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3509713581317719,-0.06835161307097375,-0.19895634942181264,0.35876543209876544,36.09604500480511,77.51486687218018,333.04789153824777,0.3367489711934157,0.9565296077728609,1,0.5049009597103675,0.22305871362396962,549.02,7.6949999999999985,9393.366666666667,0,((((3)-(x))*((3)+((3)-(3))))*((8)+((4)*((9)*(9))))),(((x)-(0))*((0)+(x))),SubXD|SkipD|AddRandomSubTreeR|AddTreeWithMult|AddRandomSubTreeR|MultXD|MutateNonTerminalR|AddToLeafR|AddToLeafR|AddTreeWithMult|ReplaceBranchXR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,SubXD|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddXD|MutateTerminalR|AddTreeWithAdd|MutateNonTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchXR|DeleteNonTerminalR|DeleteTerminalR,AddToLeafR,DeleteTerminalR,0,0,1,1,2
1,(x),30,-10,-0.2451139682763252,0.06405051105113403,0.07583366975236171,0.3376182210751446,103.29008163895858,10.538569651219179,587.9381481481483,0.5094511945529858,0.9536214203834382,1,0.7771701121380667,0.49304357363914386,1059.5541922009736,3.8417805274074626,8804.351851851852,0,((((6)-(x))*((7)-((2)*(x))))-(((1)+(7))/((9)+((x)*(x))))),(((0)*((0)*(1)))-((0)/((0)+(x)))),AddXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MultXD|ReplaceBranchR|SubXD|AddXD|AddTreeWithAdd|AddTreeWithDiv|SkipD|MultXD|AddToLeafR|AddTreeWithMult,MutateTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithSub|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,AddXD,AddRandomSubTreeR,1,1,2,2,2
2,(x),30,-10,-0.17793427618776875,0.11089660127880528,0.2053505393611343,0.37510204081632653,187.23723970236335,66.27797962909789,1321.6642095238096,0.2033333333333333,0.9839106999755518,1,0.7528449042135177,0.4871145275223717,2749.3295535714283,2.8449999999999998,25379.18571428571,0,((((x)*(2))*((x)*(9)))*((x)-((9)/((7)*(x))))),(((6)+(8))/((0)/(x))),AddXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MultXD|DeleteTerminalR|DeleteTerminalR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithDiv|SkipD|MultXD|AddToLeafR|AddTreeWithMult,SkipD|MultXD|MultXD|AddXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DeleteMaliciousR|DivXD|AddTreeWithAdd|DeleteMaliciousR,DeleteTerminalR,DeleteMaliciousR,2,2,3,3,2
3,(x),30,-10,-0.13757195207369327,0.13319661690083073,0.24777193322009178,0.38,195.33605824192833,269.6995340738117,921.4129444444444,0.16333333333333333,0.9227202472952087,1,0.6906488318393249,0.5191558034692588,1576.6666666666667,3.40188995712568,5283.833333333333,0,(((0)+((9)*(9)))*((8)*(x))),((((0)+(x))+((1)*(0)))/((7)*((0)/(x)))),AddXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|MutateNonTerminalR|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|MultXD|MultXD|AddXD|DivXD|DeleteNonTerminalR|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|DeleteMaliciousR|DivXD|AddTreeWithAdd|DeleteMaliciousR,AddXD,DivXD,3,3,4,4,2
4,(x),30,-10,-0.09058955835955293,0.13287528619508282,0.28271519843692217,0.4,239.87810125906006,42.50235755855409,1153.84,0,0.9411849433454965,1,0.6993445843096079,0.5018528503434813,1455.035,3.261305351835495,6942.666666666667,0,(((9)*((8)*(x)))+((x)*(x))),(((8)+((8)-(x)))/((0)/(0))),MutateNonTerminalR|SubXD|ReplaceBranchR|AddXD|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|MultXD|MultXD|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DeleteMaliciousR|DivXD|AddRandomSubTreeR|DeleteTerminalR,SubXD,DivXD,4,4,5,5,2
5,(x),30,-10,-0.05139646581878957,0.18657014301142255,0.32558905846099173,0.4,344.6368460317461,3.8139652756142084,1825.5453333333326,0,0.9653920585368609,1,0.7598577357909126,0.44366795147243215,1599,2.0392773703376577,11798.833333333334,0,(((x)*((x)*(9)))+((x)*(x))),((((0)/(0))*((5)+(7)))/((1)-((6)/(x)))),MutateNonTerminalR|SubXD|ReplaceBranchR|AddXD|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|AddRandomSubTreeR|DivXD|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DeleteMaliciousR|DivXD|AddTreeWithAdd|DeleteMaliciousR,SubXD,DivXD,4,5,6,6,2
6,(x),30,-10,-0.07683972981390402,0.17436369694359716,0.2845823425342316,0.4,298.8012,86.86472572891208,1686.9833333333333,0,0.9610913479862787,1,0.7047228113492603,0.3805767586850667,1498.4533333333334,2.106632735492062,10494.666666666666,0,(((x)*((8)*(x)))+((x)*(x))),(((0)+((0)/(x)))-((x)+(x))),MutateNonTerminalR|SubXD|ReplaceBranchR|AddXD|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|MultXD|AddTreeWithMult|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,SubXD,AddRandomSubTreeR,4,6,7,7,2
7,(x),30,-10,-0.042225622749529325,0.20185097405136,0.35315027524675513,0.4,328.7542000000001,4.262453861586741,2116.3059999999996,0,0.9791618469577998,1,0.7422426697479402,0.3506557511188836,1855.1650000000002,1.6979393764761581,19595.466666666667,0,(((0)+((x)*(x)))*((x)*(x))),((((6)*(0))+((0)-(0)))*((2)*((0)/((0)+(0))))),MutateNonTerminalR|SubXD|ReplaceBranchR|AddXD|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|ReplaceBranchXR|FellTreeD|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|AddRandomSubTreeR|DivXD|AddXD|DivXD|AddRandomSubTreeR|AddTreeWithMult|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,AddXD,AddRandomSubTreeR,7,7,8,8,2
8,(x),30,-10,-0.04980085479460896,0.21673219428901505,0.3391010335034163,0.4,335.80676666666676,9.608701236043608,2052.116666666667,0,0.9555700632899914,1,0.6953663752175064,0.3874369432976907,1447.325,2.0587500000000003,9190.5,0,(((x)*((x)*(7)))+((x)*(x))),((0)*((0)+(x))),AddXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|MultXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|MultXD|AddTreeWithMult|AddXD|DivXD|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteMaliciousR|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,MultXD,DeleteMaliciousR,8,6,9,9,2
9,(x),30,-10,-0.03256875862624598,0.21254365614329612,0.3623734490246273,0.4,460.12036666666665,5.945143057464666,3081.7066666666674,0,0.9925441492874336,1,0.9668178028463581,0.39774750861906744,6481.099999999999,1.5819681727407153,54766.833333333336,0,(((x)*((7)*(6)))*((x)*(x))),(((8)+((0)+(0)))/((0)/(x))),AddXD|AddTreeWithSub|DeleteTerminalR|DeleteNonTerminalR|DivXD|MultXD|ReplaceBranchR|SubXD|AddXD|SubXD|FellTreeD|MultXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|MultXD|AddTreeWithMult|AddXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|DeleteMaliciousR|DivXD|AddRandomSubTreeR|DeleteTerminalR,MultXD,DivXD,8,9,10,10,2
10,(x),30,-10,-0.029963177070884042,0.23180952434790586,0.3576270724657688,0.4,474.9869333333333,33.39607285711356,2847.66,0,0.9878567392618879,1,0.7199070376207587,0.460975843021157,4862.151666666667,1.9534926674057698,33626.333333333336,0,((((9)*(8))-((1)*((7)*(7))))+(((9)-(5))+((3)+((x)*(x))))),((((x)*((0)*(7)))-((1)*((9)*(2))))+(((9)-(7))/((0)*((0)/((6)+(x)))))),SkipD|AddTreeWithSub|MutateTerminalR|DeleteNonTerminalR|DivXD|MultXD|ReplaceBranchR|SubXD|ReplaceBranchR|AddTreeWithAdd|AddTreeWithAdd|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult,SkipD|AddRandomSubTreeR|DivXD|AddTreeWithSub|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|MutateTerminalR|DeleteTerminalR|AddToLeafR|AddXD|AddRandomSubTreeR|DeleteTerminalR,ReplaceBranchR,AddRandomSubTreeR,9,10,11,11,2
