gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.35479513396305573,-0.035754262553544296,-0.1661968464776726,0.16917796928435394,79.7634456216037,23.606948497413487,1123.6821897725263,1.9667132508444427,0.9888153900233279,1,0.6637817472334341,0.49321662782746734,2033.42125,5.9975113424971935,36508.5,0,(((7)*((4)*(x)))*((x)*(x))),((((8)+((8)*(4)))*(((0)*(0))-((6)-(3))))/(((9)+((x)-(x)))+((1)-((7)/((x)/(0)))))),FellTreeD|DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|AddXD|DeleteNonTerminalR|MultXD|DivXD|AddTreeWithDiv|AddRandomSubTreeR|AddTreeWithAdd|DeleteNonTerminalR|MutateNonTerminalR|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|DeleteTerminalR|SubXD|AddTreeWithDiv|AddTreeWithAdd|AddXD|AddTreeWithSub|DivXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD,DeleteNonTerminalR,AddXD,0,0,1,1,3
1,(x),30,-10,-0.3094447909234615,0.03839081395425762,-0.0030858507923432767,0.336734693877551,108.61336381338968,14.586600663466925,1184.540366647642,0.5166666666666666,0.9799361929990826,1,0.6919275381362681,0.4701623459816272,1644.9108925717671,2.45,20351.7375,0,((((x)+(0))*((x)+((8)+(0))))*((x)-((9)/((8)*(x))))),((0)+(x)),AddXD|SubXD|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MutateTerminalR|AddTreeWithAdd|DeleteNonTerminalR|ReplaceBranchXR|MultXD|MutateNonTerminalR|DeleteTerminalR|AddTreeWithDiv,SkipD|SkipD|ReplaceBranchXR|AddTreeWithMult|AddTreeWithDiv|DeleteTerminalR|AddTreeWithSub|MutateNonTerminalR|ReplaceBranchR|DeleteTerminalR|FellTreeD|ReplaceBranchR|AddXD|DeleteNonTerminalR|AddXD,SubXD,AddXD,0,1,2,2,3
2,(x),30,-10,-0.2625601385553398,0.08102171285838622,0.0854760302869631,0.38,275.67355531299347,10.65800806440902,2378.8554888318135,0.16333333333333333,0.9939401134806505,1,0.8894774348313619,0.48936048492959283,8124.3727102133325,2.8583333333333334,67383,0,((((0)-(x))*((8)*((7)-(3))))/((x)-((2)*((x)*(x))))),((0)/((x)/(0))),ReplaceBranchXR|DeleteNonTerminalR|DeleteNonTerminalR|AddTreeWithSub|AddToLeafR|AddRandomSubTreeR|MutateNonTerminalR|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD|AddToLeafR|ReplaceBranchR|AddTreeWithDiv,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithSub|DivXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD,AddToLeafR,AddXD,2,2,3,3,3
3,(x),30,-10,-0.19814845818278634,0.09417717199138442,0.18136752063453293,0.4,358.2936144071474,3.50845533358457,4187.204637037036,0,0.9925502251656434,1,0.6694332940318639,0.5104177855340405,3278.019722222222,3.675,54811.5,0,((((0)+(6))*((8)*((7)-(4))))/((1)/((4)*((x)*(x))))),((0)/((x)/(0))),FellTreeD|DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|AddXD|DeleteNonTerminalR|MultXD|DivXD|AddTreeWithDiv|DeleteMaliciousR|AddTreeWithSub|DeleteTerminalR|MultXD|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteTerminalR|MutateNonTerminalR|AddXD|AddTreeWithSub|DivXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|SkipD,MultXD,DivXD,3,1,4,4,3
4,(x),30,-10,-0.10770820028531695,0.14967631640646512,0.24369756381612928,0.4,28123.877511381503,2.056604550389328,299961.4743333334,0,0.9999661401543591,1,0.8082298951440092,0.4442616583193193,1237861.855,2.0416666666666665,12059515.5,0,((((6)*(8))*((5)*((7)*(5))))+(((9)*(4))*((3)*((x)*(x))))),((0)/(0)),FellTreeD|DeleteTerminalR|DeleteNonTerminalR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchR|SkipD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR|DivXD|AddTreeWithSub|FellTreeD|AddXD|DeleteMaliciousR|SkipD,MultXD,ReplaceBranchXR,4,4,5,5,3
5,(x),30,-10,-0.010035257401032944,0.14093353431567002,0.3681023433740359,0.3951020408163265,49789.28096789737,2.4089235382475094,826201.8976666668,0.04,0.9999779879654548,1,0.4454291233818282,0.47016234598162715,948902.3516666666,2.45,18550458.5,0,((((7)*(x))*((3)*((6)+(x))))*(((7)*(2))*((x)*((8)*(x))))),((0)+(x)),FellTreeD|DeleteTerminalR|DeleteNonTerminalR|AddToLeafR|AddXD|AddXD|SkipD|MultXD|AddRandomSubTreeR|AddRandomSubTreeR|AddToLeafR|AddTreeWithMult|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteTerminalR|MutateNonTerminalR|DeleteTerminalR|DivXD|AddTreeWithSub|FellTreeD|AddXD|DeleteMaliciousR|SkipD,AddToLeafR,ReplaceBranchXR,5,4,6,6,3
6,(x),30,-10,0.018028711914127218,0.19167539709710177,0.38235396202163957,0.4,160371.38846923283,1.7014131828779488,1780131.4124074075,0,0.9999926940788941,1,0.6086174706501922,0.4893604849295928,3724710.9516666667,2.858333333333333,55890739.5,0,((((5)*((8)+(7)))*((4)+((x)*(0))))-(((9)-(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),FellTreeD|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteTerminalR|MultXD|AddTreeWithAdd|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|MultXD|AddTreeWithMult|FellTreeD|DivXD|MultXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithSub|FellTreeD|AddXD|DeleteMaliciousR|SkipD,MultXD,AddXD,6,6,7,7,3
7,(x),30,-10,0.046106204547271046,0.17300000000000004,0.3625926992959239,0.4,199779.5124062831,1.8538333333333332,1317103.1138412699,0,0.9999905123573257,1,0.727270211341894,0.4442616583193193,6999532.623055555,2.0416666666666665,43038439.3,0,((((5)/((5)+(5)))*(((5)*(4))*((2)*(8))))+(((3)-(x))*((x)*((x)*((x)*(x)))))),((0)+(x)),DeleteTerminalR|ReplaceBranchXR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddTreeWithDiv|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|FellTreeD|AddXD|DeleteMaliciousR|SkipD,MultXD,ReplaceBranchXR,7,7,8,8,3
8,(x),30,-10,0.1508528106311942,0.21153284036537628,0.39521016648604074,0.4,1281677.452632445,1.5424933333333337,16497227.998799998,0,0.9999992619411366,1,0.8153941360446819,0.4323435279394262,32771238.414781235,1.5829999999999997,553253071.9,0,((((4)*((6)/(8)))+(((x)*(8))*((7)*(9))))-(((x)*(x))*((6)*((8)*((x)*(x)))))),((0)+(x)),DeleteTerminalR|ReplaceBranchXR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddTreeWithDiv|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|FellTreeD|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,7,8,9,9,3
9,(x),30,-10,0.22864201900543546,0.23097209998227744,0.39991850855085687,0.4,2561736.2627994977,1.380397222222222,28729991.499,0,0.9999984459089222,1,0.6090395435695463,0.2236067977499791,23410609.77,0.4083333333333333,262747363.5,0,((((x)+((x)*(9)))-(((3)+(x))*((9)-(x))))*(((9)+(1))*((8)*((9)*((x)*(x)))))),((((0)/(x))*((3)-(9)))*((7)/((x)+(x)))),DeleteTerminalR|DeleteNonTerminalR|AddXD|MultXD|SubXD|AddToLeafR|SkipD|MultXD|AddRandomSubTreeR|MultXD|AddToLeafR|MultXD|AddTreeWithMult|AddToLeafR|MultXD,ReplaceBranchXR|AddXD|AddTreeWithMult|ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|DivXD|MultXD|DeleteTerminalR|DivXD|AddTreeWithSub|AddTreeWithMult|AddXD|DeleteMaliciousR|SkipD,MultXD,AddTreeWithMult,9,9,10,10,3
