gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3724241334654448,-0.0787240064813428,-0.23551147994695973,0.32432653061224487,21.750088915912787,82.90988993860122,266.2654871605629,0.618,0.9605940804266776,1,0.5866296198210459,0.5415190824117118,629.383384226963,4.991355264782319,10362.233333333334,0,((((2)+(8))+((x)-(4)))*((1)*((6)*((x)*(x))))),((((4)+((6)/(9)))/((0)/((8)+(8))))+(((4)/(x))*((0)+((0)/((x)/(x)))))),FellTreeD|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithAdd|AddTreeWithSub|ReplaceBranchXR|DivXD|MultXD|MutateNonTerminalR|SkipD|AddToLeafR|MutateNonTerminalR|AddTreeWithSub|ReplaceBranchR,SkipD|AddXD|AddTreeWithMult|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|AddToLeafR|DeleteNonTerminalR|AddTreeWithAdd|DivXD|DeleteMaliciousR|DivXD,AddTreeWithSub,DeleteMaliciousR,0,0,1,1,4
1,(x),30,-10,-0.3208952449645874,0.06012938492998223,-0.14460148782412766,0.37758214110994487,824.1390300523996,12.46427352473453,14363.047429123859,0.18307918093545028,0.9989301207260507,1,0.8024874597649866,0.5098994182296206,20908.805,3.330901613775177,381663,0,((((3)-((x)*(9)))+((6)*((9)*(8))))+(((7)*(5))-((1)+((6)*(x))))),(((x)+((5)/(0)))*((0)+((x)/(x)))),MutateNonTerminalR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|DeleteMaliciousR|AddTreeWithSub|AddTreeWithAdd|MultXD|MutateNonTerminalR|SkipD|AddToLeafR|MutateNonTerminalR|AddTreeWithMult|AddToLeafR,DeleteTerminalR|SubXD|SkipD|DivXD|SubXD|DeleteNonTerminalR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|AddXD|MutateTerminalR|DeleteMaliciousR,MutateNonTerminalR,SubXD,1,0,2,2,4
2,(x),30,-10,-0.26110614258100795,0.1539876137312607,0.07672023353684743,0.3641404485659872,207.88462420629864,3.402913446233756,1869.2413333333338,0.29285300337777115,0.9669496852800643,1,0.6723634965508175,0.3896260567923395,2197.2349999999997,1.5497508132910056,12354.9,0,((((9)*(x))+((4)+(9)))-((4)*((x)*(x)))),((((7)/(7))/((8)*(6)))-((0)+((x)/(0)))),AddTreeWithDiv|AddTreeWithAdd|SubXD|AddRandomSubTreeR|FellTreeD|AddToLeafR|ReplaceBranchR|AddRandomSubTreeR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|AddToLeafR|FellTreeD|SubXD|AddTreeWithDiv|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|AddXD|DivXD|DeleteMaliciousR,MutateNonTerminalR,DeleteTerminalR,2,2,3,3,4
3,(x),30,-10,-0.20114861426058436,0.20639943071812894,0.19610085470634608,0.4,505.4461476099959,1.9030612636897084,4990.835227741528,0,0.9937495588549191,1,0.7606939046068906,0.415888680323548,6988.103472222222,1.910614172685516,65328.72222222221,0,((((x)*(6))-((4)+(8)))/((6)*((x)*((x)*(x))))),(((((6)*(2))/((1)/(0)))/(((9)*(0))*((1)-(3))))+(((7)+((9)-(1)))/(((9)/(x))/((x)+((x)/(x)))))),MultXD|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|MutateNonTerminalR|MultXD|AddTreeWithDiv|MultXD,DeleteTerminalR|SubXD|MutateNonTerminalR|ReplaceBranchXR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|AddXD|DivXD|DeleteMaliciousR,MultXD,DivXD,3,3,4,4,4
4,(x),30,-10,-0.08662563823334908,0.20487312474850033,0.362108080033782,0.4,59085.057659086815,1.7884967974135395,1137808.454730159,0,0.9999924379362927,1,0.9332499323796987,0.49827740993445985,2715664.211599868,2.4375318011194707,53997605.56666667,0,((((x)-((1)*(x)))-((2)+((6)*(x))))*(((9)+(5))/((5)*((x)*((x)*(x)))))),(((((9)/(x))+((2)+(6)))*(((0)*(0))+((6)*(8))))/(((6)/((7)*(9)))+(((x)*(0))/((x)/((0)/(x)))))),MultXD|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|MutateNonTerminalR|MultXD|AddTreeWithDiv|MultXD,SkipD|AddXD|AddTreeWithMult|AddTreeWithDiv|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|DivXD,MultXD,DivXD,3,4,5,5,4
5,(x),30,-10,0.05091023852340186,0.20948701925142973,0.3916385581792099,0.4,38496.529677442464,2.3813944205523554,698273.9957129629,0,0.9999685158276331,1,0.8109392102776576,0.22360679774997905,656668.4406296295,0.4083333333333333,12969479.666666666,0,((((9)/(1))+((x)+((x)*(x))))*(((x)+(0))*((x)*((x)*(x))))),(((((x)/(0))*((0)*(x)))*(((x)*(9))*((4)+(2))))*(((0)+((3)/(x)))/(((x)/(x))*((x)+((x)/(x)))))),MultXD|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddToLeafR|MutateNonTerminalR|MultXD|AddTreeWithDiv|MultXD,DeleteTerminalR|AddTreeWithAdd|SkipD|DivXD|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|DivXD|DeleteMaliciousR|DeleteMaliciousR,MultXD,DivXD,3,5,6,6,4
6,(x),30,-10,0.1507790698253449,0.24026100094475336,0.3961325556876323,0.4,23015.11647541444,2.6638323539331594,303238.4113095238,0,0.9998335519012007,1,0.8003518996695949,0.33187218732821394,248757.6583333333,0.8882360868018964,2453217.1666666665,0,((((x)*(5))+((7)*(6)))-((x)*((x)*((x)*(x))))),((((2)-((7)*(5)))*(((5)+(2))+((0)/(0))))-(((0)-((x)/(2)))/((5)/((x)/((x)/(x)))))),MutateNonTerminalR|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|SubXD|SkipD|DivXD|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|SubXD|DeleteMaliciousR|DeleteMaliciousR,MutateNonTerminalR,DivXD,6,5,7,7,4
7,(x),30,-10,0.15077297614517207,0.27924732851000067,0.39578751823255837,0.4,59137.121426397294,1.5672561529691782,887925.8421111113,0,0.9999699918766173,1,0.6861289638555671,0.21356730887140857,721622.8683333333,0.39,13607426.5,0,((((9)-(3))*((7)+((4)*(9))))*(((x)+(3))*((x)*((x)*(x))))),(((0)/(5))+((0)/(0))),MutateNonTerminalR|AddXD|AddTreeWithSub|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|AddTreeWithAdd|SkipD|DivXD|ReplaceBranchXR|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|AddTreeWithMult|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR,MutateNonTerminalR,AddTreeWithDiv,6,7,8,8,4
8,(x),30,-10,0.2235638921545655,0.25616426516215723,0.39956086613085856,0.4,84605.93962026142,1.8416926661986084,1156872.4976111113,0,0.9999761893946476,1,0.6185826903456517,0.3575512952565133,887534.2300000001,1.0183333333333333,17149221,0,((((2)+(9))*((7)-((2)-(0))))*(((x)*(x))*((x)*((x)*(x))))),((0)/((0)/(3))),MutateNonTerminalR|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|MultXD|MutateNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|ReplaceBranchR|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|DivXD|AddRandomSubTreeR|DivXD|ReplaceBranchXR|MutateTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR,MultXD,AddTreeWithDiv,8,8,9,9,4
9,(x),30,-10,0.23894978801922295,0.29307791385143955,0.3995706281311935,0.4,365224.5279733928,3.045818005068496,6880480.363666667,0,0.9999978173621201,1,0.4153953636721322,0.22360679774997902,9481404.23,0.4083333333333333,187082491.83333334,0,((((x)*(5))*((x)*((5)*(x))))*(((6)*(6))-((2)*((x)*(x))))),(((x)*((0)*(5)))/((0)*((3)/(0)))),MultXD|AddXD|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|MultXD|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|DivXD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|MultXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR,MultXD,DeleteMaliciousR,9,9,10,10,4
10,(x),30,-10,0.24422381118268613,0.3015332404815034,0.3996069027565536,0.4,271136.70328723546,1.5560026204281856,4816112.714666666,0,0.9999978046466864,1,0.2198543003032391,0,10016358.921666667,0,185998914.53333333,0,((((x)*((x)+(7)))*((5)*((8)+(9))))+(((x)*(x))*((5)*((x)*(x))))),(((0)/(0))*((4)/(4))),DeleteNonTerminalR|AddTreeWithSub|AddXD|AddToLeafR|AddTreeWithDiv|MultXD|MutateNonTerminalR|ReplaceBranchXR|MutateNonTerminalR|SkipD|AddTreeWithAdd|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD,DeleteTerminalR|MutateTerminalR|MutateNonTerminalR|ReplaceBranchXR|DivXD|AddRandomSubTreeR|AddXD|DeleteMaliciousR|MultXD|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR,MutateNonTerminalR,DeleteMaliciousR,10,9,11,11,4
