gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.355232708326892,-0.057930853771436475,-0.24404046279547248,0.3508163265306123,76.56632586000582,135.27800339727276,631.4099074074076,0.4016666666666666,0.9682057670845337,1,0.8205656652909515,0.4442616583193193,2035.5407067714666,6.125,12843,0,(((9)*((6)+(9)))*((x)*(x))),((0)+(x)),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|AddTreeWithSub|SubXD|SkipD|AddTreeWithMult|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|DivXD,AddTreeWithSub|SubXD|AddRandomSubTreeR|MutateTerminalR|SkipD|AddToLeafR|DeleteMaliciousR|DeleteTerminalR|SkipD|FellTreeD|DeleteMaliciousR|ReplaceBranchR|AddXD|ReplaceBranchR|DeleteNonTerminalR,AddTreeWithMult,ReplaceBranchR,0,0,1,1,5
1,(x),30,-10,-0.29833450400721095,0.02599681842637946,-0.023902426264069073,0.3877551020408163,258.0617818436361,11.55819332602976,3362.8691851851845,0.1,0.9948137193845389,1,0.817740392939402,0.43330866215421243,4670.653333333334,3.1665134934020704,78733.36666666667,0,((((1)+(x))*((x)*(8)))-((9)*((x)*((4)*(x))))),(((((7)*(9))-((3)/(2)))*(((x)-(9))*((3)*(x))))-(((7)-((0)/(0)))/(((5)+(x))-((8)/((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|FellTreeD|ReplaceBranchXR|MutateTerminalR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|MutateTerminalR|AddXD|SubXD|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,MutateTerminalR,1,1,2,2,5
2,(x),30,-10,-0.22353861970102776,-0.02073928842844472,0.18752908831108694,0.3404081632653061,1346.7531041549128,245.92783343991275,11260.501239438236,0.48666666666666664,0.9988772391631812,1,0.7743748775315937,0.36856296968151403,50930.128333333334,2.219335628335854,363686.8333333333,0,((((x)*(x))*((9)*(4)))*((x)*((7)+((9)+(5))))),((((x)*(4))/((8)/(0)))/((2)-((6)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|FellTreeD|ReplaceBranchXR|MutateTerminalR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,MutateTerminalR,1,2,3,3,5
3,(x),30,-10,-0.17736814954047084,0.08260769909873508,0.30778475259417787,0.38285714285714284,4550.241666703083,276.74242775608013,51449.62476672832,0.14,0.999826055482905,1,0.785586609803129,0.19623999160845257,206890.825,0.6111619354258283,2347491.8333333335,0,((((9)*(8))*((x)*((5)*(5))))*((8)*((0)+((x)*(x))))),((((2)+((x)-(x)))*((9)/((0)/(7))))-(((5)-(2))/((x)/((x)+(x))))),DeleteMaliciousR|AddToLeafR|DivXD|MultXD|MutateTerminalR|MultXD|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|SubXD|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,3,3,4,4,5
4,(x),30,-10,-0.10091117411100178,0.21047333787332545,0.3483748830886929,0.4,5760.959341561275,15.139996936956596,53586.89302777776,0,0.9996600052206546,1,0.9381292097967039,0.2336142355215014,119607.91166666667,0.6740436908475538,1200998.8333333333,0,((((7)+(8))*((6)+((7)*(6))))*(((5)*(2))*((2)*((x)*(x))))),((((3)-(3))*((7)-((x)+(x))))*((x)/((3)/((x)+(x))))),DeleteMaliciousR|AddToLeafR|DivXD|MultXD|MutateTerminalR|MultXD|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,AddToLeafR|DeleteTerminalR|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteMaliciousR|MutateTerminalR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,MultXD,MutateTerminalR,3,4,5,5,5
5,(x),30,-10,-0.014730682556691375,0.230001777211507,0.38893833928830196,0.4,17031.61800198412,18.513428008939826,263035.1673333333,0,0.9999461251790657,1,0.6964446862546116,0.3095133775004317,391618.445,1.4180835357594155,7579298.2,0,((((4)*((x)*(x)))*((3)*((x)*(4))))*(((8)+(1))+((3)*((x)-(x))))),((((5)-(5))/((4)-(9)))/((x)/((x)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SubXD|DeleteMaliciousR|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|SubXD|MutateTerminalR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,DeleteMaliciousR,MutateTerminalR,5,4,6,6,5
6,(x),30,-10,0.003958965208500221,0.2579071608845749,0.39326262036265497,0.4,7797.689933333333,3.912843459774505,97390.84799999997,0,0.9997205439332884,1,0.8383383346989374,0.25348246362771776,126481.91666666667,0.6721934811149983,1461171.8333333333,0,((((7)*(7))*((5)*((4)+(2))))*(((9)*(5))*((3)+((1)*(x))))),((((7)+(7))-((4)/(0)))/((x)/((x)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|MutateTerminalR|MutateTerminalR|AddTreeWithDiv|AddRandomSubTreeR|DeleteNonTerminalR|MutateTerminalR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,MutateTerminalR,6,6,7,7,5
7,(x),30,-10,0.002014186454576501,0.2762678281390092,0.3884079197791441,0.4,33159.44526666667,6.959461350851672,445611.5013333333,0,0.9999705711973245,1,0.8891835785198161,0.14606373651331908,941875.5283333333,0.6667451079734162,13875295.5,0,((((x)*(9))*((6)*((5)*(4))))*((7)+((8)*((9)*(x))))),(((((9)+(3))-((3)*(7)))-(((8)-(0))*((2)*(0))))*(((9)/((0)/(x)))-(((x)*(x))/((x)/((x)+(x)))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|MultXD|SkipD|AddTreeWithMult|AddTreeWithMult|AddRandomSubTreeR|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|SubXD|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|MutateTerminalR|AddTreeWithSub,MultXD,DivXD,7,7,8,8,5
8,(x),30,-10,0.006757160577087846,0.2776904569032308,0.39171609305802596,0.4,45694.27736666668,6.487599560375751,771816.14,0,0.9999813150481327,1,0.8759714554929452,0.31010559949346156,1107663.6233333333,1.0919582886348103,21853593,0,((((9)*(9))*((5)*(x)))*((x)*((9)*((7)*(9))))),((((0)*(x))-((5)-((6)/(x))))/((1)/((x)/((x)+(x))))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|FellTreeD|MutateTerminalR|AddToLeafR|AddRandomSubTreeR|MultXD|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|ReplaceBranchXR|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,7,8,9,9,5
9,(x),30,-10,0.051677610749999936,0.2713689625310579,0.39681469553096144,0.4,6558.112433333333,16.763776269779317,72570.90333333334,0,0.999410611825821,1,0.5898312916935434,0.1692731398412863,70929.71666666666,0.7294165998560148,692808.8333333334,0,((((6)+(7))+((0)*((8)*(x))))*((x)*((7)*((8)+(2))))),(((1)*((x)/(0)))/((7)-((4)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|DivXD|MutateNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DivXD,9,9,10,10,5
10,(x),30,-10,0.011607610397298023,0.30664948846724666,0.3935304398172425,0.4,12773.977033333327,1.1518634623736759,148143.5053333333,0,0.9998258640501448,1,0.7062421085139372,0.2611792798719797,217062.86833333332,0.7203062728451478,2344911.1666666665,0,((((8)*(x))*((8)*((5)*(1))))-(((1)-(7))*((x)*((4)+(7))))),(((0)*((1)/(4)))-((2)/((x)+(x)))),DeleteMaliciousR|AddToLeafR|DeleteMaliciousR|MultXD|MutateTerminalR|AddRandomSubTreeR|MultXD|AddTreeWithAdd|SkipD|AddTreeWithMult|AddTreeWithMult|AddTreeWithMult|MutateTerminalR|AddRandomSubTreeR|SkipD,DivXD|DeleteTerminalR|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchXR|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|MultXD|DivXD|MutateTerminalR|MutateTerminalR|DivXD|AddXD|AddTreeWithSub,AddTreeWithMult,DeleteTerminalR,10,10,11,11,5
