gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.333170304010999,-0.08907109071175734,-0.09894243589625379,0.2371823142775997,67.1988292431632,1198.5402640378693,526.9130666666666,14.5,0.9744600116754232,1,0.7777556309755207,0.7061950420306066,1826.9433333333332,6.314218673300635,15988,0,((((7)-((1)*(0)))*((x)*((1)+(5))))*(((1)+(3))*((x)+((x)-((x)+(x)))))),(((((2)*(4))/((0)+(6)))+(((8)*(x))-((x)/(x))))+(((4)*((0)+(2)))-((x)/((x)*((x)-(x)))))),SkipD|DeleteTerminalR|AddTreeWithMult|MultXD|ReplaceBranchR|MultXD|AddToLeafR|AddToLeafR|AddRandomSubTreeR|AddXD|AddToLeafR|SubXD|ReplaceBranchR|AddRandomSubTreeR|AddXD,AddTreeWithDiv|SubXD|DivXD|AddXD|AddTreeWithAdd|SubXD|MutateTerminalR|DeleteMaliciousR|AddTreeWithMult|AddTreeWithMult|AddTreeWithAdd|DeleteTerminalR|DivXD|MultXD|SubXD,AddToLeafR,SubXD,0,0,1,1,6
1,(x),30,-10,-0.21321833370152285,0.00933544018453706,0.15382403857743573,0.3,590.744491212364,66.89784418584154,4586.407161979494,0.8166666666666665,0.9947024759114013,1,0.6168422249564296,0.512989176042577,14249.968333333334,4.083333333333333,77080.03333333334,0,((((8)-((2)+(3)))+((x)*((1)-(8))))-(((x)*(x))*((5)+((x)*(x))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|AddXD|MultXD|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|MutateTerminalR|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,1,1,2,2,6
2,(x),30,-10,-0.0420226310593511,0.07354597546894942,0.32521649725310786,0.37428571428571433,10195.203858946601,10.552857676179688,107861.2213630672,0.21,0.9998046974177093,1,0.4381885334125745,0.48936048492959294,187516.39666666664,2.858333333333333,2090772.8333333333,0,((((2)*((5)*(5)))+((8)*((9)*(8))))-(((5)+(6))*((9)*((6)*(x))))),((x)+((0)*(5))),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|SkipD|MultXD|SkipD,FellTreeD|MutateNonTerminalR|DeleteTerminalR|MutateTerminalR|AddTreeWithSub|SubXD|DeleteNonTerminalR|SkipD|FellTreeD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,AddToLeafR,FellTreeD,2,2,3,3,6
3,(x),30,-10,0.12600646431099974,0.1306815555893119,0.347816147422149,0.3683446712018141,195026.4808795181,6.075046134296949,3226559.5905,0.2585185185185185,0.9999963830602348,1,0.3755099387048566,0.47016234598162715,5767567.9366666665,2.4499999999999997,112894701,0,((((7)+((5)*(5)))*((3)*((x)*(4))))*(((8)*(x))-((x)*((x)*(x))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MutateTerminalR|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,AddToLeafR,DivXD,3,3,4,4,6
4,(x),30,-10,0.2010644454569468,0.1570758146886919,0.35569844381628934,0.4,334431.5971212964,3.8068653275467272,6082379.287333334,0,0.9999984409263835,1,0.015182606264417071,0.4893604849295929,13519785.155000001,2.8583333333333334,261907666.83333334,0,((((9)-((4)+(5)))*(((6)*(8))+((6)*(x))))*(((x)-(0))+((6)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,4,3,5,5,6
5,(x),30,-10,0.2644349223300592,0.20517427255754128,0.3997566576340868,0.4,157516.5008666667,2.8901749193696484,1265452.5593333335,0,0.9999647395304073,1,0.44154875659434123,0.4442616583193193,2774403.3633333333,2.0416666666666665,11580484.833333334,0,((((x)+((9)+(x)))*(((1)-(9))*((2)-(5))))*(((9)-(x))*((x)*((8)+((7)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|AddXD|AddToLeafR|AddToLeafR|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|AddTreeWithAdd|DivXD|DeleteMaliciousR,MultXD,DivXD,5,5,6,6,6
6,(x),30,-10,0.300025687896269,0.17432212521554097,0.39978659084619006,0.38,1974147.6991666672,1.8683747088259617,25693393.250666674,0.16333333333333333,0.9999992416102168,1,0.6089484280512961,0.41039134083406165,49566946.864999995,1.6333333333333333,538421458.7333333,0,((((6)*((8)*(4)))*(((9)*(x))-((5)+(6))))+(((4)+(6))*((x)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|AddRandomSubTreeR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,6,6,7,7,6
7,(x),30,-10,0.31977140564174694,0.1689561354467842,0.39989984920890626,0.38,2243067.7489,1.8985469090996716,28165497.283999994,0.16333333333333333,0.9999994953189296,1,0.441805823050471,0.5104177855340405,44180812.513333336,3.675,809091835.1333333,0,((((x)*((3)-(x)))*((5)*((1)+(x))))*(((9)*(4))-((x)*((x)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|AddToLeafR|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|SkipD|MultXD|SkipD,DivXD|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|AddRandomSubTreeR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,6,7,8,8,6
8,(x),30,-10,0.32270519124110825,0.19200000000000003,0.3999151573752785,0.4,2939143.899497582,1.6986666666666668,36435329.292666666,0,0.9999996368473472,1,0.0023869752338294423,0.47016234598162715,76350977.22833332,2.4499999999999997,1124412365.0666666,0,((((4)-((3)+(3)))+(((x)*(x))*((x)-(x))))*(((x)*(7))+((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,8,8,9,9,6
9,(x),30,-10,0.3271879730278775,0.17988439447672808,0.3999815658099092,0.4,2792189.4507333324,7.19759964847555,27925337.684666667,0,0.9999985293569684,1,0.4426320273984321,0.4701623459816272,35000420.25833333,2.45,277656320.76666665,0,((((x)*((9)*(5)))+(((6)*(x))-((x)*(x))))*(((0)-(2))+((3)+((4)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|ReplaceBranchR|MutateNonTerminalR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,8,9,10,10,6
10,(x),30,-10,0.3219211731327173,0.19166579339794276,0.3999425645161493,0.4,2520060.1737333327,3.1503870804237626,33560799.616,0,0.9999994187118052,1,0.44264809211274203,0.47016234598162715,45655033.49666667,2.45,702462800.8333334,0,((((9)*((4)+(5)))*(((x)-(x))*((3)+(5))))*(((7)*(x))*((1)+((7)*((x)*(x)))))),((0)/(0)),AddTreeWithDiv|FellTreeD|AddToLeafR|MultXD|SubXD|MultXD|MultXD|ReplaceBranchXR|AddTreeWithMult|AddTreeWithAdd|AddRandomSubTreeR|MultXD|AddTreeWithAdd|MultXD|SkipD,DivXD|DeleteNonTerminalR|SkipD|MutateNonTerminalR|AddXD|AddToLeafR|MutateNonTerminalR|MutateTerminalR|DivXD|AddTreeWithAdd|DivXD|MutateNonTerminalR|FellTreeD|DivXD|DeleteMaliciousR,MultXD,DivXD,10,10,11,11,6
