gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.3468618318024279,-0.05570280543951792,-0.1483504126537799,0.30907208216339443,59.45195766941027,200031.108358068,783.546616295584,0.7425779956656118,0.9797045983581435,1,0.6241387586912485,0.5272610373340197,1380.6633333333334,5.78325569303704,20119.5,0,((((0)-(4))*((x)*(x)))+((x)*((9)*(6)))),((0)/(0)),ReplaceBranchR|AddTreeWithSub|AddTreeWithAdd|MutateNonTerminalR|MutateTerminalR|FellTreeD|MutateNonTerminalR|SkipD|SubXD|AddXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|DeleteMaliciousR|SubXD|MultXD|AddTreeWithAdd|SubXD|AddTreeWithAdd|DeleteTerminalR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MutateNonTerminalR,DeleteTerminalR,0,0,1,1,7
1,(x),30,-10,-0.2895635932372981,0.0351629832355949,0.01631027970861522,0.388617949082993,5768.867683609304,17.219416440435563,100269.55999999997,0.09295341582222388,0.9999174607198092,1,0.8952099408635295,0.3663475485325232,276008.05528988526,1.225,4947139.5,0,((((4)*((9)+(9)))*((0)+((4)*(9))))+(((9)/(2))*((8)*((4)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|MultXD|MutateTerminalR|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|ReplaceBranchXR|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithAdd|DeleteMaliciousR|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|DeleteTerminalR|DeleteNonTerminalR|DivXD|DeleteTerminalR,SkipD,DeleteMaliciousR,1,1,2,2,7
2,(x),30,-10,-0.2013821589469027,0.1329867932376903,0.176431576733323,0.4,6198.563480474091,58.273504554886706,92011.29316666667,0,0.9997537133245213,1,0.7428933839563622,0.4066879351699714,108680.0149081829,1.6183333333333334,1657959.5,0,((((3)+((9)*(6)))-(((1)-(1))+((x)*(5))))+(((x)*(9))+((x)*((x)*((6)*(7)))))),((((x)+(x))-((0)*(6)))/((0)+((0)/(x)))),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithDiv|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|AddTreeWithAdd|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteNonTerminalR,2,2,3,3,7
3,(x),30,-10,-0.14784733909152797,0.17870165738066734,0.2812608903533304,0.4,1754.0072145572221,2.2945412011772324,18742.519738870935,0,0.9990681402475552,1,0.9240199508598926,0.40488028111226726,46980.02166666667,1.6110274340740673,438191.8333333333,0,((((8)*(1))+((2)*(9)))+((5)*((x)*((x)*(x))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|FellTreeD|MultXD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|SubXD|AddTreeWithAdd|DeleteTerminalR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,3,3,4,4,7
4,(x),30,-10,0.023209740181378745,0.2328741161032218,0.38989815424676805,0.4,44750.04090788507,1.414373475934531,796015.2610396515,0,0.9999823427206854,1,0.8322853553529624,0.40313603284663074,1207647.3883333332,1.6034109736296265,23125495.5,0,((((8)*(5))*((5)*((7)+(8))))*((9)*((9)*((x)*(x))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|FellTreeD|MultXD|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR|AddRandomSubTreeR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,3,4,5,5,7
5,(x),30,-10,0.10642753223398849,0.21194473208294812,0.38501003481789,0.4,42282.005421688205,1.7664066763095034,563549.4993333333,0,0.9999728171331324,1,0.8042160552876068,0.41509747339702757,958198.8550000001,1.6525445769215963,15021717,0,((((9)*((x)+(7)))*((2)*((5)+(3))))*(((0)*(x))*((x)*((x)*(x))))),((0)/(0)),ReplaceBranchR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|MultXD|MutateNonTerminalR|SkipD|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,SkipD,DeleteNonTerminalR,5,5,6,6,7
6,(x),30,-10,0.17357714642524916,0.23980311647064467,0.3982586443732247,0.4,26192.404615393105,6.33528860798692,339993.6698333333,0,0.9999443218274731,1,0.7161568711892812,0.30219891644133057,566058.7633333333,0.8016666666666665,7333813.5,0,((((x)+(x))*((9)+((2)+(5))))*(((x)*(x))*((x)*((9)*(4))))),((0)/(0)),AddRandomSubTreeR|SkipD|AddTreeWithAdd|AddXD|ReplaceBranchXR|MultXD|MutateNonTerminalR|SkipD|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,6,5,7,7,7
7,(x),30,-10,0.13987214238019963,0.2495338822206651,0.36474970497388914,0.4,29751.82033733593,1.2799167638646383,479146.0693333333,0,0.9999785391708931,1,0.6559826975301867,0.36617433521214093,1010985.9700000001,1.224420483270163,19026913.233333334,0,((((8)-((x)+(x)))+(((5)*(8))+((2)*(9))))*(((2)+(7))*((x)*((x)*((8)*(6)))))),((0)+((x)/(0))),AddRandomSubTreeR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithSub|MultXD|MutateNonTerminalR|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddXD|DeleteTerminalR,MultXD,DeleteNonTerminalR,7,6,8,8,7
8,(x),30,-10,0.17438033397291408,0.27325163666332564,0.36174776924345986,0.4,35642.50313554962,1.112159354552952,474527.33752067486,0,0.9999338984085884,1,0.7009904099358476,0.36634754853252316,470521.50666666665,1.225,6177360.1,0,((((x)+((x)-(3)))+((0)*((1)-(3))))*(((6)*(6))*((4)*((x)*((x)*(x)))))),((0)/(0)),AddRandomSubTreeR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithSub|MultXD|MutateNonTerminalR|SkipD|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithDiv|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,SkipD,DeleteNonTerminalR,8,8,9,9,7
9,(x),30,-10,0.21853221737791845,0.2632336906599566,0.39953687911785496,0.4,35352.76643333334,1.3320486291505103,431397.1433333334,0,0.9998233320654103,1,0.6041135820356216,0.3619483165234537,295637.88333333336,1.2100731591879108,2311304.1666666665,0,((((2)+((3)+(x)))+(((x)-(x))+((6)*(8))))*(((9)*(6))-((4)*((8)*((x)*(x)))))),((0)/(0)),AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|AddXD|AddTreeWithSub|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,MutateNonTerminalR|DivXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithSub,DeleteNonTerminalR,9,9,10,10,7
10,(x),30,-10,0.20790602455032464,0.29253887721847444,0.39782837544556526,0.4,24545.995300000002,0.8789664690348082,360243.948,0,0.9999010438740361,1,0.7258930147492488,0.22360679774997907,232394.20166666666,0.4083333333333333,4126407.8333333335,0,((((x)*((6)*(8)))+(((6)+(6))*((x)-(3))))-(((3)+(1))*((5)*((9)*((x)*(x)))))),((0)/(0)),ReplaceBranchXR|SkipD|AddTreeWithAdd|AddXD|AddTreeWithAdd|AddTreeWithAdd|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MultXD|MultXD|AddToLeafR|AddTreeWithMult|AddRandomSubTreeR|SkipD,DeleteMaliciousR|DivXD|DeleteNonTerminalR|ReplaceBranchXR|DeleteTerminalR|AddTreeWithAdd|AddXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithMult|DeleteMaliciousR|ReplaceBranchXR|DeleteNonTerminalR|DivXD|DeleteTerminalR,AddTreeWithAdd,DeleteMaliciousR,10,9,11,11,7
