gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),30,-10,-0.346548648174223,-0.11355318954310518,-0.18444575340568142,0.26927605534651244,24.34311513281557,180.2320529246218,116.14553588551117,2.568957557807403,0.5967078189300412,1,0.6060279673109426,0.3492887494364982,321.3183333333333,6.598333333333332,1012.5,0,(((x)-((4)*(x)))*((x)-(x))),(x),AddToLeafR|DeleteMaliciousR|AddRandomSubTreeR|ReplaceBranchR|FellTreeD|AddTreeWithMult|AddTreeWithMult|SkipD|ReplaceBranchXR|FellTreeD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|SubXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|SubXD|DeleteNonTerminalR|DivXD|FellTreeD|MutateTerminalR,AddToLeafR,SubXD,0,0,1,1,9
1,(x),30,-10,-0.23711246627842994,-0.007084855169884714,0.08540534211461395,0.3435918367346939,916.1723344297101,31.849888298138584,9267.038886910797,0.4606666666666666,0.9989678332173515,1,0.9224144741218828,0.4194071067873428,36322.04771604939,6.31491788529095,395607.9,0,((((8)*(x))*((4)*((1)+(x))))*(((4)-(0))+((0)*((9)*(x))))),(((0)+((0)+(1)))+((5)/(0))),AddTreeWithMult|AddTreeWithAdd|MultXD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithDiv|AddToLeafR|DeleteMaliciousR|DeleteMaliciousR|MutateNonTerminalR|MutateTerminalR|AddTreeWithMult|MultXD,MutateNonTerminalR|DeleteTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddTreeWithSub|AddToLeafR|FellTreeD|AddTreeWithSub|MutateNonTerminalR|AddTreeWithSub|MultXD|SkipD|FellTreeD|AddToLeafR|AddTreeWithDiv,DeleteMaliciousR,AddTreeWithSub,1,1,2,2,9
2,(x),30,-10,-0.02095458824975432,0.05814473422501999,0.3694056913864141,0.35692517006802715,3959.8242812159256,3.0015942777989415,32268.16866666666,0.35177777777777774,0.9997084193773866,1,0.10389578372782238,0,164373.85666666663,0,1400413.1333333333,0,((((6)-(6))+((8)*((1)+(9))))*(((x)-(x))*((x)*((x)*(x))))),((0)+(x)),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|SubXD|DeleteNonTerminalR|DivXD|FellTreeD|AddXD,MultXD,AddTreeWithSub,2,2,3,3,9
3,(x),30,-10,0.07241004863245555,0.05341165364318082,0.34947523174440187,0.38163265306122446,7677.289133333335,7.390132593738372,67937.70000000001,0.15,0.9997145890453871,1,0.3968178419812094,0.3874329601976237,153088.7,6.156666666666666,1430685.5666666667,0,((((1)+(5))*((8)*((5)*(9))))+(((x)*(5))+((x)*((x)*(x))))),(x),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MutateTerminalR|AddTreeWithMult|MultXD,AddTreeWithSub|AddXD|MutateNonTerminalR|SubXD|FellTreeD|MultXD|AddTreeWithSub|MutateTerminalR|DivXD|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|AddToLeafR|MutateTerminalR|MutateTerminalR,MultXD,MutateTerminalR,3,3,4,4,9
4,(x),30,-10,0.15195897223549668,0.029887398488540225,0.38753852150355866,0.36326530612244895,3547.1306333333337,4.772416734894068,24181.992666666665,0.3,0.9979402227417905,1,0.1349109191420525,0.42103334366922857,51260.096666666665,5.798333333333334,198241.5,0,((((1)+(8))+((3)+((8)*(8))))*(((3)-(5))*((x)*((x)*(x))))),(x),AddTreeWithMult|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|ReplaceBranchR|AddXD|AddRandomSubTreeR|AddToLeafR|FellTreeD|DeleteMaliciousR,MultXD,AddToLeafR,4,4,5,5,9
5,(x),30,-10,0.23711010086304365,0.06183251185860551,0.38989291164276524,0.38,19637.04646666667,3.255479286093999,292636.0740000001,0.16333333333333333,0.9999600893143152,1,0.11287680124611871,0.5741188871338656,591697.0966666667,4.8375105992363245,10231178.1,0,((((0)+(8))*((8)*((8)+(5))))+(((5)*(x))*((x)*((x)*(x))))),((((9)-(9))+((0)/(5)))*((1)+((1)/((0)/(0))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,MutateNonTerminalR|DeleteTerminalR|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,DeleteTerminalR,5,4,6,6,9
6,(x),30,-10,0.2528712337684894,0.07244113917152982,0.3958651382813628,0.38163265306122446,21841.895527314824,11.12974834582618,341032.94,0.15,0.9999699374088508,1,0.5986129475651274,0.4437057706792201,699578.3616666666,5.386666666666667,13582772.4,0,((((0)+(7))+((1)*((4)*(7))))*(((9)*(x))*((x)*((x)*(x))))),(x),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MutateNonTerminalR|AddTreeWithMult|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|DivXD|FellTreeD|MutateTerminalR,AddRandomSubTreeR,DivXD,6,6,7,7,9
7,(x),30,-10,0.2918778721405554,0.05301446935655054,0.39665994469986976,0.4,15040.249,3.269018672495071,177609.61533333338,0,0.9999253284888164,1,0.04978177813016007,0.4679501426841469,425313.30500000005,5.6773399257657005,5468395.2,0,((((0)+(5))+((6)*((1)-(7))))*(((9)*(x))*((x)*((x)*(x))))),(((1)/((3)+(9)))*((2)/(0))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,MutateNonTerminalR|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|ReplaceBranchR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|AddToLeafR|AddTreeWithDiv,MultXD,AddToLeafR,7,7,8,8,9
8,(x),30,-10,0.31257344107085633,0.051434066317171,0.39779011772991235,0.4,23150.24646666667,11.196810247686951,248060.66000000003,0,0.9999426028225571,1,0.4409313114048911,0.42536115433847305,589337.1833333332,5.8549999999999995,7114170.966666667,0,((((7)*((5)-(0)))-((8)*((5)*(x))))*(((9)+(x))*((x)*((x)*(x))))),(x),AddTreeWithSub|AddTreeWithSub|AddTreeWithSub|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|AddTreeWithMult|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|MutateTerminalR|DivXD|ReplaceBranchR|DeleteTerminalR|MutateNonTerminalR|AddToLeafR|FellTreeD|MutateTerminalR,AddTreeWithSub,AddTreeWithSub,8,7,9,9,9
9,(x),30,-10,0.32408232842292684,0.06428784212330846,0.3972549427659052,0.4,27991.60436666667,15.74784613210251,342880.00266666664,0,0.9999471099750535,1,0.03360446718312729,0.38796850931056787,443287.19333333336,6.163333333333334,7720422.4,0,((((4)*(4))+((7)*((x)*(7))))*(((8)+(x))*((x)*((x)*(x))))),((((4)*(x))*((3)/(2)))*((6)-((0)*((x)/(0))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteNonTerminalR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|AddTreeWithDiv|DivXD|AddToLeafR|SubXD|DeleteNonTerminalR|DivXD|FellTreeD|MutateTerminalR,MultXD,DivXD,9,9,10,10,9
10,(x),30,-10,0.3294037327118497,0.10658147568052342,0.3990061326064113,0.4,40211.882333333335,3.6925607468763797,299486.63533333334,0,0.9999372570866495,1,0.11790078870568861,0.47802724697616067,616423.7233333333,5.180348670486755,6508039.1,0,((((0)+(5))*((5)+((x)*(9))))*(((2)*(x))*((x)*((x)*(x))))),((((9)/(8))+((4)*((5)+(8))))*((2)/((8)-((6)/(0))))),AddTreeWithSub|AddTreeWithSub|FellTreeD|DeleteMaliciousR|DeleteTerminalR|AddRandomSubTreeR|AddTreeWithAdd|SkipD|AddRandomSubTreeR|AddXD|AddToLeafR|MultXD|MultXD|MutateNonTerminalR|MultXD,AddTreeWithSub|AddXD|AddToLeafR|SubXD|FellTreeD|MultXD|AddTreeWithSub|SkipD|DivXD|AddToLeafR|DeleteTerminalR|AddRandomSubTreeR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv,MultXD,DeleteTerminalR,10,10,11,11,9
