A,P,AFinal,PFinal,AGen,PGen,count,run
MutateTerminalR,AddXD,MutateTerminalR,AddXD,0,0,0,1
AddRandomSubTreeR,MutateTerminalR,AddRandomSubTreeR,MutateTerminalR,0,0,1,1
MutateTerminalR,AddTreeWithSub,MutateTerminalR,AddTreeWithSub,0,0,2,1
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,3,1
MultXD,SkipD,AddTreeWithAdd,SkipD,0,0,4,1
SubXD,DeleteNonTerminalR,SubXD,DeleteNonTerminalR,0,0,5,1
SkipD,SubXD,SkipD,SubXD,0,0,6,1
SkipD,SubXD,SkipD,SubXD,0,0,7,1
MultXD,DeleteNonTerminalR,MultXD,DeleteNonTerminalR,0,0,8,1
AddToLeafR,FellTreeD,AddToLeafR,FellTreeD,0,0,9,1
SkipD,DivXD,SkipD,DivXD,0,0,10,1
AddTreeWithAdd,DeleteMaliciousR,AddTreeWithAdd,DeleteMaliciousR,0,0,11,1
MultXD,AddTreeWithDiv,MultXD,AddTreeWithDiv,0,0,12,1
AddToLeafR,DeleteMaliciousR,AddToLeafR,DeleteMaliciousR,0,0,13,1
SkipD,DeleteMaliciousR,SkipD,DeleteMaliciousR,0,0,14,1
