A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
MultXD,AddTreeWithSub,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,0,0
AddTreeWithMult,SubXD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,1,0
AddXD,DeleteNonTerminalR,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,2,0
AddTreeWithAdd,SkipD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,3,0
AddToLeafR,DeleteTerminalR,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,4,0
MultXD,SubXD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,5,0
MutateNonTerminalR,AddTreeWithDiv,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,6,0
MutateTerminalR,SubXD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,7,0
SubXD,AddTreeWithSub,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,8,0
MultXD,DivXD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,9,0
AddTreeWithAdd,AddTreeWithSub,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,10,0
AddTreeWithSub,FellTreeD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,11,0
MultXD,DivXD,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,12,0
ReplaceBranchXR,AddToLeafR,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,13,0
MultXD,DeleteTerminalR,((((x)*((9)+(6)))+(((x)*(5))*((x)-(4))))*(((x)*((x)-(x)))*((x)*((x)*((x)*(x)))))),((0)/(0)),0,0,4,0,14,0
