gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05400230460070579,-0.00489164185207823,-0.04879647627761077,0.000418115279048492,152.66735,310.78790000000004,184.1632,242.2728,-0.9596136452751274,0.012468958306103877,0.00020112095961293333,0.005973669507710231,6134.49,6099,6179.92,6044.48,((((2)-(6))*((x)*(7)))-((x)+((x)+(x)))),(((x)+((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|AddRandomSubTreeR|ReplaceBranchR|AddRandomSubTreeR|ReplaceBranchXR|MutateNonTerminalR|AddTreeWithAdd|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,AddTreeWithAdd,0,0,1,1,2
1,x*x*x*x,25,-10,-0.04370589400078421,0.00022580720644891597,-0.03841110704483074,0.001137629068095676,198.0241,243.44988333333333,243.13240000000002,237.86880000000002,-0.9599673245327409,0.0529081165860672,0.0006975407565376453,0.024348198042696858,6067.790000000001,6016.18,6125.8,5796.96,((2)-((9)+(x))),(((x)*((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,MultXD,1,1,2,2,2
2,x*x*x*x,25,-10,-0.037950521500457454,0.00031481345620654714,-0.036422436282838845,0.001482420598614561,313.6112,242.90509999999998,547.4388,235.7584,-0.7622778721735721,0.05520846948111359,0.10110736667747766,0.02578161980750277,13207.219999999998,6015.16,36376.24,5782.88,((((x)*(9))*((8)*(x)))*((x)-((x)+((x)+(x))))),(((x)*((6)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,AddXD,2,2,3,3,2
3,x*x*x*x,25,-10,-0.03851055940399948,0.0003557888257033957,-0.0384002300352895,0.0010809044569337332,227.9142,242.65429999999998,244.7968,238.216,-0.9600365965233302,0.0529081165860672,0.001489494984371729,0.026181137586225693,5968.32,6037.25,6115.2,5796.96,(((2)+((x)-(x)))+((x)+(x))),(((x)*((x)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,DeleteNonTerminalR,3,3,4,4,2
4,x*x*x*x,25,-10,-0.0385827872173572,0.00045128087831656073,-0.03840103777284015,0.0015058815841066534,216.8619,242.0698,244.6732,235.6148,-0.9600000000000001,0.07324532740818204,0.00003728059367548335,0.03494630957849981,6116.35,5992.47,6120.8,5672.48,((1)-((3)+(x))),(((x)*((8)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithSub|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,AddTreeWithAdd,4,4,5,5,2
5,x*x*x*x,25,-10,-0.038509388968762256,0.00041891596143531077,-0.0383953600836492,0.001875833224415109,228.09330000000003,242.2679,245.542,233.3504,-0.9599934649065482,0.08218533525029408,0.0015480414487277282,0.03926803736967882,5950.86,5975.51,6121.8,5617.76,(((x)-((1)-(x)))+((x)+((0)-(2)))),(((x)*((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddXD|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,AddXD,DeleteTerminalR,5,5,6,6,2
6,x*x*x*x,25,-10,-0.0384527349366096,0.00011895670545501197,-0.038180820807737555,0.0004987583322441551,236.7625,244.10389999999998,278.37080000000003,241.77919999999997,-0.9385732583975952,0.012468958306103877,0.014388749726620976,0.003445283665652578,6395.66,6098.3,9399.52,6044.48,((((6)*(x))*((4)*(x)))*((x)-((1)*((6)+(x))))),(((x)+((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|ReplaceBranchR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,AddTreeWithSub,6,6,7,7,2
7,x*x*x*x,25,-10,-0.03847607371585414,0.00022013669059720714,-0.03839460985492093,0.0005940399947719258,233.19119999999998,243.4846,245.6568,241.196,-0.9597354594170697,0.0371193308064305,0.00021797550565297915,0.016077595683973975,6126.04,6036.700000000001,6161.28,5893.6,(((x)*((9)-(x)))-((x)+((1)*(0)))),(((x)*((4)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|MultXD|AddXD|ReplaceBranchXR|AddXD,AddRandomSubTreeR,DeleteNonTerminalR,7,7,8,8,2
8,x*x*x*x,25,-10,-0.03740618546595217,0.00015150087093607098,-0.034372871520062735,0.00038707358515227064,396.90549999999996,243.90470000000002,861.0632,242.4628,-0.7182470265324794,0.012468958306103877,0.12106329383034765,0.005726893402611636,15328.619999999999,6081.57,43113.84,6044.48,((((x)*(x))*((6)*(2)))*((7)*((x)-((x)+(x))))),(((x)+((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,MultXD,8,8,9,9,2
9,x*x*x*x,25,-10,-0.037972544765390144,0.00012500120055849997,-0.03708095150960659,0.00029603973336818985,310.2412,244.06690000000003,446.6728,243.02,-0.8292040256175663,0.012468958306103877,0.0633331149025601,0.005438583926184955,13467.1,6093.5,26135.2,6044.48,((((8)*(9))*((8)*(x)))*((x)*((1)-((x)+(x))))),(((x)+((9)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,SubXD,AddTreeWithSub,9,9,10,10,2
10,x*x*x*x,25,-10,-0.03839589400078421,0.0002548060279440966,-0.03833632466344269,0.001473794275258136,245.4603,243.27240000000006,254.57559999999998,235.8112,-0.9544232126519409,0.06422689844464774,0.0028188271135842187,0.03144963754770564,6327.23,6016.110000000001,6974.16,5727.68,((((8)*(5))*((6)*(5)))*((x)-((x)+(x)))),(((x)*((7)*(x)))+((x)+(x))),ReplaceBranchXR|SubXD|AddXD|AddTreeWithMult|AddRandomSubTreeR,MutateTerminalR|MultXD|DeleteTerminalR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|FellTreeD|AddTreeWithSub|ReplaceBranchR|MutateNonTerminalR|FellTreeD|SkipD|AddTreeWithAdd|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchXR|AddXD,ReplaceBranchXR,DeleteNonTerminalR,10,10,11,11,2
