gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.054001860541105735,-0.049558341513122564,-0.048800389491569736,-0.018731799764736635,NaN,NaN,NaN,503.5316,-0.9599869298130964,0.06324663442687228,0.000007546075927188628,0.033431154172708755,6121.8,5947.75,6122.8,5733.68,((0)-((0)-(x))),((((0)/((4)+(2)))*((6)*((0)+(5))))*(((0)+(x))*((7)*((x)-(x))))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,AddTreeWithMult|DeleteMaliciousR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|AddToLeafR|AddTreeWithDiv|DeleteNonTerminalR|MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|AddTreeWithMult|AddXD|MultXD|DeleteMaliciousR|AddTreeWithMult|MutateTerminalR|SubXD|SkipD|DeleteTerminalR,SubXD,DeleteMaliciousR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.04880209188341394,-0.029965917429950695,-0.04880063259704614,-0.019897987191216833,NaN,NaN,183.52720000000002,510.6696,-0.9599869298130964,0,0.000006535093451831564,0.0001633239694257529,6122.3,6122.3,6122.8,6120.8,((0)-((0)-(x))),(((9)*(4))*((0)-(0))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,DeleteTerminalR|ReplaceBranchR|DeleteMaliciousR|DivXD|AddTreeWithAdd|ReplaceBranchXR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|DeleteMaliciousR,DeleteTerminalR,DeleteMaliciousR,1,1,2,2,3
2,x*x*x*x,25,-10,-0.038400695987452625,-0.010002558244096882,-0.038399019735982226,0.000006099420555046181,244.72550000000004,378.07866666666666,244.982,244.79466666666667,-0.9599869298130964,0,0,0,6122.8,6120.8,6122.8,6120.8,((0)-((x)-(0))),(((0)*((0)*(4)))-((x)+(x))),SkipD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,2,2,3,3,3
3,x*x*x*x,25,-10,-0.03839964056986016,-0.000008166198471287646,-0.03839915043785127,-0.000003266479388515058,244.887,244.882,244.96200000000002,244.852,-0.9599542543458373,0,0.000025310308104852788,0,6122.3,6120.8,6127.8,6120.8,((x)-((9)-(0))),(((6)*((0)*(x)))-((x)+(x))),FellTreeD|SubXD|SubXD|AddToLeafR|ReplaceBranchXR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,3,3,4,4,3
4,x*x*x*x,25,-10,-0.03840086001829826,-0.000005716338929901351,-0.03839921578878578,-0.000003266479388515058,244.7004,244.86700000000002,244.952,244.852,-0.9599738596261927,0,0.000017290232068112982,0,6122.3,6120.8,6124.8,6120.8,((x)-((4)-(x))),(((4)*((0)*(x)))-((x)+(x))),FellTreeD|AddToLeafR|SubXD|DeleteTerminalR|ReplaceBranchXR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,FellTreeD,DeleteMaliciousR,4,4,5,5,3
5,x*x*x*x,25,-10,-0.03840089726833094,0,-0.03839986929813097,0,244.6947,244.832,244.852,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6121.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((4)*((0)*(0)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,5,5,6,6,3
6,x*x*x*x,25,-10,-0.03840042935563979,0,-0.03839947719252386,0,244.76630000000006,244.832,244.912,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6122.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((5)*((0)*(x)))-((x)+(x))),FellTreeD|SubXD|MultXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,DeleteTerminalR,DeleteMaliciousR,6,6,7,7,3
7,x*x*x*x,25,-10,-0.03839973859626193,0,-0.03839947719252386,0,244.872,244.832,244.912,244.832,-0.9599869298130964,0,0.000007546075927188628,0,6121.8,6120.8,6122.8,6120.8,((0)-((x)-(0))),(((0)*((9)*(0)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,7,7,8,8,3
8,x*x*x*x,25,-10,-0.038415309109920276,0,-0.03839934126258005,0,242.48940000000002,244.832,244.93280000000001,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6122.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((0)*(1)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,8,8,9,9,3
9,x*x*x*x,25,-10,-0.048799771271729186,0,-0.04879973859626193,0,183.65900000000002,244.832,183.66400000000002,244.832,-0.9599869298130964,0,0,0,6122.8,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((0)*(3)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.038399705920794676,0,-0.03839947719252386,0,244.877,244.832,244.912,244.832,-0.9599869298130964,0,0.000006535093451831564,0,6122.3,6120.8,6122.8,6120.8,((0)-((0)-(x))),(((0)*((0)*(0)))-((x)+(x))),FellTreeD|SubXD|SubXD|DeleteNonTerminalR|DeleteTerminalR,ReplaceBranchR|AddRandomSubTreeR|AddTreeWithSub|SubXD|DivXD|DeleteNonTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|MultXD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|SubXD|SkipD|AddXD,SubXD,DeleteMaliciousR,10,10,11,11,3
