A,P,AFinal,PFinal,AGen,PGen,count,run
MultXD,AddRandomSubTreeR,MultXD,AddRandomSubTreeR,0,0,0,0
MultXD,AddRandomSubTreeR,MultXD,DivXD,0,0,1,0
SubXD,FellTreeD,SubXD,FellTreeD,0,0,2,0
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,3,0
MultXD,DeleteTerminalR,MultXD,DeleteTerminalR,0,0,4,0
,ReplaceBranchR,,ReplaceBranchR,0,0,5,0
,SkipD,,SkipD,0,0,6,0
,ReplaceBranchR,,ReplaceBranchR,0,0,7,0
,MutateNonTerminalR,,MutateNonTerminalR,0,0,8,0
,DeleteMaliciousR,,DeleteMaliciousR,0,0,9,0
,DivXD,,DivXD,0,0,10,0
,FellTreeD,,FellTreeD,0,0,11,0
,MutateNonTerminalR,,MutateNonTerminalR,0,0,12,0
,ReplaceBranchXR,,ReplaceBranchXR,0,0,13,0
,DeleteTerminalR,,DeleteTerminalR,0,0,14,0
,MultXD,,MultXD,0,0,15,0
,AddTreeWithDiv,,AddTreeWithDiv,0,0,16,0
,SubXD,,SubXD,0,0,17,0
,AddTreeWithMult,,AddTreeWithMult,0,0,18,0
,ReplaceBranchR,,ReplaceBranchR,0,0,19,0
