gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04619095216311593,-0.014476156178769246,-0.04555036727225199,0.0020971301603898663,582.8605,441.47217142857147,680.8828,231.9958857142857,-0.6396209645797936,0.20260283436338858,0.05172726248538375,0.10143865994621358,45932.03999999999,5812.027142857143,55145.2,4880.708571428571,((((x)*(1))+((8)+((1)*(x))))*((x)+((x)*((x)+(x))))),((((x)*(x))/((7)*(x)))+((8)-((0)*(x)))),AddXD|MultXD|AddXD|AddTreeWithAdd|AddTreeWithAdd,AddToLeafR|AddTreeWithSub|AddTreeWithMult|ReplaceBranchR|AddTreeWithMult|AddToLeafR|AddRandomSubTreeR|DeleteNonTerminalR|AddRandomSubTreeR|AddTreeWithDiv|MultXD|AddTreeWithDiv|DeleteTerminalR|AddRandomSubTreeR|MultXD|ReplaceBranchXR|SkipD|AddTreeWithDiv|ReplaceBranchXR|AddTreeWithSub,AddXD,AddRandomSubTreeR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.037945075153574696,-0.0002832670421395998,-0.03654001307018691,0.00006835707750621006,314.4446,246.81330000000003,529.4472000000001,244.4136,-0.7953741994510521,0.0025356162593125793,0.08469375415932497,0.0014521820692914274,11892.04,6114.1900000000005,31311.84,6105.28,((((7)*(x))-((0)*(x)))*((x)*((1)+(8)))),(((6)-(x))+((0)*(8))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,MultXD|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|ReplaceBranchR|MutateTerminalR|FellTreeD|AddRandomSubTreeR|MutateTerminalR|ReplaceBranchXR|AddRandomSubTreeR|DeleteNonTerminalR|ReplaceBranchXR|AddRandomSubTreeR|AddToLeafR|SkipD|MutateNonTerminalR|DeleteMaliciousR|DeleteTerminalR|MutateTerminalR,AddToLeafR,AddRandomSubTreeR,1,0,2,2,3
2,x*x*x*x,25,-10,-0.03851605672461116,0,-0.0382481270422167,0,227.07299999999995,244.832,268.0716,244.832,-0.9471384132793098,0,0.0058785317377141235,0,6861.4,6120.8,8088.88,6120.8,((((x)*(4))+((1)*(5)))*((1)*((7)*(9)))),(0),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|FellTreeD,AddToLeafR,AddRandomSubTreeR,1,0,3,3,3
3,x*x*x*x,25,-10,-0.03776047248725657,0,-0.0355900405175794,0,342.6925,244.832,674.812,244.832,-0.7631870343745916,0,0.09952804815365052,0,13399.82,6120.8,36237.12,6120.8,(((x)*((7)*(8)))*((6)+((x)*(x)))),(0),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|FellTreeD,AddToLeafR,AddRandomSubTreeR,1,0,4,4,3
4,x*x*x*x,25,-10,-0.038447815318259054,0,-0.038384017775454186,0,237.5153,244.832,247.27759999999998,244.832,-0.9592680695333944,0,0.0003497496296218598,0,6152.55,6120.8,6232.8,6120.8,(((2)+((2)-(6)))*((x)*(x))),(0),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|FellTreeD,AddToLeafR,AddRandomSubTreeR,1,0,5,5,3
5,x*x*x*x,25,-10,-0.03791352372238923,0.00006859976414218812,-0.036223962880669196,0.0002914651679519026,319.2726,244.41219999999998,577.8091999999999,243.048,-0.7623196967716639,0.029146516795190258,0.09973167606791895,0.014911584329043255,13482.39,6078.82,36369.84,5942.4,(((x)*((3)*(x)))*((8)*((3)*(x)))),(((2)+((0)+(3)))*((x)*((x)+(x)))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,AddRandomSubTreeR,1,5,6,6,3
6,x*x*x*x,25,-10,-0.03765003594301399,0.00010065677689191012,-0.03513756110312378,0.0002827081427264409,359.59149999999994,244.2159,744.0504000000001,243.1016,-0.64,0.01717422559142594,0.16416593995532186,0.007477267187905386,17486.2,6080.07,55087.2,6015.68,(((x)+((x)*(9)))*((x)*((x)*(x)))),((((7)-(0))+((7)*(8)))+((0)*((x)+(x)))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,AddRandomSubTreeR,1,6,7,7,3
7,x*x*x*x,25,-10,-0.03838263756371716,0.00009792522539786043,-0.03823295255522154,0.0004162854528819765,247.48879999999997,244.2336,270.3936,242.28400000000002,-0.9446294602012809,0.013906678865507758,0.008038588205710946,0.004432047429237366,6638.03,6097.21,8472.8,6035.68,(((0)-((6)*(x)))*((6)*((x)+(x)))),((((3)+(0))+((9)+(3)))+((x)*((x)+(x)))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|AddRandomSubTreeR|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,AddRandomSubTreeR,1,6,8,8,3
8,x*x*x*x,25,-10,-0.038102505554829434,0.00032591535016265107,-0.0371668801463861,0.0019206639654947087,290.3546,242.83720000000002,433.524,233.076,-0.8467619918964842,0.0725918180629984,0.05669433371575291,0.03487678904542256,10435.46,5994.24,23448.48,5676.48,(((7)+((9)*(5)))*((9)*((5)*(8)))),(((x)+((0)*(7)))+((x)*((x)+(0)))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|DeleteTerminalR|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,MutateTerminalR,1,7,9,9,3
9,x*x*x*x,25,-10,-0.0382018180629983,-0.000009152310569947551,-0.03757455496013593,0.00038726963795582416,275.1578,244.92690000000002,371.14160000000004,242.4616,-0.8912440203894916,0.009273297608155833,0.035049724485239284,0.003772258279068381,8605.380000000001,6086.77,16641.84,6064.04,(((x)*((8)*(9)))*((5)*(9))),((((1)+(0))*((0)+(0)))+((x)*((x)+(1)))),AddToLeafR|SkipD|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|AddTreeWithMult|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,MutateTerminalR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03857769376552085,0.00009458193639477205,-0.038369486341654685,0.0003311331852045489,217.6413,244.25310000000002,249.50119999999998,242.8052,-0.9599461508299568,0.013697555875049037,0.0008226573847262784,0.006741619635848362,5990.67,6098.84,6129.04,6036.96,(((2)-((1)*(x)))-((1)+((4)*(x)))),(((7)*((7)+(0)))*((x)+(x))),AddToLeafR|MutateNonTerminalR|ReplaceBranchR|AddToLeafR|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateNonTerminalR|MutateTerminalR|AddRandomSubTreeR|AddTreeWithSub|SkipD|FellTreeD|FellTreeD|MultXD|AddXD|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|DeleteTerminalR|AddTreeWithMult|AddXD|SkipD|DeleteTerminalR|MutateTerminalR,AddToLeafR,MutateTerminalR,9,9,11,11,3
