gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04861301333159064,-0.004979266082200825,-0.04805068095673768,0.00005894654293556534,212.23669999999998,311.32059999999996,298.2848,244.47119999999998,-0.885057116716769,0.001581492615344447,0.0374649065481637,0.0008783186044644751,8989.24,6117.389999999999,17588.56,6111.12,((((x)*(8))*((x)*(5)))-((8)*((x)-(x)))),((x)*((6)-(1))),DeleteTerminalR|SubXD|SubXD|AddToLeafR|SkipD,MutateTerminalR|AddTreeWithSub|DeleteTerminalR|AddTreeWithDiv|DivXD|MultXD|AddToLeafR|AddTreeWithSub|AddTreeWithAdd|AddXD|AddTreeWithMult|DivXD|DeleteNonTerminalR|ReplaceBranchR|FellTreeD|AddXD|FellTreeD|SkipD|ReplaceBranchXR|AddToLeafR,SubXD,AddXD,0,0,1,1,0
1,x*x*x*x,25,-10,-0.03816859168736113,0.00011332741479886539,-0.037439053718468174,0.00030695333943275556,280.2421,244.1385,391.87600000000003,242.9532,-0.8643366880146386,0.009462815318259063,0.052740869984463076,0.005004687038077337,10343.380000000001,6090.360000000001,20759.2,6062.88,(((6)+((6)*(8)))*((5)*((x)*(x)))),(((0)+((0)+(x)))+((0)*((x)+(x)))),DeleteTerminalR|AddToLeafR|MutateTerminalR|AddToLeafR|SkipD,SkipD|SubXD|MutateTerminalR|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,AddToLeafR,MutateTerminalR,1,0,2,2,0
2,x*x*x*x,25,-10,-0.03809451052150046,-0.020146960948013673,-0.03719634034766697,0.00012573519801333164,291.578,512.2733000000001,429.0160000000001,244.06240000000003,-0.84,0.003470134622925072,0.05981701738334866,0.0021625636976089413,10753.4,6116.76,24483.2,6099.56,(((x)*((x)*(5)))*((x)-((0)*(x)))),((((0)-(0))+((3)+(8)))*((x)+((x)+(x)))),MutateTerminalR|AddTreeWithDiv|AddTreeWithSub|DeleteNonTerminalR|MultXD,SkipD|SubXD|MutateTerminalR|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,MutateTerminalR,1,2,3,3,0
3,x*x*x*x,25,-10,-0.04049451052150046,-0.014953829031094075,-0.03639634034766697,0.00017579401385439723,NaN,NaN,551.4320000000001,243.75600000000003,-0.76,0.005084302705528671,0.09987816058226719,0.00253018294048931,13799.800000000001,6112.77,36724.8,6089.68,(((7)*((x)*(x)))*((x)-((0)*(x)))),((((2)-((2)*(8)))/(((6)-(0))-((0)+(x))))+(((0)+(5))*((9)-((7)+((x)+(x)))))),MutateTerminalR|SubXD|AddTreeWithSub|DeleteNonTerminalR|MultXD,SkipD|SubXD|MutateTerminalR|AddTreeWithDiv|SubXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,SubXD,MutateTerminalR,3,3,4,4,0
4,x*x*x*x,25,-10,-0.03839813945889427,-0.00418640953601453,-0.0383889556920664,0.004484969285060777,245.11669999999998,306.4683,246.52200000000002,217.3804,-0.9596340347666973,0.21889949026271077,0.00018298261665139481,0.10301961135700735,6162.8,5661.700000000001,6176.8,4780.96,(((x)*((x)*(x)))*((0)-((x)*(x)))),((((x)*((5)*(5)))*((x)-((0)-(0))))+(((0)+(4))-((4)+((x)+(x))))),MutateTerminalR|SubXD|AddTreeWithSub|DeleteNonTerminalR|MultXD,SkipD|SubXD|MutateTerminalR|AddTreeWithDiv|SubXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MultXD,MutateTerminalR,3,3,5,5,0
5,x*x*x*x,25,-10,-0.037594089661482165,-0.005033620986474959,-0.03519268069533395,0.000032936870997255024,368.15240000000006,311.65858333333335,735.6160000000001,244.6304,-0.8,0.0009541236439681325,0.07989706376238925,0.0003990690011965088,12265.300000000001,6118.34,30604,6114.96,(((x)*((6)*(x)))*((x)-((0)*(x)))),((((3)*((0)+(3)))*((7)*((0)-(x))))*(((0)-(0))+((0)+((x)+((x)+(x)))))),MutateTerminalR|SubXD|AddTreeWithSub|DivXD|MultXD,SkipD|SubXD|MutateTerminalR|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,MutateTerminalR,5,5,6,6,0
6,x*x*x*x,25,-10,-0.048792614037380735,-0.004901384906143088,-0.048789021043000924,0.0003659652333028362,NaN,NaN,NaN,242.592,-0.9596340347666973,0.009149130832570905,0,0.004957882073453363,6176.8,6092.09,6176.8,6064.8,(((0)*((4)-(9)))*((x)-((x)*(x)))),(((0)+((0)+(0)))+((x)*(x))),MutateTerminalR|SubXD|AddTreeWithSub|DeleteNonTerminalR|MultXD,SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,6,6,7,7,0
7,x*x*x*x,25,-10,-0.038390745000653516,0.00010952612210877031,-0.038385361390667894,0.0005105215004574573,246.2482,244.1623111111111,247.072,241.7072,-0.9596340347666973,0.01827212129133449,0.00018298261665139481,0.008778058572752583,6162.8,6089.48,6176.8,6008.96,(((0)*((8)-(7)))*((5)-((x)*(x)))),(((0)+(x))+((x)*(x))),MutateTerminalR|SubXD|AddTreeWithSub|DeleteNonTerminalR|MultXD,SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,6,6,8,8,0
8,x*x*x*x,25,-10,-0.03819554698732192,0.0001345578410076624,-0.03718902104300092,0.0004914390275780961,276.11740000000003,244.0084,430.1360000000001,241.82399999999998,-0.84,0.019677166383479366,0.06000845681600812,0.009588907644464647,10709.460000000001,6088.09,24483.2,6000.36,(((x)*((5)*(x)))*((x)-((0)*(x)))),((((x)*(x))*((2)+((0)-(x))))+(((1)+(8))+((0)+((x)+(x))))),MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|DeleteTerminalR|MultXD,SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,8,6,9,9,0
9,x*x*x*x,25,-10,-0.03833275650241799,-0.01984156947361328,-0.038014351065220234,0.0010143118546595217,255.1216,510.32449999999994,303.844,238.6236,-0.9220912299045876,0.04966671023395634,0.019026903141343678,0.024212494217010046,7554.58,6038.85,11921.6,5816.8,(((x)+((0)*(1)))-((x)*((x)*(x)))),((((0)-(0))+((9)/(7)))+((x)*((x)+((x)*(x))))),MutateTerminalR|ReplaceBranchXR|AddTreeWithSub|DeleteTerminalR|MultXD,SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,8,6,10,10,0
10,x*x*x*x,25,-10,-0.038423002221931776,-0.010296085969744817,-0.03839268069533395,0.0002595739119069419,241.31220000000002,380.22235714285716,245.952,243.2432,-0.9596340347666973,0.009149130832570905,0.00014926153443989287,0.00515244777841299,6165.38,6091.110000000001,6176.8,6064.8,((((0)*(0))-((x)*(x)))*((x)-((x)*(x)))),(((0)+(0))+((x)*(x))),MutateTerminalR|SubXD|AddTreeWithSub|DeleteTerminalR|MultXD,SkipD|SubXD|AddTreeWithAdd|AddTreeWithDiv|AddXD|DeleteMaliciousR|MutateTerminalR|AddXD|MutateTerminalR|AddTreeWithSub|MutateNonTerminalR|DeleteMaliciousR|MutateTerminalR|AddRandomSubTreeR|DeleteNonTerminalR|AddXD|SkipD|DeleteMaliciousR|AddXD|MutateNonTerminalR,MutateTerminalR,AddXD,10,10,11,11,0
