gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.0514383157383722,-0.024996943193356668,-0.04880000000000001,0.00001239053718468444,NaN,NaN,183.62400000000002,244.75616,-0.9600000000000001,0.00038949156972974667,0,0.00018641709651145546,6120.8,6120.103999999999,6120.8,6118.415999999998,(((0)*((x)*(x)))*((0)+(5))),(((0)*((0)+(x)))/((5)+(x))),DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,AddRandomSubTreeR|FellTreeD|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|AddTreeWithDiv|MultXD|SkipD|MultXD|AddXD|AddRandomSubTreeR|ReplaceBranchR|DeleteMaliciousR|AddRandomSubTreeR|DeleteMaliciousR|SkipD|DeleteMaliciousR|DeleteTerminalR|AddTreeWithDiv|MutateNonTerminalR,DeleteMaliciousR,DeleteMaliciousR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03839699385701216,0,-0.03838797542804862,0,245.292,244.832,246.672,244.832,-0.9587975428048622,0,0.000601228597568948,0,6166.8,6120.8,6304.8,6120.8,(((x)-((9)*(x)))*((0)+(x))),(0),DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,DeleteMaliciousR,DivXD,1,0,2,2,3
2,x*x*x*x,25,-10,-0.03840273559011894,0,-0.03838170173833486,0,244.4134,244.832,247.632,244.832,-0.9581701738334859,0,0.00146932207448492,0,6216.46,6120.8,6400.8,6120.8,(((0)-((5)-(0)))*((x)*(x))),(0),DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,DeleteMaliciousR,DivXD,2,0,3,3,3
3,x*x*x*x,25,-10,-0.03840663508038165,0,-0.03838783165599268,0,243.81669999999997,244.832,246.694,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((0)+((2)*(x)))*((x)*(0))),(0),DeleteMaliciousR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,DeleteMaliciousR,DeleteMaliciousR,3,0,4,4,3
4,x*x*x*x,25,-10,-0.038387602927721864,0,-0.03830118938700824,0,246.729,244.832,259.952,244.832,-0.9501189387008235,0,0.004975595517264714,0,6491.62,6120.8,7632.8,6120.8,(((x)*((0)+(9)))*((3)-((6)*(x)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DivXD|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,4,2,5,5,3
5,x*x*x*x,25,-10,-0.038458805384917,0,-0.03839327669585675,0,235.83360000000002,244.832,245.8608,244.832,-0.9600000000000001,0,0,0,6120.8,6120.8,6120.8,6120.8,(((1)-((7)*(0)))+((0)*(x))),(0),DeleteNonTerminalR|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,DeleteNonTerminalR,DeleteMaliciousR,4,3,6,6,3
6,x*x*x*x,25,-10,-0.03847463468827605,0,-0.03828516533786433,0,233.4114,244.832,262.404,244.832,-0.9597453927591164,0,0.00023757496730356908,0,6118.1,6120.8,6159.76,6120.8,(((0)+((x)*(1)))-((4)*((7)-(1)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,5,5,7,7,3
7,x*x*x*x,25,-10,-0.038177340870474454,0,-0.03753819370016991,0,278.9033,244.832,376.7056,244.832,-0.914480721474317,0,0.022382060677890968,0,7953.209999999999,6120.8,13086.16,6120.8,(((x)*((x)*(8)))+((8)*((0)-(x)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|DeleteTerminalR|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,5,5,8,8,3
8,x*x*x*x,25,-10,-0.03776743040125474,0,-0.03578244412495099,0,341.6278,244.832,645.3704000000001,244.832,-0.72,0,0.12038067677531691,0,15216.02,6120.8,42845.6,6120.8,(((x)*((x)*(x)))*((x)-((0)*(8)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|SkipD|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,8,7,9,9,3
9,x*x*x*x,25,-10,-0.03832670761991897,0,-0.038001991896484115,0,256.04720000000003,244.832,305.73519999999996,244.832,-0.928892955169259,0,0.015904686237591243,0,7231.28,6120.8,10880.8,6120.8,(((x)*((x)*(8)))+((9)*((0)-(5)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|SkipD|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,9,8,10,10,3
10,x*x*x*x,25,-10,-0.03820876682786564,0,-0.03768228989674552,0,274.0945,244.832,354.656,244.832,-0.8965416285452881,0,0.030502117424541616,0,9625.56,6120.8,15831.2,6120.8,(((7)-((0)*(8)))*((7)*((x)*(x)))),(0),AddTreeWithSub|AddTreeWithSub|MutateNonTerminalR|SkipD|DeleteMaliciousR,MutateNonTerminalR|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithAdd|DeleteTerminalR|DivXD|AddRandomSubTreeR|SubXD|SkipD|ReplaceBranchXR|MultXD|DeleteMaliciousR|DivXD|AddToLeafR|AddTreeWithAdd|FellTreeD|DeleteMaliciousR|FellTreeD,AddTreeWithSub,DeleteMaliciousR,8,9,11,11,3
