A,P,AFinal,PFinal,AGen,PGen,count,run
AddTreeWithSub,AddToLeafR,AddRandomSubTreeR,AddToLeafR,0,0,0,0
AddXD,ReplaceBranchR,AddTreeWithAdd,ReplaceBranchR,0,0,1,0
SubXD,AddTreeWithAdd,SubXD,AddTreeWithAdd,0,0,2,0
MutateNonTerminalR,ReplaceBranchR,MutateNonTerminalR,AddToLeafR,0,0,3,0
MultXD,AddXD,MultXD,AddTreeWithAdd,0,0,4,0
,SubXD,,SubXD,0,0,5,0
,MutateTerminalR,,MutateTerminalR,0,0,6,0
,AddTreeWithDiv,,AddTreeWithDiv,0,0,7,0
,ReplaceBranchXR,,ReplaceBranchXR,0,0,8,0
,AddTreeWithSub,,AddTreeWithSub,0,0,9,0
,AddTreeWithAdd,,ReplaceBranchXR,0,0,10,0
,DeleteMaliciousR,,DeleteMaliciousR,0,0,11,0
,MutateTerminalR,,MutateTerminalR,0,0,12,0
,MutateNonTerminalR,,MutateNonTerminalR,0,0,13,0
,DeleteNonTerminalR,,DeleteNonTerminalR,0,0,14,0
,AddXD,,SkipD,0,0,15,0
,ReplaceBranchXR,,AddRandomSubTreeR,0,0,16,0
,DeleteMaliciousR,,DeleteMaliciousR,0,0,17,0
,AddXD,,AddXD,0,0,18,0
,MutateNonTerminalR,,MutateNonTerminalR,0,0,19,0
