gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04768192327800287,-0.028491560393599343,-0.04588583975950856,-0.011129917657822506,354.71209999999996,710.4561,629.5488,508.73479999999995,-0.6693028362305581,0.2867318931232146,0.14024442986858013,0.00033453092718356277,23207.739999999998,6116.16,50603.28,6112.08,((((x)+(6))*((5)+(2)))*((x)*((x)+((x)*(x))))),(((0)+(6))+((x)+(x))),MultXD|ReplaceBranchXR|AddXD|AddTreeWithAdd|MultXD,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithSub|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,MultXD,DeleteMaliciousR,0,0,1,1,0
1,x*x*x*x,25,-10,-0.04625593517187296,-0.00570446443482852,-0.03839653378643315,0.011453835270003094,190.36680000000004,444.59434027777775,245.36239999999998,244.6155111111111,-0.9600000000000001,0.2866432025692254,0.000025356162593082043,0.0003337266345025629,6118.860000000001,6116.6,6120.8,6112.84,(0),(((0)+(5))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|MutateNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,1,1,2,2,0
2,x*x*x*x,25,-10,-0.03841029865377075,0.01144501419048864,-0.038402867599006664,0.011460780103441195,243.2561,244.6911,244.3932,244.55599999999998,-0.9600000000000001,0.2866432025692254,0.000007546075927188628,0.0002628584167392047,6119.8,6115.66,6120.8,6112.84,(0),(((x)+(5))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,AddXD,2,2,3,3,0
3,x*x*x*x,25,-10,-0.03840051431185466,0.011447278133577312,-0.038400261403738076,0.01145979983942342,244.75330000000002,244.67170000000002,244.792,244.56440000000003,-0.9600000000000001,0.2865871874824954,0.000006535093451831564,0.0002713927098260023,6119.3,6115.51,6120.8,6113.32,(0),((0)+((7)+(x))),FellTreeD|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteNonTerminalR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|SkipD|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,FellTreeD,AddXD,3,3,4,4,0
4,x*x*x*x,25,-10,-0.03840062867599007,0.01145327641578132,-0.03840013070186904,0.011485286703885583,244.7358,244.6203,244.812,244.34600000000003,-0.9600000000000001,0.28772149298877836,0.000006535093451831564,0.000656171308729227,6119.3,6111.52,6120.8,6103.6,(0),(((x)*(8))+((0)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,AddXD,4,4,5,5,0
5,x*x*x*x,25,-10,-0.038400644360214356,0.011443462105793828,-0.038400261403738076,0.011449110293705773,244.73340000000005,244.7044,244.792,244.65600000000003,-0.9600000000000001,0.2861717422559143,0.000006535093451831564,0.00011203017346003709,6120.3,6117.360000000001,6120.8,6116.88,(0),((x)+((0)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,AddTreeWithAdd,DeleteMaliciousR,5,5,6,6,0
6,x*x*x*x,25,-10,-0.03841012939485035,0.011448340086263236,-0.03839947719252386,0.011461106858113787,243.282,244.6626,244.912,244.5532,-0.9600000000000001,0.2867645685904737,0.000007546075927188628,0.00015977556395349783,6119.8,6113.23,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,6,6,7,7,0
7,x*x*x*x,25,-10,-0.03840309240622141,0.011444208973616896,-0.03840013070186904,0.011457232481281627,244.3588,244.69799999999998,244.812,244.58640000000003,-0.9600000000000001,0.28649849692850615,0.000006535093451831564,0.00026100054083300544,6120.3,6115.54,6120.8,6114.08,(0),((0)+((6)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,7,7,8,8,0
8,x*x*x*x,25,-10,-0.038400326754672594,0.011440276247736058,-0.038400000000000004,0.011451350897174974,244.782,244.73170000000002,244.832,244.6368,-0.9600000000000001,0.2863958026028344,0.000007546075927188628,0.00032127391018112184,6119.8,6116.9,6120.8,6114.96,(0),(((x)+(0))+((x)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|SkipD|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,DeleteMaliciousR,8,8,9,9,0
9,x*x*x*x,25,-10,-0.03840052346098549,0.011443940567992982,-0.03839986929813097,0.0114686222155834,244.75190000000003,244.70030000000003,244.852,244.48879999999997,-0.9599869298130964,0.28649849692850615,0.000006535093451831564,0.00016337733629592788,6121.3,6116.18,6122.8,6114.08,((0)-(x)),((0)+((6)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|SubXD|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteTerminalR,AddXD,9,9,10,10,0
10,x*x*x*x,25,-10,-0.03840057508822376,0.011439797785536908,-0.038400261403738076,0.011450604029351908,244.74400000000003,244.7358,244.792,244.6432,-0.9600000000000001,0.2861717422559143,0.000025356162593082043,0.00011203017346003709,6118.860000000001,6117.360000000001,6120.8,6116.88,(0),((x)-((0)+(x))),DeleteTerminalR|ReplaceBranchR|AddXD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|AddToLeafR|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,ReplaceBranchR,DeleteMaliciousR,10,10,11,11,0
11,x*x*x*x,25,-10,-0.03840037838191086,0.011445796067740915,-0.03840013070186904,0.011457512556715278,244.7741,244.68439999999998,244.812,244.584,-0.9600000000000001,0.2867645685904737,0,0.00042661521649129124,6120.8,6115.68,6120.8,6111.8,(0),((0)+((9)+(x))),DeleteTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DeleteNonTerminalR,DeleteMaliciousR|AddXD|AddTreeWithMult|AddToLeafR|DeleteMaliciousR|DivXD|ReplaceBranchR|FellTreeD|AddTreeWithAdd|DivXD|AddTreeWithSub|ReplaceBranchXR|FellTreeD|AddTreeWithAdd|MutateNonTerminalR|AddXD|ReplaceBranchR|ReplaceBranchXR|DeleteMaliciousR|AddXD,DeleteNonTerminalR,AddXD,11,11,12,12,0
