gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03847502991620558,0.000035106456601607936,-0.0382736635733891,0.011714038314319325,233.3509222222222,377.762168560606,264.164,242.38580000000002,-0.9600109789569992,0.31277890845267664,0.000013449808712359411,0.01484352726920252,6117.6,6017.719999999999,6119.12,5888.88,(2),(((4)*(6))*((8)*(x))),SubXD|FellTreeD|AddToLeafR|FellTreeD|MutateTerminalR,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteMaliciousR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithSub|SubXD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,FellTreeD,SubXD,0,0,1,1,1
1,x*x*x*x,25,-10,-0.03679213958959613,0.011560213550849699,-0.0319782773493661,0.011919496984521168,490.86680000000007,243.70394285714286,1227.484,240.62519999999998,-0.5657090576395243,0.31995817540190835,0.19587499077772894,0.018245957118917844,21504,6056.07,66455.2,5827.36,((((2)*(9))*((9)+((0)*(8))))*((x)*((x)+((x)-(x))))),(((7)*(7))*((4)*(9))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddXD|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DivXD|AddTreeWithDiv|FellTreeD|AddTreeWithAdd|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,FellTreeD,1,1,2,2,1
2,x*x*x*x,25,-10,-0.033484572695754194,0.011453586314062071,-0.022756594272756687,0.011634286834587454,1043.1606,244.61764444444444,2823.2656,243.0692,0.29226162879543316,0.2928842168157291,0.5957771878894623,0.005633444778202404,68830.9,6109.04,216209.84,6059.36,((((x)*(7))*((7)*(x)))*((8)*((x)+((x)-(x))))),(((8)*(9))+((4)*(8))),AddTreeWithMult|AddRandomSubTreeR|ReplaceBranchXR|AddXD|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|AddTreeWithAdd|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,SubXD,MutateTerminalR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.03829995164030846,0.011488029109173405,-0.03756177231734414,0.011814048583751893,260.1414,244.3225,373.0976,241.52879999999996,-0.8766477584629461,0.295092144817671,0.04529491497832837,0.0048436248803421485,9782.44,6091.05,18875.36,6040.44,((((x)*(4))-((0)*((9)*(x))))+((3)*((x)+((x)-(x))))),(((7)*(0))+((7)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddXD|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,SubXD,SubXD,3,3,4,4,1
4,x*x*x*x,25,-10,-0.03699096980786825,0.01159065341598671,-0.033924501372369624,0.01254103105102975,460.4418,243.4431,929.6727999999999,235.29919999999998,-0.7965113057116717,0.33243086804712746,0.08338077085346188,0.021343252406223846,17014.58,5980.26,31137.84,5720.48,((((x)+(1))*((x)*((9)+(3))))*((5)*((x)+((x)-(x))))),(((x)*(x))+((7)*(6))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddXD|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.028256015008527476,0.011497843419160896,-0.0030169080278361947,0.011652865171686243,2012.575,244.23839999999996,6521.1944,242.91,0.5104284937655298,0.29308960546707247,0.6623717068027187,0.003088461978961777,102099.88,6088.29,312559.04,6057.6,((((x)*(x))*((5)*((3)+(x))))*((x)*((9)+((x)-(x))))),(((6)*(9))-((6)*(6))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddXD|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,5,5,6,6,1
6,x*x*x*x,25,-10,-0.029523248731045903,0.011522280000746869,-0.016714053254834892,0.012094217375879906,3325.4549999999995,244.02900000000002,10144.828,239.128,0.8370866363515651,0.30997815411617535,0.9208222632571982,0.012403211294999262,297506.88,6071.89,939272.24,5912.88,((((x)*(2))+((x)*((x)*(6))))*((2)*((x)*((x)-(x))))),(((x)*(9))*((2)*(9))),AddTreeWithAdd|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithAdd,DeleteTerminalR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.03252009334907927,0.011439459361054581,-0.016687101928535116,0.011542888884739626,1228.1572,244.73870000000002,3901.6672000000003,243.8524,0.3707779786273404,0.2879222137162276,0.667705177985881,0.0011961086279705393,64861.240000000005,6110.91,243189.2,6101.88,((((6)*(7))*((x)*((x)*(2))))*((8)+((5)*((9)-(x))))),(((8)*(3))+((4)-(1))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteNonTerminalR,7,7,8,8,1
8,x*x*x*x,25,-10,-0.031313965494706573,0.011536575517672763,-0.019036690628675988,0.012133988087458225,1329.1370000000002,243.90649999999997,3207.8056,238.7872,-0.12338622402300352,0.3085777769479247,0.40494996488752044,0.01091755983993768,54875.72,6063.52,134139.44,5924.88,((((5)*(9))*((8)*((x)*(8))))+((2)*((4)+((2)-(x))))),(((x)*(7))*((7)*(3))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,8,8,9,9,1
9,x*x*x*x,25,-10,-0.029635288573443372,0.011530425527942194,-0.018602002445284566,0.012095431036092391,1623.7451999999998,243.95919999999998,3421.1904000000004,239.11759999999998,0.26551142714844866,0.31703605504415866,0.6513722014511983,0.014724099741934225,95427.12,6041.17,208335.44,5852.4,((((6)*(x))*((x)*((8)*(9))))-((9)+((0)*((x)-(x))))),(((x)*(9))*((5)*(6))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,MutateTerminalR,9,9,10,10,1
10,x*x*x*x,25,-10,-0.022986467577281365,0.011376640775248803,0.012592676286090865,0.01155021752525347,10178.1423,245.27699999999996,38346.6576,243.78959999999998,0.936748820945444,0.2907463076721997,0.8912689876232684,0.001737613378014431,637555.4,6095.08,2419243.44,6077.68,((((x)*(5))+((8)*((9)*(x))))*((x)*((7)*((8)-(x))))),((x)+((8)*(8))),AddTreeWithMult|AddRandomSubTreeR|AddTreeWithAdd|AddTreeWithMult|SubXD,DeleteMaliciousR|MutateTerminalR|MutateTerminalR|SubXD|SubXD|DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|DeleteNonTerminalR|SkipD|SkipD|FellTreeD|DeleteTerminalR|AddTreeWithDiv|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddRandomSubTreeR|MutateNonTerminalR,AddTreeWithMult,DeleteMaliciousR,10,10,11,11,1
