gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04880067180760685,-0.04208377370090769,-0.048800169912429754,-0.011317008047500791,NaN,NaN,183.59799999999998,510.338,-0.9600060122859757,0.28794555333569843,0.000005569801529946983,1.1433961069329923,6119.24,NaN,6119.88,6101.68,((8)-(7)),(((2)*((6)*(2)))+((0)*((7)+(x)))),SkipD|SkipD|SubXD|FellTreeD|AddTreeWithAdd,AddTreeWithSub|AddTreeWithDiv|AddXD|MultXD|MultXD|SkipD|DeleteMaliciousR|MultXD|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|MutateTerminalR|AddXD,SkipD,AddTreeWithDiv,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03840008560972422,-0.04195378504878445,-0.03839908508691675,0.0035504119269004295,244.81889999999999,872.3062616666667,244.972,357.11106666666666,-0.9599477192523854,0.29210934144929707,0.000040107943709990965,1.1450146353453579,6123.3,12754.66,6128.8,6066,((0)-(8)),(((8)*((8)+(x)))*((5)+((x)+(x)))),DeleteTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub,AddTreeWithSub|AddTreeWithDiv|MultXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|MutateTerminalR|AddXD,SubXD,AddTreeWithSub,1,1,2,2,3
2,x*x*x*x,25,-10,-0.03840035746961182,-0.005663890289266055,-0.03839908247287936,0.011631999551879308,244.7773,444.2466555555556,244.97240000000002,243.08879999999996,-0.9599673245327409,0.29151651511473764,0.000030290892486457242,0.0024266311655511603,6121.18,6101.815555555556,6125.8,6071.08,((3)-(8)),(((8)*((8)+(7)))+((4)+((0)+(x)))),DeleteTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub,AddTreeWithSub|AddTreeWithDiv|MultXD|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|AddTreeWithDiv|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|MutateTerminalR|AddXD,SubXD,AddTreeWithDiv,2,2,3,3,3
3,x*x*x*x,25,-10,-0.03839991373676644,-0.005414920085142929,-0.0383985622794406,0.012676214127004875,244.84519999999998,442.1132,245.05200000000002,234.1408,-0.9599477192523854,0.3080176260806244,0.000037089251052626675,0.009691518644134338,6122.719999999999,6050.15,6128.8,5929.68,((1)-(9)),((((1)+(0))-((5)+(6)))*((x)*((3)*(8)))),DeleteTerminalR|SubXD|SubXD|DeleteTerminalR|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|DivXD|SubXD|AddTreeWithAdd|MutateTerminalR|FellTreeD|DeleteMaliciousR|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,MutateTerminalR,3,3,4,4,3
4,x*x*x*x,25,-10,-0.03839999150437851,0.011459963087095165,-0.03839882368317867,0.011589409414268914,244.83329999999998,244.5630011111111,245.012,243.45376000000005,-0.9599542543458373,0.2924500998935714,0.000023894622911479747,0.003480385656251544,6123.13,6107.466111111111,6127.8,6063.08,((0)-(7)),((((8)-(1))*((0)*(4)))+((6)+((7)+(x)))),DeleteTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|MultXD|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,SubXD,ReplaceBranchR,4,4,5,5,3
5,x*x*x*x,25,-10,-0.0383997961050843,-0.005806068767854808,-0.038398758332244154,0.01147058274361895,244.8632,445.465,245.02200000000002,244.472,-0.9599477192523854,0.28685325914446297,0.000022872827081410474,0.0003209459353215383,6125.05,6113.76,6128.8,6111.04,((1)-(9)),((9)+((1)+(x))),DeleteTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,SubXD,ReplaceBranchR,5,5,6,6,3
6,x*x*x*x,25,-10,-0.038399629460201284,0.011579917639868955,-0.03839895438504771,0.012012575386970894,244.88870000000003,243.53509615384613,244.99200000000002,239.8276,-0.9599477192523854,0.3235618126482067,0.00003220044203527032,0.018814486501105013,6125.4400000000005,6038.29,6128.8,5796.48,((0)-(8)),((((9)*(6))*((3)*(8)))+((x)*((8)+(0)))),DeleteTerminalR|SubXD|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,SubXD,AddRandomSubTreeR,6,6,7,7,3
7,x*x*x*x,25,-10,-0.03839980982878056,-0.005674958455477341,-0.03839862763037512,0.01162210355322367,244.8611,444.34149999999994,245.042,243.1736,-0.9599411841589336,0.2942192430494614,0.00003030357902402245,0.004444900470288276,6125.63,6104.34,6129.8,6047.92,((0)-(9)),((((6)-(4))+((5)+(3)))*((4)*((4)+(0)))),DeleteTerminalR|FellTreeD|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,7,7,8,8,3
8,x*x*x*x,25,-10,-0.03839997712717293,0.005854903587366199,-0.03839926022742125,0.01210481356311967,244.83550000000002,310.2425285714286,244.9452,239.0372,-0.9599542543458373,0.28995276061019115,0.00003663905452231512,0.0019665440392154492,6124.370000000001,6102.25,6127.8,6084.48,((2)-(9)),(((0)*((1)+(8)))*((7)+((1)*(0)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithDiv,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,DeleteTerminalR,ReplaceBranchR,8,8,9,9,3
9,x*x*x*x,25,-10,-0.03840008953078029,0.00005166171725281776,-0.03839921578878578,0.011650764605933865,244.81830000000002,377.6203045454546,244.952,242.928,-0.9599738596261927,0.2943732845379689,0.000011160796808643833,0.004325355677151802,6122.55,6098.305454545455,6124.8,6046.6,((4)-(8)),((((7)*(2))*((5)+(9)))+((0)*((0)+(8)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchR|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|FellTreeD|AddToLeafR|AddRandomSubTreeR,FellTreeD,ReplaceBranchR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03839971114886943,0.005724551256916308,-0.03839882368317868,0.011497376626771479,244.87619999999998,311.35953333333333,245.012,244.24239999999998,-0.9599542543458373,0.2875021005657525,0.000011160796808643833,0.00028755762530399887,6126.05,6109.53,6127.8,6105.48,((1)-(8)),((((8)*(8))-((x)+(1)))-((6)*((7)+(x)))),DeleteTerminalR|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub,ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithSub|AddRandomSubTreeR|AddRandomSubTreeR|MultXD|AddTreeWithSub|DeleteMaliciousR|FellTreeD|MutateTerminalR|ReplaceBranchR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddTreeWithMult|DeleteTerminalR|AddToLeafR|AddRandomSubTreeR,FellTreeD,AddRandomSubTreeR,10,10,11,11,3
