gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04880115736505032,-0.01139762163442687,-0.04880000000000001,0.01153145830610378,NaN,NaN,NaN,243.95034999999996,-0.9600000000000001,0.28635379128778693,0.000014790308817258945,0.0004167521999585277,6118.84,6119.3099999999995,6120.8,6115.32,((0)*((x)*(x))),((7)-((x)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddTreeWithDiv|MutateNonTerminalR,DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|SubXD|AddTreeWithMult|SubXD|FellTreeD|MultXD|SkipD|SkipD|DeleteNonTerminalR|AddXD|SubXD|ReplaceBranchXR|AddTreeWithMult|MultXD|ReplaceBranchXR|FellTreeD|AddXD|AddTreeWithSub,MultXD,SubXD,0,0,1,1,4
1,x*x*x*x,25,-10,-0.03837435956084172,0.011432597512930154,-0.03829454450398641,0.01144182833243087,248.75550000000004,244.7975,260.9688,244.7184,-0.9494675205855443,0.28614373471254934,0.005289537642008483,0.0001756529279293925,6518.42,6118.88,7732.48,6117.12,((((0)-(x))*((x)*(9)))-((4)*((x)+(0)))),((2)-((0)+(x))),AddToLeafR|ReplaceBranchR|MultXD|AddXD|DeleteTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,AddToLeafR,AddTreeWithMult,1,1,2,2,4
2,x*x*x*x,25,-10,-0.03840548555744347,0.011437860597120826,-0.03839973859626193,0.0114570924435648,243.99259999999998,244.75240000000002,244.872,244.58759999999998,-0.9599869298130964,0.2867645685904737,0.000012513751245008957,0.0005598785055246369,6120.3,6116.68,6122.8,6111.8,(((0)*((x)*(x)))*((x)-(x))),((9)+((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,AddTreeWithMult,2,2,3,3,4
3,x*x*x*x,25,-10,-0.03840358515226768,0.011433729484474488,-0.03839986929813097,0.01143986780439532,244.2834,244.78779999999998,244.852,244.7352,-0.9599869298130964,0.2859476819089942,0.000006535093451831564,0.00011669809735423421,6121.3,6119.3,6122.8,6118.8,((0)*((x)-(x))),((5)*((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,AddTreeWithMult,3,3,4,4,4
4,x*x*x*x,25,-10,-0.03840649588289113,0.011438339059319982,-0.03839986929813097,0.011447009727953397,243.838,244.74829999999997,244.852,244.674,-0.9599869298130964,0.2864098063745169,0.000012513751245008957,0.00021885794025179096,6120.3,6117.389999999999,6122.8,6114.84,(((0)*((x)*(x)))*((x)-(x))),((5)+((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|DeleteNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,AddTreeWithMult,4,4,5,5,4
5,x*x*x*x,25,-10,-0.0384078015945628,0.011433811173142634,-0.037979349104692195,0.011447149765670224,243.63819999999998,244.78709999999998,309.2,244.6728,-0.9579218402823161,0.2864098063745169,0.002001972680590188,0.00032787250655554235,6198.82,6118.8099999999995,6438.8,6114.84,(((0)-((x)*(x)))*((x)+(x))),((5)-((0)+(x))),SkipD|AddXD|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|AddToLeafR|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,AddXD,AddTreeWithMult,5,5,6,6,4
6,x*x*x*x,25,-10,-0.038410905763952424,0.0114354799559348,-0.03839986929813097,0.011441828332430872,243.1632,244.7728,244.852,244.7184,-0.9599869298130964,0.28614373471254934,0.000016274350977645077,0.0001756529279293925,6119.32,6118.88,6122.8,6117.12,((0)*((x)-(x))),((0)+((2)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,MultXD,AddTreeWithMult,6,6,7,7,4
7,x*x*x*x,25,-10,-0.03841074369363482,0.01143928431390855,-0.03839973859626193,0.011461620329742146,243.18800000000002,244.74020000000002,244.872,244.5488,-0.9599869298130964,0.28667587803648453,0.000010671762918927287,0.0003340529324990594,6120.8,6117.64,6122.8,6112.56,(((0)*((x)*(x)))*((x)-(x))),((8)+((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,AddTreeWithMult,7,7,8,8,4
8,x*x*x*x,25,-10,-0.038410746307672196,0.011429738409544971,-0.038400000000000004,0.011437907276359769,243.18759999999997,244.822,244.832,244.752,-0.9600000000000001,0.2859476819089942,0.00001280878316556322,0.00011669809735423421,6119.82,6119.3,6120.8,6118.8,((0)-((x)+(x))),((0)+((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|MutateNonTerminalR|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,MutateNonTerminalR,AddTreeWithMult,8,8,9,9,4
9,x*x*x*x,25,-10,-0.03840558358384525,0.011434989823925913,-0.038400000000000004,0.011454245009989358,243.9776,244.77700000000002,244.832,244.612,-0.9599869298130964,0.2867645685904737,0.000016204220723854304,0.0004985344904329358,6120.32,6118.05,6122.8,6111.8,(((0)*((x)*(x)))*((x)-(x))),((9)+((0)+(x))),SkipD|AddTreeWithMult|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|MutateTerminalR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,SkipD,AddTreeWithMult,9,9,10,10,4
10,x*x*x*x,25,-10,-0.03840035420206509,0.011437242097204849,-0.03837908770095413,0.011457979349104695,244.77779999999998,244.7577,248.032,244.58,-0.9579218402823161,0.28632111582052766,0.0010412950780487142,0.00017963927595730697,6199.82,6117.58,6438.8,6115.6,(((0)-((x)*(x)))*((x)+(x))),((4)+((0)+(x))),SkipD|DeleteNonTerminalR|MultXD|AddXD|MutateNonTerminalR,DivXD|ReplaceBranchXR|AddTreeWithMult|ReplaceBranchXR|AddTreeWithMult|MutateTerminalR|FellTreeD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithSub|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithMult|AddXD|DeleteNonTerminalR,MultXD,ReplaceBranchXR,10,10,11,11,4
