gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.06696288001568423,-0.045707108781298425,-0.05905037511436413,-0.034271803872509665,NaN,NaN,NaN,NaN,-0.9450571167167692,0.28649849692850615,0.007490608186500754,1.1431776817721513,6688.0599999999995,NaN,8407.36,6114.08,((((x)*(0))-((7)*(x)))*((x)+((x)*(5)))),((x)+(6)),AddRandomSubTreeR|AddXD|SkipD|DeleteTerminalR|AddRandomSubTreeR,MutateTerminalR|AddToLeafR|MutateTerminalR|ReplaceBranchR|DivXD|DeleteTerminalR|FellTreeD|SubXD|AddToLeafR|SubXD|FellTreeD|ReplaceBranchXR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|DivXD|ReplaceBranchXR,AddRandomSubTreeR,FellTreeD,0,0,1,1,2
1,x*x*x*x,25,-10,-0.03848055025486865,-0.01713916948298075,-0.03838209384394197,-0.011411206751685119,232.50620000000004,577.8779,247.572,511.14520000000005,-0.9600130701869037,0.28608771962581925,0,0.00042199985532410565,6118.8,6120.75,6118.8,6117.6,(((x)*((0)*(9)))-((2)-((9)+(x)))),(((x)+((4)+(0)))-((x)-((x)+(x)))),AddXD|AddXD|SkipD|DeleteTerminalR|AddRandomSubTreeR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddXD,SubXD,1,0,2,2,2
2,x*x*x*x,25,-10,-0.038509298784472616,0.0114149877700394,-0.03807682655861979,0.011437907276359769,228.1071,244.9484,294.284,244.752,-0.9283753757678734,0.2859476819089942,0.016739851952388213,0.00013475135584276854,7151.21,6119.8,10960,6118.8,((((x)*(3))+((1)-(x)))*((x)*((x)+(x)))),((0)+(x)),AddRandomSubTreeR|AddXD|SkipD|DeleteTerminalR|AddRandomSubTreeR,DeleteNonTerminalR|SubXD|ReplaceBranchR|DeleteNonTerminalR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|MultXD|AddTreeWithDiv|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithDiv|MutateTerminalR|AddXD|DeleteNonTerminalR,AddRandomSubTreeR,DeleteNonTerminalR,2,2,3,3,2
3,x*x*x*x,25,-10,-0.03846928571428571,-0.017145774595291,-0.038400261403738076,0.011433239352465601,234.22990000000001,577.9345,244.792,244.792,-0.9600130701869037,0.2859476819089942,0.0006284145863285073,0.00014684188565592012,6070.719999999999,6120.55,6118.8,6118.8,(((x)*((0)*(2)))*((0)+(x))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,ReplaceBranchR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,3,3,4,4,2
4,x*x*x*x,25,-10,-0.048440526075022874,0.011428256343708573,-0.04711675336557313,0.011430905390518515,238.6307,244.8347,441.19440000000003,244.812,-0.7917014769311201,0.2859476819089942,0.08453273745583435,0.0001750471460313405,12472.45,6120.05,31873.84,6118.8,(((x)*((x)*(x)))*((8)*((8)+(0)))),((((8)+(2))-((5)-(1)))-((0)-((6)+(x)))),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,4,5,5,2
5,x*x*x*x,25,-10,-0.04809375375767874,0.005699290008775699,-0.04602145079074631,0.011435573314412684,291.69380000000007,311.57599999999996,608.7976,244.77200000000002,-0.7207632989151744,0.2859476819089942,0.11861331190428621,0.00045631791353178616,15512.000000000002,6122.15,42728.8,6118.8,(((x)*((x)*(x)))*((8)*((x)+(x)))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,4,6,6,2
6,x*x*x*x,25,-10,-0.03845616520716247,-0.011421231118247848,-0.0383309240622141,0.011467455234609856,236.23760000000001,511.2311,255.40200000000002,244.49880000000002,-0.9570722781335774,0.2873667307728215,0.001546364496441251,1.143132815775447,6235.34,12778.81,6568.8,6106.64,((((x)*(4))+((0)*(x)))*((1)-((3)+(0)))),(((2)*((8)-(0)))-((0)+(x))),AddRandomSubTreeR|AddXD|SkipD|DeleteTerminalR|AddRandomSubTreeR,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,AddRandomSubTreeR,ReplaceBranchR,6,4,7,7,2
7,x*x*x*x,25,-10,-0.03841029277218664,0.011377349299411312,-0.03840013070186904,0.011437907276359769,243.25699999999998,245.27092857142856,244.812,244.752,-0.9600000000000001,0.2859476819089942,0.000006535093451831564,0.0003855749404372764,6119.3,6121.05,6120.8,6118.8,(((x)*((0)*(x)))*((x)+(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,4,8,8,2
8,x*x*x*x,25,-10,-0.038400359430139856,0.011419235580783092,-0.03840013070186904,0.011437907276359769,244.77700000000002,244.912,244.812,244.752,-0.9600000000000001,0.2859476819089942,0.000006535093451831564,0.00011669809735423421,6120.3,6120.3,6120.8,6118.8,(((x)*((x)*(x)))*((0)+(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|MultXD|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,8,9,9,2
9,x*x*x*x,25,-10,-0.038400326754672594,0.0000015316625277755902,-0.03840013070186904,0.011437907276359769,244.782,378.04987500000004,244.812,244.752,-0.9600000000000001,0.2859476819089942,0.000006535093451831564,0.0002234598436610399,6120.3,6120.3,6120.8,6118.8,(((x)*((0)*(x)))*((0)+(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,ReplaceBranchR,3,9,10,10,2
10,x*x*x*x,25,-10,-0.038400326754672594,-0.0000017504714603117088,-0.038400000000000004,0.011435573314412686,244.782,378.07800000000003,244.832,244.77200000000002,-0.9600000000000001,0.2859476819089942,0.000007546075927188628,0.00011669809735423421,6119.8,6119.3,6120.8,6118.8,(((x)*((0)*(x)))*((x)+(0))),((0)+(x)),DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteTerminalR|AddTreeWithMult,DeleteNonTerminalR|SubXD|ReplaceBranchR|ReplaceBranchR|AddToLeafR|MutateNonTerminalR|AddTreeWithDiv|AddTreeWithAdd|AddToLeafR|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithDiv|AddTreeWithMult|SubXD|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|AddXD|DeleteNonTerminalR,DeleteTerminalR,SubXD,3,9,11,11,2
