gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.03847799176578225,-0.005675973728924322,-0.03839831655992681,0.011526831226543686,232.89769999999996,444.35020000000003,245.0896,243.99,-0.9600000000000001,0.2933696809007227,0,0.004060006919401179,6120.8,6099.91,6120.8,6055.2,(0),(((x)+(5))+((0)*(x))),DeleteNonTerminalR|MultXD|DeleteNonTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteNonTerminalR,DeleteMaliciousR,0,0,1,1,2
1,x*x*x*x,25,-10,-0.03838778329630114,0.008729143928039512,-0.03834863416546857,0.011531779225871506,246.7014,339.1046,252.692,243.9476,-0.9548764867337604,0.29006945870754536,0.002574233710226688,0.0024805466452835776,6313.94,6104.5599999999995,6904.8,6083.48,(((x)*((0)-(x)))*((x)*((9)+(5)))),(((6)*(9))+((7)-(x))),AddTreeWithSub|MultXD|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithAdd,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteNonTerminalR,DeleteMaliciousR,1,0,2,2,2
2,x*x*x*x,25,-10,-0.0383997294471311,0.011453603170453913,-0.038398917788524375,0.01163115932557836,244.8734,244.6175,244.99759999999998,243.09599999999998,-0.9598917788524377,0.29301491868476587,0.000054110573781185334,0.003572175588899795,6124.9400000000005,6102.97,6137.36,6058.24,((0)-((8)*(x))),(((6)*(1))*((6)*(x))),FellTreeD|ReplaceBranchR|SkipD|AddTreeWithMult|DivXD,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DivXD,DeleteMaliciousR,1,0,3,3,2
3,x*x*x*x,25,-10,-0.038400258789700686,0.01147809810108856,-0.038400000000000004,0.011651884907668468,244.7924,244.40760000000003,244.832,242.9184,-0.9600000000000001,0.29420990720167306,0,0.003004800237023396,6120.8,6101.57,6120.8,6048,(0),(((x)+((9)-(0)))-((0)*(x))),FellTreeD|ReplaceBranchR|MultXD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MultXD,MutateTerminalR,3,0,4,4,2
4,x*x*x*x,25,-10,-0.04879991831133186,0.0114568940567993,-0.048799673245327406,0.011590221633026497,183.6365,244.5893,183.674,243.4468,-0.9599673245327409,0.28977537950221266,0.00001633773362957891,0.001707205552057773,6122.05,6107.68,6125.8,6086,((0)-(5)),(((5)*(3))+((4)*(x))),FellTreeD|ReplaceBranchR|SkipD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,4,4,5,5,2
5,x*x*x*x,25,-10,-0.038400000000000004,0.011455995481449672,-0.03839986929813097,0.01160772634762963,244.832,244.597,244.852,243.2968,-0.9599869298130964,0.2924734395130422,0.000006535093451831564,0.003333624084133451,6121.3,6105.71,6122.8,6062.88,((0)-((1)*(x))),((x)+((1)*(x))),FellTreeD|DeleteMaliciousR|MultXD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,5,4,6,6,2
6,x*x*x*x,25,-10,-0.038399886289373936,0.011461760367458971,-0.038398787086655346,0.011548677110368395,244.84940000000003,244.54760000000002,245.0176,243.8028,-0.9598917788524377,0.29200664712362534,0.000054110573781185334,0.0032416908248513745,6124.9400000000005,6105.8,6137.36,6066.88,((0)-((8)*(x))),((x)*((x)-(x))),FellTreeD|DeleteMaliciousR|MultXD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,5,5,7,7,2
7,x*x*x*x,25,-10,-0.03839978695595347,0.011487819052598169,-0.038398515226767745,0.011730492746046272,244.8646,244.3243,245.05919999999998,242.2448,-0.9598917788524377,0.299101891442762,0.000054110573781185334,0.006636144609352675,6124.9400000000005,6091.34,6137.36,6006.08,((0)-((8)*(x))),(((x)*(9))*((8)+(0))),FellTreeD|ReplaceBranchR|MultXD|AddTreeWithMult|MutateTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,7,4,8,8,2
8,x*x*x*x,25,-10,-0.038400000000000004,0.011444314001904517,-0.038400000000000004,0.01154489609201412,244.832,244.69709999999998,244.832,243.83519999999996,-0.9600000000000001,0.2897193644154827,0,0.0020523737434815026,6120.8,6112.01,6120.8,6086.48,(0),((7)*((8)-(x))),FellTreeD|DeleteMaliciousR|MultXD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MultXD,DeleteMaliciousR,5,8,9,9,2
9,x*x*x*x,25,-10,-0.038400000000000004,0.011493723976324293,-0.038400000000000004,0.011691562260768904,244.832,244.27370000000002,244.832,242.57839999999996,-0.9600000000000001,0.2978042086001831,0,0.006084005062983271,6120.8,6095.1,6120.8,6017.2,((0)*(x)),(((9)*(7))-((0)*(x))),FellTreeD|DeleteMaliciousR|MultXD|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|DeleteNonTerminalR|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,5,9,10,10,2
10,x*x*x*x,25,-10,-0.038400000000000004,0.011459356386653474,-0.038400000000000004,0.01157481748417574,244.832,244.5682,244.832,243.5788,-0.9600000000000001,0.2935937412476428,0,0.0034221835935727522,6120.8,6086.679999999999,6120.8,6053.28,(0),((6)+((x)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteTerminalR,MutateTerminalR,9,9,11,11,2
11,x*x*x*x,25,-10,-0.038400000000000004,0.011447266463767578,-0.038400000000000004,0.011494575872434978,244.832,244.67179999999996,244.832,244.2664,-0.9600000000000001,0.2893459305039491,0,0.0015589934057345918,6120.8,6104.2,6120.8,6089.68,(0),(((5)*(7))+((9)+(x))),FellTreeD|DeleteMaliciousR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteMaliciousR,MutateTerminalR,10,11,12,12,2
12,x*x*x*x,25,-10,-0.038400000000000004,0.011428606438000637,-0.038400000000000004,0.011512407341710702,244.832,244.8317,244.832,244.11360000000002,-0.9600000000000001,0.2867645685904737,0,0.0006448200862544193,6120.8,6119.57,6120.8,6111.8,(0),((x)+((9)-(0))),FellTreeD|DeleteMaliciousR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,DeleteMaliciousR,DeleteMaliciousR,10,11,13,13,2
13,x*x*x*x,25,-10,-0.038400000000000004,0.011473523535672277,-0.038400000000000004,0.011596803405717275,244.832,244.44680000000005,244.832,243.3904,-0.9600000000000001,0.29379912989898616,0,0.0038322717026339362,6120.8,6100.72,6120.8,6051.52,(0),(((x)+(2))+((5)*(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|MutateNonTerminalR|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,FellTreeD,DeleteMaliciousR,9,13,14,14,2
14,x*x*x*x,25,-10,-0.038400000000000004,0.011593512519371886,-0.038400000000000004,0.012011501764475234,244.832,243.4186,244.832,239.8368,-0.9600000000000001,0.32444871818809873,0,0.018320963819457428,6120.8,6016.58,6120.8,5788.88,(0),(((x)*(x))*((6)-(x))),FellTreeD|DeleteTerminalR|MutateTerminalR|AddTreeWithMult|DeleteNonTerminalR,DeleteMaliciousR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|SkipD|AddXD|MultXD|MultXD|MutateTerminalR|DeleteMaliciousR|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchR|MutateTerminalR|ReplaceBranchXR|SubXD|SkipD|MutateNonTerminalR|DeleteMaliciousR|AddRandomSubTreeR,MutateTerminalR,DeleteMaliciousR,13,11,15,15,2
