gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05416850607763691,-0.011352828722980499,-0.04880430793360345,0.011644451238867003,NaN,NaN,182.9648,242.98210000000003,-0.9599869298130964,0.28571428571428575,0.00003594364768550696,0.002774944980216047,6117.110000000001,6135.34,6122.8,6120.8,((x)-(4)),(0),FellTreeD|AddToLeafR|MutateTerminalR|DivXD|ReplaceBranchXR,AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|AddTreeWithSub|AddTreeWithSub|DeleteTerminalR|MutateTerminalR|AddXD|SubXD|AddTreeWithMult|AddTreeWithMult|SubXD|DeleteMaliciousR|AddTreeWithSub|DeleteNonTerminalR|SubXD|DivXD|DeleteNonTerminalR,AddToLeafR,SubXD,0,0,1,1,3
1,x*x*x*x,25,-10,-0.05916934453012678,0.0001899147429633663,-0.04867251339694158,0.01183330636310639,127.10690000000001,376.4355977777778,203.132,241.36377777777778,-0.9599738596261927,0.3028611261521992,0.000056052818854325754,0.005815415716009103,6117.6900000000005,6029.938666666667,6124.8,5973.866666666668,((x)-(6)),((((4)*(x))/((3)+(9)))+((x)-((x)+((x)*(x))))),FellTreeD|AddToLeafR|DivXD|MutateNonTerminalR|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,DivXD,SkipD,1,0,2,2,3
2,x*x*x*x,25,-10,-0.0592016834400732,-0.01694858481884454,-0.03840023003528951,0.012023918442033725,122.1584,576.2447571428571,244.7968,239.7304,-0.9599607894392891,0.2929215602068825,0.00022096553226213158,0.0027114570709163197,6098.91,6090.965714285714,6126.8,6059.04,((x)-(8)),(((3)*((1)+(x)))-((x)+((x)*(x)))),FellTreeD|AddToLeafR|DivXD|MutateNonTerminalR|ReplaceBranchXR,AddTreeWithMult|MutateTerminalR|AddTreeWithAdd|ReplaceBranchXR|FellTreeD|AddTreeWithSub|AddTreeWithSub|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|SubXD|AddXD|AddTreeWithDiv|AddRandomSubTreeR|SubXD|AddXD|MultXD,FellTreeD,AddRandomSubTreeR,2,2,3,3,3
3,x*x*x*x,25,-10,-0.061800241798457715,-0.011324931070323827,-0.0383998640700562,0.01190529482607316,NaN,NaN,244.85280000000003,240.74689999999998,-0.9600000000000001,0.2940045185503296,0.000022100084750024525,1.1467492403794992,6116.58,12732.323333333334,6120.8,6049.76,((x)*(0)),((((3)/(9))+((6)*((0)+(6))))+((4)-((2)+((x)*(x))))),FellTreeD|AddToLeafR|DivXD|MutateNonTerminalR|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,DivXD,SkipD,2,0,4,4,3
4,x*x*x*x,25,-10,-0.0618003934126258,0.0062947924344660565,-0.048799607894392895,0.01253732783140704,NaN,NaN,183.68400000000003,235.3309333333333,-0.9599803947196446,0.32197471852418924,0.5199936833093407,0.0133576781781407,4589.15,5951.786666666667,6123.8,5810.08,((x)-(5)),((((9)+(6))*((8)+((9)+(4))))-((9)/((1)+((x)*(x))))),FellTreeD|AddToLeafR|MutateTerminalR|DivXD|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,FellTreeD,SkipD,4,0,5,5,3
5,x*x*x*x,25,-10,-0.06180080512351326,-0.027873060477621968,-0.038400235263364266,0.01416080064230633,NaN,NaN,244.796,221.4192,-0.9600256175663312,0.4126818156356779,0.000050551274717776825,1.1681321084621097,6108.400000000001,NaN,6116.88,5032.8,((x)+(x)),((((4)-((6)*(7)))+((x)/((2)*(2))))+(((9)*(x))+((x)+((x)*(x))))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteNonTerminalR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|AddXD|AddTreeWithDiv|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,AddTreeWithDiv,AddRandomSubTreeR,4,5,6,6,3
6,x*x*x*x,25,-10,-0.03840182917265717,-0.010966263552539037,-0.038399346490654816,0.012304118353654366,244.55210000000002,507.3324283333334,244.93200000000002,237.3293333333333,-0.9600000000000001,0.3253823029669325,0.000021884661002131295,0.014282540159710908,6117.860000000001,5961.272,6120.8,5780.88,((5)+((x)-(7))),((((5)*(x))+((0)+(5)))+((1)/((2)+((x)*(x))))),FellTreeD|AddToLeafR|MultXD|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,MultXD,AddRandomSubTreeR,6,0,7,7,3
7,x*x*x*x,25,-10,-0.039548946542935566,-0.0006938479632492401,-0.03256791269115149,0.01203297421438841,451.57020000000006,384.43593309523817,1137.258,239.65279999999998,-0.3767978042086002,0.3009037100659111,0.2916617143605412,0.0025779181080242243,28417.299999999996,6011.698666666667,95362.4,5990.64,((((2)*(x))+((7)*(x)))*((6)*((x)*(x)))),(((1)*((5)+(5)))+((x)+((x)*(x)))),MultXD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,MutateTerminalR,DeleteMaliciousR,7,0,8,8,3
8,x*x*x*x,25,-10,-0.03840089400078421,0.00026202872121706576,-0.03839743040125474,0.016246989189088262,244.6952,375.81764444444445,245.2252,203.5424,-0.9597647366357339,0.4856134585581717,0.00013957399180558413,0.11762823757465397,6126.17,5639.96,6156.8,4407.84,((6)*((x)-(8))),(((4)*((x)-(8)))*((9)+((x)*(x)))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|DivXD|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,FellTreeD,DeleteMaliciousR,8,0,9,9,3
9,x*x*x*x,25,-10,-0.038401813488432884,0.0001306785294172591,-0.038398154489609204,0.012139216162219696,244.55450000000005,376.9432,245.11440000000002,238.74239999999998,-0.9597647366357339,0.31422596485986903,0.0001589956586215116,0.01019034585857394,6121.24,5985.299999999999,6156.8,5876.48,((6)*((x)-(8))),((((3)+(8))*((8)-(1)))+((6)+((x)*(x)))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|ReplaceBranchXR,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddXD|MultXD,AddToLeafR,AddRandomSubTreeR,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03840205790092798,0.009603692038569162,-0.03839941184158934,0.012519185167205038,244.51710000000003,279.2514,244.922,235.4864,-0.9599869298130964,0.3312638870735853,0.000056446060284865703,0.016317823471856913,6116.02,5919.66,6122.8,5730.48,((x)-((x)+(2))),(((x)+((7)*(5)))-((0)+((x)*(x)))),FellTreeD|AddToLeafR|MutateTerminalR|AddTreeWithDiv|SubXD,AddTreeWithSub|SkipD|DeleteMaliciousR|FellTreeD|MultXD|AddTreeWithDiv|AddToLeafR|ReplaceBranchXR|AddRandomSubTreeR|AddRandomSubTreeR|SkipD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithAdd|DeleteMaliciousR|MutateNonTerminalR|AddRandomSubTreeR|AddToLeafR|AddToLeafR|MultXD,FellTreeD,AddRandomSubTreeR,10,10,11,11,3
