gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.041001613187818586,0.011472772777912633,-0.03839171611554046,0.011575330955804099,229.28315000000003,244.45323333333334,246.09960000000004,243.5744,-0.9599673245327409,0.29079298691114147,0.000017987382238206,0.0017319124748646378,6121.71,6089.61,6125.8,6077.28,((4)-(9)),(((9)-((4)*(4)))+((x)*((x)+(x)))),AddTreeWithMult|AddToLeafR|DeleteNonTerminalR|SkipD|ReplaceBranchR,DivXD|DivXD|DeleteTerminalR|DeleteMaliciousR|ReplaceBranchR|MutateTerminalR|AddTreeWithDiv|MultXD|DivXD|SkipD|AddToLeafR|AddXD|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR|AddTreeWithSub|MultXD|AddXD|ReplaceBranchR|AddTreeWithMult,ReplaceBranchR,DivXD,0,0,1,1,4
1,x*x*x*x,25,-10,-0.03851711671676905,0.011516356460895692,-0.0383992811397203,0.012045717646619493,226.91080000000002,244.07975952380954,244.942,239.5436,-0.9600000000000001,0.31179864443490124,0,0.014384409630049829,6120.8,6078.086666666667,6120.8,5897.28,(0),(((x)*((5)-(5)))/((5)*(x))),AddToLeafR|SkipD|ReplaceBranchXR|FellTreeD|DeleteNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithDiv|MultXD,SkipD,ReplaceBranchXR,0,0,2,2,4
2,x*x*x*x,25,-10,-0.038400000000000004,-0.005766298639766976,-0.038400000000000004,0.011722856022555411,244.832,445.1242050000001,244.832,242.31023999999996,-0.9600000000000001,0.29458334111320655,0,0.004032899214303127,6120.8,6145.369166666666,6120.8,6044.8,(0),(((x)/((2)*(x)))-((3)*(x))),AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchXR|AddTreeWithSub|AddTreeWithDiv|MultXD,DeleteNonTerminalR,ReplaceBranchXR,1,0,3,3,4
3,x*x*x*x,25,-10,-0.038400000000000004,0.00011634540977110808,-0.038400000000000004,0.011955611155715721,244.832,377.0660222222222,244.832,240.3157333333333,-0.9600000000000001,0.2924734395130422,0,0.003673368425964328,6120.8,6090,6120.8,6062.88,(0),(((5)-((8)/(2)))+((x)*(x))),AddRandomSubTreeR|AddToLeafR|DeleteNonTerminalR|FellTreeD|DeleteNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|MultXD,DeleteNonTerminalR,AddTreeWithMult,1,2,4,4,4
4,x*x*x*x,25,-10,-0.038400000000000004,0.0117939292760628,-0.038400000000000004,0.013043906492148555,244.832,241.70120476190473,244.832,230.99,-0.9600000000000001,0.3629124110760499,0,0.038080432101033325,6120.8,5946.405714285715,6120.8,5459.28,(0),(((6)/((3)*(9)))*((x)-((6)*(x)))),AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|SubXD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithSub|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,2,2,5,5,4
5,x*x*x*x,25,-10,-0.038400000000000004,-0.017158536504720826,-0.038400000000000004,0.011621916836267905,244.832,578.0438583333332,244.832,243.17520000000002,-0.9600000000000001,0.2912131000616166,0,0.0025515787469237786,6120.8,6103.34,6120.8,6073.68,(0),(((4)*((2)*(5)))-((7)/((4)*(x)))),AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,MutateNonTerminalR,AddTreeWithMult,2,5,6,6,4
6,x*x*x*x,25,-10,-0.038400000000000004,-0.017078041463611977,-0.038400000000000004,0.011636307378787356,244.832,577.3540866666666,244.832,243.05188571428573,-0.9600000000000001,0.2946113486565715,0,0.0039043791437301384,6120.8,6073.562857142857,6120.8,6044.56,(0),(((5)*((9)/(3)))*((6)-((3)*(x)))),AddToLeafR|AddToLeafR|DeleteMaliciousR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,5,5,7,7,4
7,x*x*x*x,25,-10,-0.038400000000000004,0.0012796679905787967,-0.038400000000000004,0.02182241972726877,244.832,367.0973714285714,244.832,155.76586666666668,-0.9600000000000001,0.7959183673469387,0,0.009094522643836679,6120.8,6057.153333333334,6120.8,1748.8000000000009,(0),(((x)*((9)/(7)))*((x)*((x)*(x)))),AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,FellTreeD,AddTreeWithMult,6,5,8,8,4
8,x*x*x*x,25,-10,-0.038400000000000004,-0.005236910474554477,-0.038400000000000004,0.013870829210000563,244.832,440.5878142857143,244.832,223.90399999999997,-0.9600000000000001,0.30367645685904743,0,0.00974091035076207,6120.8,6070.3,6120.8,5966.88,(0),(((x)+((5)*(3)))*((4)/((1)*(x)))),AddTreeWithSub|AddToLeafR|DeleteNonTerminalR|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddTreeWithSub,AddTreeWithMult,7,5,9,9,4
9,x*x*x*x,25,-10,-0.038400000000000004,0.010244231042104977,-0.038400000000000004,0.01207507421998992,244.832,255.49740142857138,244.832,239.29204000000001,-0.9600000000000001,0.3013723696248857,0,0.007337699498451394,6120.8,6077.1131428571425,6120.8,5986.624,(0),(((7)*((x)/(5)))*((1)+((x)*(x)))),AddToLeafR|DeleteMaliciousR|SkipD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,AddToLeafR,AddTreeWithMult,7,8,10,10,4
10,x*x*x*x,25,-10,-0.038400000000000004,-0.010727822276799883,-0.038400000000000004,0.01369158093246448,244.832,505.2891964285715,244.832,225.44,-0.9600000000000001,0.4527139309520698,0,1.1763216891140014,6120.8,12382.214,6120.8,4689.76,(0),(((x)*((1)*(9)))/((1)*((3)*(x)))),AddTreeWithSub|AddToLeafR|SkipD|FellTreeD|MutateNonTerminalR,AddTreeWithAdd|MutateTerminalR|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|SubXD|FellTreeD|SkipD|AddTreeWithMult|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|DivXD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult|AddTreeWithMult|AddTreeWithDiv|MultXD,SkipD,AddTreeWithMult,9,10,11,11,4
