gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05975020851032545,-0.039811019101144575,-0.05974995752189256,-0.03381910861325317,NaN,NaN,NaN,NaN,-0.9874877466997778,0.32757622719719187,0.000012070036313718798,0.017502316993221495,6118,5969.76,6126.8,5762.08,(((5)-(x))+((0)-(9))),(((5)+((8)*(4)))+((x)*((5)*(x)))),ReplaceBranchR|DeleteTerminalR|SkipD|ReplaceBranchR|MutateNonTerminalR,AddTreeWithSub|MutateNonTerminalR|AddXD|AddTreeWithMult|MultXD,ReplaceBranchR,AddXD,0,0,1,1,3
1,x*x*x*x,25,-10,-0.04709313079989544,-0.016948939914483634,-0.03949346490654817,-0.010847321545269524,NaN,NaN,248.032,NaN,-0.9875,0.2986350990533451,0,0.0070776989733398145,6120.8,6076.98,6120.8,6010.08,((x)-((8)*(0))),((4)*((6)*(9))),AddRandomSubTreeR|DeleteMaliciousR|SkipD|ReplaceBranchR|AddRandomSubTreeR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,AddRandomSubTreeR,AddTreeWithMult,1,1,2,2,3
2,x*x*x*x,25,-10,-0.04457569700856097,0.00971146189956696,-0.03949685825382303,0.012130720540732309,207.7659,262.8574892857143,246.37039999999996,238.81519999999998,-0.9872024898706052,0.28995276061019115,0.0001474186939989363,0.0020048321032479287,6158.24,6109.4,6266.48,6084.48,(((7)-((9)*(x)))+((1)+((7)*(x)))),((4)*((2)*(7))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,2,2,3,3,3
3,x*x*x*x,25,-10,-0.039437704630113715,0.004110013782453484,-0.03922846605018952,0.011912168344007322,275.3358,325.32151875000005,377.7924,240.68800000000002,-0.9624521304404653,0.3108463879604908,0.012562934361634751,0.014862058565252379,9158.51,6087.46,18385.84,5905.44,(((x)*((x)*(5)))*((8)*(x))),(((6)-((x)*(9)))*((4)*((3)-(x)))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,3,3,4,4,3
4,x*x*x*x,25,-10,-0.03950500077604235,-0.008690868176024488,-0.039492819566069794,0.012370791866609408,242.38330000000002,489.6033,248.34799999999998,236.75800000000004,-0.9869371650764606,0.3206303564426686,0.00028582578505103917,0.01659701915329353,6186.77,6032.77,6396.4,5821.6,(((2)*((5)+(0)))-((x)*((x)*(x)))),(((5)*(9))*((6)*(6))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,ReplaceBranchR|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,4,4,5,5,3
5,x*x*x*x,25,-10,-0.039497779089334724,0.011585507029893386,-0.03948631714808522,0.011912168344007323,245.9195,243.4872,251.532,240.68799999999996,-0.9861317148085218,0.3029109173404038,0.0007198874291275868,0.0072665932741110845,6263.82,6063.98,6790.8,5973.44,(((6)-((3)*(6)))*((x)*((x)+(x)))),((9)*((6)*(6))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|AddRandomSubTreeR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,ReplaceBranchR,AddTreeWithMult,5,5,6,6,3
6,x*x*x*x,25,-10,-0.03951561519735982,0.011517495378755349,-0.0395000751535747,0.01165141811527905,237.18580000000003,244.07,244.7952,242.9224,-0.9875,0.29724872565677696,0.0000035734318607285893,0.005000501170880304,6119.290000000001,6073.51,6120.8,6021.96,((0)+((0)*(x))),((7)*((9)*(3))),SubXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,SubXD,AddTreeWithMult,6,6,7,7,3
7,x*x*x*x,25,-10,-0.03951565399947719,0.010207455430063293,-0.039495565122206255,0.018237765371473386,237.1668,275.1824,247.0036,186.4832,-0.9874816200496668,0.620049666710234,0.000012809827675142387,0.004950009026063799,6121.49,6061.41,6129.8,3255.84,((0)-(9)),(((x)*((9)*(7)))-((0)*((1)*(x)))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,ReplaceBranchR,AddTreeWithMult,7,7,8,8,3
8,x*x*x*x,25,-10,-0.03949555552378774,0.011707981683066642,-0.0394726931120115,0.013179883115185692,247.0083,242.4377,258.2032,229.82479999999998,-0.9848784472617959,0.3702177119704241,0.0013107763691020957,0.041594285616172656,6441.719999999999,5918.08,7404.48,5396.68,(((0)-((4)*(x)))*((x)*(x))),((((x)+(0))*((3)*(x)))*((8)*((9)*(3)))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MutateNonTerminalR,AddTreeWithMult,8,8,9,9,3
9,x*x*x*x,25,-10,-0.03950794054698732,0.012450660044438639,-0.0395,0.018282204006945874,240.94379999999998,236.07359999999997,244.832,186.1024,-0.9875,0.5022872827081428,0.000002042216703690425,0.1066449791662932,6120.3,5635.4,6120.8,4264.96,(((0)*((x)+(x)))*((0)*(x))),((((1)*(x))*((3)*(x)))*((6)*((2)+(0)))),MultXD|DeleteTerminalR|MutateNonTerminalR|SkipD|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,9,9,10,10,3
10,x*x*x*x,25,-10,-0.03956554617043524,0.009371648894224923,-0.03949966180891387,0.01450837425546614,212.7364,287.9742,244.99759999999998,218.44080000000002,-0.9874661808913868,0.42922493791661226,0.00001863003163329916,0.018597008794368625,6123.96,6041.120000000001,6137.36,4891.04,((0)-((8)*(x))),((((1)*(8))*((3)*((x)-(1))))+((3)*((3)*((0)*(x))))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,DeleteMaliciousR,AddTreeWithMult,10,10,11,11,3
11,x*x*x*x,25,-10,-0.03950036862011502,0.012526688854864914,-0.03949346490654817,0.015351121235319383,244.65150000000003,235.4221,248.032,211.21919999999997,-0.9868464906548163,0.6132438336725359,0.0003267860761210712,0.16319434462401267,6200.93,5411.78,6440.8,3314.16,(((0)*((9)-(x)))*((x)*(x))),(((x)*((2)*(x)))*((5)*(x))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|ReplaceBranchXR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,11,11,12,12,3
12,x*x*x*x,25,-10,-0.03950372091883414,0.01126856666728906,-0.03949430221539668,0.011782493418227312,243.01,246.2031,247.622,241.79919999999998,-0.9869322637563718,0.28751610433743496,0.0002838681218141348,0.0009121173854260044,6190.3,6113.110000000001,6398.8,6105.36,(((0)-((5)*(x)))*((x)+(x))),((2)*((4)*(x))),MultXD|DeleteTerminalR|MutateNonTerminalR|ReplaceBranchR|DeleteMaliciousR,AddTreeWithSub|MutateNonTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddTreeWithMult,MultXD,AddTreeWithMult,12,12,13,13,3
