gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.037936548327016074,-0.045714577459529095,-0.03395247353287152,-0.01142973840954497,1010.398,910.9895,2961.256,511.30400000000003,-0.482747353287152,0.28571428571428575,0.2431907185319804,0,76686.98,6120.8,253280,6120.8,((((x)*(x))*((x)-(7)))*((7)*((x)*(x)))),(0),SkipD|AddToLeafR|SubXD|MutateNonTerminalR|AddTreeWithMult,ReplaceBranchXR|DeleteNonTerminalR|SkipD|DeleteMaliciousR|DeleteTerminalR,SkipD,DeleteMaliciousR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.03526279918474709,0.01142857142857143,-0.028106177297085352,0.01142857142857143,2319.6367,244.832,5823.9768,244.832,-0.0019151091360606646,0.28571428571428575,0.4293359757494379,0,195059.06999999998,6120.8,488726.24,6120.8,((((x)*(7))*((1)*(x)))*((x)*((x)-((x)*(x))))),(0),AddTreeWithSub|AddToLeafR|SubXD|AddTreeWithMult|MultXD,ReplaceBranchXR|FellTreeD|DeleteMaliciousR|DivXD|FellTreeD,MultXD,FellTreeD,1,1,2,2,4
2,x*x*x*x,25,-10,-0.034338262022241724,0.01142857142857143,-0.020737521523811996,0.01142857142857143,6440.3897,244.832,24104.304,244.832,0.7911225372018617,0.28571428571428575,0.8636964519474245,0,611179.56,6120.8,2344264.4,6120.8,((((x)*(x))*((8)*(8)))*((x)*((6)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DivXD|FellTreeD,AddTreeWithMult,FellTreeD,2,2,3,3,4
3,x*x*x*x,25,-10,-0.038289461353896145,0.01142857142857143,-0.024589320932352735,0.01142857142857143,3877.4351,244.832,9902.5712,244.832,0.4936442039807765,0.28571428571428575,0.7480752494496964,0,372773.62,6120.8,967035.44,6120.8,((((x)*(x))*((4)*(6)))*((9)*((8)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,3,3,4,4,4
4,x*x*x*x,25,-10,-0.037436276916416156,0.01142857142857143,-0.031600606129917656,0.01142857142857143,1255.3628999999999,244.832,4112.8808,244.832,-0.333511469089008,0.28571428571428575,0.32644713547735366,0,86583.87,6120.8,326355.44,6120.8,((((x)*(x))*((7)*(3)))*((7)*((4)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,4,4,5,5,4
5,x*x*x*x,25,-10,-0.031304606098669835,0.01142857142857143,-0.010416751410755652,0.01142857142857143,4798.4975,244.832,16648.556399999998,244.832,0.47911378880467387,0.28571428571428575,0.7186618175867486,0,251502.99999999997,6120.8,940059.44,6120.8,((((8)*(6))*((x)*(x)))*((x)*((7)*((5)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,5,5,6,6,4
6,x*x*x*x,25,-10,-0.03748659488955692,-0.011428571428571429,-0.032547013462292516,-0.011428571428571429,1230.7240000000002,511.29400000000004,3649.4592000000002,511.29400000000004,-0.5157716311593256,0.28571428571428575,0.23645159375650615,0,63461.07000000001,6120.8,237109.2,6120.8,((((8)*(5))*((x)-(5)))*((x)*((x)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,6,6,7,7,4
7,x*x*x*x,25,-10,-0.03801619825022873,0.01142857142857143,-0.035639449908508695,0.01142857142857143,971.3963,244.832,2135.2044,244.832,-0.8476926218794929,0.28571428571428575,0.05798417987071892,0,41343.72,6120.8,74579.44,6120.8,((((x)*(7))*((1)*(4)))*((5)*((x)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,7,7,8,8,4
8,x*x*x*x,25,-10,-0.03566627667135015,0.01142857142857143,-0.026267115409750356,0.01142857142857143,2122.0683,244.832,6724.4992,244.832,-0.2853069860149,0.28571428571428575,0.3480074993512271,0,94492.68,6120.8,349959.44,6120.8,((((x)*(x))*((6)*(3)))*((7)*((5)*((x)-(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|AddTreeWithMult,ReplaceBranchXR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddTreeWithMult,DeleteTerminalR,8,8,9,9,4
9,x*x*x*x,25,-10,-0.028661332002454652,0.01142857142857143,-0.0032586048690527005,0.01142857142857143,10059.1367,244.832,36018.9352,244.832,0.8181780374706286,0.28571428571428575,0.8618322037097405,0,708017.2,6120.8,2693096,6120.8,((((x)*(7))*((7)*(x)))*((9)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,AddXD|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,SkipD,DeleteTerminalR,9,9,10,10,4
10,x*x*x*x,25,-10,-0.03110384202228467,0.01142857142857143,-0.02119297150699255,0.01142857142857143,4356.1283,244.832,9209.124800000001,244.832,-0.16483417200365963,0.28571428571428575,0.3872710959029642,0,224619.74,6120.8,408950.64,6120.8,((((3)*(5))*((7)*(7)))*((x)*((x)-((x)*(x))))),(0),SkipD|AddToLeafR|SubXD|AddTreeWithMult|MultXD,DeleteMaliciousR|FellTreeD|DeleteTerminalR|DeleteMaliciousR|DeleteTerminalR,AddToLeafR,DeleteTerminalR,10,10,11,11,4
