gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.049491585250294075,-0.03426820957111115,-0.04901060809044569,-0.011360886532105978,NaN,NaN,NaN,NaN,-0.9260447980656124,0.28571428571428575,0.030915014680485943,0,13508.8,6120.8,36213.2,6120.8,((((5)*(x))+((x)*(x)))*((9)+((5)*((9)-(x))))),(0),MutateNonTerminalR|SubXD|AddRandomSubTreeR|AddRandomSubTreeR|AddTreeWithAdd,ReplaceBranchXR|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|FellTreeD,AddRandomSubTreeR,DeleteNonTerminalR,0,0,1,1,0
1,x*x*x*x,25,-10,-0.03647557669505978,0.0001306551897977881,-0.02740057906490781,0.01246559740089998,1803.6901,376.94339999999994,6481.110400000001,235.9456,0.22245026237603388,0.28571428571428575,0.6049925725109957,0,162015.95,6120.8,629752.64,6120.8,((((x)*(x))*((9)*(x)))*((x)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|DeleteTerminalR|FellTreeD,AddXD,AddToLeafR,1,1,2,2,0
2,x*x*x*x,25,-10,-0.03541297560533296,0.011483267826801355,-0.02315049737623966,0.011790615605803165,2324.0076,244.36329999999998,8562.2224,241.7296,0.22245026237603388,0.30381649457587245,0.6049878475161893,0.008590492150701777,162019.41999999998,6073.93,629752.64,5965.68,((((x)*(9))*((x)*(x)))*((x)*((x)+((x)+(x))))),(((9)*((7)-(2)))+((x)*(x))),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|AddToLeafR|AddXD|MutateNonTerminalR,AddXD,MutateNonTerminalR,2,2,3,3,0
3,x*x*x*x,25,-10,-0.03756640206345576,0.005314860886620325,-0.03301374330152921,0.01861063913213959,1191.6453,33848.664677142864,3420.9183999999996,183.28800000000004,-0.5763743301529212,0.28571428571428575,0.19390958855975934,0,71747,6120.8,207434.24,6120.8,((((x)*(x))*((x)*(3)))*((x)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,3,3,4,4,0
4,x*x*x*x,25,-10,-0.03739520855116978,0.01142857142857143,-0.03107896353417854,0.01142857142857143,1275.4726,244.832,4368.310399999999,244.832,-0.14538410011763164,0.28571428571428575,0.4210612991806353,0,109206.8,6120.8,418474.64,6120.8,((((x)*(x))*((x)*(x)))*((6)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,4,4,5,5,0
5,x*x*x*x,25,-10,-0.038880466605672466,0.01142857142857143,-0.03702013789047183,0.01142857142857143,548.1952,244.832,1459.1312,244.832,-0.8624918311331853,0.28571428571428575,0.06252088772121056,0,21411.460000000003,6120.8,67332.8,6120.8,((((x)*(x))*((x)*(4)))*((3)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,5,5,6,6,0
6,x*x*x*x,25,-10,-0.03725422371258659,0.01142857142857143,-0.031749996732453274,0.01142857142857143,1344.5078,244.832,4039.7296,244.832,-0.4499918311331852,0.28571428571428575,0.2549147550028476,0,87032.72,6120.8,269319.2,6120.8,((((x)*(x))*((9)*(5)))*((x)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,6,6,7,7,0
7,x*x*x*x,25,-10,-0.036597709653966796,0.01142857142857143,-0.027888659979087703,0.01142857142857143,1665.9791,244.832,5930.4872,244.832,-0.39999183113318515,0.28571428571428575,0.2937591628075219,0,78037.47,6120.8,293802.4,6120.8,((((x)*(7))*((7)*(x)))*((x)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,7,7,8,8,0
8,x*x*x*x,25,-10,-0.037324975493399554,0.01142857142857143,-0.03125003757678734,0.01142857142857143,1309.8632,244.832,4284.5416,244.832,-0.22499183113318524,0.28571428571428575,0.3720145257688652,0,107109.64,6120.8,379493.6,6120.8,((((7)*(9))*((x)*(x)))*((x)*((x)+((x)+(x))))),(0),MultXD|DeleteMaliciousR|AddXD|AddXD|AddTreeWithMult,AddTreeWithDiv|MutateNonTerminalR|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,8,8,9,9,0
9,x*x*x*x,25,-10,-0.03875825954123644,0.01142857142857143,-0.03653034080512351,0.01142857142857143,608.0355999999999,244.832,1698.9672,244.832,-0.8155301594562803,0.28571428571428575,0.08599701489055538,0,27163.780000000002,6120.8,90328.24,6120.8,((((x)*(4))*((7)*(x)))*((x)*((6)+(x)))),(0),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithDiv|ReplaceBranchXR|DeleteTerminalR|ReplaceBranchXR|FellTreeD,DeleteMaliciousR,ReplaceBranchXR,9,9,10,10,0
10,x*x*x*x,25,-10,-0.02919537500703719,0.01142857142857143,-0.014359329990184189,0.01142857142857143,11272.895799999998,244.832,31744.119200000005,244.832,0.8259263984459648,0.28571428571428575,0.9892779942866958,0,1022174.9199999999,6120.8,2812971.04,6120.8,((((x)*(x))*((x)*(x)))*((8)*((5)+((x)*(x))))),(0),MultXD|DeleteMaliciousR|AddXD|MultXD|AddTreeWithMult,AddTreeWithDiv|SubXD|SubXD|ReplaceBranchXR|FellTreeD,MultXD,SubXD,10,10,11,11,0
11,x*x*x*x,25,-10,-0.03947007723663573,0.011374890303788488,-0.03937505064697425,0.01142857142857143,259.4841,245.292,306.01520000000005,244.832,-0.9749918311331852,0.28571428571428575,0.006256126650111105,0,7650.5,6120.8,12245.6,6120.8,((((x)*(x))*((x)*(x)))*((3)*((1)+(4)))),(0),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithMult|SubXD|DeleteTerminalR|DeleteTerminalR|FellTreeD,MultXD,DeleteTerminalR,11,11,12,12,0
12,x*x*x*x,25,-10,-0.03952075035126128,0.011489417816531922,-0.03945752842765651,0.011676624904307563,234.6713,244.31059999999997,265.6288,242.7064,-0.9875040844334074,0.31051963328789894,0.000004353834866274632,0.012480957477982522,6116.76,6068.66,6118.8,5908.24,((((x)*(9))*((0)*(1)))*((4)*((x)+(x)))),(((x)-((1)*(4)))*((x)+((0)-(x)))),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithDiv|DeleteNonTerminalR|DeleteTerminalR|ReplaceBranchXR|DeleteMaliciousR,AddTreeWithMult,AddTreeWithDiv,12,12,13,13,0
13,x*x*x*x,25,-10,-0.039208019376552085,-0.005026537147338348,-0.038270430335903806,0.01419450305282223,387.80440000000004,438.78509999999994,846.9080000000001,221.1304,-0.864522938178016,0.5596000522807476,0.061500627400081165,0.1370247667495429,21166.280000000002,5535.11,66338.24,3773.84,(((x)*((x)*(x)))*((x)*((x)+(x)))),((((x)-(7))*((2)/((1)*(x))))*((x)*((0)+((x)-(0))))),SkipD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithDiv|SubXD|DeleteTerminalR|ReplaceBranchXR|DeleteMaliciousR,SkipD,ReplaceBranchXR,13,13,14,14,0
14,x*x*x*x,25,-10,-0.039552838681218144,0.005713702223798944,-0.039500212390537186,0.01142857142857143,218.9588,311.4525,244.72799999999998,244.832,-0.9875018788393674,0.28571428571428575,0.0000011027970200361281,0,6119.07,6120.8,6119.88,6120.8,((((x)*(x))*((x)*(4)))*((0)+((1)*(1)))),(0),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,SubXD|SubXD|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,SubXD,14,14,15,15,0
15,x*x*x*x,25,-10,-0.038449774947719256,0.01142857142857143,-0.03529563129002745,0.01142857142857143,759.0894000000001,244.832,2303.56,244.832,-0.5749959155665926,0.28571428571428575,0.20625449287998351,0,56616.1,6120.8,208109.2,6120.8,((((x)*(x))*((x)*(x)))*((7)*((5)+(x)))),(0),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithDiv|SubXD|DeleteTerminalR|DeleteTerminalR|FellTreeD,AddXD,DeleteTerminalR,15,15,16,16,0
16,x*x*x*x,25,-10,-0.03628393020520194,0.010766986575050881,-0.026785606456672332,0.011446589614802922,1819.6255999999996,250.50120000000004,6470.6128,244.6776,-0.3124959155665926,0.28571428571428575,0.3375040844334074,0,88750.59999999999,6120.8,336646,6120.8,((((x)*(x))*((x)*(7)))*((8)*((x)+(x)))),(0),MultXD|DeleteMaliciousR|AddXD|MutateTerminalR|AddTreeWithMult,AddTreeWithDiv|SubXD|DeleteTerminalR|DeleteTerminalR|FellTreeD,DeleteMaliciousR,DeleteTerminalR,16,16,17,17,0
