gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.05974995915566593,-0.0058697198000883756,-0.05974993873349889,0.011216071973162552,NaN,NaN,122.446,246.65293333333332,-0.9874938733498889,0.29401385439811795,0.0000028881305596900434,0.0036237490850709506,6122.8,6095.19,6123.8,6049.68,((4)-(7)),((2)*((7)*(9))),DivXD|FellTreeD|AddTreeWithSub|FellTreeD|AddTreeWithSub,DeleteTerminalR|AddToLeafR|SkipD|ReplaceBranchXR|AddTreeWithMult,FellTreeD,ReplaceBranchXR,0,0,1,1,1
1,x*x*x*x,25,-10,-0.03950011456835708,0.011335177941258849,-0.03949993873349889,0.01160987359262095,244.7759,245.6323,244.862,243.2784,-0.9875,0.2985324047276734,0,0.0065917393833601935,6120.8,6094.9,6120.8,6010.96,(0),(((x)*(x))+((x)-(x))),ReplaceBranchR|FellTreeD|AddTreeWithSub|AddTreeWithSub|FellTreeD,ReplaceBranchXR|AddTreeWithSub|SkipD|ReplaceBranchXR|SubXD,FellTreeD,ReplaceBranchXR,1,1,2,2,1
2,x*x*x*x,25,-10,-0.03950006780159456,-0.005719922232387922,-0.03949989788916482,0.011439961162873203,244.7988,444.7268,244.882,244.73440000000002,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|FellTreeD|AddTreeWithSub|AddTreeWithSub|FellTreeD,AddToLeafR|DivXD|SkipD|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,2,2,3,3,1
3,x*x*x*x,25,-10,-0.0395,-0.011428571428571429,-0.0395,-0.011428571428571429,244.832,511.29400000000004,244.832,511.29400000000004,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|FellTreeD|AddTreeWithSub|AddTreeWithSub|FellTreeD,ReplaceBranchXR|DivXD|SkipD|AddToLeafR|FellTreeD,FellTreeD,FellTreeD,3,3,4,4,1
4,x*x*x*x,25,-10,-0.03950000163377337,0.01142857142857143,-0.03949989788916482,0.01142857142857143,244.83120000000002,244.832,244.882,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),ReplaceBranchR|FellTreeD|AddTreeWithSub|AddTreeWithSub|FellTreeD,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,ReplaceBranchXR,4,4,5,5,1
5,x*x*x*x,25,-10,-0.03949993995882891,0.01142857142857143,-0.039499877466997776,0.01142857142857143,244.8614,244.832,244.892,244.832,-0.9874877466997778,0.28571428571428575,0.00001249836622663203,0,6123.74,6120.8,6126.8,6120.8,((3)-((2)-(7))),(0),ReplaceBranchR|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,AddTreeWithSub,AddToLeafR,5,5,6,6,1
6,x*x*x*x,25,-10,-0.03950010354038688,0.01142857142857143,-0.03950001470396027,0.01142857142857143,244.78130000000004,244.832,244.82480000000004,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|FellTreeD,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,AddToLeafR,6,6,7,7,1
7,x*x*x*x,25,-10,-0.039500007351980136,0.01142857142857143,-0.039499795778329634,0.01142857142857143,244.82839999999996,244.832,244.93200000000002,244.832,-0.9874897889164815,0.28571428571428575,0.0000073140635312255614,0,6122,6120.8,6125.8,6120.8,((2)-((9)-(2))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|FellTreeD|FellTreeD,FellTreeD,FellTreeD,7,7,8,8,1
8,x*x*x*x,25,-10,-0.039499922804208595,0.01142857142857143,-0.039499632400993336,0.01142857142857143,244.8698,244.832,245.012,244.832,-0.9874754933995556,0.28571428571428575,0.000014624933463628229,0,6123.68,6120.8,6132.8,6120.8,((2)-((6)-(8))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,AddToLeafR,8,8,9,9,1
9,x*x*x*x,25,-10,-0.03949982743268853,0.01142857142857143,-0.03949918311331852,0.01142857142857143,244.9165,244.832,245.232,244.832,-0.9874714089661483,0.28571428571428575,0.000012533732409356726,0,6126.3,6120.8,6134.8,6120.8,((3)-((8)-(9))),(0),FellTreeD|FellTreeD|AddTreeWithSub|MultXD|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,FellTreeD,9,9,10,10,1
10,x*x*x*x,25,-10,-0.03950011089236701,0.01142857142857143,-0.03949957113449223,0.01142857142857143,244.7777,244.832,245.042,244.832,-0.9874836622663704,0.28571428571428575,0.000009487732346013835,0,6124.42,6120.8,6128.8,6120.8,((9)-((9)-(8))),(0),FellTreeD|FellTreeD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR,AddToLeafR|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR|FellTreeD,FellTreeD,AddToLeafR,10,10,11,11,1
