gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.04963309595967847,-0.011434254625912578,-0.04961040877009541,-0.011425443919562333,179.65970000000002,511.34270000000004,190.7688,511.2672,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*((x)*(x)))*((x)*(x))),(((4)*(x))*((0)*(0))),DeleteTerminalR|SkipD|MultXD|MutateTerminalR|DeleteMaliciousR,AddRandomSubTreeR|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,DeleteTerminalR,AddRandomSubTreeR,0,0,1,1,2
1,x*x*x*x,25,-10,-0.039478165027447394,0.011440241238306852,-0.03939721441641615,0.011497283268293596,255.52380000000002,244.73199999999997,295.1624,244.2432,-0.977217357208208,0.2872920439905149,0.004847284591722407,0.0010233795494973062,7799.5599999999995,6113.04,11155.84,6107.28,(((4)-((x)*(x)))+((2)*((x)*(x)))),((x)*(7)),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|ReplaceBranchXR,MultXD,DeleteTerminalR,1,1,2,2,2
2,x*x*x*x,25,-10,-0.038836273853091095,0.011482369251451727,-0.03744563455757417,0.011632186268835075,569.8348000000001,244.37099999999998,1250.7808,243.08720000000002,-0.9050658410665273,0.29224937916612215,0.04615579912622188,0.002806695747590836,26694.199999999997,6100.66,46485.84,6064.8,(((5)*((9)*(x)))+((x)*((x)*(x)))),((x)*(x)),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|FellTreeD|DeleteTerminalR|FellTreeD|ReplaceBranchXR,MultXD,FellTreeD,2,2,3,3,2
3,x*x*x*x,25,-10,-0.03880234936609594,0.012082162462423216,-0.03653664880407789,0.014008813040312193,586.4464,239.23129999999998,1695.8784,222.7216,-0.8374999999999999,0.5315364938290047,0.07537289183100987,0.12268819207478691,24210.7,5591.3099999999995,79570.4,4014.32,(((7)*((x)*(x)))+((x)*((x)*(x)))),((((7)*(x))*((6)*(x)))+((0)*((0)*((x)+(x))))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|MutateTerminalR|DeleteTerminalR|AddTreeWithSub|ReplaceBranchXR,MultXD,AddXD,3,3,4,4,2
4,x*x*x*x,25,-10,-0.039382842112142206,0.011453194727113172,-0.03877586263233564,0.011500130701869038,302.2,244.62099999999998,599.4159999999999,244.2188,-0.9375,0.2884823645835279,0.02551338778987824,0.0009214579113518851,11886.64,6107.99,30604,6097.08,(((3)-((7)*(x)))*((x)*((x)*(x)))),((0)+((5)*(7))),AddXD|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|FellTreeD|AddRandomSubTreeR,MultXD,DeleteTerminalR,4,4,5,5,2
5,x*x*x*x,25,-10,-0.039322468468174096,0.011502359635528505,-0.03862058881192001,0.011847377560356259,331.76279999999997,244.1997,675.448,241.2432,-0.9375,0.3232864051384507,0.025763872956453143,0.022151946827692247,11697.079999999998,6069.639999999999,30604,5798.84,(((3)+((3)*(x)))*((x)*((x)*(x)))),((((1)+(1))*((3)*((0)*(x))))*((x)*((x)+((5)-(x))))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|AddTreeWithMult|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,5,5,6,6,2
6,x*x*x*x,25,-10,-0.03951646741439028,0.011666880613178485,-0.03939091622010195,0.013119200104561498,236.76850000000002,242.7899,298.2464,230.34480000000002,-0.9778661286106392,0.3682385122392965,0.00605741939856237,0.04103992397158401,6711.86,5940.91,10838.16,5413.64,(((x)+((x)*(0)))-((6)*((x)*(x)))),(((x)+((7)*(x)))*((x)+((1)-(x)))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddRandomSubTreeR,6,6,7,7,2
7,x*x*x*x,25,-10,-0.03940087366030585,0.010439409875123026,-0.03873403966801726,0.012438430083835916,293.3706,254.43480000000002,619.8952,236.17840000000004,-0.925,0.361119928300689,0.03286150979833209,0.03761239784792474,12666.1,5958.08,36724.8,5474.64,(((5)+((2)*(x)))*((x)*((x)*(x)))),((((2)*(7))-((6)*(x)))*((x)*((x)+((2)+(4))))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,7,7,8,8,2
8,x*x*x*x,25,-10,-0.039006502417984576,0.011690255242078533,-0.037278225068618484,0.01342205500681517,486.48,242.5896,1332.7551999999998,227.7496,-0.8327591164553654,0.3816494575872435,0.07902448468545101,0.047682001122820755,23925.48,5911.55,81891.84,5298.72,(((9)*((x)*(9)))+((8)*((x)*(x)))),(((7)+((8)*(x)))*((x)+(0))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,8,8,9,9,2
9,x*x*x*x,25,-10,-0.03866602425336557,0.011339204025617569,-0.037072363089792185,0.011587094124017405,653.1999000000001,245.59779999999998,1433.5584,243.4736,-0.875,0.28802957596579354,0.05926654123704854,0.0012059598921800058,30332.980000000003,6110.91,61208,6100.96,(((x)*((x)*(6)))+((5)*((x)*(x)))),((((x)*(7))-((0)*(3)))-((0)*((0)*((x)+(x))))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|DeleteNonTerminalR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,DeleteTerminalR,9,9,10,10,2
10,x*x*x*x,25,-10,-0.03648912070317606,0.011432889258173535,-0.02866175336557313,0.011539761375730534,1719.1512,244.795,5551.9312,243.87919999999997,-0.11250000000000003,0.2891592135481824,0.4347981227649842,0.0013232192057160625,115489.28,6104.610000000001,434576.8,6091.28,(((8)*((9)*(x)))*((x)*((x)*(x)))),((x)*((9)+(7))),MutateNonTerminalR|ReplaceBranchR|MultXD|MutateTerminalR|MultXD,AddXD|ReplaceBranchXR|DeleteTerminalR|AddTreeWithSub|AddRandomSubTreeR,MultXD,AddXD,10,10,11,11,2
