gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.039535957309502025,-0.01108004094606188,-0.03948318030322834,-0.007253300222193175,227.225,512.7084,253.06800000000004,475.51559999999995,-0.9875,0.28644248184177606,0.000022382695072487024,0.00023325222264992368,6115.32,6116.65,6120.8,6114.56,((9)+((2)*(0))),(8),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,FellTreeD|DeleteMaliciousR|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR,DeleteTerminalR,DeleteMaliciousR,0,0,1,1,2
1,x*x*x*x,25,-10,-0.039505557280094104,0.01150346826745337,-0.03949811462553915,0.011926592228840302,242.1108,244.19019999999998,245.7552,240.56440000000003,-0.9874877466997778,0.30777489403812763,0.00003669670402859726,0.01078000774031114,6112.299999999999,6068.700000000001,6126.8,5931.76,((0)-(6)),((((7)+(6))-((5)*(8)))*((8)*((4)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithSub,ReplaceBranchR,MutateTerminalR,1,0,2,2,2
2,x*x*x*x,25,-10,-0.03950146651581493,0.011504763616334002,-0.03949997957783296,0.011854379446197511,244.1139,244.1791,244.842,241.1832,-0.9874979577832963,0.3073174374964991,0.000008726297422867462,0.01089027544880304,6118.24,6075.24,6121.8,5935.68,((2)-(3)),((((x)+(6))*((6)*(4)))+((x)-((1)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithSub,ReplaceBranchR,MutateTerminalR,2,2,3,3,2
3,x*x*x*x,25,-10,-0.03950637151189387,0.011403551356498686,-0.0395,0.01170733984353119,241.71210000000002,245.0464,244.832,242.44320000000005,-0.9875,0.29881248016132345,0.000012149822111759721,0.006652483648918012,6113.110000000001,6093.87,6120.8,6008.56,(((2)-(0))*((x)*(0))),(((9)-((2)+(7)))*((8)*((2)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithSub,AddToLeafR,MutateTerminalR,0,2,4,4,2
4,x*x*x*x,25,-10,-0.03950505918344008,0.01142388016505779,-0.03949989788916482,0.011533879791623878,242.3547,244.87220000000002,244.882,243.9296,-0.9875,0.2906296095748455,0.00003427252590929511,0.0026064085720798134,6107.72,6111.85,6120.8,6078.68,(((1)-((9)*(0)))*((1)*(6))),(((5)*((9)+(8)))*((5)-((2)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithSub,AddTreeWithAdd,MutateTerminalR,0,4,5,5,2
5,x*x*x*x,25,-10,-0.03950081321069141,0.011344292062662211,-0.0395,0.011499523871762798,244.43380000000002,245.5542,244.832,244.22400000000002,-0.9875,0.2881789495304069,0,0.0015099104385441658,6120.8,6113.139999999999,6120.8,6099.68,((4)-(4)),((((8)-(1))+((4)*(5)))+((8)-((1)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|AddTreeWithSub,DeleteTerminalR,FellTreeD,5,5,6,6,2
6,x*x*x*x,25,-10,-0.039514089661482156,0.011360022966185561,-0.039500071069141295,0.011455925462591261,237.9328,245.41940000000002,244.7972,244.59759999999997,-0.9875,0.28824896838881947,0.000010251927852533704,0.001358587735243703,6118.290000000001,6113.72,6120.8,6099.08,(((x)*((6)+(0)))+((7)*(0))),(((7)*((5)-(x)))+((4)-((3)-(7)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithMult|AddToLeafR|ReplaceBranchR,MutateTerminalR|AddToLeafR|MutateTerminalR|SubXD|AddTreeWithSub,AddTreeWithMult,MutateTerminalR,5,6,7,7,2
7,x*x*x*x,25,-10,-0.03950119816854006,0.011558164665683292,-0.03949485606456673,0.011771523797076014,244.24530000000001,243.72150000000002,247.3508,241.89320000000004,-0.9869917331067835,0.316326530612245,0.0002517747888114746,0.014087716462098407,6184.77,6027.16,6369.68,5858.48,(((0)-((9)*(x)))*((4)+(7))),(((x)*((4)*(9)))*((9)-((2)-(x)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|AddToLeafR,MutateTerminalR|MutateNonTerminalR|MutateTerminalR|SubXD|AddTreeWithSub,AddToLeafR,MutateTerminalR,7,7,8,8,2
8,x*x*x*x,25,-10,-0.039501032340543724,0.011509338181750288,-0.03949901973598222,0.011751871837481564,244.3265,244.1399,245.312,242.0616,-0.9874019735982225,0.3102582295498255,0.000056367233067200174,0.012212536344306415,6127.4800000000005,6066.35,6168.8,5910.48,(((4)+(8))*((3)-(7))),((((3)*(5))+((2)*(8)))*((x)-((8)-(4)))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|AddTreeWithSub,DeleteTerminalR,AddTreeWithSub,7,8,9,9,2
9,x*x*x*x,25,-10,-0.039505664496471055,0.011395965980170661,-0.0394960037903542,0.011454198330750419,242.05830000000003,245.1114,246.7888,244.6124,-0.9875,0.28608771962581925,0.00000749461069250462,0.0003128176613520398,6118.360000000001,6120.41,6120.8,6117.6,((4)+((7)*(0))),((0)-((5)-(9))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|AddTreeWithSub,DeleteTerminalR,MutateTerminalR,9,8,10,10,2
10,x*x*x*x,25,-10,-0.03949983723532871,0.011423226655712609,-0.03949577506208339,0.01143762720092612,244.9117,244.87779999999998,246.90079999999998,244.75440000000003,-0.9870775062083388,0.2861203950930785,0.00021474613158610888,0.0004178313408472174,6170.040000000001,6119.450000000001,6327.68,6117.32,(((x)*((3)+(9)))*((1)-(8))),((7)-((0)-(x))),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|AddTreeWithSub,DeleteNonTerminalR,MutateNonTerminalR,10,10,11,11,2
11,x*x*x*x,25,-10,-0.03950143424879101,0.011410074780140786,-0.03949771271729186,0.011454945198573485,244.1297,244.99050000000003,245.952,244.606,-0.9872712717291857,0.28571428571428575,0.00011506098534363093,0,6148.3,6120.8,6232.8,6120.8,(((8)*(7))*((4)-(6))),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteMaliciousR,DeleteNonTerminalR,DeleteMaliciousR,10,11,12,12,2
12,x*x*x*x,25,-10,-0.039500746225983534,0.011427404447597888,-0.0394999117762384,0.01142857142857143,244.46660000000003,244.842,244.8752,244.832,-0.9874877466997778,0.28571428571428575,0.000021979261803864633,0,6118.5599999999995,6120.8,6126.8,6120.8,((3)-(9)),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,SubXD,10,12,13,13,2
13,x*x*x*x,25,-10,-0.03950171709580447,0.01142857142857143,-0.03950002042216704,0.01142857142857143,243.9912,244.832,244.822,244.832,-0.9875,0.28571428571428575,0.0000024915043785322943,0,6120.1900000000005,6120.8,6120.8,6120.8,(((1)+(0))*((0)*(0))),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,MutateNonTerminalR,10,12,14,14,2
14,x*x*x*x,25,-10,-0.03950079891517449,0.01142857142857143,-0.0395,0.01142857142857143,244.44080000000002,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(x))*((1)-(0))),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|ReplaceBranchR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteTerminalR,MutateTerminalR,14,12,15,15,2
15,x*x*x*x,25,-10,-0.03950023015782251,0.01142857142857143,-0.0395,0.01142857142857143,244.7193,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((x)*((0)*(0))),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,15,12,16,16,2
16,x*x*x*x,25,-10,-0.03950004901320089,0.01142857142857143,-0.0395,0.01142857142857143,244.808,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|DeleteMaliciousR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,MutateNonTerminalR,16,15,17,17,2
17,x*x*x*x,25,-10,-0.0395003528950464,0.01142857142857143,-0.0395,0.01142857142857143,244.65919999999997,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(((0)*(x))*((3)+(8))),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,FellTreeD,16,15,18,18,2
18,x*x*x*x,25,-10,-0.03950005759051105,0.011426237466624346,-0.0395,0.011426237466624346,244.80380000000002,244.852,244.832,244.852,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,(0),((0)-(0)),DeleteTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|SubXD|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,17,15,19,19,2
19,x*x*x*x,25,-10,-0.03950005983694942,0.01142857142857143,-0.0395,0.01142857142857143,244.80270000000002,244.832,244.832,244.832,-0.9875,0.28571428571428575,0,0,6120.8,6120.8,6120.8,6120.8,((0)*((4)*(0))),(0),MutateTerminalR|DeleteNonTerminalR|AddTreeWithAdd|AddToLeafR|DeleteNonTerminalR,MutateTerminalR|MutateNonTerminalR|FellTreeD|DeleteNonTerminalR|DeleteTerminalR,DeleteNonTerminalR,MutateTerminalR,19,18,20,20,2
