gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.054693486758266886,-0.01712402693236489,-0.04962381551431186,0.011500636393624239,NaN,NaN,NaN,244.21446666666668,-0.9875,0.28684158933472753,0.0004588014163733634,0.0006624022907770037,5926.24,6118.205,6120.8,6111.14,(((x)*((1)/(6)))*((0)*((9)+(6)))),((((7)*(7))/((2)*(1)))-((0)-((8)+(4)))),MutateTerminalR|AddTreeWithAdd|DeleteTerminalR|MutateTerminalR|AddTreeWithDiv,ReplaceBranchXR|MutateTerminalR|SubXD|MultXD|DeleteNonTerminalR,MutateTerminalR,SubXD,0,0,1,1,0
1,x*x*x*x,25,-10,-0.04419589986583609,-0.007827579957671598,-0.028753284792111415,0.011423903504677263,NaN,NaN,5507.111555555556,244.872,-0.2997552607502287,0.28548088951957734,0.7029971122143461,0,95333.78000000001,6122.8,342884.64,6122.8,((((9)*(7))*((7)/((5)-(0))))*((x)*((7)*((x)*(x))))),(((x)*((x)*(x)))/((4)*((0)-(x)))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|SkipD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithDiv,DeleteNonTerminalR,0,1,2,2,0
2,x*x*x*x,25,-10,-0.047040576738853514,-0.00695494740777796,-0.0391518423517623,0.011453591500644178,NaN,NaN,415.3122666666667,244.61759999999998,-0.9779696553827386,0.28548088951957734,0.005319633784207411,0.24734201853703916,6921.546666666667,7304.065,10787.466666666667,6122.8,((((1)+(4))*((6)*((2)-(4))))*((x)*((5)/((3)*(x))))),((0)-(x)),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,ReplaceBranchXR,2,2,3,3,0
3,x*x*x*x,25,-10,-0.04416041846679033,-0.0008902596179956051,-0.019663640801283595,0.011426237466624347,5991.821333333333,385.78378571428567,17523.962666666666,244.852,0.6909884990551896,0.28571428571428575,0.8082641706226537,0,549475.34,6120.8,1584614.16,6120.8,((((4)*(9))*((8)*((2)-(x))))*((x)/((1)*((x)*(x))))),(0),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,MultXD,ReplaceBranchXR,2,3,4,4,0
4,x*x*x*x,25,-10,-0.04974092170491252,-0.019296908865634555,-0.030042535989693225,0.011431185465952166,NaN,NaN,4875.811657142857,244.8096,-0.10922918572735585,0.28571428571428575,0.4395612665998296,0.00022345984366103507,113323.70000000001,6122.3,436178.4,6120.8,((((x)*(7))*((8)*((x)-(7))))*((6)/((3)*((x)*(x))))),(0),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,MutateTerminalR,4,4,5,5,0
5,x*x*x*x,25,-10,-0.054339704777153316,-0.017098802392249413,-0.038387810416938964,0.011585625705924594,NaN,NaN,789.4312,243.48618305084747,-0.9553571428571429,0.30096225690797357,0.5127761530128185,0.007333398415903251,9248.28,6081.474576271186,21860,5990.138305084746,((((x)-(0))+((x)*((x)*(8))))*((2)/((7)*((x)*(x))))),((((x)*(4))*((5)*((x)*(7))))/(((5)-(9))*((0)-((6)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,MutateNonTerminalR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,MultXD,SubXD,4,5,6,6,0
6,x*x*x*x,25,-10,-0.037161303504332464,0.0038726192504493716,-0.021398235045808348,0.011730212670612621,2637.686222222222,336.6897,9202.689600000002,242.24719999999996,0.1293342852505603,0.31587840991840477,0.5585261458100871,0.015121361744145198,145111.06,6056.68,562401.84,5862.32,((((7)/(3))*((9)*((6)*(8))))-((0)*((x)*((x)*(x))))),((((6)+(9))/((3)*(x)))*((6)*((8)-((0)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithDiv,SubXD,4,4,7,7,0
7,x*x*x*x,25,-10,-0.044116037506163386,-0.017296361820116884,-0.038111849913799005,0.011419235580783093,432.84461058201055,579.2248999999999,924.5591238095238,244.912,-0.8651332225479396,0.28548088951957734,0.05847996507408621,1.14250723928173,27113.06904761905,12786.85,66039.40571428572,6122.8,((((x)*(7))-((9)/((4)*(7))))+((x)*((x)*((x)*(x))))),((((0)*(x))-((6)+(3)))*((6)/((3)-((7)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult,ReplaceBranchXR,4,6,8,8,0
8,x*x*x*x,25,-10,-0.04614579372162291,-0.00022426651355876071,-0.03613035441990154,0.012155787292043994,663.106063095238,379.9847666666667,1894.8261333333335,238.6004,-0.6728922689844464,0.28967268517654093,0.15174376259752773,0.00011669809735420646,49456.073333333334,6122.3,160172.88,6086.88,((((x)*(x))*((7)*((8)-(x))))*((6)/((4)-((3)*(x))))),((((5)/(2))-((0)-((4)*(x))))*((3)-((1)*((0)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithAdd,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithMult,ReplaceBranchXR,8,6,9,9,0
9,x*x*x*x,25,-10,-0.043834965985052925,-0.030585318575939872,-0.026600107494975784,0.011422829882181604,NaN,NaN,6655.6188571428565,244.88119999999998,0.12939756780921616,0.2856069234647199,0.8698470146108958,1.142321503568999,143648.22285714286,12789.24,562442.72,6121.72,((((6)*(x))-((7)*((x)*(6))))*((x)*((8)/((2)*(x))))),((((1)/(7))*((2)+((2)+(5))))-((3)*((x)*((0)-(x))))),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|ReplaceBranchR,FellTreeD|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddRandomSubTreeR,FellTreeD,9,9,10,10,0
10,x*x*x*x,25,-10,-0.04628270140341132,-0.011402393452043823,-0.036525341458632864,0.011552084694811138,NaN,NaN,1701.4152,243.77360000000002,-0.7875000000000001,0.28548088951957734,0.09846317760475974,0.0000064832276308046666,31753.17666666667,6122.8277777777785,104053.6,6122.8,((((x)*(x))*((x)/((0)-(4))))*((1)*((8)*((8)*(x))))),((0)-(x)),AddRandomSubTreeR|AddTreeWithDiv|AddTreeWithMult|MultXD|AddTreeWithSub,ReplaceBranchXR|MutateTerminalR|SubXD|AddToLeafR|DeleteNonTerminalR,AddTreeWithSub,ReplaceBranchXR,10,9,11,11,0
