gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.049581102551954,0.0059561082896104475,-0.04937575480329369,0.012702310933522542,205.11899999999997,309.37529333333333,305.6704,233.91717333333335,-0.962465200627369,0.40980948646613274,0.013420856983923988,0.058165014659446686,8642.779999999999,5801.643333333333,18379.44,5057.413333333333,((((8)*(x))*((4)+(1)))*((x)*((x)-(x)))),((((x)+(0))/((1)+((2)*(x))))*((x)+((x)*((9)-(x))))),DeleteMaliciousR|AddRandomSubTreeR|MutateTerminalR|SubXD|AddTreeWithAdd,SubXD|MutateNonTerminalR|ReplaceBranchXR|DeleteMaliciousR|ReplaceBranchXR,SubXD,ReplaceBranchXR,0,0,1,1,3
1,x*x*x*x,25,-10,-0.03938187941118808,0.011455528689060255,-0.03903382564370671,0.011636060645667237,302.6714,244.601,473.1008000000001,243.054,-0.9521487387269638,0.29093302462796655,0.01773564884031621,0.002414855584319985,10522.58,6107.04,23431.04,6076.08,((((7)*(7))*((x)*(x)))*((x)-((x)-(x)))),((((6)+(0))*((x)+((7)+(8))))-((0)*((x)-((x)+(x))))),AddTreeWithMult|AddToLeafR|MutateTerminalR|SubXD|SubXD,SubXD|MutateNonTerminalR|ReplaceBranchXR|AddXD|ReplaceBranchR,SubXD,ReplaceBranchR,1,1,2,2,3
2,x*x*x*x,25,-10,-0.03948676439354333,0.010859777917983952,-0.03916332995686839,0.012610489758574978,251.31300000000002,249.7906,409.6872,234.704,-0.9532964645144426,0.2879268816401218,0.018236146412983725,0.001181614962050428,9557.400000000001,6116.5599999999995,22869.04,6101.84,((((x)*(x))*((x)*(6)))*((8)-((x)-(x)))),((x)*((9)+(x))),AddTreeWithMult|AddToLeafR|MutateTerminalR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|DeleteMaliciousR|ReplaceBranchXR,SubXD,DeleteNonTerminalR,1,1,3,3,3
3,x*x*x*x,25,-10,-0.03941491818879885,0.01140063390406483,-0.038999451052150046,0.011612440950762741,286.49350000000004,245.07139999999998,489.93280000000004,243.25639999999999,-0.937516582799634,0.2899994398491328,0.026086220479706258,0.001922056515160519,11539.060000000001,6107.91,30595.88,6084.08,((((x)*(6))*((x)*(x)))*((x)-((x)+(7)))),((((5)+(5))*((1)*(6)))-((8)-((7)+((x)+(x))))),DeleteMaliciousR|MultXD|AddTreeWithSub|SubXD|AddTreeWithAdd,SkipD|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,2,3,4,4,3
4,x*x*x*x,25,-10,-0.038785124493530256,0.010374836673497987,-0.03842531695203241,0.012386382732415933,594.8807999999999,254.775,771.0656000000001,236.62440000000004,-0.8890107502287282,0.28772149298877836,0.04637420476782071,0.0007909066651850542,40045.78,6112.84,54347.44,6103.6,((((8)*(x))*((x)*(9)))+((4)*((x)-(x)))),(((7)+((0)*(x)))-((0)+((x)+(x)))),DeleteMaliciousR|MultXD|MutateTerminalR|SubXD|AddTreeWithAdd,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,4,4,5,5,3
5,x*x*x*x,25,-10,-0.04930159129525553,0.011505498814347332,-0.04845085446346882,0.011623177175719328,341.9856,244.17280000000002,758.5608,243.16440000000003,-0.9280334270030062,0.29050357562970297,0.028308431539392647,0.002173830907681865,14860.2,6096.25,35239.44,6079.76,((((9)+(5))*((x)*(5)))*((x)*((x)-(x)))),((((x)*(1))*((1)-(1)))*((x)-((x)+((x)+(x))))),DeleteMaliciousR|MultXD|MutateTerminalR|SubXD|AddTreeWithAdd,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,MutateTerminalR,AddXD,4,4,6,6,3
6,x*x*x*x,25,-10,-0.039219100444386354,-0.011216320929103572,-0.038319500718860276,0.012838984633194543,382.37839999999994,509.47520000000003,822.88,232.74599999999998,-0.8968252516010978,0.35524768004182466,0.04533533198274742,0.03324845975725427,17222.34,5948.219999999999,50520.96,5524.96,((((8)-(1))*((x)*(x)))*((6)+((x)*((x)-(x))))),((((x)+((2)+(5)))-((9)*((3)*(5))))*(((9)-(6))*((x)-((x)+((x)+(x)))))),DeleteMaliciousR|MultXD|AddTreeWithSub|SubXD|AddTreeWithAdd,MutateTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,2,5,7,7,3
7,x*x*x*x,25,-10,-0.03945983347764998,0.01145956644322871,-0.039288186184812446,0.011508532964878542,264.50010000000003,244.56640000000004,348.5496,244.1468,-0.9663758005489479,0.2892105607110182,0.010559308908439086,0.0014759352359858516,8708.79,6108.8,16464.56,6090.84,((((6)-(8))*((x)*(x)))*((4)+((7)*((x)-(x))))),((((9)-(8))-((5)*((4)-(x))))*((x)-((x)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,7,7,8,8,3
8,x*x*x*x,25,-10,-0.039463053236505036,0.010832034094516123,-0.039339440922755195,0.011715088597195514,262.92350000000005,249.9438,323.452,242.3768,-0.9714849366095936,0.28929925126500744,0.008254954552522863,0.0016517125112107196,7917.6,6105.389999999999,13962.8,6090.08,((((x)*(0))+((5)*(7)))*((5)-((9)*((x)-(x))))),(((8)*(5))+((x)+(x))),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|SubXD|SubXD,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,7,8,9,9,3
9,x*x*x*x,25,-10,-0.03920851440988106,0.011541231771757197,-0.0383300328388446,0.01184382993819669,387.56199999999995,243.8666,817.7228,241.27360000000002,-0.8729487975428049,0.31655992680695344,0.05688081851716568,0.015390318691734324,20441.95,6051.15,62212.4,5856.48,((((2)-(x))*((8)*(7)))+((x)*((x)*((x)-(x))))),((((7)+(9))-((7)*((5)-(1))))*(((3)*(8))+((0)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|AddTreeWithSub|SubXD|AddTreeWithAdd,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,SubXD,AddXD,9,9,10,10,3
10,x*x*x*x,25,-10,-0.039348507548032936,0.011720923502063225,-0.03890049911776239,0.012615297720185974,319.0124,242.3268,538.3860000000001,234.66279999999998,-0.9335830283623056,0.40000373433911546,0.026952019641777774,0.05661961840792386,12725.85,5869.21,32522,5141.44,((((x)*(x))*((x)*(1)))+((x)*((6)-(x)))),((((9)+(9))*((x)*(x)))-((4)+((4)+((x)+(x))))),DeleteMaliciousR|AddTreeWithMult|ReplaceBranchR|SubXD|AddTreeWithAdd,DeleteNonTerminalR|AddXD|AddTreeWithSub|AddXD|ReplaceBranchR,DeleteMaliciousR,AddXD,10,10,11,11,3
