gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,x*x*x*x,25,-10,-0.0519753657201673,-0.05135278638750407,-0.04882491831133185,-0.033986915290666435,NaN,NaN,575.3951999999999,775.1955555555556,-0.9875040844334074,0.28644248184177606,0.000013367354875298067,0.0004121255170423916,6112.76,6118.3099999999995,6118.8,6114.56,((x)+(0)),((7)+(1)),AddTreeWithMult|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,MutateTerminalR|DeleteMaliciousR|DivXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithMult,MutateTerminalR,0,0,1,1,4
1,x*x*x*x,25,-10,-0.05940501854332767,-0.03418996009314064,-0.058355157822506866,-0.03378019368772211,NaN,NaN,NaN,NaN,-0.8645360083649197,0.3357777694792464,0.06164979863274356,0.024370580916842927,21051.47,5941.03,66331.84,5691.8,(((x)*((x)*(x)))*((x)*(x))),((((x)*(4))*((x)*((2)-(5))))+((7)+((7)-((x)+(x))))),AddTreeWithAdd|AddToLeafR|SkipD|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchXR,1,1,2,2,4
2,x*x*x*x,25,-10,-0.03953830524604627,0.012312302780215471,-0.039500096392628414,0.014912523106223279,226.0753,237.2592,244.7848,214.9776,-0.9874877466997778,0.629422857889725,0.000009497573908516345,0.17137748477065026,6123.82,5378.33,6126.8,3175.52,(((x)-(6))+((1)-(3))),((((x)*(6))+((5)*(x)))*((6)-((x)+(x)))),AddTreeWithMult|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,MutateNonTerminalR,SubXD,0,2,3,3,4
3,x*x*x*x,25,-10,-0.03952975734381126,0.011427404447597888,-0.03949480623447915,0.011477351233265496,230.2609,244.84199999999998,247.3752,244.41400000000002,-0.9873162004966671,0.28661986294975456,0.0006876953044229376,0.00036526318052709577,5981.64,6115.9,6210.8,6113.04,(((x)-(5))*((5)*(6))),((x)*(4)),AddTreeWithMult|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,MutateNonTerminalR,SubXD,0,3,4,4,4
4,x*x*x*x,25,-10,-0.04203509733204809,0.01150063250368766,-0.039494518690367277,0.011631392721773066,227.64610000000002,244.21450000000002,247.516,243.09399999999997,-0.987058881192001,0.30066097802341435,0.0002750421215599717,0.006343185312621046,6144.110000000001,6070.46,6336.8,5992.72,(((4)*(9))*((x)-(8))),(((x)+((6)*(8)))*((3)-((0)+(x)))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithAdd,ReplaceBranchXR,4,2,5,5,4
5,x*x*x*x,25,-10,-0.0394898971539668,0.011463709225684786,-0.039449981211606325,0.011540181488881007,249.77900000000002,244.5309,269.32439999999997,243.87560000000002,-0.9826594562802249,0.29044289261907885,0.0024304836955751836,0.0024191869294836904,6706.110000000001,6106.63,8491.04,6080.28,(((x)-((1)*(0)))-((8)*((x)*(x)))),((((9)*(7))-((8)*(x)))*((0)-((x)+(x)))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithAdd,SubXD,5,5,6,6,4
6,x*x*x*x,25,-10,-0.039500901842896355,0.011457419198237395,-0.03949048735459417,0.011510213417480446,244.3904,244.5848,249.49,244.1324,-0.9865891713501503,0.2899060813712494,0.00047025070958715587,0.0018613308726068178,6237.74,6108.73,6566.8,6084.88,((((x)+(x))*((x)*(x)))-((4)-((x)+(x)))),((((7)-(9))+((6)*(1)))*((9)-((0)+(x)))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|AddXD|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddXD,AddXD,5,6,7,7,4
7,x*x*x*x,25,-10,-0.03953142338419815,0.011274681647590419,-0.03949010995294733,0.011564267976174918,229.44510000000002,246.1507,249.6748,243.6692,-0.986585086916743,0.28794555333569843,0.0004593994958789291,0.0009027848080522045,6231.450000000001,6116.35,6568.8,6101.68,(((0)+((0)-(x)))*((8)*(x))),((4)*((6)+(x))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|AddTreeWithDiv|ReplaceBranchR,AddTreeWithAdd,AddTreeWithDiv,6,7,8,8,4
8,x*x*x*x,25,-10,-0.03953287049895438,0.01144486248296208,-0.0394994134753627,0.011481459006292362,228.73649999999998,244.69240000000002,245.11919999999998,244.3788,-0.9874661808913868,0.2884823645835279,0.00001941572843653097,0.0012175141075829888,6128.35,6111.4400000000005,6137.36,6097.08,(((x)*((5)-(x)))*((0)-(2))),((7)*(5)),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithAdd,DeleteTerminalR,8,8,9,9,4
9,x*x*x*x,25,-10,-0.039508586704352366,0.011483617921093417,-0.039490687491831135,0.011616315327594901,240.62739999999997,244.3603,249.392,243.2232,-0.9867381714808521,0.29191328864574195,0.0003654635495474421,0.0028423769506875844,6228.5599999999995,6104.17,6493.84,6067.68,(((x)-((5)*(2)))*((4)-((8)*(x)))),(((x)+((6)*(9)))*((1)-((x)+(x)))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|ReplaceBranchR|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,MutateNonTerminalR,SubXD,8,8,10,10,4
10,x*x*x*x,25,-10,-0.03946485835184943,0.005691111972824683,-0.03930589873872696,0.011574887503034153,262.0396,311.6460785714286,339.8764,243.57820000000004,-0.968190759377859,0.29224937916612215,0.009718105813017682,0.0030811866216962865,8439.01,6103.63,15575.84,6064.8,(((x)*((x)*(7)))*((5)*((x)+(0)))),((x)*((x)+(0))),AddTreeWithAdd|MutateNonTerminalR|AddToLeafR|MultXD|ReplaceBranchXR,SubXD|ReplaceBranchXR|AddXD|DeleteTerminalR|ReplaceBranchR,AddTreeWithAdd,AddXD,9,8,11,11,4
