gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,(x),20,-10,-0.01977201346801347,0.0011342333787129827,-0.019531636363636366,0.02,0.056996632996633,1.0951604938271604,0.1170909090909091,0,0.13344887348353554,1,0.44035772482941177,0.5322623742531197,108.56666666666666,5.86651455026455,288.5,0,((9)*((4)*(8))),(((7)-(3))/((0)*(3))),DivXD|AddTreeWithDiv|SkipD|MutateNonTerminalR|AddRandomSubTreeR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithSub|AddTreeWithDiv|SkipD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,FellTreeD|AddTreeWithSub|AddTreeWithDiv|DeleteMaliciousR|DeleteTerminalR|DeleteNonTerminalR|AddRandomSubTreeR|MutateNonTerminalR|MutateTerminalR|AddTreeWithAdd|SubXD|FellTreeD|AddTreeWithSub|AddRandomSubTreeR|AddTreeWithDiv,ReplaceBranchXR,AddTreeWithSub,0,0,1,1,2
1,(x),20,-10,-0.019561056084656085,-0.005453414827866512,-0.0191524,0.02,0.10973597883597883,1.5213333333333332,0.21189999999999998,0,-0.7076,1,0.11181603939805179,0.408248290463863,35.93333333333333,0.8333333333333334,73.1,0,(((9)*(7))-((x)*(9))),(((9)*((0)*(7)))+((0)*((x)+(x)))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|AddTreeWithSub|AddTreeWithDiv|SkipD|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,ReplaceBranchXR,MultXD,1,1,2,2,2
2,(x),20,-10,-0.018925333333333336,-0.0025633327614799574,-0.017248,0.02,0.2686666666666666,1.1583333333333332,0.688,0,-0.242,1,0.3119395240534079,0.7581753965757455,58.583333333333336,5.833333333333333,189.5,0,((9)*((7)*(3))),(((2)*(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|AddRandomSubTreeR|AddXD|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,2,2,3,3,2
3,(x),20,-10,-0.019786904761904766,0.00371957671957672,-0.019462,0.02,0.05327380952380953,1.2333333333333334,0.13449999999999998,0,-0.3,1,0.2513600339486504,0.408248290463863,69.83333333333333,0.8333333333333334,175,0,((x)*((6)*(6))),(((5)*((0)*(0)))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MultXD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|SkipD|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,AddXD,3,3,4,4,2
4,(x),20,-10,-0.019092,0.007559523809523809,-0.01804,0.02,0.22699999999999998,0.25,0.49,0,-0.536,1,0.16734475392633816,0,50.833333333333336,0,116,0,(((x)*(3))*((x)-(5))),(((5)+(0))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|FellTreeD|MultXD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,4,4,5,5,2
5,(x),20,-10,-0.018558666666666668,0.0015808457711442784,-0.01644,0.02,0.36033333333333334,0.32833333333333337,0.89,0,-0.138,1,0.34788599665215997,0.5163977794943223,70.58333333333333,1.6666666666666667,215.5,0,(((5)-(x))*((7)*(6))),(((0)+(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,5,4,6,6,2
6,(x),20,-10,-0.01851866666666667,0.00875,-0.017152,0.02,0.3703333333333333,0.16666666666666669,0.7120000000000001,0,0.3441762854144806,1,0.5581117052741148,0.5163977794943223,154.86666666666667,1.6666666666666667,381.2,0,(((9)*(6))*((x)+(7))),(((1)-((8)*(0)))*((0)+(x))),AddRandomSubTreeR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,6,6,7,7,2
7,(x),20,-10,-0.017939999999999998,0.0039158374792703145,-0.016399999999999998,0.02,0.515,0.485,0.9,0,-0.23,1,0.27646453660460685,0,55.1,0,192.5,0,((8)*((4)*(6))),(((0)*((0)*(x)))*((0)+(x))),AddRandomSubTreeR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|FellTreeD|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|FellTreeD|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,7,5,8,8,2
8,(x),20,-10,-0.01814,0.007505050505050504,-0.01476,0.02,0.465,0.27666666666666667,1.31,0,0.11940824233885164,1,0.426470914060593,0.7373940601876312,66.64999999999999,5,283.9,0,(((x)*(7))*((x)+(9))),(((0)-(0))*((x)+(x))),AddRandomSubTreeR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|DeleteMaliciousR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,8,8,9,9,2
9,(x),20,-10,-0.018879999999999997,-0.0051114036480251765,-0.017159999999999998,0.02,0.28,1.34,0.71,0,0.29577464788732394,1,0.5051246244348101,0,71.93333333333334,0,355,0,(((x)*(3))*((6)*(4))),(((7)*(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|AddXD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,9,9,10,10,2
10,(x),20,-10,-0.018052000000000002,0.0022190517998244073,-0.01528,0.02,0.48699999999999993,1.04,1.18,0,0.8770773920739502,1,0.7035118724394374,0.408248290463863,384.2972222222222,0.8333333333333334,2033.8,0,(((x)*((x)*(x)))*((x)*((1)-(0)))),(((9)+(0))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|AddTreeWithMult|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,10,10,11,11,2
11,(x),20,-10,-0.018514833333333335,0.0013561429360839936,-0.015988,0.02,0.37129166666666663,1.202,1.003,0,0.3394980184940555,1,0.5152104588403624,0.7659416862050705,82,5,378.5,0,((9)*((7)*(6))),(((6)-(0))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchR|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,11,11,12,12,2
12,(x),20,-10,-0.018532,-0.004093137254901961,-0.0138,0.02,0.36699999999999994,0.3133333333333333,1.55,0,0.48612538540596095,1,0.5007774283726861,0.5163977794943223,152.58333333333334,1.6666666666666667,486.5,0,((9)*((9)*(6))),(((0)-(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|SubXD|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,AddTreeWithMult,ReplaceBranchR,12,12,13,13,2
13,(x),20,-10,-0.018066666666666665,0.007860696517412936,-0.0108,0.02,0.48333333333333334,0.72,2.3,0,0.09090909090909091,1,0.4454000362443871,0,133.5,0,275,0,((x)*((7)*(8))),(((0)+(0))*((x)+(x))),AddTreeWithDiv|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|ReplaceBranchR|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|DeleteNonTerminalR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,ReplaceBranchXR,ReplaceBranchR,13,12,14,14,2
14,(x),20,-10,-0.019133333333333332,-0.004248035914702581,-0.016399999999999998,0.02,0.21666666666666667,0.485,0.9,0,0.5594713656387665,1,0.6057987503048095,0.408248290463863,128.83333333333334,0.8333333333333334,567.5,0,((7)*((9)*(9))),(((0)-(6))*((0)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|MutateNonTerminalR|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,14,14,15,15,2
15,(x),20,-10,-0.01918,0.0034991708126036487,-0.017,0.02,0.205,0.4016666666666666,0.75,0,-0.62,1,0.13942548786598047,0.408248290463863,32.333333333333336,0.8333333333333334,95,0,((5)*((4)*(x))),(((0)+(0))*((x)+(x))),DeleteTerminalR|AddToLeafR|DivXD|SubXD|MutateTerminalR|ReplaceBranchXR|AddTreeWithMult|FellTreeD|SubXD|SkipD|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|ReplaceBranchXR|AddTreeWithMult,AddXD|ReplaceBranchR|SubXD|FellTreeD|AddTreeWithMult|DeleteNonTerminalR|ReplaceBranchXR|MultXD|ReplaceBranchR|ReplaceBranchXR|ReplaceBranchR|DeleteMaliciousR|MultXD|AddXD|DeleteTerminalR,DeleteTerminalR,ReplaceBranchR,15,15,16,16,2
