A,P,AEquation,PEquation,AGen,PGen,ARun,PRun,count,run
FellTreeD,AddTreeWithAdd,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,0,0
AddRandomSubTreeR,DivXD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,1,0
AddXD,FellTreeD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,2,0
ReplaceBranchXR,AddTreeWithAdd,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,3,0
AddTreeWithMult,ReplaceBranchR,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,4,0
FellTreeD,AddTreeWithAdd,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,5,0
AddRandomSubTreeR,AddToLeafR,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,6,0
MutateTerminalR,SkipD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,7,0
MultXD,AddTreeWithSub,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,8,0
AddTreeWithMult,DivXD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,9,0
AddTreeWithMult,MutateTerminalR,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,10,0
AddRandomSubTreeR,AddTreeWithSub,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,11,0
AddToLeafR,ReplaceBranchR,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,12,0
AddTreeWithAdd,FellTreeD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,13,0
MutateTerminalR,AddXD,((((8)*(x))*((9)*((0)+(x))))+((3)-((9)*((2)+(8))))),((0)+(x)),0,0,1,0,14,0
