specEquation,range,seed,AID,PID,AAvg,PAvg,ABestFit,PBestFit,AStdDev,PStdDev,AAverageDelta,PAverageDelta,ABestDelta,PBestDelta,AEquation,PEquation,AStrat,PStrat,ADomStrat,PDomStrat,AGen,PGen,ABirthGen,PBirthGen,AAge,PAge,ARun,PRun
,30,-10,ANTAGONIST-fBD,PROTAGONIST-19c2c2c2c2c2c1c1c2c1c1c1c1c1c2c1c2c2c2c2c2c1c1c1c1c1c1c1c1c1c2c1c1c2c1c1c1c2c1c2c2,0.5213974362638147,1,0.9999949088968277,1,0.7565936566737088,0,910136155.8441623,0,13300871897.322224,0,(((((6)+(8))*((8)+(3)))*(((x)+(0))-((8)*((1)+(9)))))*((((3)-(7))-((x)*(7)))*(((6)*(9))*((x)*((x)*(x)))))),((3)/((0)/(x))),AddTreeWithSub|AddTreeWithAdd|SubXD|MultXD|MultXD|DeleteMaliciousR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|ReplaceBranchR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|AddTreeWithDiv|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|DeleteMaliciousR,MultXD,DeleteTerminalR,0,0,26,49,27,49,0,0
,30,-10,ANTAGONIST-lFy,PROTAGONIST-12c2c1c1c1c2c2c1c2c1c2c1c1c1c2c1c1c1c1c1c1c1c1c1c1c1c1c1c1c2c2c2c2c1c1c1c2c1c1c2c2,0.9998286624101226,1,0.9999999907716054,1,0.00029649124065565113,0,611214524411.3308,0,7337799751782.655,0,(((((1)-(9))*((x)*((x)+(2))))*(((x)*(2))*((5)-((x)+(3)))))+((((x)+(x))*((x)*(x)))*(((x)-(x))*((x)-((x)*((x)*(x))))))),((((1)+(7))/((0)/((3)/(0))))/(((9)+(8))/((x)*((x)-(x))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|MultXD|SubXD|MultXD|MutateTerminalR|MultXD|MultXD,DeleteTerminalR|DeleteNonTerminalR|FellTreeD|AddTreeWithAdd|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,AddTreeWithDiv,0,0,43,49,44,49,1,1
,30,-10,ANTAGONIST-Jqoc1,PROTAGONIST-12c1c2c2c1c1c2c2c2c2c2c2c1c1c1c1c1c1c2c2c2c2c2c1c1c1c2c1c2c1c1c2c2c2c1c2c1c2,0.9972631868469144,1,0.9999999997347956,1,0.00837026893989369,0,12774994170317.902,0,255335545821149.8,0,(((((8)+(8))*((7)-((9)*(x))))*(((x)*((3)+(2)))*((x)*((3)*(x)))))+((((9)*(x))-((x)*(x)))*(((x)*(5))-((x)+((x)*((x)*(x))))))),((4)/((7)/(0))),AddTreeWithSub|AddTreeWithMult|MultXD|SubXD|AddTreeWithAdd|MultXD|MultXD|MultXD|AddTreeWithMult|SubXD|MutateNonTerminalR|AddXD|MultXD|MutateTerminalR|MultXD,DeleteNonTerminalR|MultXD|DivXD|MultXD|AddTreeWithMult|AddXD|AddTreeWithSub|DivXD|AddTreeWithSub|FellTreeD|AddTreeWithDiv|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|DeleteTerminalR,MultXD,DivXD,0,0,49,48,49,49,2,2
,30,-10,ANTAGONIST-tBW,PROTAGONIST-11c2c1c1c2c1c2c1c2c1c1c1c1c1c1c1c2c1c1c1c2c2c1c2c1c1c2c1c1c1c1c2c2c2c2c2c1c2c2c2c1c2,0.8874326728156723,1,0.9999999241122599,1,0.2946201879911534,0,45717941506.85301,0,892319509852.3555,0,(((((1)-(4))+((9)+((7)*(x))))*(((x)+((2)*(x)))*((3)*((x)+(9)))))*((((2)-(5))-((6)+(5)))-(((1)*(x))*((x)*((x)*((x)-(x))))))),(((5)/((0)/(5)))*((0)*((1)/(x)))),MultXD|AddXD|AddTreeWithSub|MutateNonTerminalR|AddTreeWithAdd|AddToLeafR|AddTreeWithSub|AddXD|MutateNonTerminalR|MultXD|MultXD|MultXD|AddTreeWithAdd|SubXD|AddTreeWithSub,FellTreeD|AddToLeafR|DeleteMaliciousR|ReplaceBranchR|AddTreeWithDiv|DeleteMaliciousR|DeleteNonTerminalR|DivXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|DivXD|DeleteTerminalR|MutateTerminalR,MultXD,AddTreeWithDiv,0,0,46,49,47,49,3,3
,30,-10,ANTAGONIST-kVC,PROTAGONIST-2c1c1c1c2c2c1c2c2c1c1c1c2c1c1c1c2c1c2c1c1c1c2c1c2c2c1c2c1c2c2c1c1c2c1c1c2c2c2c2c1c1,0.8638693364304046,1,0.9999994764063871,1,0.43927148867400306,0,6585493169.713781,0,129329520926.32889,0,(((((x)*(9))*((2)-((5)-(8))))*(((7)*(x))*((8)+((2)*(x)))))/((((3)*(3))+((7)+(5)))*(((x)+(x))*((x)*((x)*((x)*(x))))))),((((0)*(3))*((8)/((0)/(x))))/(((0)/(x))*((x)/((x)/(x))))),MultXD|AddXD|SkipD|AddToLeafR|MutateTerminalR|AddToLeafR|AddTreeWithSub|MultXD|MultXD|MultXD|AddTreeWithSub|AddTreeWithAdd|MutateTerminalR|AddToLeafR|MultXD,DeleteMaliciousR|FellTreeD|ReplaceBranchXR|ReplaceBranchR|DivXD|DivXD|AddTreeWithDiv|DivXD|MultXD|DivXD|DeleteMaliciousR|DivXD|DeleteMaliciousR|DeleteMaliciousR|AddTreeWithMult,MultXD,DivXD,0,0,42,49,43,49,4,4
,30,-10,ANTAGONIST-cSt,PROTAGONIST-10c1c1c1c1c1c2c2c2c2c1c2c2c1c1c2c2c1c1c2c2c1c2c2c2c1c1c1c1c1c2c1c2c1c2c1c1c2c2c1c2,0.9989047057015548,1,0.9999999891444302,1,0.0017883504527866718,0,438201689594.8616,0,6237914055008.223,0,(((((x)*(x))*((x)+((2)*(x))))*(((0)-((8)*(x)))+((9)+((x)+(x)))))-((((x)*(x))*((x)*(x)))-(((x)+(x))*((x)-((x)+((x)*(x))))))),((3)/(0)),AddXD|AddXD|SubXD|AddTreeWithSub|MultXD|MultXD|SkipD|MultXD|SubXD|AddXD|MultXD|SubXD|MutateNonTerminalR|AddXD|MultXD,ReplaceBranchXR|AddTreeWithAdd|AddToLeafR|ReplaceBranchXR|FellTreeD|DeleteMaliciousR|FellTreeD|DivXD|DivXD|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithDiv|SkipD|DeleteTerminalR|DeleteMaliciousR,MultXD,DeleteMaliciousR,0,0,41,48,42,49,5,5
,30,-10,ANTAGONIST-UGEc1,PROTAGONIST-18c1c1c1c2c2c2c2c2c1c1c2c1c2c2c1c2c2c1c1c1c2c1c1c2c2c2c2c1c2c2c2c2c1c2,0.7277195348685431,1,0.9999999998335151,1,0.6659957548847819,0,20362008108489.914,0,406740187504134.7,0,(((((x)*(7))*((9)*(x)))*(((x)+(2))*((x)+((3)*(x)))))+((((7)*(8))-((6)*(x)))*(((x)*(x))*((x)*((x)*(x)))))),((((6)/(0))+((0)*(0)))/((1)/((8)/((4)/(0))))),MultXD|MultXD|AddXD|AddTreeWithSub|AddTreeWithMult|MultXD|SkipD|MutateTerminalR|MultXD|MutateNonTerminalR|AddTreeWithSub|AddToLeafR|MutateNonTerminalR|MutateNonTerminalR|MultXD,DeleteMaliciousR|SubXD|FellTreeD|AddTreeWithDiv|AddTreeWithDiv|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|AddTreeWithMult|DeleteTerminalR|DeleteTerminalR|DeleteMaliciousR|SkipD|AddTreeWithDiv,MultXD,DeleteTerminalR,0,0,49,48,49,49,6,6
,30,-10,ANTAGONIST-ulE,PROTAGONIST-19c1c2c2c2c1c2c1c1c2c1c2c2c1c2c2c1c1c1c2c2c1c2c1c2c2c2c1c1c1c2c1c2c1,0.9998632294903758,1,0.9999999999106538,1,0.0002510172114302609,0,41251117104983.39,0,757906992085783.8,0,(((((x)*(x))*((9)*((x)+(2))))*(((x)*(3))*((x)+((9)-(x)))))*((((x)*(4))*((9)+(x)))-(((x)*(x))*((x)*((x)*(x)))))),((6)/((0)+(0))),MutateNonTerminalR|MutateNonTerminalR|SubXD|MultXD|MultXD|AddTreeWithMult|MutateNonTerminalR|AddXD|SubXD|AddToLeafR|MultXD|MultXD|MultXD|SkipD|MultXD,AddXD|FellTreeD|DeleteNonTerminalR|FellTreeD|AddTreeWithSub|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithDiv|DeleteMaliciousR|DeleteMaliciousR|AddXD|DeleteMaliciousR|DeleteTerminalR|DeleteTerminalR|DeleteTerminalR,MultXD,DeleteMaliciousR,0,0,45,48,46,49,7,7
,30,-10,ANTAGONIST-Ksn,PROTAGONIST-0c2c2c2c2c1c1c1c1c2c1c1c2c1c1c2c1c1c1c2c1c2c1c1c1c1c2c2c2c2c1c1c2c2c1c1c2c1c1c1,0.3765898916543202,1,0.9999999958294113,1,0.8296446818418275,0,811936934766.5974,0,16236583661455.688,0,(((((2)*(x))-((8)+((x)*(x))))-(((1)*(x))*((x)+((2)*(x)))))*((((3)*(3))+((7)*(9)))*(((x)*(x))*((x)*((x)+(x)))))),((9)/(0)),AddToLeafR|MultXD|AddTreeWithAdd|MultXD|AddTreeWithSub|MultXD|MutateNonTerminalR|MultXD|SkipD|AddTreeWithAdd|AddXD|AddTreeWithSub|AddTreeWithMult|MutateTerminalR|MutateNonTerminalR,MultXD|AddTreeWithSub|DivXD|SkipD|AddToLeafR|MultXD|FellTreeD|AddTreeWithSub|MutateTerminalR|MutateTerminalR|DeleteNonTerminalR|ReplaceBranchR|FellTreeD|AddTreeWithDiv|DeleteTerminalR,MultXD,MultXD,0,0,43,48,45,49,8,8
,30,-10,ANTAGONIST-ibP,PROTAGONIST-14c2c1c1c2c2c2c1c2c1c2c1c2c1c2c2c2c1c2c2c1c1c1c1c1c2c1c1c2c1c2c2c2c1c1c1c2c2,0.9952853835290583,0.9976942721890995,0.9999999817544634,1,0.006577485205605563,0.010311528245570864,223080168316.51337,3.1226984126984183,3711379538813.4,0,(((((x)+(8))+((5)*((x)*(x))))+(((2)*(x))*((3)*((x)+(9)))))-((((x)*(4))*((4)-(x)))*(((x)+(x))+((x)*((x)*((x)*(x))))))),((((3)/((0)-(7)))/((2)*((6)/(x))))+(((x)*(x))*((x)+((x)+(x))))),SubXD|MultXD|MutateNonTerminalR|SubXD|AddToLeafR|MultXD|AddTreeWithAdd|AddXD|AddXD|MultXD|MutateTerminalR|MultXD|MultXD|SkipD|AddTreeWithAdd,AddTreeWithAdd|AddTreeWithDiv|FellTreeD|AddTreeWithSub|DivXD|AddTreeWithDiv|MutateTerminalR|DivXD|AddTreeWithMult|DeleteMaliciousR|AddXD|MultXD|MultXD|AddXD|AddXD,MultXD,AddXD,0,0,41,43,42,44,9,9
