gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3926131473251421,0.005974706572301017,-0.3826386445413894,0.19036916040280213,500.2089364920901,3574.345454235095,1175.643475274769,284.0490867379353,-0.8149014267079064,1,0.03759904396304199,0.5103910707614069,1793.2038888888892,744.838203847629,12534.155555555557,0,(((x)*((9)*(4)))*((4)*((x)+(x)))),(((((8)*(2))/((0)*(7)))*(((0)+(0))-((6)*((8)+(0)))))*(((x)-((1)-(7)))/(((x)/(6))-((3)-((x)/(x)))))),SubXD|AddTreeWithDiv|AddXD|DivXD|ReplaceBranchXR|AddTreeWithAdd|SkipD|MultXD|ReplaceBranchXR|ReplaceBranchR|DeleteTerminalR|AddToLeafR|AddXD|AddRandomSubTreeR|ReplaceBranchXR,MultXD|SubXD|AddTreeWithSub|MultXD|MutateTerminalR|AddTreeWithAdd|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|AddTreeWithSub,ReplaceBranchXR,DivXD,0,0,1,1,0
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3904996127312024,0.05870457823300559,-0.3708066697572636,0.3021568646411079,643.329279892491,462.9186892505344,1976.8587944205042,132.51113250844443,-0.7116125327141908,1,0.09378667978021786,0.5091750447612864,5127.012777777777,607.9409040880604,19528.477777777774,0,(((x)*((x)+(x)))*((x)*((x)-(1)))),((((0)/((0)*(x)))-((2)*((0)-(1))))*(((x)/(x))/((0)-((x)/(x))))),AddXD|MutateNonTerminalR|DeleteTerminalR|FellTreeD|DeleteTerminalR|AddTreeWithDiv|MutateNonTerminalR|AddXD|AddToLeafR|AddTreeWithSub|MultXD|MultXD|ReplaceBranchXR|SubXD|MutateTerminalR,MultXD|SubXD|AddTreeWithSub|MultXD|MutateTerminalR|AddTreeWithAdd|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|AddTreeWithSub,AddXD,DivXD,1,0,2,2,0
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.387875179413504,0.048227079566014214,-0.35110617302126124,0.3233474718801533,821.045698037453,477.68251212922894,3310.899820339716,103.81222222222223,-0.16000180492087068,1,0.24268459497620826,0.5010012170476462,9441.984444444444,809.9377910076824,56881.411111111105,0,((((6)+(8))*((4)*(x)))+((7)*((x)*(x)))),((((9)+(9))-((2)+(1)))+((x)-((0)/((0)-(0))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|DivXD|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|ReplaceBranchXR,MultXD|SubXD|AddTreeWithSub|SubXD|DeleteTerminalR|AddTreeWithAdd|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|FellTreeD,MultXD,SubXD,2,2,3,3,0
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3835117850772419,0.059319856485229056,-0.28580131704366746,0.36,1117.0649508121599,897.5342683554243,7744.033845389275,54.172888888888885,0.05530550023026588,1,0.23411676101172113,0.48845254819373,6634.466666666665,878.6603554171213,71680.43333333333,0,(((8)*((x)*(7)))*((x)*(x))),(((0)/((0)-(9)))-((8)*((0)/(x)))),AddTreeWithSub|DeleteNonTerminalR|SubXD|DivXD|AddTreeWithDiv|MultXD|DeleteNonTerminalR|AddToLeafR|FellTreeD|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|ReplaceBranchXR,MultXD|SubXD|AddTreeWithSub|DeleteNonTerminalR|AddXD|AddTreeWithAdd|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|AddTreeWithSub,MultXD,DivXD,0,3,4,4,0
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3722715348505294,0.08603699447644791,-0.13604963248583074,0.3602075119103654,2124.4333761914786,503.83278278987933,22809.083398195206,53.891850897305304,0.768748996367343,1,0.3916841519311896,0.4835356223653431,18302.219444444443,509.1476735768312,292825.15555555554,0,((((9)-(0))+((6)*(x)))*((x)*((x)*(x)))),(((((3)*(6))+((4)-(3)))+(((4)*(0))*((7)-(0))))*(((9)-((2)+(0)))-(((7)-(x))/((0)*((x)/(x)))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|DivXD|AddTreeWithDiv|MutateNonTerminalR|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|ReplaceBranchXR,MultXD|SubXD|AddTreeWithSub|AddTreeWithSub|MutateTerminalR|AddTreeWithAdd|DeleteMaliciousR|DivXD|ReplaceBranchR|AddTreeWithMult|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|DivXD|AddTreeWithSub,MultXD,AddTreeWithSub,4,3,5,5,0
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.36764354367346413,0.10614632731855375,-0.11786137078952631,0.36045371093701734,3552.478031943178,911.5200074637704,46324.38488888889,53.55841808442103,0.9451569756656324,1,0.42968979994913414,0.5025439855772852,64478.83888888887,541.6418084343703,1234726.0555555555,0,((((7)*(9))*((x)+(1)))*((x)*((x)*(x)))),(((7)/((3)+(0)))/((0)/((x)/(x)))),AddTreeWithSub|DeleteNonTerminalR|SubXD|DivXD|AddTreeWithDiv|FellTreeD|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|ReplaceBranchXR,DivXD|SubXD|AddTreeWithAdd|AddXD|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|AddTreeWithSub,FellTreeD,DivXD,5,5,6,6,0
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3581396043823005,0.12389856781699629,-0.025450835780697352,0.4,4969.2740297293085,374.4762914150357,61001.66069333334,0,0.9038709147642773,1,0.6191955776801712,0.5009869718693222,68809.84833333334,539.9524334901587,704428.9555555556,0,((((0)+(x))*((6)*(6)))*((x)*((x)*((x)+(x))))),((((0)-(8))-((9)-((2)+(x))))/((0)/((x)-((x)/(x))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|AddTreeWithSub|FellTreeD|FellTreeD|AddTreeWithAdd|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddXD,DeleteTerminalR|SubXD|DeleteTerminalR|SubXD|AddXD|AddTreeWithAdd|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddToLeafR|DeleteTerminalR|DivXD|AddTreeWithSub,AddTreeWithMult,DeleteTerminalR,6,4,7,7,0
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3493722748570198,0.19982565296956012,0.02605072564572813,0.4,23923.63579655121,4459.955213729647,433294.67101587285,0,0.9961940199447418,1,0.5511861203760537,0.4102643623722639,903614.8084056437,270.7806301631979,17792029.944444444,0,((((x)*((7)+(8)))*((4)*((3)*(x))))-(((6)*(x))-((x)*((x)*((x)+(x)))))),((((2)-(5))-((x)/(5)))/((7)/((0)/(x)))),MutateTerminalR|DeleteNonTerminalR|SubXD|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddRandomSubTreeR|DeleteTerminalR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddXD,DivXD|SubXD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|ReplaceBranchR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,AddTreeWithMult,DivXD,7,7,8,8,0
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3357852567938536,0.19227794394678568,0.05425500645835989,0.4,9038.022001767076,1889.9063359053637,112955.80568253965,0,0.9734050073791947,1,0.44952286569858946,0.47007412199022086,131838.44074797287,406.2204219722185,2546197.7777777775,0,(((((4)-(9))*((x)*(x)))+(((2)*(5))*((4)*(7))))/(((4)+((2)-(x)))-((5)*((0)*((x)*(x)))))),((3)/((0)/(x))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|SubXD|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|SubXD|DeleteNonTerminalR|AddRandomSubTreeR|MultXD|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|SubXD|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,AddToLeafR,DivXD,8,8,9,9,0
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.3352069870966068,0.21186921798930602,0.08298997535343303,0.4,27002.775540412833,255.6348029021283,469388.0613004949,0,0.9960085213109215,1,0.5558710580228698,0.36621422294725436,860039.6112921179,203.07439592648944,16965169.14806458,0,((((x)*((9)*(7)))*(((x)+(4))*((x)*(x))))/(((x)+((8)-(x)))*((6)*((7)*((x)+(x)))))),((((0)-(0))+((0)*((6)/(0))))-(((x)/(7))/((0)/((9)/(x))))),MutateTerminalR|DeleteNonTerminalR|SubXD|AddTreeWithMult|AddTreeWithDiv|MutateNonTerminalR|DeleteNonTerminalR|AddToLeafR|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddXD,DivXD|SubXD|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|DeleteNonTerminalR|DivXD|DivXD|DeleteTerminalR|DeleteTerminalR|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,AddToLeafR,DivXD,8,9,10,10,0
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.2995868212274463,0.2349379450252568,0.25070184106396604,0.4,77874.21176464665,228.13456487874947,1230246.8559967477,0,0.9968531138065689,1,0.552532776371582,0.35709654331331653,1086808.5200561797,197.85659696295573,21518449.333333332,0,((((2)-((x)+(2)))*(((x)*(9))*((7)+(6))))*(((x)/((3)-(2)))-((x)-((x)*((x)*(x)))))),((((0)-((4)-(x)))*((8)*((0)/(0))))/(((0)/(x))/((0)-((x)/(x))))),AddTreeWithSub|DeleteNonTerminalR|SubXD|AddTreeWithMult|SubXD|MutateNonTerminalR|AddRandomSubTreeR|AddTreeWithAdd|AddRandomSubTreeR|DeleteMaliciousR|MultXD|AddTreeWithMult|AddToLeafR|MultXD|AddToLeafR,DivXD|SubXD|AddTreeWithAdd|AddTreeWithDiv|DeleteMaliciousR|ReplaceBranchR|AddTreeWithDiv|DivXD|DeleteTerminalR|AddTreeWithMult|DeleteNonTerminalR|AddTreeWithDiv|DeleteTerminalR|DivXD|MutateTerminalR,AddToLeafR,AddTreeWithDiv,10,10,11,11,0
