gen,specEquation,range,seed,AGenFitAvg,PGenFitAvg,AGenBestFitAvg,PGenBestFitAvg,AGenDeltaAvg,PGenDeltaAvg,AGenBestDeltaAvg,PGenBestDeltaAvg,topABestFit,topPBestFit,topAStdDev,topPStdDev,topAAvgDelta,topPAvgtDelta,topABestDelta,topPBestDelta,topAEquation,topPEquation,topAStrat,topPStrat,topADomStrat,topPDomStrat,topABirthGen,topPBirthGen,topAAge,topPAge,run
0,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.38176989781235204,0.014725689478320338,-0.2649751287113808,0.18505081907074705,23509.8702082485,538.710558426779,454651.1978210874,291.1104523809523,0.9968529599190642,1,0.4935352056812826,0.37239932712688945,1085036.0837517171,1105.3401191098778,21517397.1,0,(((((x)*(9))+((1)*((x)+(0))))/(((6)+(7))*((9)*((5)-(7)))))+((((9)*(3))*((3)*(8)))+(((5)+(9))*((x)+((x)-(x)))))),((((3)*(6))*((x)+(x)))/((0)/((9)/((1)*(x))))),MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|AddToLeafR|MultXD|AddToLeafR|AddXD|AddTreeWithAdd|MutateTerminalR|AddTreeWithSub|SubXD|AddTreeWithMult,ReplaceBranchXR|MutateNonTerminalR|SubXD|MutateTerminalR|DivXD|AddToLeafR|ReplaceBranchR|AddTreeWithDiv|AddTreeWithDiv|ReplaceBranchR|ReplaceBranchXR|DeleteTerminalR|MultXD|AddToLeafR|AddTreeWithDiv,AddTreeWithAdd,AddTreeWithDiv,0,0,1,1,1
1,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.35531824873856543,0.02271919448400339,-0.09780874645660668,0.2886918367179506,10873.57774382755,2397.704950200197,155729.62686421035,150.74711904761907,0.9661218583765938,1,0.6385226090536908,0.30505430030897757,135874.67568812738,1122.2971585774992,1998814.2166666663,0,(((((x)*(0))+((7)*(x)))+(((2)-(7))*((9)*((7)-(0)))))+((((x)/(x))+((4)/(8)))*(((x)-(x))*((x)-((x)*(x)))))),((((6)+((5)+(6)))+((8)+((6)+(x))))-(((5)/(0))+((x)*((x)-(x))))),AddXD|AddRandomSubTreeR|AddToLeafR|AddRandomSubTreeR|DivXD|AddXD|MultXD|DeleteMaliciousR|AddToLeafR|AddTreeWithDiv|SubXD|MultXD|SubXD|DeleteTerminalR|DeleteMaliciousR,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|AddToLeafR|AddToLeafR|AddTreeWithAdd|AddTreeWithAdd|DeleteMaliciousR|AddXD|MultXD|MutateTerminalR|SubXD|AddToLeafR,DeleteMaliciousR,AddToLeafR,0,0,2,2,1
2,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.30347132585067577,0.06216420362650529,0.21446595292536713,0.4,60635.38541966524,19524.954704947144,912220.4440752027,0,0.9947094828085379,1,0.6605576778356586,0.43926460746986695,683836.6450226229,1001.9677871464021,12799525.766666668,0,(((((2)+(7))*((x)+(5)))*(((0)/(3))/((8)*((0)+(3)))))*(((x)+((9)+(0)))*(((x)-(x))*((x)-((x)*(x)))))),(((((1)*((8)*(x)))+((0)/((5)*(8))))+(((x)+((7)/(0)))/((3)*((9)+(5)))))-((((4)+(2))*((8)*((x)*(3))))*(((4)+((6)+(x)))-((x)+((x)*((x)/(x))))))),AddXD|AddTreeWithDiv|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddRandomSubTreeR|MultXD|DeleteMaliciousR|AddToLeafR|AddTreeWithDiv|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,ReplaceBranchXR|MutateNonTerminalR|SubXD|AddXD|AddTreeWithDiv|SkipD|ReplaceBranchXR|DivXD|AddTreeWithDiv|ReplaceBranchR|MutateTerminalR|MutateTerminalR|AddTreeWithMult|SkipD|AddTreeWithDiv,MultXD,AddTreeWithDiv,2,2,3,3,1
3,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.2689553334601762,0.09942592980167798,0.22736784835053497,0.4,893001.1607882036,391947.612085208,15960444.164810626,0,0.9998818691785359,1,0.45915766828747495,0.5038592905004287,28669300.812295698,601.3530664933229,573229833.4333333,0,(((((x)*(x))*((x)+(0)))*(((x)+(5))*((1)*((x)+(0)))))+((((4)/(2))+((0)+(0)))*(((x)-(x))*((x)-((x)*(x)))))),(((((7)-(5))+((1)*((7)-(9))))*(((x)+((1)/(0)))+((8)-((9)-(x)))))-((((0)/(0))+((5)/((6)*(0))))+(((0)-(x))+((x)*((x)/((x)*(x))))))),AddXD|AddRandomSubTreeR|DeleteTerminalR|MutateNonTerminalR|AddTreeWithAdd|SkipD|MultXD|DeleteMaliciousR|AddToLeafR|AddTreeWithDiv|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,ReplaceBranchXR|MutateNonTerminalR|SubXD|AddXD|DeleteTerminalR|DivXD|ReplaceBranchXR|MutateTerminalR|AddTreeWithMult|AddTreeWithSub|ReplaceBranchXR|DeleteTerminalR|MultXD|AddToLeafR|AddTreeWithDiv,MultXD,ReplaceBranchXR,3,3,4,4,1
4,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.178570869162171,0.06701638224753775,0.37582395843877714,0.389362616807095,5341286.252186192,792250.294278177,96698177.37893157,14.406444444444446,0.9999732007458476,1,0.8826348472690057,0.5465628845375042,128896846.22402124,904.4007968186576,2526790884.7777777,0,(((((1)-(7))*((3)+((2)-(9))))*(((x)+((2)*(x)))*((7)-((0)+(5)))))*((((x)+(9))+((x)+(4)))+(((2)*(x))*((x)+((x)-((x)*(x))))))),(((((x)-((3)*(8)))-((4)-((0)+(x))))/(((0)/((3)+(1)))-(((1)+(9))/((0)+(5)))))*((((x)/(x))+((0)*((x)*(x))))+(((3)*((6)-(8)))/((9)/((x)*((x)+(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|SubXD|AddXD|AddTreeWithSub|AddTreeWithAdd|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddTreeWithAdd|SubXD|DivXD|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithSub|ReplaceBranchR|AddTreeWithDiv|AddToLeafR|MultXD|AddXD|AddTreeWithSub,MultXD,DeleteMaliciousR,4,4,5,5,1
5,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.06850880784034943,0.09743348784798,0.3961816575297539,0.4,105634939.81023455,1773165.4606119615,1916785708.0692577,0,0.9999989056920879,1,0.7932719943007369,0.3694307885499517,3388106340.552133,204.87391205161902,61880308427.34445,0,(((((x)*(9))-((1)+((1)*(0))))+(((2)*(x))*((3)*((x)+(8)))))*((((9)+(x))+((x)-(8)))*(((x)*(x))+((x)*((x)-((x)*(x))))))),(((((7)*((x)*(8)))/((0)+((2)*(0))))/(((0)/((8)-(x)))/((2)+((4)-(5)))))*((((2)+(3))+((0)-((8)*(9))))+(((4)+((x)-(6)))/((0)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|AddTreeWithSub|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,5,5,6,6,1
6,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,-0.06471993726462706,0.08703227179206233,0.28678994143566666,0.4,2450933872.6982865,245377.4630364213,42487135972.95078,0,0.999999953586178,1,0.7121248559198958,0.43062038897221677,89158887463.66061,328.04499999999996,1458964339355.7334,0,(((((1)*(x))*((x)*((4)+(5))))*(((x)+((2)*(x)))+((3)*((x)+(9)))))*((((x)+(2))+((7)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((x)*((0)*(7)))+(((x)*(x))+((2)*(1))))/(((4)/((2)/(5)))/(((2)*(0))-((0)+(0)))))+((((9)+((x)+(x)))*((x)*((x)+(x))))-(((x)*((x)-(x)))*(((8)+(5))/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|MutateNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|AddTreeWithMult|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|ReplaceBranchXR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|ReplaceBranchXR|DeleteNonTerminalR|MultXD|AddXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,6,6,7,7,1
7,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.07865472152556693,0.06967425080392686,0.39959262081487495,0.4,5142789049.609531,99572.13243258919,94484074188.88545,0,0.9999999814474174,1,0.8606299760971716,0.45491637665679396,199481088032.59674,435.14677004621217,3649956058889.1,0,(((((x)*(x))*((x)+((7)+(6))))*(((x)*((3)+(0)))*((x)*((x)+(9)))))+((((6)-(6))+((x)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((4)/((6)+(0)))*(((2)*(5))+((7)+(6))))/(((8)+((1)/(6)))*(((1)-(9))/((3)*(0)))))+((((0)+((9)+(7)))*((x)*((x)+(x))))-(((x)*((9)-(8)))-((0)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|AddToLeafR|AddTreeWithAdd|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|AddToLeafR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,7,6,8,8,1
8,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.16431308494595487,0.1294877540242448,0.39995120752547964,0.4,1913991087.703128,76191.4931719387,37045029745.30373,0,0.9999999564633022,1,0.8671326026367242,0.5751950575834559,78190429046.91537,1278.6340327334703,1555380046273.6667,0,(((((x)*(8))*((9)-((3)*(x))))+(((9)+((1)*(x)))*((9)+((0)*(x)))))+((((9)+(x))+((x)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((x)*((x)-(x)))*(((x)+(6))*((1)*(2))))*(((0)/((1)*(0)))*(((x)*(x))+((0)+(x)))))+((((x)*((0)*(x)))+((0)+((4)-(0))))*(((x)-((x)*(1)))+((6)/((x)*((x)+(x))))))),AddXD|AddRandomSubTreeR|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|ReplaceBranchXR|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddToLeafR|MultXD|AddXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,8,7,9,9,1
9,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1766871881362027,0.1439562720301168,0.3999210723185348,0.4,1915161144.4856777,12499.156098322514,31546134429.98434,0,0.9999998942992778,1,0.9334327887370631,0.51766542082038,32044822356.61259,618.6454532241909,640640004286.9445,0,(((((x)*(8))*((x)*((x)+(2))))*(((x)*((0)+(9)))*((7)/((2)*(x)))))+((((9)+(x))+((0)*(x)))*(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((0)*(x))-((0)*((1)+(7))))*(((8)+((5)-(0)))+((1)+((x)*(0)))))+((((x)-(x))*((0)-((5)/(0))))*(((8)*(9))/((x)/((x)*((x)+(x))))))),AddXD|AddTreeWithDiv|AddToLeafR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|ReplaceBranchXR|DeleteMaliciousR|DeleteNonTerminalR|MutateTerminalR|AddTreeWithDiv|AddToLeafR|MultXD|AddXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,9,9,10,10,1
10,((((x)*(x))*((x)+(2)))*((x)/((3)*((x)+(9))))),30,-10,0.1813535992606633,0.1417206031047088,0.3999534590450413,0.4,3412487583.333738,70936.65092436217,53981926984.598885,0,0.9999999056248638,1,0.7222286227785223,0.4760435442574896,64540657004.86485,411.48975708038085,717520671768.1556,0,(((((x)*(8))+((8)*((x)+(0))))*(((x)*(0))+((4)*((x)*(9)))))+((((x)+(x))*((x)*(3)))-(((x)+(x))-((x)*((x)-((x)*(x))))))),(((((x)*((x)*(0)))+(((0)*(x))-((3)*(8))))/(((3)+((1)+(9)))*(((4)-(0))+((0)+(x)))))*((((x)*((x)+(0)))-((7)/((0)*(x))))-(((5)*((0)*(1)))/((x)/((x)*((x)-(x))))))),AddXD|AddRandomSubTreeR|DeleteNonTerminalR|MutateNonTerminalR|AddTreeWithAdd|AddXD|MultXD|MultXD|AddToLeafR|AddXD|SubXD|MultXD|SubXD|DeleteTerminalR|MultXD,DeleteTerminalR|DeleteNonTerminalR|DeleteMaliciousR|AddToLeafR|DivXD|DivXD|AddToLeafR|DeleteMaliciousR|AddTreeWithDiv|MutateTerminalR|AddTreeWithDiv|DeleteTerminalR|MultXD|SubXD|DeleteMaliciousR,MultXD,DeleteMaliciousR,10,10,11,11,1
